[00:00:00.209 --> 00:00:02.813]  What I do is I wait and I watch.
[00:03:02.383 --> 00:03:07.168]  Dr. Charles Morgan, former CIA and consultant for the U.S.
[00:03:07.208 --> 00:03:16.137]  Military on Neurological Sciences, spoke to cadets at West Point in 2018 about the current state of technology.
[00:03:16.597 --> 00:03:26.927]   He briefed the cadets on experiments from 2013 where humans were given neural implants That allowed them to control prosthetic arms with their thoughts.
[00:03:27.567 --> 00:03:34.312]  Experiments where one person can control another person's hands by just wearing an EEG cap.
[00:03:34.592 --> 00:03:38.315]  The person on the receiving end described the sensation as rather odd.
[00:03:38.335 --> 00:03:41.638]  He said, I didn't know anything until I saw my hand beginning to move.
[00:03:42.238 --> 00:03:48.863]  But the really fun part was that you're taking over somebody else's physical body with the mind of another human.
[00:03:49.644 --> 00:03:51.105]  So what do you think would be the next step?
[00:03:51.605 --> 00:03:55.868]  Experiments where information is transmitted from one mind to another.
[00:03:56.308 --> 00:03:59.370]  And experiments where memories are erased.
[00:03:59.870 --> 00:04:04.233]  Dr. Morgan admits they have the technology to target an individual person.
[00:04:04.573 --> 00:04:05.734]  But you can engineer anything.
[00:04:06.094 --> 00:04:09.316]  You can engineer a unique thing that would only kill one person in the world.
[00:04:10.000 --> 00:04:14.264]  And are working on the ability to erase the memories of any human they choose.
[00:04:14.824 --> 00:04:22.630]  Their biggest challenge five years ago was being able to interface with the hippocampus without the use of physical wires.
[00:04:23.591 --> 00:04:29.936]  And this is most likely one of the motivating factors for the deployment of the experimental COVID shots.
[00:04:30.877 --> 00:04:42.525]  Using dark field microscopy, Dr. Ana Maria Mijalcea has captured in great detail what the scientific literature describes as effective technologies that exist today.
[00:04:43.005 --> 00:04:45.627]  Technologies such as quantum dots.
[00:04:46.087 --> 00:04:54.673]  Quantum dots are nanotechnology with the ability to organize, operate, communicate, and build structures within the blood.
[00:04:55.293 --> 00:05:03.918]  They do so with a tunable photoluminescence that can be programmed to dictate various tasks via optical communication.
[00:05:04.419 --> 00:05:14.304]  The description and images displayed in the scientific literature, compared to what Mijel Cia's dark field microscopy has captured, are the same.
[00:05:14.745 --> 00:05:22.770]  You can see the quantum dots blinking in different colors, acting as the artificial intelligence directing the self-assembly around them.
[00:05:23.610 --> 00:05:27.571]  Bubbles are created within the blood that act as construction sites.
[00:05:28.072 --> 00:05:34.694]  Within these construction bubbles, the quantum dots organize the various materials into self-assembly.
[00:05:35.294 --> 00:05:42.277]  These technologies are being found in both the blood of the vaccinated and in the blood of the unvaccinated.
[00:05:42.697 --> 00:05:47.999]  Depending on what materials are needed, the quantum dots will trigger them into self-assembly.
[00:05:48.519 --> 00:05:55.084]  The COVID vaccines are full of rare and heavy metals to make all manner of nanotechnology.
[00:05:55.565 --> 00:06:00.189]  But it seems as if almost everyone is infected with some sort of nanotech.
[00:06:00.709 --> 00:06:10.097]  According to several research teams, everyone's blood seems to contain the materials required to produce the filaments and the latticework for this technology.
[00:06:10.757 --> 00:06:19.420]  Blood samples that appear to be healthy have been completely transformed by applying a mere 10 milliamps of electric current for two hours.
[00:06:20.260 --> 00:06:23.461]  And it looks as if we may have been infected by the chemtrails.
[00:06:24.161 --> 00:06:27.422]  Morgellons disease was first reported in 2002.
[00:06:28.142 --> 00:06:32.484]  It's when synthetic fibers or filaments are growing in a person's body.
[00:06:33.084 --> 00:06:37.768]  It has been theorized for decades that this was being spread via chemtrails.
[00:06:38.329 --> 00:06:48.779]  And under a microscope, it appears to be the same filaments that people today are calling blood clots, and what the scientific journals call self-assembled hydrogels.
[00:06:49.619 --> 00:06:57.287]  According to Dane Wigington from geoengineeringwatch.org, nanoparticles are being sprayed worldwide.
[00:06:58.191 --> 00:07:02.392]  The good news is that Dr. Milcia's research has found a remedy.
[00:07:02.892 --> 00:07:12.695]  The iron in the infected blood has been oxidized to a 3-plus state, and by taking antioxidants, one is able to dissolve these filament clots.
[00:07:13.375 --> 00:07:23.858]  She has found that EDTA chelation therapy will remedy infected blood within three days, and megadosing vitamin C also seems to work.
[00:07:24.278 --> 00:07:27.078]  Reporting for InfoWars, this is Greg Reis.
[00:07:27.078 --> 00:07:40.078]  [Music]
[00:07:40.078 --> 00:07:47.078]   I cannot think of a more important, groundbreaking report, nanotechnology found in both vaxxed and unvaxxed.
[00:07:47.814 --> 00:08:02.180]  I have a stack of new prestigious studies from the United States, the UK, Canada and Europe, where they've confirmed what we already knew over two years ago from other studies, that the vaxxed are shedding.
[00:08:02.340 --> 00:08:04.221]  It's not a vaccine, it's a nanotech.
[00:08:04.941 --> 00:08:11.565]  replication system, and when it really takes hold in certain people, even young people, the coroners all over the world have reported.
[00:08:11.585 --> 00:08:30.798]  The head pathologist in Germany went public a year and a half ago, and they just pulled giant solid protein crystal clots out of even 15 year olds that are dead, that have clots that somebody at 80 would have, that literally drank buckets of bacon grease every day.
[00:08:31.957 --> 00:08:42.846]  But it's not cholesterol, it's nanotech protein, but it also pulls metals out of your body and informs this receptor system.
[00:08:44.547 --> 00:08:45.228]  Transceivers.
[00:08:46.809 --> 00:08:52.554]  Our cells are already electrochemicals, so we're being colonized with this garbage.
[00:08:52.614 --> 00:08:54.836]  This report just went live a few hours ago.
[00:08:55.716 --> 00:08:56.937]  It's got 50,000 views.
[00:08:58.138 --> 00:08:59.800]  If you want to defeat the globalists, it needs 10 million.
[00:09:01.321 --> 00:09:04.183]  And the biggest video we have on Mandot Video has about 8 million views.
[00:09:04.563 --> 00:09:05.603]  That's not going to cut it, folks.
[00:09:05.663 --> 00:09:06.404]  I'm not complaining.
[00:09:06.464 --> 00:09:10.406]  I'm just saying we're in a total war here, and this needs 10 million views.
[00:09:12.167 --> 00:09:16.509]  Get it, share the link to Mandot Video, and let people understand this is part of their master plan.
[00:09:16.669 --> 00:09:18.430]  Okay, let me show you some of the headlines here.
[00:09:18.870 --> 00:09:21.411]  Nanotechnology found in both vaxxed and unvaxxed.
[00:09:21.431 --> 00:09:22.232]  Again, we're live.
[00:09:22.952 --> 00:09:24.013]  It's Saturday, August 5th, 2023.
[00:09:26.516 --> 00:09:28.879]  We're going to go for at least two hours here today.
[00:09:29.500 --> 00:09:39.071]  Jake Chansley, who is very impressive now that I've gotten a chance to know him and not just see the twisted media accounts, is going to be joining us in about 10 minutes for at least an hour and a half.
[00:09:39.772 --> 00:09:43.136]  Then a high-level Army psychological warfare expert.
[00:09:43.857 --> 00:10:02.514]  Scott Bennett who's been blowing wide open the globalist PSYOP takeover and the Ukraine war will join us on some of the biggest developments yet in the Ukraine war and the drone attacks on both sides and a new Russian warship being crippled by a US-designed surface drone or drone ship.
[00:10:03.355 --> 00:10:06.738]  So we're going to be talking to Scott Bennett as well today.
[00:10:07.578 --> 00:10:12.578]   We had Just a groundbreaking interview yesterday with Dr. Peter McCullough.
[00:10:12.658 --> 00:10:24.287]  So I'm going to recap some of that now, hit the latest poison shot news, then tell you what's coming up after Jake and Scott leave us in about two hours.
[00:10:25.928 --> 00:10:29.110]  So nanotechnology found in both vaxxed and unvaxxed, such a critical report.
[00:10:29.170 --> 00:10:30.331]  Let's play this clip first.
[00:10:30.391 --> 00:10:38.838]  Now, I watched last night after I saw this yesterday, right when the show was ending, last night I watched about an hour of this.
[00:10:41.724 --> 00:10:48.868]  After I got home late, after hanging out with the great Eddie Bravo and his 10th Planet crew, and Ryan Kellen, what a comedian.
[00:10:48.888 --> 00:10:51.029]  Wow, I was out with those guys about 1 o'clock in the morning.
[00:10:51.049 --> 00:10:57.552]  But I got home and I said, I have got to go to the Senate hearing.
[00:10:58.393 --> 00:11:04.656]  And I found a 30-minute clip of it that I'm going to really shoot to play clips of coming up on the weekday show this week.
[00:11:05.176 --> 00:11:05.376]  It's 11 a.m.
[00:11:05.416 --> 00:11:05.716]  to 3 p.m.
[00:11:07.662 --> 00:11:09.883]  But here's the headline, Infowars.com.
[00:11:09.903 --> 00:11:14.766]  I'm going to have Jamie White, who's doing our weekend desk, add this to the live show feed today.
[00:11:14.786 --> 00:11:16.708]  They've linked to this back to the front page.
[00:11:17.328 --> 00:11:20.570]  This is just simply mind-blowing.
[00:11:21.130 --> 00:11:29.916]  Now, we already knew this from documents that came out all over the Western world, from the UK to Canada to the US to Australia to New Zealand to Germany.
[00:11:31.152 --> 00:11:31.692]  to France.
[00:11:32.053 --> 00:11:34.475]  It was also the Netherlands and Sweden this came out.
[00:11:35.295 --> 00:11:38.838]  So when I see an article like this, I don't just have it compartmentalized in this one piece.
[00:11:39.118 --> 00:11:39.639]  I remember.
[00:11:40.440 --> 00:11:47.245]  And remember Greg Reese's report from two years ago that we played probably more than any other report he's put out.
[00:11:47.265 --> 00:11:48.526]  We probably played it 50 times.
[00:11:49.047 --> 00:11:52.089]  We played it last weekend on the special show as well.
[00:11:53.150 --> 00:12:01.240]   I think the headline is red states being sent Deadlier vaccine or something like that.
[00:12:01.720 --> 00:12:02.481]  Let's pull that up.
[00:12:02.501 --> 00:12:03.682]  The crew's really good at finding it.
[00:12:05.023 --> 00:12:22.454]  Because in that, he has the scientists, the doctors, the experts, these major statistician firms that looked at the dose numbers and then tracked the fact that around half of the shots, it's the same in Europe, major studies came out just a few weeks ago confirming it.
[00:12:23.534 --> 00:12:25.576]  The EU admitted it two weeks ago.
[00:12:27.176 --> 00:12:29.358]  Sweden, their government admitted it.
[00:12:29.398 --> 00:12:34.442]  I mean, this is incredible because we discovered this, other researchers discovered it years ago, now it's all confirmed.
[00:12:35.864 --> 00:12:37.285]  That they call it range finding.
[00:12:37.605 --> 00:12:43.870]  So like you fire a range finder off your rifle out to a thousand yards to know how far it is before you set the scope or whatever.
[00:12:44.251 --> 00:12:44.891]  It's the same thing.
[00:12:46.653 --> 00:12:50.956]  Around, on average, you know, it varied country to country, time to time, range find to range find.
[00:12:51.597 --> 00:12:53.479]  They were always tweaking it.
[00:12:54.608 --> 00:13:03.814]  But around half of the vaccines, that aren't vaccines, had very high levels of the poison nanotech and the spike protein in them.
[00:13:03.834 --> 00:13:06.396]  And if you got that, you had major health problems.
[00:13:06.416 --> 00:13:12.900]  You got sick as a dog, your body got colonized, a lot of people had heart attacks, myocarditis, strokes, you name it.
[00:13:13.700 --> 00:13:15.902]  Old, young, it doesn't matter, really bad.
[00:13:16.862 --> 00:13:20.645]  But half the public got saline.
[00:13:22.066 --> 00:13:28.928]   So half the public got saline, Around 40% just got a little bit of it.
[00:13:30.449 --> 00:13:32.231]  So some people had bad reactions, others didn't.
[00:13:32.871 --> 00:13:35.273]  And then, depending on the country, 10 to 4%.
[00:13:35.613 --> 00:13:36.574]  It varied.
[00:13:36.594 --> 00:13:39.436]  10 in one country, 9 in another, 6 in another, 4 in another.
[00:13:39.716 --> 00:13:40.877]  Like Sweden was 4%.
[00:13:42.779 --> 00:13:43.800]  4% got the deadly shot.
[00:13:45.101 --> 00:13:46.642]  And that's also meant to confuse the public.
[00:13:46.662 --> 00:13:48.924]  Well, why did you not get sick, but you got really sick?
[00:13:50.256 --> 00:13:52.697]  Or why did Ernest Romero Sr.
[00:13:52.737 --> 00:13:58.019]  not get sick but his 14-year-old son in great shape to play basketball, baseball, you name it, have a heart attack and die four days after it?
[00:14:01.300 --> 00:14:10.744]  So, I remember articles won at Guardian like 15 years ago that European elites get safer vaccines.
[00:14:10.904 --> 00:14:15.245]  European elites, royalty, government leaders, they get, quote, clean vaccines.
[00:14:15.265 --> 00:14:16.666]  Because vaccines are real technology.
[00:14:17.995 --> 00:14:21.456]  They still have dangers even if you try to do it just right and don't trojan horse it.
[00:14:23.396 --> 00:14:28.638]  But now it's come out and remember the head of Moderna.
[00:14:31.598 --> 00:14:35.479]  Guys pull this up see when I see one article I think of hundreds of others because it all connects.
[00:14:36.079 --> 00:14:42.741]  Remember when the Moderna CEO said I'm not taking the vaccine and then later he said well I took a special one.
[00:14:44.326 --> 00:14:51.312]  Then we have Zuckerberg famously in that video that leaked saying to his employees, only the high-level executives, but one of them had a soul.
[00:14:51.572 --> 00:14:57.878]  He reportedly was talking about a hundred people and recorded it and shared it where he said, do not take this shot.
[00:14:58.278 --> 00:14:59.019]  It's experimental.
[00:14:59.139 --> 00:14:59.800]  Do not take it.
[00:14:59.860 --> 00:15:00.700]  We don't know what it's going to do.
[00:15:01.061 --> 00:15:05.224]  That was the bare minimum of him to warn them because he obviously knew it was something much larger.
[00:15:06.666 --> 00:15:07.286]  Want to see the video?
[00:15:07.306 --> 00:15:17.643]   In fact, find that for later, but we got to get to, uh, Our amazing guest is going to have a long time with us, Jake Chansley, aka the Q Shaman, here in a moment.
[00:15:18.964 --> 00:15:20.204]  But now this is broken.
[00:15:20.725 --> 00:15:30.590]  In the Australian Senate, Pfizer officials admit company employees received different COVID jabs than the rest of the population.
[00:15:31.811 --> 00:15:33.912]  And what do you want to bet it was saline?
[00:15:36.798 --> 00:15:41.820]  Or it could have been an attenuated virus for COVID that would still have issues but could protect you some.
[00:15:42.440 --> 00:15:44.521]  A classic vaccine.
[00:15:44.721 --> 00:15:45.241]  Here's a clip.
[00:15:48.062 --> 00:15:55.885]  You read that your vaccine mandate was using your own batch of vaccine especially imported for Pfizer which was not tested by the TGA.
[00:15:56.265 --> 00:15:56.885]  Is that correct?
[00:15:59.191 --> 00:16:07.616]  Uh, Senator, so Pfizer undertook to import a batch of vaccines specifically for the employee vaccination program.
[00:16:09.397 --> 00:16:17.081]  The full article has them explain that they took another shot than what they pushed and had liability protection for for the Australian people.
[00:16:18.510 --> 00:16:20.831]  Yeah, there's the report from almost two years ago.
[00:16:21.031 --> 00:16:21.791]  Evidence that U.S.
[00:16:21.831 --> 00:16:25.053]  government targeted red states with deadly batches of vaccine.
[00:16:25.213 --> 00:16:27.254]  That video is beyond critical.
[00:16:27.274 --> 00:16:34.737]  So I'm going to have that video added to this original article that just came out yesterday on InfoWars.com.
[00:16:34.757 --> 00:16:39.959]  Pfizer officially admits company employees received different COVID jabs than the rest of the population.
[00:16:39.999 --> 00:16:49.325]   Please have Jamie White repost this to the front page of InfoWars, the whole article, and then add into the article Gregg Reese's original report.
[00:16:49.405 --> 00:16:50.686]  So you got to tie all this together.
[00:16:51.566 --> 00:16:52.206]  Now let's continue.
[00:16:53.726 --> 00:16:59.007]  Swiss study finds that COVID vaccine heart injury up to 20 times more common than previously claimed.
[00:16:59.067 --> 00:17:01.108]  LifeSite News listed the major study.
[00:17:02.768 --> 00:17:03.948]  This just broke the last few days.
[00:17:04.668 --> 00:17:12.150]  New study and confidential Pfizer documents confirm mRNA vaccine shedding has been occurring with shockingly dangerous consequences.
[00:17:13.870 --> 00:17:16.371]  And these are again, major prestigious studies.
[00:17:16.431 --> 00:17:17.251]  Go read it for yourself.
[00:17:18.490 --> 00:17:19.310]  There's another one breaking.
[00:17:19.710 --> 00:17:26.213]  A new study from the University of Colorado confirms that COVID vaccinated have been transmitting dangerous antibodies.
[00:17:29.434 --> 00:17:33.876]  Rand Paul announces official criminal referral against Fauci for gain-of-function lying to Congress.
[00:17:36.777 --> 00:17:38.398]  Now, let's do a wide shot here at this table.
[00:17:40.179 --> 00:17:43.120]  Every one of these stacks is just as important as what I just covered.
[00:17:44.861 --> 00:17:47.962]  But we're going to do a deep dive with Jake Chansley right now.
[00:17:49.198 --> 00:18:13.868]   I appreciate him joining us because I was very impressed once he got out of jail actually hearing what he had to say versus how the media spun it and he was there obviously when the feds tried to set everybody up and he's very thankful Tucker Carlson not for helping him get him out of jail because he was already being released on good behavior but because That video that they released, that the feds had won out, vindicated him and others that were waived in after the first groups broke in.
[00:18:14.189 --> 00:18:19.171]  They didn't know they were being waived in by the police that led him into the chamber saying, help us get people out.
[00:18:20.412 --> 00:18:24.674]  So he goes in, he leads people in a prayer to get their attention, and then he asked them to leave.
[00:18:24.714 --> 00:18:32.718]  Just like I got up and said, hey, you're great everybody, don't go in, it's going to be a setup, we love you, USA, USA, to get their attention, now come with me, don't go in the Capitol.
[00:18:34.346 --> 00:18:37.657]  Well, he served 27 months for being led in by the police.
[00:18:38.885 --> 00:18:41.787]  Who even asked me to help get people to not enter the Capitol.
[00:18:41.807 --> 00:18:43.048]  I have that on video.
[00:18:43.749 --> 00:18:46.051]  I guess I'm just blessed I haven't been sent to jail for 27 months.
[00:18:46.371 --> 00:18:47.492]  They're trying to stop what happened.
[00:18:48.012 --> 00:18:48.953]  But that's how they operate.
[00:18:48.973 --> 00:18:49.874]  So he's out now.
[00:18:49.894 --> 00:18:52.096]  We're going to be covering the waterfront with him.
[00:18:52.296 --> 00:18:56.639]  All the big developments with this new indictment on January 6th that is the big one.
[00:18:57.240 --> 00:18:58.881]  And the things that Trump's been saying and doing.
[00:18:59.281 --> 00:19:05.607]  A huge stack of the left openly coming out and saying, we're not just going to rape your children and have sex with them and ruin their innocence.
[00:19:05.667 --> 00:19:07.908]  We're going to cut their bodies up in pieces.
[00:19:08.689 --> 00:19:14.592]  With the so-called influencers out there recruiting children into their occultic system that's beyond pedophilia.
[00:19:15.712 --> 00:19:18.534]  Also, world food prices jumped the most in 18 months.
[00:19:19.714 --> 00:19:20.675]  We told you that was coming.
[00:19:23.416 --> 00:19:30.599]  We also have just a lot of other incredible information that we're going to be laying out for you here today.
[00:19:30.679 --> 00:19:33.841]  Big developments on the cashless society front.
[00:19:35.845 --> 00:19:38.328]  Australia is officially going cash-free.
[00:19:38.508 --> 00:19:39.489]  It's all part of the New World Order.
[00:19:39.629 --> 00:19:46.177]  And meanwhile, California is announcing a cashless system and state digital ID to buy and sell.
[00:19:47.258 --> 00:19:50.281]  So it's all being pushed by the same globalists, being implemented all over the place.
[00:19:50.622 --> 00:19:54.686]  We've got to fight it because it is critical to their control grid.
[00:19:56.474 --> 00:20:04.498]  Also getting into January 6th with Jake Chansley at American Shaman on Twitter and his website is ForbiddenTruthAcademy.com.
[00:20:06.081 --> 00:20:13.586]  Arizona man Ray Epps plans to sue Joe Rogan after he repeats Fox News' Tucker Carlson claim that he was an informant during the Capitol riot.
[00:20:13.987 --> 00:20:27.396]  I've watched the video, talked to Joe last night too about it, and Joe says, people are saying this, I don't know if Ray Epps is a fed, all I know is he hasn't been arrested and all these other people that did less than him have been arrested and many of them put in prison.
[00:20:27.936 --> 00:20:29.097]  That's the Joe Rogan quote.
[00:20:29.497 --> 00:20:34.600]   Preposterous that they could win a suit, but You've seen what they've done to me, folks.
[00:20:34.660 --> 00:20:35.941]  Misrepresenting what I've said and done.
[00:20:36.381 --> 00:20:39.163]  So it's a very serious situation there.
[00:20:39.203 --> 00:20:40.523]  And Joe's getting more hardcore every day.
[00:20:40.543 --> 00:20:41.584]  Joe Rogan can't imagine.
[00:20:42.084 --> 00:20:43.946]  America wants President Kamala Harris.
[00:20:44.386 --> 00:20:46.507]  Calls Newsom an effing con man.
[00:20:46.587 --> 00:20:49.049]  So Joe just gets better and better.
[00:20:50.794 --> 00:20:56.895]  Every day and he is officially fully Alex Jones, fully red-pilled.
[00:20:57.455 --> 00:21:02.016]  So very, very, very, very exciting point that we are now at.
[00:21:02.617 --> 00:21:09.818]  Jake, wonderful having you on with us yesterday for that hour, but with commercial breaks we only had about 50 minutes.
[00:21:10.678 --> 00:21:28.791]   So now I'd like to Have you go wherever you want on the new world order, on the nature of reality, on the globalist, on where you think they're going, on the Ukraine war, on the cashless society, on Trump, but then interspersed between your hosting here, because I'm going to just be riding shotgun with you for the next hour and a half or so.
[00:21:31.332 --> 00:21:35.195]  I will also bring up some topics and play some Trump clips and things of what he's been saying.
[00:21:36.574 --> 00:21:38.155]  Give my take on that.
[00:21:38.215 --> 00:21:40.217]  But thank you for joining us.
[00:21:40.237 --> 00:21:45.461]  Do you want to comment on the on this poison shot news I just rolled out or just move on to other topics?
[00:21:45.481 --> 00:21:51.505]  Well, actually, I can bring it all around as soon as I kind of lay some groundwork, if you like.
[00:21:52.987 --> 00:21:53.507]  You got the floor.
[00:21:53.547 --> 00:21:53.827]  Go ahead.
[00:21:53.927 --> 00:21:54.608]  OK, cool.
[00:21:55.468 --> 00:21:55.769]  All right.
[00:21:55.909 --> 00:22:08.487]   So according to the HeartMath Institute, Our DNA acts almost like antenna kind of like our brain acts like antenna for what something called quantum physicists call is non-local consciousness.
[00:22:09.088 --> 00:22:15.136]  They say that consciousness is not an emergent property of complex neural activity in the brain.
[00:22:16.591 --> 00:22:55.106]   Consciousness is kind of like the laws of physics isn't it's embedded in the universe so consciousness is very like intricately and tightly knit into the fabric of reality itself and they call this non-local consciousness and they say that our DNA and our brains are like antenna for this non-local consciousness we are sending and receiving light and information or electromagnetic signals through our DNA and through these antenna on our DNA and through our brain and brain activity So, what ends up activating this DNA is the emotions that we feel.
[00:22:55.146 --> 00:23:04.209]  So, if we have a low frequency emotion, if we have a low frequency thought, then this creates a wave of fear in the electromagnetic field around the body.
[00:23:04.669 --> 00:23:04.969]  Okay?
[00:23:05.289 --> 00:23:09.810]  And when you do that, it activates far less of the antenna on the DNA.
[00:23:10.410 --> 00:23:19.115]   So, when you then have a feeling of love, Then what ends up happening is that it's a much higher frequency emotion, a higher frequency thought.
[00:23:19.804 --> 00:23:23.685]  And far more antennae are activated on the DNA.
[00:23:24.086 --> 00:23:33.289]  Now, the other thing that happens is that the electromagnetic field around the body actually, during fear-based thoughts and emotions, it constricts, and it gets tighter around the body.
[00:23:33.549 --> 00:23:37.410]  The DNA also really constricts, and it tightens up, and it degrades faster.
[00:23:37.810 --> 00:23:47.974]  Whereas in the case of love, the DNA actually expands, and it relaxes, and all of these antennae get activated on it, and the electromagnetic field around the body expands.
[00:23:47.973 --> 00:23:51.593]  and expands further and further beyond the body.
[00:23:51.593 --> 00:23:57.773]   So our thoughts and our emotions are electromagnetic frequencies, okay?
[00:23:57.773 --> 00:24:02.693]   And we are creating a feedback loop of light and information or electromagnetic activity
[00:24:02.693 --> 00:24:07.773]   with non-local consciousness through our brains, through our hearts, through our DNA.
[00:24:07.773 --> 00:24:11.413]   By the way, what you're saying, I just want to interrupt briefly, the quantum physicists
[00:24:12.049 --> 00:24:12.870]  This is not debated.
[00:24:12.910 --> 00:24:17.071]  When they observe neutrons or other particles, they do different things when they don't observe them.
[00:24:17.331 --> 00:24:20.472]  When people pray and look at a neutron, they've now learned it does different things.
[00:24:20.812 --> 00:24:26.454]  We are definitely having an effect like the force in Star Wars is a simple way of saying it.
[00:24:27.214 --> 00:24:28.254]  This is a real thing.
[00:24:28.574 --> 00:24:28.974]  Keep going.
[00:24:30.735 --> 00:24:32.676]  Yes, and that's why I practice shamanism.
[00:24:33.276 --> 00:24:37.437]  So, let's talk about cymatics for a second.
[00:24:37.935 --> 00:24:39.997]  I'm sure you're familiar with cymatics Alex.
[00:24:40.097 --> 00:24:41.018]  Yes.
[00:24:41.199 --> 00:24:47.345]  For those that aren't though, cymatics is basically the use of sound and frequencies to create certain patterns within mediums.
[00:24:47.846 --> 00:24:54.353]  So I'm sure many people have seen the video where somebody puts like grains of sand or grains of rice on like a metal plate or a speaker.
[00:24:55.266 --> 00:25:09.731]  And then what they do is they plug a sound into the speaker, they turn a frequency on, and then the frequency ends up causing the grains of rice to manifest in a pattern of sorts because of the vibration that is being channeled through the speaker.
[00:25:10.632 --> 00:25:14.833]  Now, the higher the frequency, the more complex the pattern.
[00:25:15.173 --> 00:25:17.594]  The lower the frequency, the less complex the pattern.
[00:25:18.254 --> 00:25:27.681]   Now, if we look at Earth like it is the speaker, And we look at the electromagnetic field around the earth like it is the frequency.
[00:25:28.182 --> 00:25:40.108]  Then we as human beings, our civilizations, all life forms on the planet end up basically being the grains of rice that are on the speaker and being moved by the frequency.
[00:25:40.508 --> 00:25:51.154]  Now this is really profound because if our thoughts and our emotions are electromagnetic frequencies that are tied into the electromagnetic field of the earth itself, right?
[00:25:51.855 --> 00:26:13.143]   Then it would make sense that our like we were saying about like the moon cycles and people say about moon cycles and like how certain people have, you know, Women have their periods, or women give birth at a higher percentage rate during full moon cycles, or emergency rooms are more full during full moon cycles and stuff like that.
[00:26:13.763 --> 00:26:25.508]  And I've also done studies with mammals that even if women are between a wall and pheromones aren't able to go over, still the women's periods will sync up just because they're in proximity, showing that there is an interdimensional frequency.
[00:26:27.290 --> 00:26:28.331]  Yes, exactly.
[00:26:28.851 --> 00:26:39.339]  So, like I said, the Earth is the speaker, the electromagnetic field around the planet is the frequency, and the people and our civilizations are the grains of rice.
[00:26:39.720 --> 00:26:50.808]  Now, each and every new age, from say the age of Pisces to the age of Aquarius or something like that, you see here we're inexorably linked to the sacred geometry of the universe itself.
[00:26:50.968 --> 00:26:54.211]  Everything is a fractal in its pattern and in its structure.
[00:26:54.751 --> 00:27:08.360]  So, because we are a manifestation of the universe itself, because we are the universe looking at itself, we are made in the image of God, we are inexorably linked to this frequency that is creating all of reality.
[00:27:08.560 --> 00:27:11.141]  All of reality is based on cymatics.
[00:27:11.482 --> 00:27:14.764]  God was the word, the word was with God, right?
[00:27:15.204 --> 00:27:16.725]  Let there be light.
[00:27:16.805 --> 00:27:17.465]  What is a word?
[00:27:17.485 --> 00:27:18.426]  A word is sound.
[00:27:19.025 --> 00:27:35.048]  So all of reality is basically based on this notion of cymatics and energy being channeled through this feedback loop of light and information that isn't just going through our bodies, but it's also going through the planet, through the vortexes on the planet, through the ley lines on the planet.
[00:27:35.548 --> 00:27:38.528]  It's also going through the sun and all of the planets in the solar system.
[00:27:38.588 --> 00:27:41.329]  It's going through the stars in the galaxy.
