[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[00:07:17.662 --> 00:07:22.127]  But I've been learning up as much as I can about this subject over the weekend and you've enlightened me quite a bit.
[00:07:22.127 --> 00:07:32.077]  You're informed and this is something you've had substantial opinions on for some time and this is a fascinating and terrifying development indeed.
[00:07:32.077 --> 00:07:37.703]  Yeah and you know neither one of us clearly you know obviously neither one of us are experts specifically on the Middle East.
[00:07:38.908 --> 00:07:39.808]  But that's okay.
[00:07:39.808 --> 00:07:47.852]  We really dedicated our, you know, for the last 48 hours, I mean, I've just been studying this from every different angle, trying to just get a full grasp of what's going on.
[00:07:47.852 --> 00:07:55.816]  And hopefully that's what we can deliver to the viewers and the listeners today, is just an understanding of sort of how we got here and where this goes from here.
[00:07:55.816 --> 00:08:04.801]  Because when I look at the current situation, what I see is a line of carefully set up dominoes ready to fall and lead us to World War III.
[00:08:05.561 --> 00:08:09.723]  And I think that's where I approach this, I know that's where you approach this as well.
[00:08:09.723 --> 00:08:16.266]  We were sort of joking at one point about, you take Israel, I'll take Palestine, and we'll just, we'll go head-to-head, we'll solve this thing by the end of the show.
[00:08:16.266 --> 00:08:19.008]  We'll argue it out, we'll figure out the conclusion.
[00:08:19.008 --> 00:08:21.129]  There is no easy answer to this, obviously.
[00:08:21.129 --> 00:08:25.371]  Neither side is right or wrong, totally good or totally evil.
[00:08:25.371 --> 00:08:33.415]  And you have to actually be able to sympathize with and understand the stances of both of these people, both of these groups, both of these
[00:08:34.155 --> 00:08:39.478]  Maybe it's a good thing that we're not Middle Eastern experts, because oftentimes I've found that with issues like this, the experts
[00:08:56.408 --> 00:09:00.591]  I think it's actually a breath of fresh air that we're in a position to tackle such a complicated and longstanding issue with fresh eyes.
[00:09:25.666 --> 00:09:43.239]  Yeah, because this isn't something that we've, you know, this conflict in particular isn't something that we've dedicated our time to, but understanding the overall geopolitical landscape is something that we've both dedicated a lot of time on, and so neither one of us have sort of an interest on either side, but an interest in peace and an interest in, for me, keeping America out of this war after all.
[00:09:43.239 --> 00:09:52.807]  We've seen this before, I mean, we've seen the war drums, we've seen the horrifying images, which are horrifying, I mean, you can't deny what the attacks, you know, the videos that came out of these attacks are
[00:09:53.788 --> 00:09:55.550]  Shockingly modern.
[00:09:55.550 --> 00:09:56.612]  I mean, in certain ways.
[00:09:56.612 --> 00:10:04.864]  There's video of this music festival and paratroopers gliding into the music festival while people are, like, dancing to techno.
[00:10:04.864 --> 00:10:07.909]  I mean, we're in such a bizarre situation.
[00:10:09.451 --> 00:10:13.452]  Yeah, like a true Red Dawn moment, but Red Dawn on acid.
[00:10:13.452 --> 00:10:15.633]  Like, it's so bizarre what we're dealing with here.
[00:10:15.633 --> 00:10:17.314]  So let's just get you some of the latest.
[00:10:17.314 --> 00:10:23.636]  From Al Jazeera, death toll soars to 1,300 as fighting between Hamas and Israel rages.
[00:10:23.636 --> 00:10:32.479]  More than 800 Israelis and some 500 Palestinians have been killed amid heavy fighting and bombardment following the largest attacks by Palestinian armed group Hamas against Israel in decades.
[00:10:32.919 --> 00:10:44.282]  Israeli Defense Minister Yoav Galant said on Monday authorities would impose a total blockade on the Gaza Strip, cutting electricity and blocking food and fuel supplies as part of a complete siege on the Hamas-run enclave.
[00:10:44.282 --> 00:10:58.145]  It came as Gaza's Ministry of Health said at least 510 Palestinians had been killed and 2,751 more had been wounded in Israeli air raids on the enclave since Saturday when Hamas launched its multi-pronged offensive on Israel.
[00:10:59.165 --> 00:11:05.067]  And the big question here is, is Israel going to invade Gaza?
[00:11:05.067 --> 00:11:08.929]  And I mean, there's so many different ways to get into this topic.
[00:11:08.929 --> 00:11:15.632]  Obviously, we can talk about what contributing factors may have come from the Biden administration, the six billion to Iran.
[00:11:15.632 --> 00:11:17.773]  Did that have an effect on this?
[00:11:17.773 --> 00:11:23.255]  Did his response yesterday do anything to calm the situation or inflame the situation?
[00:11:23.255 --> 00:11:25.016]  It's my interpretation that basically what Biden did
[00:11:25.916 --> 00:11:27.977]  Was almost the worst thing he could have done.
[00:11:27.977 --> 00:11:39.065]  He essentially said that we'll give Israel all the equipment that they need, signaling that America is not going to get involved personally in this, like we're not going to be sending personnel in.
[00:11:40.475 --> 00:11:43.016]  And Israel doesn't really need weapons right now.
[00:11:43.016 --> 00:11:45.678]  What they need is people, and they just don't have it.
[00:11:45.678 --> 00:11:55.383]  Actually, one of the latest headlines is that Israel has called up 300,000 reservists amid counter-offensive push in Israel-Hamas war.
[00:11:55.383 --> 00:12:02.446]  They've called up 300,000 military reservists to respond to a Hamas-led terror attack and invasion on the Gaza Strip, which resulted in at least 800 dead Israelis.
[00:12:04.167 --> 00:12:05.909]  The draft is the largest ever for Israel.
[00:12:05.909 --> 00:12:17.178]  Israel, of course, actually declaring that it's at war with Gaza for the first time since 1973, I believe, was the last time they were officially in a state of war.
[00:12:17.178 --> 00:12:21.241]  And the question is, are they going to invade Gaza?
[00:12:21.241 --> 00:12:25.985]  This is from Mario Nawfal, a Hezbollah operative who was killed by IDF strikes in southern Lebanon.
[00:12:28.300 --> 00:12:29.481]  The domino effect.
[00:12:29.481 --> 00:12:35.667]  Essentially, as I understand it, what's happening now is that Israel has said we're going to go into Gaza.
[00:12:35.667 --> 00:12:37.729]  We're going to push in, in fact,
[00:12:39.141 --> 00:12:39.381]  This is
[00:12:59.716 --> 00:13:13.402]  Has essentially said, and whether this is official, you know, from the Biden administration, whether this is just Lindsey Graham spouting off from Gateway Pundit, warmonger, Senator Lindsey Graham warns if Hezbollah intervenes in Israel-Palestine conflict, U.S.
[00:13:13.402 --> 00:13:15.542]  must respond against Iran.
[00:13:15.542 --> 00:13:17.823]  So, I mean, this is a literal domino effect.
[00:13:17.823 --> 00:13:28.568]  If they go into Gaza, Hezbollah attacks Israel, America gets into the conflict, then you have Iran, Syria, and even Russia to a certain extent, going gloves off.
[00:13:30.000 --> 00:13:41.012]  And we have hundreds, if not thousands of American servicemen in the Middle East as sitting ducks if Iran or Syria were to start bombarding them.
[00:13:41.012 --> 00:13:47.239]  It would be hundreds of American servicemen lives lost and you can just see how it spirals out from there.
[00:13:48.892 --> 00:13:54.836]  This is a inflection point in more ways than one, geopolitically.
[00:13:54.836 --> 00:13:58.038]  And if this isn't handled correctly, it is World War III, no doubt.
[00:13:58.038 --> 00:14:10.145]  If this isn't very carefully dealt with in a way that is hyper-focused on just stopping this from spiraling out into World War III, then that is what comes next, no doubt about it.
[00:14:10.145 --> 00:14:11.806]  Yeah, I think the craziest thing about this
[00:14:12.406 --> 00:14:16.809]  I'm a big fan of Sun Tzu's Art of War and 48 Laws of Power, things like that.
[00:14:16.809 --> 00:14:19.650]  You never attack a stronger enemy head on.
[00:14:19.650 --> 00:14:21.971]  That's just like a basic rule of war.
[00:14:21.971 --> 00:14:22.692]  Stupid to do that.
[00:14:22.692 --> 00:14:28.875]  You have to use guerrilla warfare or other methods in order to attack an enemy that's stronger than you.
[00:14:28.875 --> 00:14:32.898]  And the fact that they were so audacious with this attack is interesting to me because
[00:14:33.698 --> 00:14:46.810]  Obviously they were trying to solicit or provoke some sort of a response, and so I'm curious as to whether the intention is to get Israel to respond aggressively so as to set off this domino effect.
[00:14:46.810 --> 00:14:59.601]  Well definitely I think the Palestinians in Gaza and Hamas and really even the wider, they call themselves the Axis of Resistance, but from Hezbollah to Hamas, you know, a lot of these militia groups, most of them funded by Iran,
[00:15:00.382 --> 00:15:02.884]  They don't want to go back to the status quo.
[00:15:02.884 --> 00:15:05.405]  They want this to be an inflection point.
[00:15:05.405 --> 00:15:15.532]  They don't want this to be just another sort of situation where there's an attack, there's an exchange of hostages, and they go back to being in an open-air prison in Gaza.
[00:15:15.532 --> 00:15:16.152]  They don't want that.
[00:15:16.152 --> 00:15:21.276]  They want a change in situation, and that's what they're going for, and they're going to get it one way or another.
[00:15:22.296 --> 00:15:29.482]  And, I mean, Israel is really in a very, very tough spot right now because, again, they cannot afford not to go into Gaza.
[00:15:29.482 --> 00:15:35.046]  But if they do go into Gaza, then it's gloves off for all the enemies that surround them.
[00:15:35.046 --> 00:15:39.450]  So, again, where this goes is still totally up in the air.
[00:15:39.450 --> 00:15:41.812]  Of course, the Israeli president said the state of Israel will win.
[00:15:41.812 --> 00:15:45.555]  We have no other choice, saying basically they have to go into Gaza.
[00:15:45.555 --> 00:15:47.877]  Because what happens is if they don't go into Gaza,
[00:15:48.377 --> 00:15:51.180]  That means they're not really the top dogs in the Middle East anymore.
[00:15:51.180 --> 00:15:56.226]  Their action is being limited by an outside force, which is an entirely new situation for Israel.
[00:15:56.226 --> 00:15:57.627]  Extremely interesting.
[00:15:57.627 --> 00:15:58.909]  We'll get more into it on the other side.
[00:15:58.909 --> 00:15:59.249]  Stay with us.
[00:15:59.534 --> 00:16:03.577]  Why do you think the globalists are desperately trying to censor everybody?
[00:16:03.577 --> 00:16:07.139]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[00:16:07.139 --> 00:16:12.242]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[00:16:12.242 --> 00:16:14.684]  But we're not just exposing their operation.
[00:16:14.684 --> 00:16:23.290]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[00:16:23.290 --> 00:16:24.611]  This is the Great Awakening.
[00:16:25.131 --> 00:16:29.496]  The plan to defeat the globalists and launch the second great renaissance.
[00:16:29.496 --> 00:16:33.301]  It's a companion to my last book that was a number one worldwide bestseller.
[00:16:33.301 --> 00:16:36.164]  And this book is even thicker and even more powerful.
[00:16:36.164 --> 00:16:40.009]  Get your copy of The Great Awakening today at InfoWarstore.com.
[00:16:40.009 --> 00:16:42.870]  My fellow patriots, the Trifecta has not been in stock for years.
[00:16:42.870 --> 00:16:44.670]  Many of these products have been sold out
[00:17:07.571 --> 00:17:08.672]  We're good to go.
[00:17:25.422 --> 00:17:30.564]  All three of these products are back in stock right now for a limited time at 40% off.
[00:17:30.564 --> 00:17:37.246]  It would take me an hour to tell you about what's in DNA Force Plus, or Real Red Pill Plus, or Body's Ultimate Turmeric Formula.
[00:17:37.246 --> 00:17:44.969]  Go to InfoWarsStore.com, read about these products, find out why they're so game-changing, and get yours today.
[00:17:44.969 --> 00:17:51.411]  DNA Force Plus, Real Red Pill Plus, Body's Ultimate Turmeric Formula, all three back in stock
[00:17:52.091 --> 00:17:58.420]  It's the Trifecta Sale, 40% off for a limited time at infowarestore.com, and it keeps us on air.
[00:18:00.038 --> 00:18:08.221]  The most powerful Wimp Wars life formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[00:18:08.221 --> 00:18:18.606]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your buried DNA.
[00:18:18.606 --> 00:18:26.709]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, organic reishi mushroom, astrologous root,
[00:18:26.929 --> 00:18:27.730]  We're good to go!
[00:18:49.967 --> 00:18:50.227]  I'm good.
[00:18:59.321 --> 00:19:04.043]  Infowarsstore.com is like a grocery store, or like a vitamin shop.
[00:19:04.043 --> 00:19:06.043]  We want to have all the best brands for you.
[00:19:06.043 --> 00:19:08.064]  We want to have a bunch of different choices for you.
[00:19:08.064 --> 00:19:10.525]  So I get constant questions online and in person.
[00:19:10.525 --> 00:19:11.345]  Hey, what's better?
[00:19:11.345 --> 00:19:12.205]  Knockout?
[00:19:12.205 --> 00:19:13.526]  What's better?
[00:19:13.526 --> 00:19:14.286]  Down-and-out?
[00:19:14.286 --> 00:19:14.806]  What's better?
[00:19:14.806 --> 00:19:17.067]  Why do you sell two or three different sleep aids?
[00:19:17.067 --> 00:19:22.009]  And the answer is, different herbal formulas, different compounds are better for different people.
[00:19:22.688 --> 00:19:26.672]  So, one person might like this coffee, another person likes that coffee.
[00:19:26.672 --> 00:19:27.973]  That's how our bodies work.
[00:19:27.973 --> 00:19:29.315]  They're all very diverse.
[00:19:29.315 --> 00:19:39.484]  But we've been able to private label a national bestseller that's been sold for many years that people love and sold for a lower price under the name InfoWarsMD Good Night's Sleep.
[00:19:40.225 --> 00:19:45.850]  This is a great formula, full of amazing safe compounds, give you deeper, cleaner, restful sleep.
[00:19:45.850 --> 00:19:50.393]  And it's in stock, available right now, of 25% off out of the gates.
[00:19:50.393 --> 00:20:01.662]  So get your M4 Wars MD, good night's sleep today, at m4warsware.com.
[00:20:01.662 --> 00:20:07.547]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:18.539 --> 00:20:21.021]  Welcome back to the Alex Jones Show.
[00:20:21.021 --> 00:20:27.765]  I am Chase Geyser filling in with the great Harrison Smith or the great Alex Jones.
[00:20:27.765 --> 00:20:30.887]  So much going on today Harrison.
[00:20:30.887 --> 00:20:32.288]  What's been crazy to me about it is
[00:20:33.615 --> 00:20:48.145]  I've been going on for a year about how I hate that we're supporting Ukraine, and I tease it as because they're Nazis, and that is a primary reason that I'm against funding Ukraine, but the ultimate reason that I'm against it is just because I'm America first.
[00:20:48.145 --> 00:20:48.345]  Right.
[00:20:49.185 --> 00:21:01.978]  And this is the challenge that I see when, this is the problem that I have with the Republican Party because we've seen this brutal attack and it is an evil, brutal attack on Israel.
[00:21:01.978 --> 00:21:08.965]  And immediately I see Republican after Republican, conservative after conservative throwing up
[00:21:09.505 --> 00:21:14.328]  The Israeli flag in their bios, just like the leftists threw up the Ukraine flag.
[00:21:14.328 --> 00:21:25.696]  And I'm thinking, hey, even though I may personally like Israel a lot more than I like Nazi sentiments in Ukraine, I still am an American and believe in America first.
[00:21:25.696 --> 00:21:33.782]  So isn't the consistent position that we not throw billions upon billions of dollars at Israel like we have for Ukraine?
[00:21:34.693 --> 00:21:45.761]  Well isn't it amazing that we already have sent billion, I mean didn't we just, I mean immediately six billion dollars to Israel, so I mean clearly they have sort of these agreements already in place to facilitate sending money like that.
[00:21:45.761 --> 00:21:49.544]  But have we not been through this before with wars in the Middle East?
[00:21:49.544 --> 00:21:50.785]  They're a bad idea.
[00:21:50.785 --> 00:21:58.791]  I don't know how many times we have to learn the lesson, like it's a bad idea for America to get involved in any way, but certainly not with boots on the ground.
[00:21:58.791 --> 00:22:01.833]  And the fact is that, you know, remember after
[00:22:02.634 --> 00:22:16.830]  Trump killed Soleimani, the Iranians responded, they sent a missile, it didn't have a warhead on it, it didn't have explosives, but it landed a missile inside an American military base that gave traumatic brain injury to like 80 or 90 soldiers.
[00:22:18.652 --> 00:22:20.093]  And that was almost a symbol.
[00:22:20.093 --> 00:22:26.477]  It's like these bases in the Middle East are vulnerable to attack if the gloves come off with Iran.
[00:22:26.477 --> 00:22:31.840]  The crew just pulled up a statement saying the White House has called a lid already for today.
[00:22:31.840 --> 00:22:38.865]  So there will be no more statements from the White House today, I guess, which is a little bit a little bit bizarre.
[00:22:38.865 --> 00:22:40.566]  And clearly the Biden administration
[00:22:41.926 --> 00:22:46.049]  I mean, obviously, one of the main sentiments out today is like, if Trump was in charge, this wouldn't have happened.
[00:22:46.049 --> 00:22:48.630]  And there's no doubt in my mind that that's true.
[00:22:48.630 --> 00:22:51.092]  This is purely and I don't think it has.
[00:22:51.092 --> 00:22:56.575]  I personally don't think it has anything to do with the six billion dollars released last two weeks ago to Iran.
[00:22:56.575 --> 00:22:59.277]  I mean, that money is hasn't actually been doled out yet.
[00:23:00.237 --> 00:23:08.104]  I don't think that has much of an effect, especially when you look at the situation of the Gazans and the Hamas, how it's existed for a while.
[00:23:08.104 --> 00:23:15.630]  I don't think you need six billion dollars to get a bunch of young guys with rifles to storm, you know, through a wall.
[00:23:15.630 --> 00:23:22.876]  This wasn't a big money operation, this was a personnel operation, and the personnel already exists there in Gaza.
[00:23:23.817 --> 00:23:32.904]  So I don't know how much that has to do with it, but definitely Biden's, the Biden administration's overall weakness and ineptitude and just bungling everything.
[00:23:32.904 --> 00:23:43.453]  I mean, one of the headlines from InfoWars, I'm sure it's somewhere in this pile, is about the fact that there are weapons from Afghanistan in Gaza right now being used by Hamas.
[00:23:43.453 --> 00:23:44.634]  Yeah, here it is.
[00:23:44.634 --> 00:23:45.434]  Israel, U.S.
[00:23:45.434 --> 00:23:47.856]  arms left in Afghanistan reach Gaza.
[00:23:48.957 --> 00:23:56.439]  In more ways than one, the Biden administration's total failure of geopolitical gravitas has led us to this point.
[00:23:56.439 --> 00:23:57.819]  Yeah, absolutely.
[00:23:57.819 --> 00:24:04.440]  And one of the things that just baffles me is how this could have possibly been a surprise.
[00:24:04.440 --> 00:24:05.880]  I know that we may be discreet.
[00:24:05.880 --> 00:24:17.563]  I don't have a solid position on this, but it's hard for me to believe that our intelligence communities, both of which, including Mossad and CIA, United States intelligence agencies,
[00:24:18.692 --> 00:24:27.136]  Have known about so many major events prior to their happening and then allowed them to happen all the way back to Pearl Harbor, maybe even earlier.
[00:24:27.136 --> 00:24:30.637]  Obviously Vietnam and what happened with 9-11.
[00:24:30.637 --> 00:24:33.599]  I think they knew ahead of time and allowed it to happen.
[00:24:33.599 --> 00:24:38.881]  It's hard for me to believe that as sophisticated as these intelligence agencies supposedly are,
[00:24:40.228 --> 00:24:42.049]  They didn't know that this was coming.
[00:24:42.049 --> 00:24:56.297]  And to your point about the six billion dollars, I think based off of the coordination that we saw, based off of the fact that this was a 50 year anniversary of a prior major event, I think that this was being planned long before just the last six weeks.
[00:24:56.297 --> 00:24:59.659]  I think that they were planning to do something like this, there was training going on, there was
[00:25:00.219 --> 00:25:02.881]  Different doling out of who's going to fly in where.
[00:25:02.881 --> 00:25:05.402]  They knew the festival was going to be heavily populated.
[00:25:05.402 --> 00:25:09.785]  And they knew that the festival was going to be populated with multinational people.
[00:25:09.785 --> 00:25:12.968]  So they knew that it would trigger the world in a way if they would attack it.
[00:25:12.968 --> 00:25:18.111]  And there was going to be a lot of people in a consolidated area outside just totally exposed to gunfire.
[00:25:18.111 --> 00:25:19.772]  So I think that they planned this for a long time.
[00:25:19.772 --> 00:25:25.016]  And the longer that they've been planning it for, the more likely it is that Mossad or the CIA would have been aware of it.
[00:25:25.016 --> 00:25:27.858]  And I'm not surprised that Joe Biden's surprise
[00:25:28.678 --> 00:25:32.047]  About anything necessarily, but I do find it hard to believe that Masa didn't know this was coming.
[00:25:33.155 --> 00:25:40.580]  Well, you know, the latest information about that is that Iran was helping to coordinate this about two weeks ago.
[00:25:40.580 --> 00:25:42.121]  They met in Beirut.
[00:25:42.121 --> 00:25:52.349]  I mean, that's the latest report is that there's a meeting in Beirut with some of the leadership of the Iranian Republican Guard to give the green light, essentially, to this attack.
[00:25:52.349 --> 00:25:53.750]  And it's, I mean, it's not speculation.
[00:25:53.750 --> 00:25:54.670]  It's very clear.
[00:25:54.670 --> 00:25:55.451]  You've got Hezbollah.
[00:25:55.451 --> 00:25:56.352]  You've got Hamas.
[00:25:56.352 --> 00:26:00.394]  And actually, the part of Hamas that carried this out, Hamas is the overall
[00:26:01.295 --> 00:26:01.975]  I don't, you know,
[00:26:24.238 --> 00:26:24.678]  I don't know.
[00:26:24.678 --> 00:26:32.805]  I really don't know because it's either that Mossad is super capable and sort of allowed this to be carried out.
[00:26:32.805 --> 00:26:37.348]  Honestly, I sort of have expected something like this for a while because there's been so much strife in Israel.
[00:26:37.348 --> 00:26:39.510]  There's been so much division in Israel.
[00:26:39.510 --> 00:26:41.592]  There's so much political turmoil in Israel.
[00:26:41.592 --> 00:26:49.258]  I've sort of been waiting for like, okay, when's the big attack going to come so they can unify their people and cast to the side all of the internal conflicts.
[00:26:49.958 --> 00:26:58.227]  So there is a reason why they would want to let this be carried out, but the other side of it is maybe they did just underestimate their enemies here.
[00:26:58.227 --> 00:26:59.688]  I mean, they've said a former
[00:27:00.811 --> 00:27:04.153]  Massad leader said, you know, we this is unimaginable.
[00:27:04.153 --> 00:27:05.954]  We could not have imagined.
