[00:00:30.604 --> 00:00:35.508]  It's Sunday, June 18th, 2023.
[00:06:14.904 --> 00:06:15.864]  Wow!
[00:06:15.864 --> 00:06:23.945]  InfoWars, the most banned network in the world.
[00:06:23.945 --> 00:06:32.107]  It's Father's Day!
[00:06:32.107 --> 00:06:37.168]  From the front lines of the information war, it's Alex Jones.
[00:06:38.648 --> 00:06:41.689]  Boy, that's an important holiday.
[00:06:41.689 --> 00:06:48.210]  It's a modern holiday invented by Madison Avenue as a way to sell people gift cards for Hallmark, but I like it.
[00:06:48.210 --> 00:07:03.793]  It's a lot better than all the anti-human globalist holidays that are forced on us now, with these leftist bullies trying to invade every facet of our lives and make us join their dehumanized depopulation cult.
[00:07:05.507 --> 00:07:09.810]  Again, thank you so much for joining us on this live Sunday transmission.
[00:07:09.810 --> 00:07:11.090]  I'll be here for the next two hours.
[00:07:11.090 --> 00:07:14.192]  Then the great Owen Schroer is coming in for Sunday Night Live.
[00:07:14.192 --> 00:07:18.455]  It's always an amazing transmission as well.
[00:07:18.455 --> 00:07:21.597]  Okay, I've got to play this.
[00:07:21.597 --> 00:07:24.698]  It's getting so insane that I don't know what to even say at this point.
[00:07:24.698 --> 00:07:30.602]  But every time Biden talks, he sounds like he's a gibbering, lobotomized gerbil.
[00:07:31.730 --> 00:07:46.373]  And then Fetterman, who they have to keep months in the hospital every time before they roll him out for just a day or two, is up there basically in a bathrobe or in a jumpsuit and is even more brain damaged than Biden.
[00:07:47.330 --> 00:07:56.175]  And this is just emblematic of the establishment wanting to put completely brain-damaged puppets in who will follow any orders they're given.
[00:07:56.175 --> 00:07:58.016]  People think, oh, this is just a mistake.
[00:07:58.016 --> 00:08:01.758]  No, they had Herman Von Ruppe as the head of the EU for 10 years.
[00:08:01.758 --> 00:08:05.520]  Didn't know his name, could hardly walk, completely drunk by noon every day.
[00:08:05.520 --> 00:08:08.502]  I mean, he ran the EU for over 10 years.
[00:08:08.502 --> 00:08:10.623]  And the last few years, he couldn't even talk.
[00:08:10.623 --> 00:08:11.924]  They'd have to hold him up at events.
[00:08:13.618 --> 00:08:15.780]  They'd have world leaders next to him, holding him up at the podium.
[00:08:15.780 --> 00:08:18.462]  He'd be like, oh, women!
[00:08:18.462 --> 00:08:19.522]  I like women!
[00:08:19.522 --> 00:08:33.773]  So, the globalists have done this to put these puppets in, so they get all the blame, while the actual controllers are in the background, de-industrializing society, consolidating control, building a breakaway civilization we're talking a lot about here tonight.
[00:08:35.339 --> 00:08:42.545]  But here's a clip of Biden saying that a gun brace makes a gun a higher caliber and makes it shoot a bigger bullet.
[00:08:42.545 --> 00:08:49.911]  If you believe that, you believe the moon is made of cheese, and again, that the Easter Bunny is a real thing and so is the Tooth Fairy.
[00:08:49.911 --> 00:08:57.557]  And then we'll just segue right into Fetterman, two days ago, introducing Biden at the bridge collapse.
[00:08:57.557 --> 00:09:01.840]  Made it harder for people to buy stabilized braces.
[00:09:01.840 --> 00:09:04.142]  Put a pistol on a brace, it turns into a gun.
[00:09:05.080 --> 00:09:09.007]  Make some more, you can have a higher caliber weapon, a higher caliber bullet coming out of that gun.
[00:09:09.744 --> 00:09:15.068]  And now, I'm standing next to the president again, next to a collapsed bridge here.
[00:09:15.068 --> 00:09:26.598]  And he is here to commit to work with the governor and the delegation to make sure that we get this fixed quick, fast, as well, too.
[00:09:26.598 --> 00:09:38.447]  This is a president that is committed to infrastructure, and then on top of that, the jewel kind of a law of the infrastructure,
[00:09:40.237 --> 00:09:46.302]  Bill, that is going to make sure that there's going to be bridges all across like this, all across America getting rebuilt.
[00:09:46.302 --> 00:09:48.003]  By the way, the full speech is up there.
[00:09:48.003 --> 00:09:48.944]  It was like a 10-minute event.
[00:09:48.944 --> 00:09:51.246]  They're both gibbering morons the entire time.
[00:09:51.246 --> 00:09:59.752]  But who's not a gibbering moron is the mighty media analyst Mark Dice, who really broke down the incredible developments the last few days with the Dodgers.
[00:09:59.752 --> 00:10:00.553]  So here's that report.
[00:10:00.553 --> 00:10:01.614]  We'll go to break and be right back.
[00:10:02.119 --> 00:10:15.542]  Last night, thousands of protesters gathered outside of Dodger Stadium to protest the team re-inviting the nun-themed drag queen group, the Sisters of Perpetual Indulgence, after they were initially invited.
[00:10:15.542 --> 00:10:21.004]  Then there was some backlash, and then the invitation was rescinded, and then the L.A.
[00:10:21.004 --> 00:10:21.364]  Dodgers
[00:10:21.704 --> 00:10:34.170]  He apologized for the terrible homophobia, drag queen phobia, of not allowing a blasphemous group of Satanists to come and be celebrated and given an award.
[00:10:34.170 --> 00:10:44.415]  And so, to the Catholics and Christians' credit up there in Los Angeles, thousands of them descended upon the stadium to make their voices heard.
[00:10:44.415 --> 00:10:50.718]  It even stunned the local news, KTLA, who couldn't believe that Christians are finally getting some guts!
[00:10:51.078 --> 00:10:54.541]  We've seen this grow since 3 o'clock, but my goodness.
[00:10:54.541 --> 00:11:01.067]  Yeah, the protests are in response to one of tonight's honorees, the group known as the Sisters of Perpetual Indulgence.
[00:11:01.067 --> 00:11:05.731]  Rachel, we saw you an hour ago, and the crowd has grown exponentially.
[00:11:05.731 --> 00:11:11.977]  They say that the Sisters, they feel as though the Sisters are mocking Catholicism and its leaders.
[00:11:11.977 --> 00:11:14.519]  If you take a look here behind us, you can see some of the protests.
[00:11:14.519 --> 00:11:17.382]  They are in a parking lot right outside of the stadium.
[00:11:17.782 --> 00:11:18.202]  Look at that!
[00:11:34.867 --> 00:11:35.828]  Well, it's about time.
[00:11:35.828 --> 00:11:37.790]  In fact, it's long overdue.
[00:11:37.790 --> 00:11:54.705]  And in attempts to try to appease both the LGBT mafia and the Catholic community and the protesters, the Dodgers decided not to award the satanic drag queen nun group their award during the game, and instead did it hours earlier
[00:11:55.385 --> 00:12:00.728]  When, as you can see, there was basically nobody there.
[00:12:00.728 --> 00:12:03.210]  This video was shot by the great Savannah Hernandez.
[00:12:03.210 --> 00:12:08.272]  She's that feisty little Latina who works for Turning Point USA, who used to work for InfoWars.
[00:12:08.272 --> 00:12:15.877]  But a lot of people are getting the wrong impression, thinking that this was the actual game and that everybody boycotted it and nobody showed up, but that's not the case.
[00:12:16.457 --> 00:12:28.226]  But they did, like I said, give him the award hours earlier because if they would have done this during the actual game, these drag clowns would have been booed off the field.
[00:12:28.226 --> 00:12:39.454]  This is a shot she took during the actual game, so I don't know what the usual attendance is there in Dodger Stadium, but looks a little bit sparse to me.
[00:12:39.454 --> 00:12:41.716]  Of course, the LA Dodgers and, well,
[00:12:42.196 --> 00:12:55.547]  Literally nobody on planet Earth would invite a group of drag queens to come and perform dressed up as the Prophet Muhammad because that would be Islamophobic and they wouldn't want to offend the Muslims.
[00:12:55.547 --> 00:13:00.271]  And they also know that it would literally turn into a terrible tragedy.
[00:13:00.771 --> 00:13:14.017]  Just like the Draw Muhammad contest back in 2015 when some idiots in Texas had a Draw Muhammad contest and then two gunmen, Muslim gunmen, showed up and opened fire.
[00:13:14.017 --> 00:13:23.041]  And everybody knows that if any organization, let alone a major sports team, were to invite some drag queens who dressed up as Jewish rabbis,
[00:13:23.661 --> 00:13:34.446]  Then the ADL would have that shut down immediately, and whoever organized it would be fired, and the team would be literally begging for forgiveness.
[00:13:34.446 --> 00:13:40.149]  But most Christian churches in America, and Christians in general over the last decade, have become complete cowards.
[00:13:40.689 --> 00:13:54.213]  Afraid of being called homophobes for simply saying that people's sexual behaviors belong in the bedroom, not in a sports stadium, and definitely not in schools or classrooms.
[00:13:54.213 --> 00:13:59.015]  But the Christians who God would not spit out of his mouth for being lukewarm are finally having an effect!
[00:13:59.535 --> 00:14:15.568]  Major League Baseball actually told the players not to wear any LGBT rainbows on their jerseys during Pride nights because, well, they know now that there's going to be a massive backlash against those players.
[00:14:15.568 --> 00:14:18.831]  These kids at a Catholic school in Canada have finally had enough.
[00:14:19.810 --> 00:14:27.000]  But messages like this were quickly drowned out by the noise of a rowdy crowd.
[00:14:27.000 --> 00:14:31.966]  Students tearing through pride posters and dancing on pride flags.
[00:14:31.966 --> 00:14:35.571]  It's rude and they're throwing water everywhere, they're looking at us, they're judging us.
[00:14:35.571 --> 00:14:36.953]  It shouldn't be like that, you're out!
[00:14:37.733 --> 00:14:45.576]  Rambunctious teens then turned violent, throwing pride bracelets and other random objects on the road and at people.
[00:14:45.576 --> 00:14:50.758]  Some kid threw something at my head and then in response to that everyone started cheering.
[00:14:50.758 --> 00:14:53.219]  There was like a group of guys.
[00:14:54.939 --> 00:14:57.463]  They were more like harassing us than supporting us?
[00:15:10.080 --> 00:15:28.147]  Also on Thursday in Las Vegas, the US-Mexico men's soccer match was cancelled in the middle of the game because the Mexican fans kept chanting certain words that hurt the LGBTQ people's feelings at the American players.
[00:15:28.147 --> 00:15:32.788]  So obviously they're not fans of Pride Night either.
[00:15:32.788 --> 00:15:36.710]  Meanwhile, Joe Biden doesn't know what the heck is going on anywhere.
[00:15:37.290 --> 00:15:42.695]  This is how he wrapped up his speech on Friday talking about gun control.
[00:15:42.695 --> 00:15:45.758]  Alright, God save the Queen, man.
[00:15:45.758 --> 00:15:54.287]  He doesn't even know which way to go.
[00:15:54.287 --> 00:15:55.548]  Yes, this way, sir.
[00:15:55.548 --> 00:15:57.730]  I'm praying that God save Donald Trump.
[00:15:59.184 --> 00:16:03.888]  Infowarsstore.com is like a grocery store, or like a vitamin shop.
[00:16:03.888 --> 00:16:05.990]  We want to have all the best brands for you.
[00:16:05.990 --> 00:16:07.912]  We want to have a bunch of different choices for you.
[00:16:07.912 --> 00:16:10.374]  So I get constant questions online and in person.
[00:16:10.374 --> 00:16:11.195]  Hey, what's better?
[00:16:11.195 --> 00:16:12.056]  Knockout?
[00:16:12.056 --> 00:16:13.397]  What's better?
[00:16:13.397 --> 00:16:14.138]  Down-and-out?
[00:16:14.138 --> 00:16:14.658]  What's better?
[00:16:14.658 --> 00:16:16.940]  Why do you sell two or three different sleep aids?
[00:16:16.940 --> 00:16:21.865]  And the answer is, different herbal formulas, different compounds are better for different people.
[00:16:22.552 --> 00:16:26.516]  So, one person might like this coffee, another person likes that coffee.
[00:16:26.516 --> 00:16:27.858]  That's how our bodies work.
[00:16:27.858 --> 00:16:29.159]  They're all very diverse.
[00:16:29.159 --> 00:16:39.350]  But we've been able to private label a national bestseller, that's been sold for many years, that people love, and sold for a lower price, under the name, Infowars MD, Good Night's Sleep.
[00:16:40.071 --> 00:16:45.696]  This is a great formula, full of amazing safe compounds, give you deeper, cleaner, restful sleep.
[00:16:45.696 --> 00:16:50.239]  And it's in stock, available right now, of 25% off, out of the gates.
[00:16:50.239 --> 00:16:54.043]  So get your M4 Wars MD, good night's sleep today, at M4WarsWare.com.
[00:16:59.076 --> 00:17:04.780]  Hydrofluorosilicic acid is the third most deadly acid on earth.
[00:17:04.780 --> 00:17:07.462]  And they've got our children drinking that.
[00:17:07.462 --> 00:17:10.083]  This is a psychotic death cult.
[00:17:10.083 --> 00:17:10.824]  Period.
[00:17:10.824 --> 00:17:11.924]  Case closed.
[00:17:11.924 --> 00:17:13.285]  Out to get you and your family.
[00:17:13.285 --> 00:17:13.766]  We sell.
[00:17:14.286 --> 00:17:21.573]  The Alexa Pure Breeze, made by the My Patriot Supply Ready Hour Group, that's been around about 15 years, became the biggest company in the last six.
[00:17:21.573 --> 00:17:29.140]  They went out, hired engineers, reverse engineered the fancy best water filter system out there that sells for twice the price, and they made it as good
[00:17:29.941 --> 00:17:34.323]  In all the studies, it reduces things to non-detectable levels, thousands of chemicals.
[00:17:34.323 --> 00:17:35.864]  But you can go pay two or three times.
[00:17:35.864 --> 00:17:38.666]  There's four or five other filters out there that are just as good.
[00:17:38.666 --> 00:17:43.888]  We sell the very best, highest-grade water filtration system for half the price of a leading competitor.
[00:17:43.888 --> 00:17:49.351]  And the media says we're bad and a cult for telling you you should filter your water.
[00:17:49.351 --> 00:17:51.012]  You should also filter your shower water.
[00:17:51.012 --> 00:17:52.593]  That's another way you absorb this crap.
[00:17:52.593 --> 00:17:54.134]  But I'm done talking about that.
[00:17:54.134 --> 00:17:56.695]  The point is, you can get the filters at mfoolworkstore.com.
[00:17:56.695 --> 00:17:57.915]  They're discounted right now.
[00:17:57.915 --> 00:17:58.636]  Finally back in stock.
[00:18:00.171 --> 00:18:03.312]  I talk a lot about the great successes InfoWars has had.
[00:18:03.312 --> 00:18:05.613]  I don't think anybody can deny it.
[00:18:05.613 --> 00:18:09.535]  And it is because of listeners and viewers supporting us.
[00:18:09.535 --> 00:18:18.478]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[00:18:18.478 --> 00:18:26.261]  And when you look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[00:18:27.279 --> 00:18:30.900]  So for myself, the whole InfoWars crew, I thank you for your past support.
[00:18:30.900 --> 00:18:36.723]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:18:36.723 --> 00:18:39.744]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[00:18:39.744 --> 00:18:46.806]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life.
[00:18:46.806 --> 00:18:47.987]  All at the same time, keep us on air.
[00:18:48.707 --> 00:18:52.988]  I know that less than 1% of our listeners actually go buy products at m4store.com.
[00:18:52.988 --> 00:18:57.930]  If just 1% more of you took action and went to m4store.com, our funding problems will be over.
[00:18:57.930 --> 00:18:59.290]  Please take action now.
[00:18:59.290 --> 00:19:05.452]  Iodine is naturally acquired through the soil, which is at the foundation of our entire food supply.
[00:19:06.212 --> 00:19:15.201]  Modern farming techniques have stripped the soil of this essential trace element, which has caused an iodine deficiency in about half the population.
[00:19:15.201 --> 00:19:18.044]  And there are two things we need to do about it.
[00:19:18.044 --> 00:19:21.368]  We need to practice more regenerative farming.
[00:19:21.368 --> 00:19:29.336]  There are plenty of proven technologies in permaculture and biodynamics that will naturally keep the soil rich with iodine.
[00:19:29.856 --> 00:19:34.680]  And we need to ensure that we get the sufficient amount of iodine every day.
[00:19:34.680 --> 00:19:46.208]  Derived from ancient sea salts found thousands of feet below the Earth's surface, our InfoWars Life Survival Shield X3 is hands down the best.
[00:19:46.208 --> 00:19:52.272]  Pure nascent iodine, stabilized in an activated triiodine form.
[00:19:52.272 --> 00:19:58.437]  For a healthy thyroid and a healthy metabolism, get yours now at InfoWarsStore.com.
[00:20:01.457 --> 00:20:06.058]  Leading a frontal assault on the lies of the New World Order.
[00:20:06.058 --> 00:20:13.220]  It's Alex Jones.
[00:20:13.220 --> 00:20:18.341]  And we are back on this Father's Day Sunday live transmission.
[00:20:18.341 --> 00:20:19.741]  Mark Dice is a hard guy to get on.
[00:20:19.741 --> 00:20:23.242]  He just says, look, love the show, Alex, but why don't you just air my report sometimes?
[00:20:23.242 --> 00:20:24.903]  And I'm like, well, absolutely.
[00:20:24.903 --> 00:20:28.383]  I mean, he's the best when it comes to breaking down what's happening.
[00:20:28.383 --> 00:20:30.864]  So to bookend it with what he just covered,
[00:20:31.693 --> 00:20:34.055]  with the situation with the Dodgers.
[00:20:34.055 --> 00:20:38.497]  Here's just a snapshot of the revolt in schools in Canada and the U.S.
[00:20:38.497 --> 00:20:41.599]  against the sexualization and brainwashing of the children.
[00:20:41.599 --> 00:20:49.824]  Then we'll come back after this segment and get into so much more, dealing with the poison shots on our children, RFK, Joe Rogan, and a lot more.
[00:20:49.824 --> 00:20:50.545]  But here's Mark Dice.
[00:20:50.973 --> 00:21:09.219]  It turns out that we're not the only ones sick and tired of the systemic anti-whiteism in America, and a certain group of people always sticking their private business in everyone's face every chance they get during the month of June, their fetish pride month, because kids now across the country are starting to revolt in high schools and middle schools.
[00:21:09.219 --> 00:21:13.440]  Which also means the liberal media is extremely upset about this mass awakening.
[00:21:13.440 --> 00:21:15.621]  Here's MSNBC yesterday.
[00:21:15.621 --> 00:21:16.821]  This is Jamal.
[00:21:16.821 --> 00:21:18.782]  Jamal is a boy who lives in a poor neighborhood.
[00:21:19.142 --> 00:21:22.130]  He has a friend named Kevin, who lives in a wealthy neighborhood.
[00:21:22.130 --> 00:21:26.360]  All of Jamal's neighbors are African American, and all of Kevin's neighbors are white.
[00:21:27.600 --> 00:21:38.846]  That video about systemic racism was part of an assignment that a high school teacher in South Carolina named Mary Wood that she gave to her AP Language class back in February.
[00:21:38.846 --> 00:21:52.113]  The video was supposed to prepare students for a writing assignment based on Ta-Nehisi Coates' book Between the World and Me, an award-winning, best-selling memoir that details America's complicated racial past and its present.
[00:21:52.113 --> 00:21:54.615]  But Mary Wood's students never got to finish reading that book.
[00:21:55.743 --> 00:22:04.169]  Her school's administration stepped in and ordered her to stop teaching it in class after complaints from two students about the video you just saw.
[00:22:04.169 --> 00:22:12.294]  Actually, lady, you only played a 15-second clip of a four-minute video, which, as usual, blames white people for all of black people's problems.
[00:22:12.294 --> 00:22:18.878]  And it sounds like the kids are tired of the systemic anti-white-ism, and so they finally stood up and said something about it.
[00:22:18.878 --> 00:22:20.179]  But please, cry more.
[00:22:20.427 --> 00:22:35.836]  Last year, South Carolina state lawmakers passed a rule in the state budget that makes it illegal to use state money to teach any ideas related to race, including that an individual, by virtue of his race or sex, is inherently racist, sexist, or oppressive.
[00:22:36.676 --> 00:22:45.200]  And ideas that cause an individual to feel discomfort, guilt, anguish, or any other form of psychological distress on account of his race.
[00:22:45.200 --> 00:22:55.525]  In other words, they banned critical race theory, which is really a deceptive term that most conservatives still use when they really are talking about and should be using the term anti-whiteism.
[00:22:55.825 --> 00:23:11.908]  But to help everybody transition to the proper terminology, I would define critical race theory as a scholarly-sounding cultural Marxist term used to disguise anti-whiteism, which promotes the conspiracy theory that white supremacy is woven into the fabric of America.
[00:23:12.108 --> 00:23:18.492]  Oh, there's plenty more to come in this video, so stay tuned, but real quick, subscribe to my channel if you're new here, because you're not going to get information and analysis like this anywhere else.
[00:23:36.661 --> 00:23:44.808]  If that language sounds familiar, it is because it's almost an exact replica of language in Florida Governor Ron DeSantis' Stop WOKE Act.
[00:23:44.808 --> 00:23:45.448]  Good.
[00:23:45.448 --> 00:23:52.914]  And thanks to the emails those two students sent to a member of their school board, we know just how uncomfortable these students were.
[00:23:52.914 --> 00:23:58.299]  One email reads in part, hearing the teacher's opinion and watching these videos made me feel uncomfortable.
[00:23:58.299 --> 00:24:00.501]  I actually felt ashamed to be Caucasian.
[00:24:01.141 --> 00:24:06.782]  I understand an AP language where we are learning to develop an argument and have evidence to support it.
[00:24:06.782 --> 00:24:09.503]  Yet this topic is too heavy to discuss.
[00:24:09.503 --> 00:24:18.205]  Well, kid, I'm glad you sent that email to the school board member, and it's great that it resulted in the assignment getting pulled, but next time you have to come from a place of strength.
[00:24:18.205 --> 00:24:19.966]  It's not that it's too heavy to discuss.
[00:24:20.666 --> 00:24:25.709]  Use linguistic judo and use their terminology against them and say, this is anti-whiteism.
[00:24:25.709 --> 00:24:31.794]  This is prejudice against white people or hostility toward, hatred of, stemming from envy or bigotry.
[00:24:31.794 --> 00:24:33.014]  And it needs to stop.
[00:24:33.014 --> 00:24:39.879]  The students sent their complaints not to the teacher, but to a sympathetic school board member who was instrumental in escalating the matter.
[00:24:39.879 --> 00:24:48.184]  That board member, Elizabeth Bernhardt, ran for and won her seat with an endorsement from the Lexington County chapter of Moms for Liberty.
[00:24:49.165 --> 00:24:58.027]  And Moms for Liberty is a fantastic organization which has been deemed a hate group by the Southern Poverty Law Center.
[00:24:58.027 --> 00:24:59.307]  So you know they're cool.
[00:24:59.307 --> 00:25:09.569]  Also this week at a high school in Huntington Beach, California, a math teacher tried to force the students to watch this LGBTQ fetish propaganda video.
[00:25:09.569 --> 00:25:15.550]  And so the kids started booing and asking the teacher why they're trying to groom the kids.
[00:25:17.150 --> 00:25:24.955]  Threatening them with a Saturday detention if they didn't participate in her sexual fantasies.
[00:25:36.701 --> 00:25:44.624]  And at a middle school, I think in Boston, kids did the right thing and the school was freaking out so bad that it made the local news.
[00:25:44.624 --> 00:25:49.606]  Parents angry at town hall over intolerance at Marshall Simons Middle School.
[00:25:49.606 --> 00:25:53.608]  Kids were asked to wear rainbow clothes in honor of Pride Spirit Day.
[00:25:53.608 --> 00:25:58.190]  But some organized a counter protest wearing red, white, and blue or black.
[00:25:58.570 --> 00:25:59.811]  It was an unruly disruption, in fact.
[00:26:13.547 --> 00:26:28.401]  These kids remind me of me when I was in middle school in the late 80s and early 90s if a teacher put up a fetish flag in the classroom we'd have torn it down immediately when they're out in the hall in between classes and nobody would have narked and if they put one up again it would have gotten torn down again.
[00:26:29.382 --> 00:26:31.663]  And we would have poured glue in their desk drawers.
[00:26:31.663 --> 00:26:36.385]  We would have filled their desk full of notes with things they're not allowed to say on social media.
[00:26:36.385 --> 00:26:39.466]  We wouldn't have even needed the parents to get involved.
[00:26:39.466 --> 00:26:42.607]  We would have drove them out of town ourselves.
[00:26:42.607 --> 00:26:44.068]  So bravo kids!
[00:26:44.068 --> 00:26:48.450]  And this is exactly why we need to take over the school boards across the country.
[00:26:48.450 --> 00:26:54.072]  Because this is a school board in Oregon and this is what they did two years ago.
[00:26:54.272 --> 00:27:05.525]  The BLM and LGBTQ ideology and curricula are shattering the innocence of children, promoting racial, defined, and negatively impacting the lives of our kids forever.
[00:27:06.081 --> 00:27:10.525]  School Board Director and Vice Chair Brian Shannon shares that sentiment.
[00:27:10.525 --> 00:27:24.218]  In fact, he went so far as to ask his fellow board members to not only ban Black Lives Matter and Pride flags and signs from district buildings, but also ban teachers from wearing BLM and Pride clothing while at work.
[00:27:24.218 --> 00:27:31.185]  The main goal of this is to get political symbols and divisive symbols out of our schools
[00:27:31.621 --> 00:27:39.064]  So we can focus on the already difficult task of educating our students in the core subjects.
[00:27:39.064 --> 00:27:42.766]  In the end, the board voted 4-3 in favor of a ban.
[00:27:42.766 --> 00:27:46.887]  See what can happen when normal people take over the school board, and it almost didn't happen.
[00:27:46.887 --> 00:27:50.349]  That was a close vote, so be sure to get on one.
[00:27:50.349 --> 00:27:53.250]  And while most Christians in America are cowards,
[00:27:53.430 --> 00:27:54.811]  You aren't even really Christians.
[00:27:54.811 --> 00:27:56.553]  They're just cultural Christians.
[00:27:56.553 --> 00:28:02.858]  They've never even read the Bible or the Gospels, the first four books of the New Testament, Matthew, Mark, Luke, and John.
