[00:00:00.169 --> 00:00:01.209]  They want ugliness.
[00:07:24.989 --> 00:07:32.834]  This isn't just book burning, this is defiling people and great artists and stealing their identities.
[00:07:32.894 --> 00:07:44.278]   And you know, I knew censorship was bad, but when I became the most censored person in the world by the establishment, and patient zero for it, I learned that the worst part is
[00:07:44.278 --> 00:07:49.468]   they can misrepresent what you've said and done and you can't challenge it in those forums in any
[00:07:49.468 --> 00:07:55.439]   way and they literally create a new identity for you or a straw man. Now I've been
[00:07:55.439 --> 00:08:00.100]   prominent enough that enough people have realized that I was a symbol of their attempt at tyranny so
[00:08:00.100 --> 00:08:01.798]  I've been defended by a lot of folks.
[00:08:01.962 --> 00:08:08.126]  But for the tens of millions of others that have now been silenced and censored, they don't get to do that because they aren't as prominent.
[00:08:08.226 --> 00:08:13.409]  So, remember, what's done to Alex Jones today is done to Donald Trump tomorrow and done to you next.
[00:08:14.940 --> 00:08:20.665]  First they came for the, and I did nothing because I wasn't a, then they came for this group and I wasn't one of them, I didn't stand up.
[00:08:21.285 --> 00:08:26.090]  By the time they got to me, well, there was nobody left to stand up.
[00:08:27.725 --> 00:08:33.049]  We have Jim Hoff, the head of Gateway Pundit, who's done, for any print publication, the best job.
[00:08:33.529 --> 00:08:45.718]  Exposed the inside job that was January 6th in his research and his team's research and their tireless dedication to this, which I appreciate because they've helped keep my ass out of the gulag and many others.
[00:08:45.738 --> 00:08:47.820]  And they're fighting for those that are in the gulags.
[00:08:48.280 --> 00:08:50.522]  Has been used as the blueprint of research for so many.
[00:08:51.242 --> 00:08:57.728]   And now Tucker Carlson, who's For a national talk show host and the best job of exposing January 6th as an inside job.
[00:08:58.448 --> 00:09:00.370]  I knew he was doing a big in-depth investigation.
[00:09:01.171 --> 00:09:05.915]  Some of his crew, his producer, one of his main producers was here last week.
[00:09:05.955 --> 00:09:06.615]  I'll just leave it at that.
[00:09:06.635 --> 00:09:07.896]  He's with us at the office.
[00:09:08.637 --> 00:09:11.599]  But now it can be discussed because it's in the news.
[00:09:12.160 --> 00:09:13.641]  Exclusive from Axios.
[00:09:14.102 --> 00:09:18.946]  McCarthy gives Tucker Carlson access to Trobe of January 6th riot footage.
[00:09:20.632 --> 00:09:31.276]  And Tucker Carlson's people are inside the Capitol, 24 hours a day, pouring over the 40 plus thousand hours of footage, a true Herculean Aegean Stable effort.
[00:09:31.836 --> 00:09:37.618]  And I'm told in the coming weeks and months, you're going to see bombshell after bombshell after bombshell.
[00:09:38.738 --> 00:09:58.095]   I can also tell you from sources inside the Proud Boys trial that's ongoing, they've now entered the fifth week of that, that They're covering up the feds that actually ran the attack and led the attack and that the federal informants admit that the Proud Boys and as well as the Oath Keepers were not planning to attack.
[00:09:58.395 --> 00:10:02.899]  The judge is openly keeping those informants from being able to testify to the truth.
[00:10:04.198 --> 00:10:09.763]  And no one is reporting on it other than Infowars and Gateway Pundit, and soon Tucker Carlson will blow the thing wide open.
[00:10:10.204 --> 00:10:17.451]  CIA operatives with sex operatives infiltrating Proud Boys, planning capital attack documents on them.
[00:10:17.991 --> 00:10:18.992]  This has all been confirmed.
[00:10:21.855 --> 00:10:22.556]  So, CIA.
[00:10:24.440 --> 00:10:26.401]  And years ago I'd tell you that and you'd say, oh yeah, right.
[00:10:26.461 --> 00:10:28.423]  Now it's like, well yeah, they run the censorship there.
[00:10:28.723 --> 00:10:29.924]  They're everywhere, yeah.
[00:10:29.964 --> 00:10:31.225]  CIA's not something special.
[00:10:31.265 --> 00:10:34.427]  It's like saying, well I drove down the highway and saw a Walmart.
[00:10:35.367 --> 00:10:38.429]  Or I drove down the highway and I saw a buzzard flying around.
[00:10:38.489 --> 00:10:41.191]  Or I drove down the highway and I saw an 18-wheeler.
[00:10:42.072 --> 00:10:44.673]  I drove down the highway and I saw a Burger King.
[00:10:45.974 --> 00:10:47.736]  The CIA is a giant.
[00:10:48.661 --> 00:10:51.144]  Organization, one of 16 intelligence agencies.
[00:10:51.764 --> 00:10:53.106]  It's the biggest and most corrupt.
[00:10:53.847 --> 00:10:59.533]  And all it is is a giant interface for woke terrorists to attack this country and everything decent and good.
[00:11:00.334 --> 00:11:02.276]  But they ran the whole attack.
[00:11:03.437 --> 00:11:06.921]  No doubt we're working with elements of the Secret Service to try to set up Trump and myself.
[00:11:07.461 --> 00:11:10.164]  The Secret Service tried to get me to the head of the line and to lead the march.
[00:11:11.092 --> 00:11:17.353]  Thank God I was confused and just my instinct told me wait 20-30 minutes and try to find out what was going on.
[00:11:18.033 --> 00:11:22.134]  Because how was I supposed to lead hundreds of thousands of people with no police escort?
[00:11:22.734 --> 00:11:24.155]  I was like, this just feels bad.
[00:11:24.595 --> 00:11:25.315]  Let's wait here.
[00:11:25.395 --> 00:11:26.815]  Let's see what Trump's going to do.
[00:11:27.535 --> 00:11:33.316]  And thank God I wasn't there when they first breached or I'd be in a gulag right now, like 800 other people.
[00:11:33.376 --> 00:11:35.157]  But this is just incredible.
[00:11:35.277 --> 00:11:36.197]  That is coming up.
[00:11:36.937 --> 00:11:41.099]  I haven't talked a lot about it the last few months because it's been wading under the surface, but now it's coming to a head.
[00:11:41.119 --> 00:11:43.881]  You're going to get all the exclusive information, as I can tell you.
[00:11:43.901 --> 00:11:51.805]  What you're going to get from Tucker with video evidence from the Capitol is what Jim Hoff, who is the MVP with his crew, of exposing this.
[00:11:51.925 --> 00:11:58.869]  So that's coming up bottom of the next hour, in about an hour and 20 minutes from now.
[00:12:00.842 --> 00:12:17.446]  I also intend to open the phones up on January 6th if you were there and it is what you think of this incredible information and also Biden going to Ukraine, the new defense minister in Ukraine calling for an invasion of Russia and the occupying of Red Square with Ukrainian tanks.
[00:12:17.486 --> 00:12:18.147]  That's a quote.
[00:12:19.507 --> 00:12:25.308]  So this is escalating extremely quickly and so much more here today.
[00:12:25.549 --> 00:12:35.914]   The UN official treaty is now Out to set up a UN-run program over all major healthcare systems in the world and over your body.
[00:12:36.334 --> 00:12:37.975]  A bunch of key smart city news.
[00:12:39.336 --> 00:12:44.459]  The British government and British intelligence involved in trying to ban classical literature.
[00:12:45.180 --> 00:12:48.502]  They are really jumping the shark here, ladies and gentlemen, but it's actually happening.
[00:12:49.022 --> 00:12:57.367]  Moving to ban and restrict and rewrite William Shakespeare, Charlie and the Chocolate Factory novels, and so much more.
[00:13:00.111 --> 00:13:06.032]  There's also some amazing footage that I saw yesterday, and I've seen even more incredible footage now.
[00:13:06.072 --> 00:13:07.112]  It's an actual news story.
[00:13:08.473 --> 00:13:10.733]  Very close to where my parents live.
[00:13:12.114 --> 00:13:16.454]  I know this because my 18-year-old daughter really loves my parents, so she lives with them.
[00:13:17.375 --> 00:13:19.835]  They've got a bigger house than I do, so she lives with them.
[00:13:20.495 --> 00:13:22.596]  And she saw it happening.
[00:13:22.636 --> 00:13:23.476]  She called me this morning.
[00:13:24.056 --> 00:13:32.249]   They blocked off probably two miles of South Lamar, one of the main thoroughfares in Austin that runs through the middle of the city.
[00:13:32.269 --> 00:13:40.013]  And they had drag racing and cars crashing and police being injured and police being chased off.
[00:13:40.073 --> 00:13:42.034]  Total lawlessness in the streets of Austin.
[00:13:43.115 --> 00:13:46.617]  Texas, less than a mile from where my parents live.
[00:13:46.637 --> 00:13:49.659]  You have fires in the streets, robberies, assaults.
[00:13:50.936 --> 00:13:55.818]  Just fireworks, powerful mortars being shot at police.
[00:13:56.858 --> 00:13:59.239]  And a city councilwoman saw this happening.
[00:14:00.400 --> 00:14:02.921]  People being caught on fire, just total bedlam.
[00:14:04.462 --> 00:14:06.402]  Again, police cars being attacked, overturned.
[00:14:06.443 --> 00:14:07.403]  It just went on and on.
[00:14:08.643 --> 00:14:16.907]  And it took the city councilwoman more than 30 minutes, 35 minutes to get 911 to answer.
[00:14:16.927 --> 00:14:19.228]  And they said, we can't help you.
[00:14:20.632 --> 00:14:27.335]  So when I talk about what Austin, Texas is like now, it's like Philadelphia, it's like Chicago in many areas.
[00:14:28.576 --> 00:14:39.781]  And if you shoot somebody trying to carjack you, the district attorney, who is an admitted communist put in by George Soros, will indict you, no matter how innocent you are.
[00:14:40.681 --> 00:14:46.204]  And the same is for the judge that found me guilty in the Sandy Hook kangaroo garbage, and then told a jury that I was guilty.
[00:14:47.697 --> 00:14:51.260]  She literally is an anti-George Soros funded creature.
[00:14:51.821 --> 00:14:53.783]  So this is what it's like to live with these folks.
[00:14:53.803 --> 00:14:55.664]  People say, well, why don't you leave Austin?
[00:14:55.804 --> 00:14:56.785]  All our infrastructure is here.
[00:14:57.486 --> 00:14:59.328]  I don't have the money to set up an infrastructure like this.
[00:14:59.348 --> 00:15:00.128]  My crew lives here.
[00:15:00.889 --> 00:15:05.974]  But yes, we live in a city unrecognizable.
[00:15:07.879 --> 00:15:13.080]   for what it was. And when I say they closed off miles of streets, reportedly by the time this
[00:15:13.080 --> 00:15:17.399]   ended after several hours, it was backed up four or five miles in each direction.
[00:15:17.399 --> 00:15:26.918]   So imagine just running into something like this on a Friday night when you're trying to get home.
[00:15:27.130 --> 00:15:32.535]  That's exactly what happened to my 18-year-old daughter while this idiocy was going on.
[00:15:32.595 --> 00:15:36.358]  I mean, I'll say this is tame compared to the muggings and the shootings and the stabbings.
[00:15:36.378 --> 00:15:37.199]  Remember last year?
[00:15:38.040 --> 00:15:49.129]  Two black teens, they were like 17 and 18, just shot up a whole crowd of people in downtown Austin on South Lamar, where South Lamar crosses over by 6th Street.
[00:15:50.111 --> 00:15:51.832]  And they were out the next day.
[00:15:51.892 --> 00:15:55.613]  The district attorney released them because they were black.
[00:15:56.734 --> 00:15:58.294]  All right, we'll be right back.
[00:15:58.435 --> 00:15:59.595]  So much huge news.
[00:15:59.615 --> 00:16:06.538]  We'll go to Ukraine and the unbelievable spiraling out of control there and so much more straight ahead on this live Monday broadcast.
[00:16:06.578 --> 00:16:06.998]  Stay with us.
[00:16:08.039 --> 00:16:09.139]  It's Monday, February 20th, 2023.
[00:16:09.259 --> 00:16:10.660]  I'm your host Alex Jones.
[00:16:11.600 --> 00:16:15.662]  I'm going to open the phones up and intersperse news right through to the bottom of the next hour.
[00:16:15.702 --> 00:16:17.943]  I'm going to give the toll free number out here in just a few minutes.
[00:16:19.136 --> 00:16:30.063]  On the specific issue of World War 3 and what you think of Biden's trip over there while ignoring, well not, he's not ignoring, he's helping quarterback as the figurehead of the destruction of our Republic.
[00:16:30.103 --> 00:16:30.943]  Here's the headlines.
[00:16:31.343 --> 00:16:38.468]  World War 3 watch, Ukraine's defense minister calls for invasion of Russia, while British intelligence declares classical literature terrorism.
[00:16:40.569 --> 00:16:42.370]  These are not satire headlines, these are real.
[00:16:42.870 --> 00:16:46.753]  Biden turns up in Ukraine as disaster in Ohio rages.
[00:16:48.103 --> 00:16:52.966]  Kiev's security chief vows to expel Russian troops from Ukraine's soil and dubs Putin's Hitler's twin.
[00:16:55.148 --> 00:17:01.171]  Escalation in Kiev's security chief vows to invade Russia as Biden visits Ukraine, says they will capture Moscow.
[00:17:03.093 --> 00:17:06.195]  Hungary's Orbán says Europe may end up sending troops to Ukraine.
[00:17:06.215 --> 00:17:06.995]  It's already happening.
[00:17:08.856 --> 00:17:09.577]  America last.
[00:17:09.617 --> 00:17:10.558]  Biden is in Ukraine.
[00:17:10.578 --> 00:17:11.618]  Trump is heading to Ohio.
[00:17:12.119 --> 00:17:14.120]  Strong reaction to secret Kiev trip.
[00:17:16.653 --> 00:17:21.457]  Biden Secretary of State Blinken announced $1.85 million in aid to Turkey following earthquake.
[00:17:21.937 --> 00:17:23.739]  Administration ignores East Palestine.
[00:17:25.040 --> 00:17:29.844]  Zelensky warns new evil axis of China and Russia could spark World War III as Xi backs bloodthirsty Putin.
[00:17:33.007 --> 00:17:37.731]  Blinken warns China against providing aid to Russia, says balloon surveillance must never occur again.
[00:17:37.751 --> 00:17:43.656]  Ukraine refugee girl finds San Francisco schools so violent she wants to go back.
[00:17:45.714 --> 00:17:48.557]  Large white balloon spotted northeast over Hawaii.
[00:17:48.597 --> 00:17:49.778]  Air traffic control confirms.
[00:17:50.178 --> 00:17:51.059]  Here's shots of it.
[00:17:51.099 --> 00:17:57.404]  It's the exact same type as the last one shot down on the coast of South Carolina.
[00:18:00.327 --> 00:18:01.328]  So it goes on and on.
[00:18:02.249 --> 00:18:02.849]  That's odd.
[00:18:02.949 --> 00:18:05.892]  Air raid sirens sound off as Joe Biden and Zelensky walk through Kiev.
[00:18:09.639 --> 00:18:11.481]  That's just some of the news on that front.
[00:18:11.380 --> 00:18:16.500]   Gabbard and Jimmy Dore, Roger Waters for peace, the big peace rally. Russia files
[00:18:16.500 --> 00:18:22.380]   for UN Nord Stream inquiry. EU will neither confirm nor deny speculations.
[00:18:22.380 --> 00:18:32.259]   That's just some of the news on that front. I want to open the phones up and
[00:18:32.259 --> 00:18:39.020]   get your take on that situation and then this because it's now ripe. It's now all
[00:18:39.660 --> 00:18:52.928]  They concluded their fake January 6th investigation where they sealed the file for at least 25 years a few months ago and are attempting to seal the 40 plus thousand hours.
[00:18:53.508 --> 00:18:57.271]  But now that McCarthy and the Republicans are in, McCarthy has reportedly made good on his promise.
[00:18:58.635 --> 00:19:00.056]  At least partially, to release the footage.
[00:19:00.096 --> 00:19:06.262]  He's doing what Elon Musk did, where he's giving it in tranches, or in segments, to Matt Taibbi.
[00:19:06.302 --> 00:19:07.883]  That's what Elon Musk is doing.
[00:19:09.065 --> 00:19:11.307]  And deciding who he exposes and when.
[00:19:11.327 --> 00:19:15.330]  Still hasn't released the Fauci files, as he promised months ago.
[00:19:16.191 --> 00:19:18.893]  But in the case of McCarthy, he's gone further.
[00:19:18.914 --> 00:19:20.195]  Not all the way, but I like it.
[00:19:22.293 --> 00:19:27.535]  Access the 40 plus thousand hours of footage to Tucker Carlson's producers.
[00:19:27.575 --> 00:19:29.835]  He's got a big team, but not big enough.
[00:19:29.875 --> 00:19:30.736]  I mean, a hundred people.
[00:19:31.776 --> 00:19:33.717]  Couldn't go through that properly, but I'm glad Tucker's on it.
[00:19:34.437 --> 00:19:44.540]  The thing to do is like WikiLeaks does, where they post the tens of thousands of documents online, then the public can crawl through them and find all the nuggets very, very quickly, like with Hunter Biden's laptop.
[00:19:46.345 --> 00:19:49.706]  McCarthy gives Tucker Carlson access to trove of January 6th riot tape.
[00:19:50.326 --> 00:20:00.688]  House Speaker Kevin McCarthy has given Fox News Tucker Carlson exclusive access to 41,000, I thought it was 42,000, hours of Capitol surveillance footage from the January 6th riot.
[00:20:01.108 --> 00:20:02.268]  McCarthy sources tell me.
[00:20:02.728 --> 00:20:10.349]  Carlson TV producers were on Capitol Hill last night to begin digging through the trove, which includes multiple camera angles from all the Capitol grounds.
[00:20:11.010 --> 00:20:13.110]  Excerpts will begin airing in the coming weeks.
[00:20:14.926 --> 00:20:24.851]  Why it matters is it's an inside job, and that ties into this big report with Jim Hoft from the Gateway Pundit at the bottom of the next hour.
[00:20:24.871 --> 00:20:31.054]  15 facts on the dozens of federal operatives who infiltrated the Trump crowds on January 6th at the US Capitol.
[00:20:31.094 --> 00:20:33.435]  This is a big deal.
[00:20:35.316 --> 00:20:39.517]  And that is coming up at the bottom of the next hour.
[00:20:39.538 --> 00:20:42.339]  But I want to give the toll-free number out.
[00:20:43.835 --> 00:20:53.357]  On Biden's visit, on January 6th, and on this subject that I'm going to cover next, and then to your calls.
[00:20:54.777 --> 00:20:59.518]  Now, we become accustomed, even myself, and I know a lot of you as well, to living in this tyranny.
[00:20:59.558 --> 00:21:00.238]  It's how we cope.
[00:21:00.278 --> 00:21:10.500]  We fight it, we resist it, we speak out against it, we try to build a better world to compete with it, and that's the big answer, is to build our own good, positive little microcosms that others can see and follow by example.
[00:21:10.901 --> 00:21:12.261]  We can follow their example when it's good.
[00:21:13.157 --> 00:21:13.697]  Competition.
[00:21:15.659 --> 00:21:29.667]  But I knew when they came out with Shazam over a decade ago, that app where you can hold up your phone at the mall and it would tell you in seconds what a song was, they could use that to then voice print somebody, not just a song, and then erase it off the web and off the cloud.
[00:21:29.687 --> 00:21:33.670]  Because things aren't really held on private servers anymore, they're held in the cloud.
[00:21:33.710 --> 00:21:36.531]  And now indeed they can go through and erase things across the web whenever they want.
[00:21:37.252 --> 00:21:38.773]  You re-upload it, they take it back down.
[00:21:40.267 --> 00:21:44.291]  Now they aren't just doing this in the US or the UK, they're doing it all over the world.
[00:21:47.073 --> 00:21:57.882]  Private publishers and governments are going in and saying that book is improper and the publishers are then having them rewritten to be politically correct.
[00:21:58.962 --> 00:22:07.321]   So that's what Stalin would do after he'd kill or imprison one of his former aides or generals,
[00:22:07.321 --> 00:22:14.042]   minions, they would just airbrush their photos out of the newspaper.
[00:22:14.042 --> 00:22:21.442]   And so every dystopic film, book, the famous Fahrenheit book that deals with this,
[00:22:21.442 --> 00:22:30.722]   Fahrenheit 451, Equilibrium, it's an excellent movie, with Christian Bale, they want ugliness.
[00:22:30.736 --> 00:22:32.017]  They want ugly architecture.
[00:22:32.097 --> 00:22:32.937]  They want you to give up.
[00:22:32.977 --> 00:22:33.758]  They want you to roll over.
[00:22:33.798 --> 00:22:34.458]  That's the plan.
[00:22:34.518 --> 00:22:35.278]  You see these movies.
[00:22:35.298 --> 00:22:35.899]  You read these books.
[00:22:35.939 --> 00:22:36.659]  You say, this is ridiculous.
[00:22:36.679 --> 00:22:37.279]  This has never happened.
[00:22:37.679 --> 00:22:39.740]  This is what happens in authoritarian regimes.
[00:22:40.300 --> 00:22:43.182]  And now with AI and computers, they can do it so much easier.
[00:22:43.702 --> 00:22:56.147]  And they call themselves the liberals, the guardians of culture, the guardians of art, when they are outrageous criminals involved in crimes against humanity.
[00:22:57.298 --> 00:23:03.984]  British taxpayer-funded anti-extremist study finds Shakespeare, Orwell, Tolkien key texts for white supremacists.
[00:23:04.745 --> 00:23:05.826]  British governments involved.
[00:23:06.306 --> 00:23:11.110]  UK's counter-terrorism program says interest in great literature, a sign of far-right extremism.
[00:23:11.651 --> 00:23:19.432]   Lord of the Rings, George Orwell, Shakespeare, The list goes on and on.
[00:23:19.872 --> 00:23:20.873]  It's not satire.
[00:23:21.434 --> 00:23:22.675]  This is not the Babylon Bee.
[00:23:23.315 --> 00:23:24.596]  This is worse than burning books.
[00:23:25.317 --> 00:23:29.060]  This is rewriting them and stealing people's art and stealing their identities.
[00:23:30.041 --> 00:23:39.188]  And the left is a evil worldwide corporate dictatorship of transhumanists with a bunch of useful idiots following along with it, believing they're part of the winning team.
[00:23:40.229 --> 00:23:46.054]  No one on the face of this should go along with any of this garbage.
[00:23:48.430 --> 00:23:51.493]  Roland Dahl's books rewritten to remove language deemed offensive.
[00:23:51.533 --> 00:23:52.194]  London Guardian.
[00:23:53.134 --> 00:23:54.396]  Oompa Loompas are trans.
[00:23:55.597 --> 00:23:58.419]  You can't call Violet mean or call the other girl fat.
[00:23:59.901 --> 00:24:01.482]  You can't call people mom and dad.
[00:24:02.744 --> 00:24:04.805]  What a sick cult, ladies and gentlemen.
[00:24:06.067 --> 00:24:07.088]  Absurd censorship.
[00:24:07.108 --> 00:24:11.352]  You can publish your slam for making countless changes to Roland Dahl's books.
[00:24:12.827 --> 00:24:18.909]  He's internationally known for pinning children's classics such as Charlie and the Chocolate Factory, Matilda, James and the Giant Peach.
[00:24:19.329 --> 00:24:20.069]  I loved all those books.
[00:24:20.629 --> 00:24:22.150]  Fantastic Mr. Fox and many others.
[00:24:22.170 --> 00:24:25.331]  However, it looks like the new editions of his works have been altered.
[00:24:25.771 --> 00:24:33.033]  Critics have lashed out at the changes to the children's books by the British publisher, accusing it of distorting the context of the author's words.
[00:24:33.053 --> 00:24:34.234]  Well, they're not distorting it.
[00:24:34.814 --> 00:24:37.195]  They're lying to people and saying it's his work.
[00:24:37.995 --> 00:24:39.576]  When it's not, you think he approved of this?
[00:24:39.876 --> 00:24:43.237]  Think he could have ever imagined something like this would be going on?
[00:24:43.317 --> 00:24:45.958]  More on this, and I'll give out the number when we come back.
[00:24:46.738 --> 00:24:47.558]  Stop the censors.
[00:24:47.618 --> 00:24:48.198]  Spread the link.
