[00:00:01.229 --> 00:00:02.990]  Just-on-time deliveries.
[00:04:12.797 --> 00:04:18.622]  And as they come up, it's like a herd of cattle who have fences coming up around them.
[00:04:19.523 --> 00:04:23.527]  So think of us as having three fences around each one of us.
[00:04:23.527 --> 00:04:33.117]  And what CBDC and digital IDs and vaccine passports will do is they will snap into place a fourth fence.
[00:04:33.117 --> 00:04:40.045]  And when that fence snaps into place, we are locked down financially and digitally.
[00:04:40.405 --> 00:04:41.786]  They want the ring of Mordor.
[00:04:41.786 --> 00:04:43.586]  They want that total control.
[00:04:43.586 --> 00:04:50.209]  And they want there to be a group of competing AI systems that basically merge into one global mind.
[00:04:50.209 --> 00:05:00.414]  And the AI's power is that it directs us, and we follow its orders, and then it takes control of the processes until humans don't know how to do basic tasks anymore.
[00:05:01.329 --> 00:05:05.890]  Second American Revolution is happening right now against the New World Order.
[00:05:05.890 --> 00:05:11.092]  And the answer to their 1984 tyranny is the 1776 mindset.
[00:05:11.092 --> 00:05:15.933]  And InfoWars embodies that fight for human liberty against globalist tyranny.
[00:05:15.933 --> 00:05:20.274]  Now in the last year we've done a very successful fundraiser of silver coins.
[00:05:20.874 --> 00:05:30.397]  When you buy the coin, you know that you are supporting the transmission, and you get a historical memento, so you can remember the great contribution you made to freedom.
[00:05:30.397 --> 00:05:43.380]  Now, despite the fact that the coins are selling out, the last of the four coin series, Teddy Roosevelt, Man of the Arena, we're offering it for $30 off right now, while supplies last, at 1776coin.com.
[00:05:43.380 --> 00:05:47.321]  And just like an NPR pledge drive, where they mark up a coffee cup, or a t-shirt, or a DVD,
[00:05:48.842 --> 00:05:49.342]  300%.
[00:05:49.342 --> 00:05:51.885]  That's what we've done with this because it's a fundraiser.
[00:05:51.885 --> 00:05:56.309]  But despite that, we're offering $30 off exclusively at $17.76 on what coins remain.
[00:05:56.309 --> 00:05:58.211]  Please go to 1776coin.com right now.
[00:06:16.893 --> 00:06:18.020]  InfoWars.
[00:06:18.020 --> 00:06:19.206]  Tomorrow's news.
[00:06:19.206 --> 00:06:19.569]  Today.
[00:06:33.762 --> 00:06:42.126]  From the front lines of the Information War, it's Alex Jones.
[00:06:42.126 --> 00:06:43.887]  It's Monday, January 16, 2023.
[00:06:43.887 --> 00:06:47.068]  I'm your host, Alex Jones.
[00:06:47.068 --> 00:06:48.189]  Thank you so much for joining us.
[00:06:50.566 --> 00:07:02.937]  Well, every broadcast is important, but this one will be particularly powerful, and I would imagine the next day will be more powerful, and the next show, and the next, because everything is hitting a quickening right now.
[00:07:02.937 --> 00:07:11.364]  I want everybody, listening to the sound of my voice or watching me right now, to do what I'm about to do.
[00:07:11.364 --> 00:07:14.787]  Take a couple deep breaths, and then sit back,
[00:07:16.112 --> 00:07:16.412]  I think
[00:07:34.421 --> 00:07:40.484]  Saying, okay, the British government arm that studies vaccines says this one should be recalled.
[00:07:40.484 --> 00:07:41.865]  It's hurting people.
[00:07:41.865 --> 00:07:46.267]  And CDC, FDA board members saying they should halt the shots.
[00:07:46.267 --> 00:07:54.111]  And the CDC and FDA coming out saying, okay, it is linked to heart attacks and strokes and blood clots.
[00:07:54.111 --> 00:07:55.251]  Incredible.
[00:07:55.251 --> 00:07:56.072]  Why are they doing that?
[00:07:56.886 --> 00:07:58.107]  Because they can't hide it anymore.
[00:07:58.107 --> 00:08:08.954]  Because we, together, not just this broadcast, not just you, but many other people like Tucker Carlson and Joe Rogan and all of us together, overpowered their asses.
[00:08:08.954 --> 00:08:15.098]  This has been a first big test inside the New World Order, inside Agenda 2030, when they went from beta to operation.
[00:08:15.098 --> 00:08:16.900]  I'm getting huge chills right now.
[00:08:16.900 --> 00:08:20.402]  The first big battle of their full-on assault.
[00:08:20.402 --> 00:08:23.124]  And we are winning, ladies and gentlemen!
[00:08:26.254 --> 00:08:33.461]  The whole future of our species stands in the balance right now.
[00:08:33.461 --> 00:08:42.109]  And it's just such an incredible time to be alive and to be witnessing all of this happening.
[00:08:42.109 --> 00:08:47.535]  Then we've got the Davos Group meeting in Davos, Switzerland, being guarded by
[00:08:49.609 --> 00:09:00.458]  5,000 troops and we have even mainstream media and their own admissions by Klaus Schwab that they're in trouble and that the world doesn't trust them if they're being targeted.
[00:09:00.458 --> 00:09:08.605]  And we now have confirmed reports that more than half the attendees that were on the list that leaked last Monday, eight days ago,
[00:09:11.618 --> 00:09:14.640]  Ladies and gentlemen, they've cancelled going.
[00:09:14.640 --> 00:09:17.402]  People like George Soros.
[00:09:17.402 --> 00:09:23.687]  Because you're so villainized and so demonized when you go, because we've done our job.
[00:09:23.687 --> 00:09:28.711]  They tried to have their coming out party, their big three year assault, where they're the heroes over the virus.
[00:09:28.711 --> 00:09:32.293]  They created the poison shot they created.
[00:09:32.293 --> 00:09:35.636]  And now the rats are running around on the deck of the ship as it sinks.
[00:09:38.556 --> 00:09:40.997]  Wow, do I have stacks for you on that.
[00:09:40.997 --> 00:09:42.118]  Wow.
[00:09:42.118 --> 00:09:44.859]  Victory.
[00:09:44.859 --> 00:09:46.120]  I can smell it.
[00:09:46.120 --> 00:09:46.880]  I can taste it.
[00:09:46.880 --> 00:09:47.540]  I can feel it.
[00:09:47.540 --> 00:09:49.421]  I can see it.
[00:09:49.421 --> 00:09:51.242]  But they're going to hit us, and I know how they're going to hit us.
[00:09:51.242 --> 00:09:52.302]  They already pre-programmed it.
[00:09:52.302 --> 00:10:00.386]  They're going to hit us with power outages and massive cyber attacks, taking down airlines, you name it, as I predicted in the last year now happening.
[00:10:00.386 --> 00:10:04.048]  Why, in absence of a-listers at Deimos, is not just deeply troubled.
[00:10:04.997 --> 00:10:06.018]  That's Sky News, Fox News of the UK.
[00:10:06.018 --> 00:10:06.378]  Look at that.
[00:10:06.378 --> 00:10:09.439]  And it goes on from there, where Klaus Schwab is at the event
[00:10:27.423 --> 00:10:29.203]  They will create trust again.
[00:10:29.203 --> 00:10:30.944]  They will trust us again.
[00:10:30.944 --> 00:10:34.344]  And don't worry, they've got a new system they're offering.
[00:10:34.344 --> 00:10:40.625]  Universal basic income and reparations for Africans in Africa and black people in America.
[00:10:40.625 --> 00:10:46.766]  Just like Joe Biden was going to give you free tuition and forgive your student loans, and he went, oh, here it is.
[00:10:46.766 --> 00:10:50.947]  Oh, after you voted for me, you thought, sorry, bye bye.
[00:10:50.947 --> 00:10:56.768]  It's called dangling a carrot in front of your face.
[00:10:58.239 --> 00:11:09.262]  Oh, and wait till you see their agenda, their public agenda of how they're going to save us and all the wonderful things they're going to be doing for us, ladies and gentlemen.
[00:11:11.178 --> 00:11:12.299]  So that's a huge victory.
[00:11:12.299 --> 00:11:13.640]  We're going to go through all that.
[00:11:13.640 --> 00:11:24.269]  Matt Gaetz went on Tim Pool's show and did a really great five minute summation about how the deep state really operates and how it comes after you when you don't take the carrot, they come after you with a stick.
[00:11:24.269 --> 00:11:26.270]  We're going to be looking at that.
[00:11:26.270 --> 00:11:30.213]  But this is just insane level information.
[00:11:30.213 --> 00:11:35.317]  Then we've got Democrats in California and in D.C.
[00:11:35.317 --> 00:11:39.301]  and other states, but also the federal government, introducing legislation
[00:11:40.711 --> 00:11:42.492]  To criminalize the First Amendment.
[00:11:42.492 --> 00:11:43.952]  You heard me right.
[00:11:43.952 --> 00:11:47.173]  Here is the headline.
[00:11:47.173 --> 00:11:53.896]  Congress introduces a bill that criminalizes criticism of any non-white person.
[00:11:53.896 --> 00:11:55.596]  That's actually in the bill.
[00:11:55.596 --> 00:12:01.078]  That's all they've got to fall back on is racial division and control.
[00:12:01.078 --> 00:12:03.880]  They think that is their ace in the hole.
[00:12:03.880 --> 00:12:07.701]  And that ties into Martin Luther King Day and the abomination that
[00:12:08.956 --> 00:12:36.081]  was unveiled we'll be getting to a little bit later over the weekend that people when they saw it they thought it was a joke from one side it's a person putting their face in a butt crack from the other side it's a giant bronze penis even with the penis head circumcised head being held up and you ask why would they do such a thing why would they pay fifteen million dollars for that
[00:12:36.960 --> 00:12:42.063]  Because it's all about ugly art and about a joke on us, and that's why they do it.
[00:12:42.063 --> 00:12:44.304]  It's in declassified CIA documents.
[00:12:44.304 --> 00:12:47.105]  We're going to be getting to that as well.
[00:12:47.105 --> 00:12:52.868]  If you make the art ugly and weird and bizarre and a joke, they believe that you make the culture a bizarre joke.
[00:12:54.520 --> 00:12:57.921]  And that ties in with how they're bringing down the joke Joe Biden.
[00:12:57.921 --> 00:12:58.621]  He's done.
[00:12:58.621 --> 00:13:00.181]  They're bringing him down.
[00:13:00.181 --> 00:13:01.462]  They always had the documents.
[00:13:01.462 --> 00:13:03.382]  They always knew he was a Chinese spy.
[00:13:03.382 --> 00:13:05.643]  They always knew he was a pedophile.
[00:13:05.643 --> 00:13:07.263]  And now he's lived his usefulness.
[00:13:07.263 --> 00:13:13.524]  Now they want him to get out of the way for Big Mike, Michelle Obama, to run.
[00:13:13.524 --> 00:13:15.005]  And that's all being lined up.
[00:13:15.005 --> 00:13:19.466]  Gavin Newsom's fluttering around like a flying monkey as well, ready to be brought in.
[00:13:20.578 --> 00:13:27.043]  But now New York City Mayor Eric Adams lays blame squarely at the feet of Joe Biden during a visit to the border.
[00:13:27.043 --> 00:13:33.687]  So now the Democrats are visiting the border and blaming the guy that deserves to be blamed, except he's just the puppet.
[00:13:33.687 --> 00:13:36.189]  This is a globalist Obama policy.
[00:13:36.189 --> 00:13:41.493]  So now it's open season on Biden, USA Today, New York Times, Washington Post, LA Times.
[00:13:41.493 --> 00:13:43.754]  I've got stacks of articles.
[00:13:43.754 --> 00:13:45.515]  He's a spy.
[00:13:45.515 --> 00:13:46.696]  He's got to go.
[00:13:46.696 --> 00:13:48.838]  More documents found by his staff.
[00:13:50.014 --> 00:13:52.656]  He's a senile guy that doesn't even know what planet he's on.
[00:13:52.656 --> 00:13:57.000]  Now the Obama operatives are getting ready to bring him down.
[00:13:57.000 --> 00:13:59.242]  And so many conservatives are going, Yay!
[00:13:59.242 --> 00:14:00.282]  We're vindicated!
[00:14:00.282 --> 00:14:01.524]  Yay!
[00:14:01.524 --> 00:14:02.604]  Down with Biden!
[00:14:02.604 --> 00:14:10.291]  Biden is an evil old degenerate puppet who can't even keep from pooping his pants.
[00:14:10.291 --> 00:14:18.598]  That's why it came out three weeks ago that he hates the Secret Service and refuses to talk in front of him or bring him with him when he's in buildings because we told you
[00:14:19.753 --> 00:14:30.176]  According to the Secret Service, in New York and D.C., on a two-day trip, he crapped himself three times last year.
[00:14:30.176 --> 00:14:37.119]  And if he gets mad in an argument with his staff, he just craps himself.
[00:14:37.119 --> 00:14:40.560]  Then they take him in the bathroom, and they clean it up.
[00:14:40.560 --> 00:14:42.280]  And he likes making them do it.
[00:14:42.280 --> 00:14:43.581]  LBJ liked to have
[00:14:44.411 --> 00:14:44.952]  We're good to go.
[00:15:04.261 --> 00:15:28.219]  Well, they know their brain-dead robot has totally failed, and so now, he was a placeholder for them so they could implode the economy, bring in world government, get rid of the border, launch all these wars, and have him to blame for the disaster that comes, so that they can now pre-position, as they destroy him over the next year, the next person so he doesn't announce that he is about to run for president.
[00:15:28.219 --> 00:15:30.041]  Because he still thinks he's the president.
[00:15:30.041 --> 00:15:34.064]  He's still on a power trip, so they need to let him know, if you run for president,
[00:15:35.003 --> 00:15:40.886]  The Attorney General will indict you, even though they're not supposed to be able to do that.
[00:15:40.886 --> 00:15:42.567]  It's his own branch indicting him.
[00:15:42.567 --> 00:15:43.948]  They don't care.
[00:15:43.948 --> 00:15:46.049]  It's the bureaucracy flexing its muscles.
[00:15:46.049 --> 00:15:50.291]  They'll flex them on Trump as much as they'll flex them on Biden.
[00:15:50.291 --> 00:15:52.392]  Also, we've got the latest transgender news.
[00:15:52.392 --> 00:15:54.593]  You're going to wait till you hear this.
[00:15:54.593 --> 00:15:55.754]  So much more coming up.
[00:15:55.754 --> 00:15:56.694]  Infowars.com.
[00:15:56.694 --> 00:15:59.996]  Tomorrow's news today.
[00:15:59.996 --> 00:16:03.658]  Ladies and gentlemen, this is your last chance.
[00:16:04.522 --> 00:16:15.189]  To get a historic signed copy of my number one bestselling book, The Great Reset and The War for the World, exclusively available at InfoWarsTore.com.
[00:16:15.189 --> 00:16:27.418]  Yes, you can get the book in stores, you can find it online, but if you want to get a historic signed copy and be part of our fundraiser to stay on air, go to InfoWarsTore.com and go to the book section and get your signed book.
[00:16:28.058 --> 00:16:32.342]  There are only about a thousand of these left, and when they're gone, they're gone.
[00:16:32.342 --> 00:16:35.884]  I'm never going to sign the book again.
[00:16:35.884 --> 00:16:41.609]  We have a little limited edition thing coming out later that's a piece of art that goes with the book, but I haven't even decided when I'm going to do that.
[00:16:41.609 --> 00:16:42.670]  It may never happen.
[00:16:42.670 --> 00:16:52.078]  But for just simple, straight-up signed books, and to be part of this fundraiser, this is the last time you'll be able to get the signed book at InfoWarsTore.com.
[00:16:52.458 --> 00:16:53.720]  I thank you all for your support.
[00:16:53.720 --> 00:16:56.864]  Please go to mflaworthrow.com and get your signed book today.
[00:16:56.864 --> 00:16:59.487]  And I thank you for keeping us in the fight against the globalists.
[00:17:00.003 --> 00:17:07.209]  Ladies and gentlemen, InfoWars live products have always been the highest quality, triple tested, and you've seen the rave reviews.
[00:17:07.209 --> 00:17:18.238]  But doing deep research, we made contact with the top company in the United States, and it turned out they were supplying almost all the raw materials to the companies that we were already using.
[00:17:18.238 --> 00:17:26.805]  So we've gone directly to the source, and that means we can give you lower prices on the very same high quality supplements, and in some cases, even better.
[00:17:26.805 --> 00:17:27.385]  Introducing
[00:17:28.206 --> 00:17:32.769]  InfoWarsMD at InfoWarsStore.com.
[00:17:32.769 --> 00:17:38.052]  InfoWarsMD exclusively at InfoWarsStore.com has 10 new products.
[00:17:38.052 --> 00:17:46.257]  Turmeric 95, Lipido RX, Better Mood, Nitric Boost, Mushroom Max, Atropine, Angel's Vitality Collagen,
[00:17:46.857 --> 00:17:52.781]  Mark Twain, one of America's greatest writers and satirists and minds, famously said more than 150 years ago,
[00:18:08.892 --> 00:18:12.434]  Rumors of his demise have been greatly exaggerated.
[00:18:12.434 --> 00:18:16.456]  Because the newspapers kept saying he died decades before he did die.
[00:18:16.456 --> 00:18:18.737]  And it's the same psy-op today.
[00:18:18.737 --> 00:18:23.139]  InfoWars is more influential and more powerful than ever because of your support.
[00:18:23.139 --> 00:18:25.600]  Because the facts of what we've covered is coming true.
[00:18:26.300 --> 00:18:35.130]  But if they can convince you we've been shut down, if they can convince you that we're going away, and you stop supporting, you stop spreading the word, then they do win.
[00:18:35.130 --> 00:18:40.817]  Ladies and gentlemen, there's only one group of people that can shut down InfoWars, and that's you, the viewers and listeners.
[00:18:41.317 --> 00:18:43.258]  If you decide we're done, we're done.
[00:18:43.258 --> 00:18:50.521]  If you decide to go to InfoWarsTore.com and get supplements and books and films and t-shirts and so much more, we will stay on the air indefinitely.
[00:18:50.521 --> 00:18:51.941]  It is all in your hands.
[00:18:51.941 --> 00:18:53.262]  So thanks for your support.
[00:18:53.262 --> 00:18:54.482]  Stand up against the globalists.
[00:18:54.482 --> 00:18:57.744]  Go to InfoWarsTore.com right now and keep us on air.
[00:18:57.744 --> 00:18:58.244]  It's up to you.
[00:19:00.003 --> 00:19:02.224]  It's a post-COVID world now.
[00:19:02.224 --> 00:19:06.245]  Americans have lost trust in their doctors and the health care system.
[00:19:06.245 --> 00:19:07.565]  There's a solution.
[00:19:07.565 --> 00:19:08.546]  The Wellness Company.
[00:19:08.546 --> 00:19:11.847]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[00:19:11.847 --> 00:19:28.372]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand, prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online
[00:19:28.872 --> 00:19:29.532]  We're good to go.
[00:20:01.252 --> 00:20:07.173]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:20:30.868 --> 00:20:33.291]  Alright, let's do this.
[00:20:33.291 --> 00:20:35.914]  I've got three clips today that are...
[00:20:37.026 --> 00:20:40.887]  New and several that have never been discovered.
[00:20:40.887 --> 00:20:46.189]  I've certainly never seen them that are going viral that are just all mind-blowing.
[00:20:46.189 --> 00:20:50.710]  Each one of these is mind-blowing and I'm gonna hit those next segment.
[00:20:50.710 --> 00:20:52.910]  I mean this is just insane.
[00:20:52.910 --> 00:21:00.352]  It is the UN openly admitting they're in an information war with the people of America and Europe and that they control the media, that they direct it all.
[00:21:00.352 --> 00:21:03.233]  You already saw a couple months ago the UN head of information said that.
[00:21:03.233 --> 00:21:04.734]  There's more clips.
[00:21:04.734 --> 00:21:05.494]  And then we've got
[00:21:06.394 --> 00:21:16.117]  The Davos Group and other meetings where they're currently saying, we're taking over the genes of everybody's body and are going to reprogram all your genes.
[00:21:16.117 --> 00:21:28.281]  Then they go on to say, like with mice or rats, we can make them have white hair or black hair with this mRNA, as an example, and we're going to use the whole COVID situation to bring this in and take full control.
[00:21:29.178 --> 00:21:37.425]  Now they already said that five years ago on C-SPAN with Fauci, we played the clip a lot, but it's just, they're admitting the whole thing!
[00:21:37.425 --> 00:21:51.858]  And we've got, we've got, we've got still all these shills getting paid by Big Pharma, while Big Pharma announces they're taking over our bodies.
[00:21:53.226 --> 00:21:59.993]  And getting rid of any process of any type of testing and going right to the public, totally evil, saying none of this is happening.
[00:21:59.993 --> 00:22:08.261]  So they're in this paradox where they're normalizing it by admitting they're doing it, demonizing those of us that criticize it, and then having other people come out and say it doesn't exist.
[00:22:08.261 --> 00:22:12.765]  Because they want their cake and to eat it too.
[00:22:12.765 --> 00:22:17.430]  But I wanted to hit this first, because this is a big, big deal.
[00:22:18.601 --> 00:22:24.344]  Why an absence of A-listers at Davos is not just deep trouble for the World Economic Forum, but for globalists too.
[00:22:24.344 --> 00:22:37.031]  The world Davos thrived in is disintegrating, and the summit has fewer heavyweights attending than in years gone by, as the era of globalism itself appears to be ending.
[00:22:37.031 --> 00:22:40.693]  The New World Order folks is in big trouble.
[00:22:40.693 --> 00:22:45.416]  When Hillary lost, they said they'd probably already lost in internal documents that leaked out of the UN.
[00:22:46.775 --> 00:23:07.192]  And they launched the virus as a pretext to get us to buy into the control, bring in the World ID, bring in the SDRs, bring in the global currencies, but now because... I mean, there's hundreds of top scientists today, I can't even keep track of it, literally coming out saying, don't take it, it's deadly, oh my God, it's on purpose, they killed us, here's the studies where they knew what happened.
[00:23:07.192 --> 00:23:11.296]  Everything we reverse engineered three years ago through now is all over the news now.
[00:23:12.631 --> 00:23:19.313]  So a lot of you are going to see us report on things we said years ago because it's just now coming out.
[00:23:19.313 --> 00:23:30.976]  It's the same thing with the Spars war game that the Rockefellers and the UN and John Hopkins did two years before they released the virus.
[00:23:30.976 --> 00:23:33.917]  It describes how they were going to mitigate this and how they blame
[00:23:34.841 --> 00:23:43.732]  Big Pharma win the shot for a new virus, destroyed our immune system, how they'd make the public think it was a mistake.
[00:23:43.732 --> 00:23:50.781]  See, so they already had their plan to admit to a lot of it, but now it's gotten out of control.
[00:23:50.781 --> 00:23:51.902]  They've lost control, folks.
[00:23:51.902 --> 00:23:52.723]  They think they're God.
[00:23:52.723 --> 00:23:53.124]  They're not.
[00:23:54.246 --> 00:24:06.610]  So you look at this whole report, Davos and the World Economic Forum, WEF and its founder Klaus Schwab have become more famous than ever before in the past couple of years, albeit not for the reasons they might have wanted.
[00:24:06.610 --> 00:24:11.932]  Penetrating governments, trying to destroy governmental control by the people, which they admit they're trying to do.
[00:24:12.772 --> 00:24:17.594]  Trying to cut your carbon, trying to bankrupt the old system and create a new system.
[00:24:17.594 --> 00:24:27.878]  The minute the public knows the New World Order is bad for you and your family, and it's meant to enslave you, and that opposing them is the answer to freedom and prosperity, it's game over.
[00:24:27.878 --> 00:24:31.499]  I've said that probably 3,000 times the last few years.
[00:24:31.499 --> 00:24:33.520]  I say it every day.
[00:24:33.520 --> 00:24:37.902]  And our job is to say, they're the authors of your pain.
[00:24:37.902 --> 00:24:40.263]  And as soon as we light their ass up with the truth,
[00:24:41.547 --> 00:24:48.970]  Just like in the military, they put the special forces in to laze the target so that when the missiles come in, they know where to hit.
[00:24:48.970 --> 00:24:50.130]  Now I'm using that as an allegory.
[00:24:50.130 --> 00:24:51.751]  I'm not saying shoot missiles at them.
[00:24:51.751 --> 00:24:59.994]  I'm saying our job was to take the heat, laze the target, light it up so that people knew what was happening.
[00:24:59.994 --> 00:25:01.175]  And we did it, folks.
[00:25:01.175 --> 00:25:02.095]  You did it.
[00:25:02.095 --> 00:25:04.076]  We lit their ass up.
[00:25:04.076 --> 00:25:05.837]  We lit their ass up.
[00:25:05.837 --> 00:25:07.237]  You lit their ass up.
[00:25:07.237 --> 00:25:08.518]  And now their ass is grass.
[00:25:11.032 --> 00:25:13.173]  But they're gonna strike back.
[00:25:13.173 --> 00:25:13.994]  Look at these headlines.
[00:25:13.994 --> 00:25:14.714]  Trusted U.S.
[00:25:14.714 --> 00:25:16.615]  institution hits record low.
[00:25:16.615 --> 00:25:18.656]  National poll finds Forbes.
[00:25:18.656 --> 00:25:21.197]  And they've got international polls.
[00:25:21.197 --> 00:25:22.678]  They've got global polls.
[00:25:22.678 --> 00:25:25.519]  All finding the exact same thing.
[00:25:25.519 --> 00:25:30.982]  Trusted government hits all-time low.
[00:25:30.982 --> 00:25:33.964]  Australian National University.
[00:25:33.964 --> 00:25:36.105]  Public trusted government lowest ever recorded.
[00:25:38.354 --> 00:25:43.418]  So, they thought they'd execute this plan and get away with it, and we would just blame our national leaders.
[00:25:43.418 --> 00:25:50.282]  In fact, Schwab talked about, as we bring in our system and destroy the old system, it will be the politicians and others that will get the blame.
[00:25:50.282 --> 00:25:52.004]  Then we will be the saviors.
[00:25:52.004 --> 00:25:54.605]  No, you won't, buddy boy!
[00:25:54.605 --> 00:25:55.786]  We've got your plan!
[00:25:55.786 --> 00:25:57.307]  We've blown your plan!
[00:25:57.307 --> 00:26:01.210]  Praise God!
[00:26:01.210 --> 00:26:03.912]  And pass the information warfare ammunition.
[00:26:05.438 --> 00:26:11.802]  And you got the eco-groups that would never do it, now suddenly slamming Davos Summit for the global elites arriving on their private jets.
[00:26:11.802 --> 00:26:13.563]  They thought they could have it both ways.
[00:26:13.563 --> 00:26:19.807]  Soros pulls out of World Economic Forum due to unavoidable scheduling problem.
[00:26:19.807 --> 00:26:27.231]  And now up to half the group that are on the list that we're going to attend are suddenly announcing they're not coming.
[00:26:27.231 --> 00:26:30.993]  They don't want to be associated with it.
[00:26:30.993 --> 00:26:33.195]  They thought we'd all fight over race and everything else.
[00:26:33.195 --> 00:26:34.816]  They thought they'd distract us.
[00:26:36.147 --> 00:26:43.009]  But now their 5,000 troops won't protect their reputations, their names for the actions and crimes they've committed.
[00:26:43.009 --> 00:26:44.129]  Guard them all day.
[00:26:44.129 --> 00:26:45.490]  We don't want them to die.
[00:26:45.490 --> 00:26:48.470]  We don't want anybody to shoot them or bomb them or poison them.
[00:26:48.470 --> 00:26:54.292]  We want them arrested for Nuremberg 2, for the crimes against humanity they've committed.
[00:26:54.892 --> 00:27:01.796]  For the plan to implode the world economy and flood the borders and roll out the poison shot and try to take over our bodies and create a world ID.
[00:27:01.796 --> 00:27:10.040]  All of it is classical tyranny and we want you kept nice and healthy.
[00:27:10.040 --> 00:27:23.247]  For when you get marched up to those gallows after you've been found guilty and before that trap door opens and you fall those three feet and your neck is broken.
[00:27:27.941 --> 00:27:30.903]  A new system inside the Davos Summit 2023.
[00:27:30.903 --> 00:27:33.925]  It's up on Infowars.com from ZeroHedge.com.
[00:27:33.925 --> 00:27:44.833]  And they have met and say, oh, here's our agenda addressing the current energy and food crisis, which they've engineered, cutting off power all over the world, cutting off food production all over the world.
[00:27:45.613 --> 00:27:47.174]  Literally having the Davos Group and U.N.
[00:27:47.174 --> 00:27:50.697]  direct the biggest food producers in the world to massively cut food production.
[00:27:50.697 --> 00:27:57.703]  And then they cut the fertilizer off, they cut the fuel off, they cut the machine parts off, and then they're going to address it with bugs.
[00:27:57.703 --> 00:27:58.703]  That's right.
[00:27:58.703 --> 00:28:05.529]  Addressing the current energy and food crisis in the context of a new system for energy, climate, and nature will save you.
[00:28:05.529 --> 00:28:06.790]  Just go to our new system.
