[00:00:09.856 --> 00:00:10.797]  You got Obama phone?
[00:02:51.094 --> 00:02:55.337]  We don't have pay phones anymore, so people can't just walk around the corner and use a phone.
[00:02:55.878 --> 00:03:03.664]  So a low-cost, bare-bones cell phone for safety only makes sense.
[00:03:04.324 --> 00:03:14.574]  The FCC, which oversees this initiative, says phone ownership among this group has increased by an estimated 12% since the program began in the 1980s.
[00:03:15.195 --> 00:03:22.382]  According to the Cato Institute, since President Barack Obama took office, federal welfare assistance has increased by an estimated 41%.
[00:03:24.304 --> 00:03:34.790]  The organization also notes that over the past half century, both the federal government and local governments have spent an estimated $15 trillion trying to combat poverty.
[00:03:35.210 --> 00:03:39.232]  However, during this time, the poverty rate has only decreased by about 4%.
[00:03:40.513 --> 00:03:41.173]  Is that stealing?
[00:03:41.953 --> 00:03:45.095]  I think it is because it's not the citizen's rights.
[00:03:45.375 --> 00:03:50.118]  I mean, it's not the obligation of the citizens to pay for other people's cell phones.
[00:03:51.382 --> 00:03:53.084]  It's stealing in a sense.
[00:03:55.886 --> 00:03:56.827]  In short, yes it is.
[00:03:57.868 --> 00:04:01.431]  What if it went to poor people?
[00:04:01.771 --> 00:04:03.552]  I'm not the richest guy either.
[00:04:03.632 --> 00:04:10.558]  I'm not poor, but I don't have a lot of money and I spend some of my money on my cell phone, so why can't other people?
[00:04:11.679 --> 00:04:12.219]  I don't think so.
[00:04:13.561 --> 00:04:13.841]  Why not?
[00:04:15.147 --> 00:04:16.908]  I think we all get a lot from the government.
[00:04:16.989 --> 00:04:19.310]  So I got roads, I got public school, etc.
[00:04:19.470 --> 00:04:23.113]  So I think public services are for the good of everybody.
[00:04:23.133 --> 00:04:25.154]  Well, I don't know if it's stealing.
[00:04:25.194 --> 00:04:28.016]  I think it's probably excessive spending on the federal government's part.
[00:04:28.737 --> 00:04:35.782]  I think, as far as three dollars go, you know, I don't think it's stealing from the American public.
[00:04:36.943 --> 00:04:40.945]  But I do think, I don't know, I guess you would have to,
[00:04:42.142 --> 00:04:43.784]  The public should be informed, is what I'm saying.
[00:04:43.824 --> 00:04:46.126]  So you should have access to the information of where it's going.
[00:04:46.366 --> 00:04:51.191]  If you don't, then I don't know if I would want to label it stealing, but I would label it wrong.
[00:04:51.912 --> 00:04:56.417]  Always fighting on behalf of liberty, for InfoWars Nightly News, I'm David Ortiz.
