[00:00:13.291 --> 00:00:14.011]  Hi and welcome.
[00:07:26.462 --> 00:07:29.183]  And you can see the globalist media demonizing and attacking it.
[00:07:29.223 --> 00:07:29.983]  I'm not Catholic.
[00:07:30.023 --> 00:07:34.324]  I come from a famous family of Protestants back on both sides of the Mayflower.
[00:07:35.066 --> 00:07:41.028]  But regardless of that, so I'm not defending Catholicism or whatever, but I'm not bashing Catholics.
[00:07:41.048 --> 00:07:43.849]  I know a lot of Catholics that are good people that really stand up against tyranny.
[00:07:45.749 --> 00:07:52.752]  If you look at the media and how they operate, there's no doubt, worldwide, there is an attempt to bring down Catholicism.
[00:07:53.092 --> 00:08:00.434]  Because it's got all these religious systems and Christian systems, but others have to be brought down for this, the state is God model.
[00:08:02.151 --> 00:08:05.753]  And the new sacrament isn't, you know, go to the church and take communion.
[00:08:05.794 --> 00:08:08.215]  It's have the TSA abuse you.
[00:08:08.736 --> 00:08:09.837]  Stick their hands down your pants.
[00:08:09.977 --> 00:08:14.160]  And instead of offering your children to Moloch, you offer them to the TSA pervert.
[00:08:15.061 --> 00:08:16.502]  You offer your grandmother up to them.
[00:08:17.463 --> 00:08:18.624]  And so that's the new God.
[00:08:18.844 --> 00:08:25.930]  With the drones and the big government buildings and, you know, all the announcements and government-run health care, it's all about the state is God.
[00:08:25.950 --> 00:08:29.173]  And that means the special corporate interest, the bankers,
[00:08:30.247 --> 00:08:33.269]  Would have captured our country through fraud and bragged that they've done it.
[00:08:33.569 --> 00:08:35.190]  Like on that CNBC clip, did you see that?
[00:08:35.231 --> 00:08:35.411]  Yeah.
[00:08:35.671 --> 00:08:38.353]  Where they said, you know, the bankers now rule you, world government's good.
[00:08:38.613 --> 00:08:39.954]  But I thought that didn't exist.
[00:08:40.714 --> 00:08:46.619]  But then you also have the Vatican involved in 57 setting up the original Euro, the Treaty of Rome.
[00:08:46.699 --> 00:08:51.002]  So, it's, it's, all of these powerful institutions behave the same.
[00:08:51.402 --> 00:08:58.247]  It's just that they're sometimes at odds with each other, but they're not at odds with each other when it comes to feeding off the public.
[00:08:59.474 --> 00:09:02.797]  Yeah, they give us issues to just keep us busy, I feel like.
[00:09:03.037 --> 00:09:08.121]  I think in the final equation, all big institutions become corrupted, and most historians will tell you that.
[00:09:08.621 --> 00:09:15.587]  It's individual mavericks that are... I had Serpico on the radio today, you know, famous cop, exposed drug dealing, and they shot him in the face and all the rest of it.
[00:09:15.927 --> 00:09:17.348]  And it turns out he's a listener of the show.
[00:09:17.689 --> 00:09:20.471]  We called him up a year ago, he goes, oh, I listen to the show sometimes, yeah, I want to come on.
[00:09:20.871 --> 00:09:21.472]  Came on again.
[00:09:21.492 --> 00:09:25.195]  You know, and he's like, I visit InfoWars every day, I love your site.
[00:09:26.135 --> 00:09:27.216]  But he made a point about how
[00:09:28.237 --> 00:09:37.016]  He's run into police all over the country, police chiefs, but also in Europe who have routed out corruption and it was because they were in college and read his book about what happened.
[00:09:37.717 --> 00:09:44.843]  Or saw the Al Pacino movie and realized it's not about shaking people down and making money off drug dealers who live in a bigger house.
[00:09:44.903 --> 00:09:46.044]  It's about really helping people.
[00:09:46.245 --> 00:09:47.085]  Right.
[00:09:47.306 --> 00:09:49.908]  And so he was saying today, be an example.
[00:09:49.988 --> 00:09:51.049]  Inspire people.
[00:09:51.609 --> 00:10:03.580]  And so whether you're in the Catholic Church or whether you're in the Baptist Church or whether you're in the military or whether you're in corporate America, whether you're a bureaucrat or a schoolteacher, don't make excuses about the corrupt system you're in or who's up on top of it.
[00:10:04.744 --> 00:10:07.406]  What you do that's right changes that.
[00:10:07.426 --> 00:10:10.849]  I mean, it's a real battle between good and evil, and it's what we all do individually.
[00:10:11.089 --> 00:10:15.192]  So when we say, oh, it's corrupt, I'm gonna leave it alone, you're giving power to the evil.
[00:10:15.933 --> 00:10:20.036]  Yeah, a lot of people have been asking, there's a general question actually, like, what do we do?
[00:10:20.056 --> 00:10:23.759]  And the gray response that you seem to have is the little things.
[00:10:23.939 --> 00:10:29.503]  It's the little things like making copies of your DVDs, sending out flyers, just talking to people.
[00:10:29.983 --> 00:10:31.424]  Well, take PlanetInfoWars.com.
[00:10:32.941 --> 00:10:39.284]  It's success, and now we've gone through beta, and it had a few glitches like we knew, but now the guys have really got it working great.
[00:10:39.865 --> 00:10:40.705]  Incredible job.
[00:10:41.626 --> 00:10:49.070]  And so it's there for you, and people are meeting, they're dating, they're camping, they're shooting, they're getting together as activists, they're starting their own journalist groups.
[00:10:49.370 --> 00:10:51.011]  I get calls on the radio all the time.
[00:10:51.811 --> 00:10:54.433]  We should start a segment once a week on the radio about Planet InfoWorks.
[00:10:54.473 --> 00:10:55.073]  That'd be awesome.
[00:10:55.213 --> 00:10:56.454]  It's all part of this brainstorming.
[00:10:56.594 --> 00:10:56.774]  Yeah.
[00:10:57.334 --> 00:10:59.275]  And so just remind me to do that, please.
[00:11:01.463 --> 00:11:03.544]  Nudge me into doing it, because there's so much going on.
[00:11:03.564 --> 00:11:04.384]  You know how it is.
[00:11:04.404 --> 00:11:05.185]  We'll formulate it and come to you.
[00:11:05.205 --> 00:11:06.345]  I mean, you see what's going on around here.
[00:11:06.365 --> 00:11:07.145]  We're not sitting around.
[00:11:07.165 --> 00:11:07.746]  No, absolutely not.
[00:11:07.786 --> 00:11:09.166]  Because we know the time is short.
[00:11:09.206 --> 00:11:10.587]  The enemy knows the time is short.
[00:11:11.067 --> 00:11:14.348]  And we've got to wake up as many people as we can before things go to the next level.
[00:11:14.448 --> 00:11:15.869]  Or we could reverse that takeover.
[00:11:15.889 --> 00:11:19.090]  But what was the point I was making about... The little things.
[00:11:20.171 --> 00:11:20.851]  Oh, the little things.
[00:11:21.611 --> 00:11:26.513]  Listen, we're taking articles that men and women are writing on that website from all over the world.
[00:11:26.973 --> 00:11:28.434]  Every race, color, you know, creed.
[00:11:30.020 --> 00:11:30.762]  And that's the key.
[00:11:30.862 --> 00:11:31.283]  Not just what
[00:11:40.745 --> 00:11:47.929]  We're doing it at PlanetInfoWars.com, but setting up a system where whatever's top voted shows up on InfoWars and Prison Planet.
[00:11:48.570 --> 00:11:50.611]  So again, we're in beta right now, folks.
[00:11:50.631 --> 00:11:54.814]  That's why it's so important to spread the word about PlanetInfoWars.com and everything we're doing.
[00:11:55.234 --> 00:11:55.694]  Absolutely.
[00:11:56.014 --> 00:11:56.434]  Absolutely.
[00:11:57.295 --> 00:12:02.318]  Well, the next question actually has to do with Mitt Romney as a likely Republican nominee.
[00:12:02.478 --> 00:12:06.080]  So is Mormonism going to be related to the global elite?
[00:12:06.100 --> 00:12:08.582]  Is that going to come into play in any facet?
[00:12:09.244 --> 00:12:19.844]  Well, I think Mitt Romney is first and foremost a vulture capitalist, which is in the same family as a crony capitalist.
[00:12:20.084 --> 00:12:20.986]  He's a monopoly guy.
[00:12:22.496 --> 00:12:30.017]  His fruits are open borders, abortion, restrictions on the Second Amendment, carbon taxes.
[00:12:30.057 --> 00:12:31.618]  That's what he does when he's in power.
[00:12:32.178 --> 00:12:33.778]  His rhetoric, a lot of it's really good.
[00:12:34.418 --> 00:12:35.938]  But that's not what Mitt Romney's going to do.
[00:12:35.998 --> 00:12:38.379]  Kind of like Justice Roberts voted for the plan.
[00:12:38.539 --> 00:12:39.719]  It's like, well, he's a Republican.
[00:12:39.739 --> 00:12:45.520]  Well, because the insurance companies wrote this, their stocks are up, they want this.
[00:12:46.040 --> 00:12:50.661]  They get to cut the kind of care you get, charge you more for less, make you buy the product.
[00:12:50.681 --> 00:12:51.361]  Tell you when to die.
[00:12:51.761 --> 00:12:53.662]  Tell you when to die, the death panels, exactly.
[00:12:53.682 --> 00:12:55.583]  Well, Christy, it's not just me ranting.
[00:12:55.603 --> 00:12:56.623]  Give us your take on all this.
[00:12:56.863 --> 00:12:57.884]  You've been here about a month.
[00:12:57.904 --> 00:12:59.324]  You're doing a really great job.
[00:12:59.564 --> 00:13:00.525]  Got a lot of energy.
[00:13:00.565 --> 00:13:02.005]  We've kind of just thrown you in the deep end.
[00:13:02.906 --> 00:13:03.826]  What do you think?
[00:13:04.767 --> 00:13:09.589]  I mean, politically, because I never, when I interviewed you, you know, you seemed interesting, but they'd already interviewed you.
[00:13:09.609 --> 00:13:10.669]  I think we did like a 10 minute interview.
[00:13:11.029 --> 00:13:12.650]  I never even found out your political views.
[00:13:12.730 --> 00:13:19.373]  I'm just kind of, hey, here's the stuff, social network, moderated, you know, no hacking, no, no porn.
[00:13:20.073 --> 00:13:22.676]  And you know, we're not going to call for, you know, killing races of people.
[00:13:23.277 --> 00:13:24.398]  But it's pretty much wide open.
[00:13:24.938 --> 00:13:30.224]  Now that you've been, well, A, what were your views before and now a month here, what are your views now?
[00:13:30.244 --> 00:13:31.986]  It's a really fascinating question, actually.
[00:13:33.247 --> 00:13:40.855]  You know, you take the political talking points that you hear on all news sites and you utilize those.
[00:13:41.536 --> 00:13:55.840]  And so you realize that that's all they are, just talking points, that you're really not delving into the reason that they're there, or even paying attention to the fact that you're getting kicked in the butt no matter who you vote for, if you're president, Republican or Democrat.
[00:13:56.340 --> 00:14:00.041]  It seems to just keep going in that one direction, no matter what's going on.
[00:14:00.141 --> 00:14:07.482]  So politically, I would have to say that I was very close-minded in terms of understanding how the world works.
[00:14:07.542 --> 00:14:08.803]  I'm still not there.
[00:14:10.103 --> 00:14:12.985]  But yeah, it's eye-opening, especially moderating comments.
[00:14:13.045 --> 00:14:16.367]  You see what people are saying and you see what they're... But you're totally already there!
[00:14:16.788 --> 00:14:22.652]  I learned so much from the comments, how trolls operate, but also nuances, how smart folks are, the points they make.
[00:14:23.032 --> 00:14:24.253]  Serpico said that today.
[00:14:24.673 --> 00:14:28.076]  He said, I love going to websites and reading the thought-provoking ideas.
[00:14:28.536 --> 00:14:34.280]  Because people, really a lot of smart folks out there, and there's the system and the trolls like, don't, don't, don't, don't do that.
[00:14:34.320 --> 00:14:37.402]  But you have, I mean, you do have deep understanding.
[00:14:37.663 --> 00:14:42.366]  I mean, the things you, everything you always say really has piercing clarity and boiling it down.
[00:14:42.906 --> 00:14:46.189]  I mean, I could spend an hour trying to describe something, but you just did it.
[00:14:46.729 --> 00:14:49.131]  The mainstream media wants something to be one dimensional.
[00:14:51.024 --> 00:14:57.409]  Instead of, you know, two-dimensional, they don't want you to look layers within or even ask, where does something come from?
[00:14:57.449 --> 00:15:01.052]  Well, what's fascinating is actually my fascination with the healthcare industry.
[00:15:01.072 --> 00:15:04.175]  I actually was pursuing to go to med school before I got this job.
[00:15:04.295 --> 00:15:05.897]  That was one of my aspirations.
[00:15:05.997 --> 00:15:09.159]  And I've decided I don't want anything to do with the allopathic system.
[00:15:09.199 --> 00:15:15.865]  I think it's all about pharmaceuticals and pushing this agenda 21, essentially, which at the time I had no idea about.
[00:15:15.945 --> 00:15:17.927]  But the idea being that people
[00:15:19.480 --> 00:15:19.820]  We're good to go.
[00:15:41.846 --> 00:15:43.326]  Essentially, nobody cares.
[00:15:43.406 --> 00:15:45.327]  Like, nobody cares enough to ask those questions.
[00:15:45.527 --> 00:15:49.888]  And then coming here... And it's so stupid because these people that don't care, it's affecting their family.
[00:15:50.128 --> 00:15:50.648]  Absolutely.
[00:15:50.828 --> 00:15:55.469]  And it's mind-boggling to think that nobody would even ask that question.
[00:15:55.589 --> 00:15:57.329]  And then when they do, they're discouraged.
[00:15:57.629 --> 00:15:58.770]  See how smart she is?
[00:16:01.110 --> 00:16:01.930]  Do go on, Alex.
[00:16:01.950 --> 00:16:02.751]  Oh, do go on.
[00:16:03.191 --> 00:16:04.311]  No, you're doing a good job.
[00:16:04.351 --> 00:16:05.111]  No, I'm serious.
[00:16:05.171 --> 00:16:05.971]  Everybody's got it.
[00:16:06.451 --> 00:16:07.532]  And I'm the same way.
[00:16:07.572 --> 00:16:08.712]  I'm self-deprecating, but...
[00:16:10.356 --> 00:16:16.520]  Look, we all recognize inherent truth, and we recognize we're not getting it from the mainstream media.
[00:16:16.760 --> 00:16:25.645]  I mean, they'll be accurate about a plane crash here or there was a fire there, but they'll take some issue about, well, Assad's mean, and we're going to get rid of him.
[00:16:25.665 --> 00:16:27.926]  And it's like, but you admit you're using al-Qaeda on them.
[00:16:27.986 --> 00:16:29.627]  I mean, I'm no rocket scientist.
[00:16:30.368 --> 00:16:34.030]  You're telling me give them my way of life and be a slave because of al-Qaeda, but you work with them?
[00:16:34.230 --> 00:16:34.450]  Right.
[00:16:35.128 --> 00:16:37.150]  I mean, I just keep, that's all I can talk about.
[00:16:37.370 --> 00:16:40.032]  It's just 9-11 being an inside job, all of it.
[00:16:40.072 --> 00:16:40.672]  I mean, there it is.
[00:16:41.033 --> 00:16:41.533]  Just proof.
[00:16:41.873 --> 00:16:46.237]  Well, I hate that terrorists have become one of those, like, gourmet as to food.
[00:16:46.277 --> 00:16:49.779]  I mean, it's just, it's overused and it's a fear monster.
[00:16:49.799 --> 00:16:52.442]  Yeah, like Chef Boyardee dog food crud.
[00:16:53.122 --> 00:16:54.323]  And they says, gourmet!
[00:16:54.423 --> 00:16:55.804]  And it's got a guy with a white hat on it.
[00:16:55.824 --> 00:16:57.465]  So it must be really good.
[00:16:57.666 --> 00:16:58.126]  Absolutely.
[00:16:58.146 --> 00:16:59.347]  And that's what they've done with terrorism.
[00:16:59.847 --> 00:17:02.189]  In the name of fear, you're willing to give up all your rights.
[00:17:02.249 --> 00:17:03.890]  Like, starting with the TSA.
[00:17:04.591 --> 00:17:07.094]  Like, those kind of ideas, those kind of issues.
[00:17:07.214 --> 00:17:07.775]  Exactly!
[00:17:07.915 --> 00:17:10.758]  All we're doing is unplugging from this BS system.
[00:17:10.778 --> 00:17:12.300]  It doesn't even mean we have all the answers.
[00:17:13.121 --> 00:17:17.206]  How many questions are we... I've got to leave in... I think we're at question 3 right now.
[00:17:17.286 --> 00:17:19.889]  I've got to leave in 20 minutes to go see my grandmother.
[00:17:19.909 --> 00:17:22.291]  That's right, I'm a good person on Friday night.
[00:17:22.311 --> 00:17:23.493]  I'm going to see my grandmother.
[00:17:23.973 --> 00:17:25.095]  Filet mignon and everything.
[00:17:25.612 --> 00:17:25.992]  That's right.
[00:17:26.032 --> 00:17:27.753]  I only see her about once a month.
[00:17:27.773 --> 00:17:29.434]  She likes steaks, and I'm going to bring her a steak.
[00:17:29.494 --> 00:17:30.295]  That's awesome.
[00:17:30.475 --> 00:17:31.235]  You actually heard me.
[00:17:31.755 --> 00:17:35.317]  You were coming in there, and some of my wife said, honey, will you get her a steak?
[00:17:35.337 --> 00:17:36.258]  Because she likes a steak.
[00:17:36.278 --> 00:17:39.099]  And we're all going to drive over with the kids and hang out with her.
[00:17:39.640 --> 00:17:40.120]  Sounds fun.
[00:17:40.240 --> 00:17:41.581]  That's about all my grandmother will eat.
[00:17:42.021 --> 00:17:42.641]  She hardly eats.
[00:17:42.701 --> 00:17:45.343]  I tell you, I don't know how that woman, she doesn't eat anything.
[00:17:45.403 --> 00:17:45.883]  Like a bird.
[00:17:46.343 --> 00:17:47.424]  Yeah, she is like a barber.
[00:17:47.444 --> 00:17:49.345]  You bring her a little filet, she'll eat it.
[00:17:49.505 --> 00:17:49.846]  Oh yeah.
[00:17:50.046 --> 00:17:50.446]  Anyways.
[00:17:50.966 --> 00:17:53.488]  Well, the next question actually is from Ian.
[00:17:53.508 --> 00:17:58.412]  He says, I recently saw a picture of a drone that was used in a news article on the back.
[00:17:58.632 --> 00:18:01.654]  It had a NASA symbol.
[00:18:02.515 --> 00:18:06.277]  And I know that NASA has stopped sending ships to the space station.
[00:18:06.738 --> 00:18:11.341]  Does this mean that NASA is no longer doing that and instead they're working with the National Defense?
[00:18:11.977 --> 00:18:13.798]  Well, great question.
[00:18:14.378 --> 00:18:23.544]  NASA, since it was set up under the office of the President in the late 40s, has always been a military operation.
[00:18:24.804 --> 00:18:27.746]  And so much of the secret government is actually under NASA.
[00:18:28.206 --> 00:18:35.711]  The space program was only their PR campaign to sell you on budgetary funding, conservatively
[00:18:37.461 --> 00:18:42.666]  It was about 80% until the last few years of NASA funding went to secret projects.
[00:18:43.146 --> 00:18:44.568]  Like, oh, secret launch of NASA.
[00:18:45.388 --> 00:18:46.049]  Now it's over 90%.
[00:18:47.390 --> 00:18:54.957]  And the 1930s technology of Werner Von Braun, who was the big Nazi expert, he drew and designed the space shuttle in the 30s.
[00:18:54.997 --> 00:18:57.700]  Right before Hitler had come to power.
[00:18:58.928 --> 00:19:01.210]  He became his head of projects.
[00:19:01.630 --> 00:19:03.332]  So he came over to the U.S.
[00:19:03.392 --> 00:19:04.072]  in the 50s.
[00:19:04.593 --> 00:19:07.696]  He was taken actually after World War II in the 40s, 45 to be technical.
[00:19:08.516 --> 00:19:11.739]  And you've got the Goddard Space Center.
[00:19:11.799 --> 00:19:12.940]  He was also a big Nazi.
[00:19:13.420 --> 00:19:15.122]  So it wasn't just Nazis in that.
[00:19:15.142 --> 00:19:16.543]  It was Nazis over intelligence.
[00:19:16.563 --> 00:19:17.684]  They said, oh, we like your model.
[00:19:17.724 --> 00:19:18.164]  You're the boss.
[00:19:19.005 --> 00:19:22.669]  They actually took about 14,000 top Nazis over here to run everything.
[00:19:23.029 --> 00:19:23.950]  Including Nerve Gas.
[00:19:23.970 --> 00:19:24.190]  Paperclip?
[00:19:24.370 --> 00:19:25.491]  Is that Project Paperclip?
[00:19:25.812 --> 00:19:26.432]  Yeah, exactly.
[00:19:26.472 --> 00:19:27.794]  A Ratline paperclip.
[00:19:28.054 --> 00:19:33.800]  But they also would have the Nazis run the programs to bring some young troops in and Nerve Gas them in a chamber.
[00:19:34.200 --> 00:19:36.762]  Just to have the Nazis see if they could get US
[00:19:37.543 --> 00:19:37.843]  U.S.
