[00:00:10.706 --> 00:00:13.347]  I'm Melissa Melton reporting for InfoWars Nightly News.
[00:04:21.329 --> 00:04:23.110]  out of Pakistan and to kick their drones out.
[00:04:23.450 --> 00:04:27.431]  Right as this happens, there's this big propaganda victory, and what do they do?
[00:04:28.430 --> 00:04:31.071]  They take the body and throw it in the ocean.
[00:04:31.211 --> 00:04:32.671]  They say, do you really believe that?
[00:04:32.831 --> 00:04:33.971]  No one is buying that.
[00:04:34.511 --> 00:04:41.853]  When the announcement finally came that Osama Bin Laden was dead, the White House changed its story so many times, it was hard to keep anything straight.
[00:04:42.213 --> 00:04:44.714]  First, the raid involved a 40-minute shootout.
[00:04:45.354 --> 00:04:46.734]  Then, there was no shootout.
[00:04:47.054 --> 00:04:49.395]  Then, only one unnamed man was armed.
[00:04:49.995 --> 00:04:51.416]  Then Bin Laden was armed.
[00:04:51.836 --> 00:04:56.538]  Then he wasn't armed, and it was reported that he used his wife as a human shield.
[00:04:56.918 --> 00:05:09.684]  To go along with the ever-changing official's story, the White House also released a Situation Room photo depicting a grave President Obama and Hillary Clinton with her hand over her mouth, supposedly watching the Bin Laden raid live.
[00:05:10.364 --> 00:05:17.988]  But CIA Director Leon Panetta later admitted that wasn't possible, as the live feed had been cut before the Navy SEAL team even went in.
[00:05:18.933 --> 00:05:28.797]  Speaking of the Navy SEALs that carried out the raid, controversy intensified when our government announced that some members of SEAL Team 6, responsible for the raid, died in a helicopter crash two months later.
[00:05:29.437 --> 00:05:38.501]  I have two sources inside the Army and I have another source inside the Marines, a colonel, who have confirmed and talked to members of the family.
[00:05:38.908 --> 00:05:39.368]  of course.
[00:05:53.635 --> 00:05:58.200]  In the wake of the raid, Disney even tried to copyright the name Navy Seal Team 6.
[00:05:59.561 --> 00:06:03.045]  The Situation Room photo wasn't the only photo proven a fraud, either.
[00:06:03.065 --> 00:06:11.734]  A photograph the media pounced all over in the days following the raid, reportedly of Bin Laden's body, was also shown to be a manipulated fake.
[00:06:12.435 --> 00:06:15.256]  Multiple books were also released following the raid.
[00:06:15.736 --> 00:06:23.698]  The latest one published by a Navy SEAL who claimed his work was a first-hand boots-on-the-ground account and that he witnessed Bin Laden's death with his own eyes.
[00:06:24.398 --> 00:06:27.959]  The publisher even claimed the book was not vetted by the Pentagon.
[00:06:28.800 --> 00:06:37.362]  But as we witnessed with the arrest and detainment of Brandon Robb, release of an unapproved book of this magnitude would garner a full-scale assault on its author.
[00:06:38.686 --> 00:06:39.507]  So let's recap.
[00:06:39.608 --> 00:06:47.781]  Ten years later, and the greatest manhunt in history as the movie puts it, and we finally caught and killed the man responsible for one of the greatest crimes ever committed on U.S.
[00:06:47.841 --> 00:06:52.069]  soil, and yet we have no valid photographs and no conclusive proof.
[00:06:53.502 --> 00:06:57.745]  If you want a conspiracy theory to exist, that's how you start it.
[00:06:59.386 --> 00:07:14.055]  The most elusive character on the face of the planet, the most elusive human being, the Bigfoot of people, and you catch him and kill him, but yeah, we chucked him in the drink right away because we didn't want any more problems.
[00:07:14.468 --> 00:07:27.596]  The latest news to break on the Bin Laden raid came a few weeks ago, when heavily redacted emails obtained through an Associated Press FOIA request revealed that no American sailors aboard the USS Carl Vinton had witnessed Bin Laden's sea burial.
[00:07:28.156 --> 00:07:34.700]  Another email from the Public Affairs Officer claimed that only a small group of the ship's leadership were even informed of the burial.
[00:07:35.239 --> 00:07:49.565]  Though the release of Zero Dark Thirty was delayed until after the presidential election, supposedly to ward off accusations of a political agenda, with a mountain of evidence showing we've never been given the full story here, it's hard to think this movie has anything but a political agenda.
[00:07:50.485 --> 00:07:55.026]  So much propaganda was released following the Bin Laden raid, it's unclear what really happened.
[00:07:55.467 --> 00:08:03.369]  But saying this movie is based on a true story is a lot like saying Winnie the Pooh is based on a real life bear named Winifred and a real life little boy named Christopher Robin.
[00:08:03.769 --> 00:08:06.850]  And yet, I've never seen one talking tiger in real life.
[00:08:07.450 --> 00:08:09.711]  For InfoWars Nightly News, I'm Melissa Melton.
