[00:00:10.034 --> 00:00:10.634]  And welcome back.
[00:05:11.473 --> 00:05:18.475]  And so, all we're doing is responding to the situation and trying to fix what 22 years ago occurred.
[00:05:19.075 --> 00:05:20.095]  Right, that's exactly right.
[00:05:20.455 --> 00:05:24.877]  Now, do you have any kind of specifications on what type of firearms your staff can carry?
[00:05:24.957 --> 00:05:25.937]  Anything that they can't carry?
[00:05:26.797 --> 00:05:33.523]  Well, generally we have some guidelines on that so that we can, you know, share ballistics and stuff like that, and they need to be significant.
[00:05:33.964 --> 00:05:38.888]  So we do have, you know, we want to make sure that we have significant firepower.
[00:05:39.329 --> 00:05:39.549]  Okay.
[00:05:39.909 --> 00:05:44.133]  And you talked about concealed carry training.
[00:05:44.673 --> 00:05:49.438]  Do you have any other type of specialty training that your teachers need to go through before they're allowed to carry on campus?
[00:05:49.898 --> 00:05:55.984]  Yeah, we have some significant, I'll just call it that, and it mainly has to do with accuracy.
[00:05:56.284 --> 00:06:03.992]  We also do some room clearance, and we also do some hostage type situations, but mainly accuracy.
[00:06:04.032 --> 00:06:08.716]  That's the one thing we need to have, and I think that was borne out in the recent San Antonio
[00:06:09.797 --> 00:06:10.498]  We're good to go.
[00:06:30.163 --> 00:06:30.363]  Right.
[00:06:30.783 --> 00:06:34.125]  Now, recently we've heard a lot about regulations on firearms.
[00:06:34.145 --> 00:06:35.386]  We've heard Obama talk about it.
[00:06:35.426 --> 00:06:40.729]  We've heard about Mary Bloomberg talk about, you know, semi-automatic weapons.
[00:06:41.410 --> 00:06:44.972]  I'm guessing maybe one or two of your staff carries a semi-automatic.
[00:06:45.232 --> 00:06:48.334]  And of course, referring to the shooter, he had a semi-automatic rifle.
[00:06:48.714 --> 00:06:55.038]  You yourself, maybe getting away from the schools, do you see any need for restrictions on firearms of any type here in the U.S.?
[00:06:55.118 --> 00:06:55.238]  No.
[00:06:55.258 --> 00:06:57.840]  I mean, I don't think they have read the Second Amendment.
[00:06:58.720 --> 00:06:59.380]  I know they haven't.
[00:07:00.681 --> 00:07:04.182]  And this is what's causing all of this.
[00:07:04.583 --> 00:07:05.163]  I'm sorry.
[00:07:05.483 --> 00:07:09.685]  If they don't like the Constitution, I think they should go to Russia or somewhere else.
[00:07:09.765 --> 00:07:11.606]  North Korea.
[00:07:11.626 --> 00:07:15.787]  As we've found out, he's fundamentally changing America, and this is what they want.
[00:07:16.108 --> 00:07:17.748]  And I've heard people say, it's not right.
[00:07:17.988 --> 00:07:19.709]  You know that the Constitution's outdated.
[00:07:20.289 --> 00:07:21.450]  No, it's not.
[00:07:22.050 --> 00:07:24.031]  It does work, and it can work.
[00:07:24.091 --> 00:07:24.751]  And you know what?
[00:07:24.771 --> 00:07:25.712]  You take away your freedoms,
[00:07:26.372 --> 00:07:27.753]  Yeah, don't tell me what to do.
[00:07:27.773 --> 00:07:29.854]  Don't tell me what I don't need.
[00:07:46.843 --> 00:07:47.163]  You know?
[00:07:47.443 --> 00:07:51.805]  I mean, again, I guess I don't really understand.
[00:07:51.825 --> 00:07:54.146]  Well, I know what the mindset is.
[00:07:54.386 --> 00:07:56.307]  They think that guns are evil, period.
[00:07:56.567 --> 00:07:58.208]  They want to come up with excuses.
[00:07:58.688 --> 00:08:00.429]  That's all they're doing with all of this.
[00:08:00.689 --> 00:08:05.271]  They keep on coming up with excuses that I have to have a need in order to have my freedom.
[00:08:05.671 --> 00:08:05.951]  You know?
[00:08:06.692 --> 00:08:10.793]  Well, are we going to start restricting certain types of speech?
[00:08:11.314 --> 00:08:12.094]  That's next.
[00:08:12.454 --> 00:08:13.114]  It already has.
[00:08:13.355 --> 00:08:16.036]  Are we restricting certain types of religious practices?
[00:08:16.676 --> 00:08:18.077]  We pretty much have, haven't we?
[00:08:18.397 --> 00:08:19.598]  We need to stop this stuff.
[00:08:20.018 --> 00:08:26.582]  You know, at some point in time, somebody's going to have to say, wait a second, why am I offending you by buying this weapon?
[00:08:27.523 --> 00:08:34.287]  Unless I go out and for some reason, you know, I think I've heard Ted Nugent say this, you know, you dropped me out of space.
[00:08:34.467 --> 00:08:43.893]  Unless you have a reason to take away my freedoms, you know, if I've been a felon or something, I should not have any restrictions on my freedoms.
[00:08:44.213 --> 00:08:44.393]  Right.
[00:08:44.853 --> 00:08:48.055]  And just as we've seen, the attacks aren't always with a gun.
[00:08:48.115 --> 00:08:49.136]  I believe it was in China.
[00:08:49.496 --> 00:08:54.518]  The gentleman slashed, I think it was 20, 22 kids and staff with a knife.
[00:08:55.039 --> 00:08:56.319]  Yeah, I don't remember the exact number.
[00:08:56.399 --> 00:08:58.600]  It happened in London as well at a daycare center.
[00:08:58.841 --> 00:08:59.041]  Right.
[00:08:59.541 --> 00:09:01.662]  And those types of things happen.
[00:09:01.702 --> 00:09:04.924]  And when you talk about gun control, they're talking about murders.
[00:09:04.984 --> 00:09:09.466]  Russia, Brazil, Mexico have higher murder rates than we do.
[00:09:09.846 --> 00:09:10.266]  They're not.
[00:09:10.366 --> 00:09:11.487]  They have no guns allowed.
[00:09:11.927 --> 00:09:13.048]  Right, that's exactly right.
[00:09:13.088 --> 00:09:14.249]  But people don't want to talk about that.
[00:09:14.289 --> 00:09:22.336]  They don't want to talk about all these shooters who are hopped up on these different types of drugs and all these other factors that could have played into it.
[00:09:22.676 --> 00:09:26.619]  And we hear the excuse, oh, well, he had a gun that he took from his mom.
[00:09:26.639 --> 00:09:38.108]  Well, first of all, the guy, I guess you could say, stole the gun from his mother, took it to a school zone, which was two felonies already, just walking in the door with a gun, and then decided to open fire.
[00:09:38.148 --> 00:09:39.630]  Yeah, I hear about the laws.
[00:09:40.390 --> 00:09:43.674]  Again, you make a law, only the law-abiding citizens will not break the law.
[00:09:43.934 --> 00:09:52.903]  That's exactly right, because, I mean, if you impose a clip size or a weapon type, that's just for law-abiding citizens not to carry this thing.
[00:09:52.923 --> 00:09:58.649]  This guy obviously wasn't caring about the law, even before he shot a shot, just taking his firearm to the school.
[00:09:58.669 --> 00:10:01.111]  He obviously wasn't, you know, abiding by the law.
[00:10:02.032 --> 00:10:03.293]  Exactly, yeah.
[00:10:03.413 --> 00:10:10.357]  And that's what's just, again, ridiculous about some of these arguments that also say that guns kill kids and their data.
[00:10:10.777 --> 00:10:12.578]  Eighteen kids a day are killed by guns.
[00:10:12.598 --> 00:10:14.919]  Well, their kids go from zero to nineteen.
[00:10:15.340 --> 00:10:16.680]  You know, disaggregate that data.
[00:10:16.721 --> 00:10:19.802]  When you get around to twelve and thirteen, you're talking about gang murders.
[00:10:20.162 --> 00:10:21.683]  That's exactly what they're talking about.
[00:10:21.703 --> 00:10:23.044]  They're not talking about that.
[00:10:23.064 --> 00:10:23.985]  And besides, it's a tool.
[00:10:24.685 --> 00:10:26.406]  And what we know about tools, you know?
[00:10:26.707 --> 00:10:28.828]  And another argument for the teachers.
[00:10:29.088 --> 00:10:30.649]  Oh, the teachers are going to shoot the kids.
[00:10:31.090 --> 00:10:34.972]  Oh, I can't believe that I'm 364 days out of the year.
[00:10:35.293 --> 00:10:36.614]  You know, teachers are wonderful.
[00:10:37.014 --> 00:10:37.754]  Oh, they're wonderful.
[00:10:38.095 --> 00:10:38.995]  We couldn't do without them.
[00:10:39.015 --> 00:10:39.616]  They're heroes.
[00:10:39.816 --> 00:10:42.858]  And then on day 365, suddenly they're going to be killing kids.
[00:10:43.318 --> 00:10:43.859]  I'm sorry.
[00:10:43.919 --> 00:10:45.240]  If a teacher wants to be that
[00:10:45.820 --> 00:10:46.320]  Idiotic.
[00:10:46.521 --> 00:10:50.163]  They've got scissors, pencils, scalpels in our biology lab.
[00:10:50.343 --> 00:10:56.607]  There should be blood running in the streets if teachers are that maniac, maniacal.
[00:10:56.868 --> 00:10:58.409]  So, this is a problem.
[00:10:58.649 --> 00:11:00.930]  They just come up with stupid arguments.
[00:11:01.070 --> 00:11:03.732]  They have stupid arguments, and that's all they really have.
[00:11:04.713 --> 00:11:12.158]  They misinterpret data, or they have, again, they just sneer at it and say it's a stupid idea, and they just go at homonym attacks.
[00:11:12.538 --> 00:11:17.144]  Right, and I remember when I was in school it was anything that could be used as a weapon was a weapon.
[00:11:17.525 --> 00:11:23.352]  I'm not sure if you guys have that rule down here in Texas, but I mean you could beat somebody to death with a book if you wanted to.
[00:11:23.372 --> 00:11:25.635]  If you were that motivated.
[00:11:25.836 --> 00:11:26.376]  I'm sorry.
[00:11:27.452 --> 00:11:27.652]  Right.
[00:11:27.952 --> 00:11:29.593]  Well, I definitely appreciate you, Tom Dale.
[00:11:29.633 --> 00:11:31.334]  I know you've been up since early this morning.
[00:11:31.354 --> 00:11:33.235]  Do you have any closing comments?
[00:11:33.956 --> 00:11:34.696]  No.
[00:11:34.836 --> 00:11:40.159]  We just need to do something in our country, and we need to protect our kids.
[00:11:40.199 --> 00:11:41.160]  I mean, they are valuable.
[00:11:41.580 --> 00:11:43.701]  We spend a lot of money protecting our money.
[00:11:44.201 --> 00:11:47.083]  We don't spend very much money protecting our kids, and we need to do that.
[00:11:47.123 --> 00:11:54.047]  Plus, we just need to use common sense, and we also need to put our biases and our fears aside and do what's right.
[00:11:54.927 --> 00:11:59.013]  All right, David Thweatt, Superintendent at Herald ISD, definitely appreciate your time, sir.
[00:11:59.674 --> 00:12:00.936]  Absolutely, glad to be with you.
[00:12:00.956 --> 00:12:01.657]  All right, thanks.
