[00:00:00.349 --> 00:00:02.913]  I'm Melissa Melton reporting for InfoWars.com.
[00:02:18.492 --> 00:02:18.652]  No.
[00:02:18.672 --> 00:02:18.752]  No.
[00:02:18.792 --> 00:02:18.892]  No.
[00:02:18.952 --> 00:02:19.012]  No.
[00:02:19.052 --> 00:02:19.132]  No.
[00:02:19.192 --> 00:02:19.252]  No.
[00:02:19.272 --> 00:02:19.412]  No.
[00:02:19.452 --> 00:02:19.552]  No.
[00:02:19.572 --> 00:02:19.612]  No.
[00:02:19.632 --> 00:02:19.692]  No.
[00:02:19.713 --> 00:02:19.793]  No.
[00:02:19.833 --> 00:02:19.933]  No.
[00:02:19.993 --> 00:02:20.073]  No.
[00:02:20.113 --> 00:02:20.173]  No.
[00:02:20.213 --> 00:02:20.293]  No.
[00:02:20.313 --> 00:02:20.373]  No.
[00:02:20.393 --> 00:02:20.433]  No.
[00:02:20.453 --> 00:02:20.493]  No.
[00:02:20.533 --> 00:02:20.613]  No.
[00:02:20.653 --> 00:02:20.733]  No.
[00:02:20.753 --> 00:02:20.793]  No.
[00:02:20.813 --> 00:02:20.853]  No.
[00:02:20.873 --> 00:02:20.993]  No.
[00:02:21.034 --> 00:02:21.094]  No.
[00:02:21.134 --> 00:02:21.174]  No.
[00:02:21.194 --> 00:02:21.234]  No.
[00:02:21.254 --> 00:02:21.294]  No.
[00:02:21.314 --> 00:02:21.374]  No.
[00:02:21.394 --> 00:02:21.434]  No
[00:02:23.208 --> 00:02:24.248]  I think that's terrible.
[00:02:24.328 --> 00:02:33.152]  Sounds kind of like Chinese foreign policy or interior policy regarding their house and how they're controlling all aspects of your life.
[00:02:34.092 --> 00:02:35.112]  I don't think it sounds fair.
[00:02:35.132 --> 00:02:36.753]  Oh wow.
[00:02:37.813 --> 00:02:48.217]  This map, entitled Simulated Reserve and Corridor System to Protect Biodiversity, illustrates how the UN's Agenda 21 plan would work in the United States.
[00:02:49.324 --> 00:02:53.266]  Under this takeover, all personal property rights would cease to exist.
[00:02:54.187 --> 00:03:00.111]  The red zones, which make up the map's majority, will be mandated for little to no human use.
[00:03:01.075 --> 00:03:04.756]  The yellow zones are buffer zones for highly regulated use.
[00:03:05.836 --> 00:03:09.937]  Only in the scant green areas is any normal human use allowed.
[00:03:10.817 --> 00:03:26.819]  The tiny black dots are the dense megacities, where transportation will be tightly controlled, freedom will be restricted, and people will be packed in like sardines, living in tiny 275 square foot units amounting to little more than jail cells.
[00:03:27.720 --> 00:03:29.600]  All in the name of saving the Earth.
[00:03:30.552 --> 00:03:36.175]  Let's move right along now to Agenda 21 micro apartment scheme being beta tested in New York City.
[00:03:36.595 --> 00:03:45.140]  Now they passed a law last year, 2011 in Germany, saying that all new homes by 2020 could not be single-parent.
[00:03:45.160 --> 00:03:46.561]  You've got to live in these big dormitories.
[00:03:48.001 --> 00:03:58.328]  And now Bloomberg, who wants to control what you eat and what you do and ban your guns, says these studios and one-bedroom apartments, they're like closets, will be no bigger than 275 to 300 square feet.
[00:03:58.348 --> 00:04:00.830]  That's called a tiny supermax cell.
[00:04:01.310 --> 00:04:05.773]  These tiny living spaces are smaller than currently allowed by building regulations.
[00:04:06.393 --> 00:04:08.114]  And they say this is good for the earth.
[00:04:08.375 --> 00:04:10.196]  See, they can raise more taxes.
[00:04:10.756 --> 00:04:15.259]  They'll charge you more for a 200 square foot cell than for a 1,000 foot.
[00:04:16.621 --> 00:04:17.604]  This is how this works.
[00:04:18.627 --> 00:04:19.750]  More for less.
[00:04:19.831 --> 00:04:24.003]  The Eugenics Agenda 21 Post-Industrial Slave Model.
[00:04:24.571 --> 00:04:29.034]  They're actually already beta testing these micro apartments in New York City and San Francisco.
[00:04:29.054 --> 00:04:29.635]  Have you heard of that?
[00:04:29.895 --> 00:04:30.275]  I haven't.
[00:04:30.436 --> 00:04:31.056]  I'm afraid not.
[00:04:31.857 --> 00:04:35.980]  I think we need to support abandoning this idea.
[00:04:36.000 --> 00:04:43.485]  Well, it's not going to happen if they're dealing with humans, because no one's going to bow down and say, yes, we are living in this.
[00:04:43.926 --> 00:04:45.547]  Not everybody's going to do it.
[00:04:46.348 --> 00:04:50.151]  As Agenda 21 creeps across the country, more and more people will be forced to face it.
[00:04:50.731 --> 00:04:58.035]  While sustainable development may sound like a beneficial idea, is giving up all of our liberty in the name of the greater good really such a good idea?
[00:04:58.055 --> 00:05:01.477]  I'm Melissa Melton reporting for InfoWars Nightly News.
