[00:00:00.209 --> 00:00:00.650]  I will.
[00:16:13.815 --> 00:16:26.881]  Dick Cheney talks about maybe we need to legitimize the use, he doesn't say maybe, he says we need to legitimize the use of race-specific bioweapons and legitimize their use in the media.
[00:16:27.602 --> 00:16:29.423]  Race-specific bioweapons.
[00:16:29.763 --> 00:16:31.884]  I mean, what a little jewel that is!
[00:16:32.836 --> 00:16:42.019]  Can you imagine if you or I got on the radio or wrote a news article about how maybe we should develop race-specific bioweapons and legitimize their use?
[00:16:42.539 --> 00:16:46.720]  I would expect I'd have the FBI... Mr. Jones, get out here!
[00:16:46.760 --> 00:16:47.840]  We got questions for you!
[00:16:48.120 --> 00:16:48.641]  Get out here!
[00:16:48.681 --> 00:16:49.901]  We're knocking down the door!
[00:16:50.221 --> 00:16:53.262]  See, if we had a real FBI, that's who they'd be after.
[00:16:53.914 --> 00:16:55.415]  But no, we're not saying that.
[00:16:55.515 --> 00:16:56.416]  We're not writing that.
[00:16:56.496 --> 00:16:57.357]  We're not doing that.
[00:16:57.577 --> 00:16:58.718]  We're fighting against that.
[00:16:59.158 --> 00:17:05.683]  But the Vice President says we need to legitimize the use of race-specific bioweapons with the public.
[00:17:07.044 --> 00:17:09.366]  Do you know what a race-specific bioweapon is?
[00:17:09.726 --> 00:17:10.427]  I know most of you do.
[00:17:10.927 --> 00:17:15.571]  It's a bioweapon that kills certain races of people.
[00:17:17.930 --> 00:17:25.074]  Again, I mean, that's so big, that's so evil, that's so out of control, so overt, I don't have words to describe it.
[00:17:26.274 --> 00:17:27.555]  Maybe you want to comment on it.
[00:17:27.575 --> 00:17:28.775]  1-800-259-9231.
[00:17:28.795 --> 00:17:28.875]  800-259-9231.
[00:17:28.895 --> 00:17:32.857]  So, this whole O'Neill thing is not vindication for this show and other broadcasts.
[00:17:43.701 --> 00:17:45.142]  Okay, we don't need vindication.
[00:17:45.202 --> 00:17:52.928]  We have the signed confessions of these people from their own battle plans, which they haven't tried to hide because they know the media is on their side.
[00:17:53.909 --> 00:18:02.675]  But so much of this PNAC news has come out that they're allowing this O'Neal story to come forward, and I have no doubt it is sour grapes and he is telling the truth.
[00:18:02.735 --> 00:18:06.338]  Not because I think O'Neal's a good guy, but because I already have the documents.
[00:18:07.978 --> 00:18:14.023]  And so now the neocons, the Rush Limbaugh's of the world, can attack O'Neill and say it's just sour grapes.
[00:18:15.664 --> 00:18:19.147]  And go, oh, the big O, you know, didn't like being bullied.
[00:18:19.167 --> 00:18:20.307]  You know, what a wimp.
[00:18:21.188 --> 00:18:23.770]  You know, he didn't agree with Bush's tax cuts.
[00:18:23.810 --> 00:18:24.751]  He's a liberal.
[00:18:24.831 --> 00:18:25.171]  See?
[00:18:25.652 --> 00:18:27.433]  This is how the left is getting at us.
[00:18:28.133 --> 00:18:29.094]  On and on and on.
[00:18:29.615 --> 00:18:30.455]  It's a joke.
[00:18:31.176 --> 00:18:36.500]  And so it will descend down into those types of debates.
[00:18:38.949 --> 00:18:43.370]  And try to get in one of these neocon shows, try to get into the show, and talk about PNAC.
[00:18:43.430 --> 00:18:45.271]  They'll scream you off the air.
[00:18:45.971 --> 00:18:47.832]  If it's a national show, you're not going to get on.
[00:18:47.872 --> 00:18:51.353]  If it's a local show, probably you won't be able to get on.
[00:18:51.433 --> 00:19:04.197]  It'll all just be O'Neill, sour grapes, and now when anybody talks about the White House's plan to attack Iraq before they even got into office, it'll be, oh, that's just from that O'Neill, you've got sour grapes.
[00:19:05.997 --> 00:19:07.818]  This is how their propaganda works.
[00:19:08.487 --> 00:19:20.135]  The news will focus in on evidence that cannot be totally proven while ignoring a sea of real, smoking gun, red flag, incontrovertible documentation.
[00:19:21.416 --> 00:19:22.377]  And so that's the reality.
[00:19:22.417 --> 00:19:31.023]  It's like cops going into Jeffrey Dahmer's house and ignoring the refrigerator full of body parts, looking at it, closing it, and saying, you can go free, sir.
[00:19:31.424 --> 00:19:35.927]  I don't see any evidence of what your neighbor says about you.
[00:19:37.495 --> 00:19:42.859]  So the police are focusing on the neighbor of Jeffrey Dahmer instead of going into his refrigerator.
[00:19:43.220 --> 00:19:45.822]  Well, we've been into the refrigerator of the White House.
[00:19:46.222 --> 00:19:48.104]  We know the horrors that are in there.
[00:19:49.084 --> 00:19:49.805]  It's on the record.
[00:19:51.246 --> 00:19:52.327]  Okay.
[00:19:52.367 --> 00:19:53.768]  You can comment on that if you like.
[00:19:55.470 --> 00:19:59.333]  There's more on O'Neill, more stuff O'Neill talked about that is a little more important.
[00:19:59.933 --> 00:20:02.435]  Tribes find chemical weapons in Iraq, they're now claiming.
[00:20:02.455 --> 00:20:03.256]  We'll go over that.
[00:20:04.079 --> 00:20:08.421]  And just a ton of other news, big show, lined up for you today.
[00:20:11.743 --> 00:20:15.945]  Hi, this is Jack Browning with a special offer for listeners of GCN Radio.
[00:20:16.225 --> 00:20:23.048]  Use the Declaration of Independence, the Constitution, and the Bill of Rights for your good, not the good of a manipulating government agency.
[00:20:23.476 --> 00:20:24.978]  Take control of your own destiny.
[00:20:25.158 --> 00:20:29.604]  GCN is contracted with Midas Resources for copies of The Citizen's Rulebook.
[00:20:29.804 --> 00:20:31.086]  This is more than a handbook.
[00:20:31.246 --> 00:20:34.570]  It is your guide to a freer life with less governmental interference.
[00:20:34.969 --> 00:20:35.669]  Here's the deal.
[00:20:35.909 --> 00:20:47.152]  Call MRI at 800-686-2237 and obtain two handbooks, one for yourself, one for a friend, and two silver dollars for just $24.95, shipping included.
[00:20:47.392 --> 00:20:53.674]  More than half these coins were melted under the Pittman Act of 1918, and later with a great silver run of the 70s and 80s.
[00:20:54.774 --> 00:20:59.595]  There are less than one of these coins surviving for every 20 persons in the United States.
[00:20:59.935 --> 00:21:01.876]  Call Midas today at 800-686-2237.
[00:21:04.156 --> 00:21:06.017]  Ask for the Freedom Handbook Special.
[00:21:06.397 --> 00:21:07.977]  That's Midas Resources at 800-686-2237.
[00:21:08.097 --> 00:21:09.958]  Thank you.
[00:21:10.018 --> 00:21:13.379]  Hey, John Satmiller here, and I have a question for you.
[00:21:13.599 --> 00:21:15.119]  Are you having an energy crisis?
[00:21:15.459 --> 00:21:18.060]  No, I'm not talking about the rising cost of gasoline.
[00:21:18.340 --> 00:21:20.220]  I'm talking about you, personally.
[00:21:20.480 --> 00:21:23.441]  Do you have the energy you need to do all the things in life that you need to do?
[00:21:23.741 --> 00:21:25.522]  If you're like most people, the answer is no.
[00:21:25.882 --> 00:21:29.642]  And that extra cup of coffee or an afternoon candy bar is not the solution.
[00:21:29.982 --> 00:21:32.843]  There's a safe and effective way to energize your life naturally.
[00:21:33.123 --> 00:21:35.164]  It's called Be Alive Royal Jelly.
[00:21:35.524 --> 00:21:38.804]  If you haven't tried it yet, you're missing out on one of nature's best kept secrets.
[00:21:39.184 --> 00:21:46.586]  Made naturally in a beehive, not manufactured in a lab, Royal Jelly is used by people around the world for energy, vitality and stamina.
[00:21:46.886 --> 00:21:48.768]  Call Be Alive today to find out more.
[00:21:48.928 --> 00:21:58.997]  Call toll free 866-321-1900 to order your supply of energizing Be Alive Royal Jelly and ask how you can get a free one month supply with your order.
[00:21:59.237 --> 00:22:07.964]  Call toll free 866-321-1900, tell them John sent you and put an end to your energy crisis with Be Alive Royal Jelly.
[00:22:07.984 --> 00:22:08.024]  866-321-1900.
[00:22:11.267 --> 00:22:15.151]  Black Berkey Replacement Elements are ideal for use in any gravity filter.
[00:22:15.391 --> 00:22:20.816]  These self-sterilizing filters can transform raw pond and lake water into delicious crystal clear drinking water.
[00:22:21.116 --> 00:22:31.465]  Ideal for travel or outdoor events and perfect in the event of hostile filtration environments such as local or national emergencies because they remove both harmful chemicals and pathogenic bacteria from water.
[00:22:31.645 --> 00:22:35.969]  So powerful they can remove pathogenic bacteria, cysts, parasites to non-detectable levels.
[00:22:36.149 --> 00:22:44.514]  Dry Halo Methane and volatile organic chemicals such as Atrazine, Benzene, Chlorine, Chloroform and NTBE are removed to below detectable limits.
[00:22:44.794 --> 00:22:51.098]  They reduce Nitrate and unwanted metals such as Lead, Mercury, Aluminum, Copper and foul tastes like Chlorine and Sulfur odors.
[00:22:51.258 --> 00:22:55.742]  Yet the Black Berkey Filter Elements leave in the helpful and beneficial minerals that your body needs.
[00:22:55.962 --> 00:23:00.165]  Normally $48 each, get a 2-pack for only $91 or a 4-pack for only $173.
[00:23:00.445 --> 00:23:05.009]  Get the powerful Black Berkey Replacement Filters now by calling New Millennium at 888-803-4438.
[00:23:05.029 --> 00:23:05.289]  That's 888-803-4438.
[00:23:11.397 --> 00:23:14.939]  Can you grow your own nutrition on a shelf indoors in 10 days?
[00:23:15.260 --> 00:23:15.600]  Yes.
[00:23:15.880 --> 00:23:18.242]  Wheatgrass juice is live superfood.
[00:23:18.522 --> 00:23:20.683]  The richest nutritional liquid known to man.
[00:23:20.804 --> 00:23:29.730]  Packed with amino acids, living enzymes, and over 100 elements, 2 ounces of juice have the same nutrition as 3 pounds of choice garden produce.
[00:23:29.890 --> 00:23:37.595]  The get-up-and-go energy, healing, blood building, weight control, and cleansing are just the beginnings of what you will reap from pennies worth of grain.
[00:23:37.815 --> 00:23:40.017]  Hi, I'm Alan Davison at Monocot Wheatgrass.
[00:23:40.357 --> 00:23:47.421]  The 200 pages of our book, Wheatgrass, Nature's Finest Medicine, will remove any anxieties you may have about your nutritional supply.
[00:23:47.581 --> 00:23:51.263]  In this kit, you will receive no monthly bills, no monthly pills.
[00:23:51.443 --> 00:23:53.063]  This is real self-sufficiency.
[00:23:53.143 --> 00:24:04.469]  To get more information about wheatgrass, the book, seed, and the beautiful stainless steel wheatgrass juicer, go to austinwheatgrass.com or call toll-free 1-877-MY-WHEAT.
[00:24:04.889 --> 00:24:08.031]  Thank you for your support of our labors and of this network.
[00:24:17.225 --> 00:24:21.188]  Alright, your calls are coming up here momentarily at 800-259-9231.
[00:24:21.208 --> 00:24:26.453]  And then, troops find chemical weapons in Iraq.
[00:24:26.553 --> 00:24:29.756]  Bush sought way to invade Iraq even before election.
[00:24:30.156 --> 00:24:33.499]  Border Council calls Bush plan slap in the face.
[00:24:34.220 --> 00:24:36.882]  Errant email shames RFID backer.
[00:24:38.141 --> 00:24:50.264]  They were asking Catherine Albrecht, the lady fighting the tracker chips, one of the leading fighters of that control system, they accidentally sent her an email because they've been contacting her for a bio.
[00:24:51.244 --> 00:25:06.407]  One of the people from the big RFID company that works for Gillette had sent her an email she'd sent to someone inside the corporation, accidentally sent her whole bundle of emails to her about ways to destroy her.
[00:25:07.156 --> 00:25:08.838]  Oh, they're trying to dig dirt up on her.
[00:25:09.578 --> 00:25:12.280]  Oh, RFID, such a sweet, nice thing.
[00:25:12.841 --> 00:25:29.075]  A microchip embedded in every product that tracks it from the factory to the warehouse to the store to your home with your name on it from the store to the landfill, part of the new sales tax, national sales tax, world sales tax system.
[00:25:30.803 --> 00:25:43.414]  Also, working in plain sight out of the San Diego Union Tribune, even they admit that there's almost zero enforcement of illegal aliens working inside major corporations.
[00:25:43.554 --> 00:25:53.003]  And it says that since four or five months ago, when they raided and arrested 300 at Walmart, there had been no other arrests nationwide.
[00:25:53.303 --> 00:25:55.145]  That was simply a staged event.
[00:25:56.881 --> 00:26:02.509]  And much more amendment to CCB would detain UK citizens without trial.
[00:26:02.529 --> 00:26:08.378]  They're now passing martial law provisions and legislations in England.
[00:26:09.395 --> 00:26:10.656]  And a lot more.
[00:26:10.676 --> 00:26:21.900]  There's also a reward issued in the hit-and-run murder of a chemist and microbiologist who was killed in that medical center last month.
[00:26:22.200 --> 00:26:24.061]  Obviously, a murder for hire.
[00:26:24.141 --> 00:26:28.123]  They ran over him and then backed back over him, jumping the sidewalk.
[00:26:28.983 --> 00:26:31.704]  So that's part of what's coming up as well.
[00:26:32.124 --> 00:26:35.445]  But right now, let's talk to Art in Kansas City.
[00:26:35.625 --> 00:26:36.326]  Art, you're on the air.
[00:26:36.366 --> 00:26:36.726]  Go ahead.
