[00:00:01.149 --> 00:00:02.749]  At 888-803-4438.
[00:05:00.512 --> 00:05:01.632]  So we're going to cover it.
[00:05:01.692 --> 00:05:06.353]  Russian Secret Service seizes copies of book linking it to 99 bombings.
[00:05:07.793 --> 00:05:11.074]  Government ministers to retain 150 secret laws.
[00:05:11.414 --> 00:05:12.034]  That's England.
[00:05:12.054 --> 00:05:13.114]  We're doing the same thing.
[00:05:13.534 --> 00:05:14.614]  Preparing for the draft.
[00:05:14.634 --> 00:05:15.915]  There's been a new development there.
[00:05:16.415 --> 00:05:17.835]  It's all coming up when we get back.
[00:05:17.875 --> 00:05:18.315]  Stay with us.
[00:05:21.471 --> 00:05:24.384]  What really happened September 11th and who stands to gain?
[00:05:25.083 --> 00:05:26.384]  Alex Jones here, America.
[00:05:26.584 --> 00:05:32.329]  We answer these vital questions and much, much more in my newest and most explosive documentary yet, 9-1-1, The Road to Tyranny.
[00:05:32.609 --> 00:05:37.874]  In two hours and 24 minutes, we point a searing light of truth on the history of problem-reaction solution.
[00:05:38.154 --> 00:05:42.297]  Brace yourselves as the new world order program for world domination is blown wide open.
[00:05:42.477 --> 00:05:46.281]  A nightmarish post-September 11th world, where the military and the police are merged.
[00:05:46.521 --> 00:05:51.185]  Witnesses populations beg for national ID cards, and yes, even implantable microchips.
[00:05:51.245 --> 00:05:53.987]  Troops on the streets, foreign NATO aircraft in the skies.
[00:05:54.307 --> 00:05:57.489]  Psychotic UN population control plans and much, much more.
[00:05:57.529 --> 00:05:59.390]  This is one film you cannot afford to miss.
[00:05:59.850 --> 00:06:01.931]  Order 9-1-1 The Road to Tyranny today.
[00:06:02.011 --> 00:06:05.373]  Call toll free 1-888-253-3139.
[00:06:05.693 --> 00:06:06.954]  That's 1-888-253-3139.
[00:06:07.895 --> 00:06:13.538]  Or order online at infowars.com or infowars.net.
[00:06:13.658 --> 00:06:15.659]  You see Big Brother's afraid of this documentary.
[00:06:15.899 --> 00:06:17.400]  Order today and spread the word.
[00:06:17.580 --> 00:06:19.641]  America's future depends on the truth getting out.
[00:06:21.772 --> 00:06:26.275]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:06:26.635 --> 00:06:30.717]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:06:31.017 --> 00:06:31.558]  We listened.
[00:06:31.878 --> 00:06:36.861]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:06:37.121 --> 00:06:37.621]  We listened.
[00:06:38.002 --> 00:06:41.043]  You asked us to develop a filter that was made in the USA.
[00:06:41.464 --> 00:06:41.984]  We listened.
[00:06:42.444 --> 00:06:46.527]  You asked us to include an emergency light for camping and during power outages.
[00:06:46.907 --> 00:06:47.387]  We listened.
[00:06:47.727 --> 00:06:52.970]  After 9-11, you asked us to develop a filter that was more powerful in removing chemical agents.
[00:06:53.391 --> 00:06:54.751]  Again, we listened.
[00:06:55.112 --> 00:07:02.496]  Introducing the Berkey Light, the gravity filter requested by America, designed by Americans, and made in America.
[00:07:02.876 --> 00:07:05.918]  Get the Berkey Light, the American water filter, for only $259
[00:07:12.375 --> 00:07:15.957]  That's toll-free, 888-803-4438.
[00:07:15.977 --> 00:07:19.480]  Not yet available in Iowa.
[00:07:21.341 --> 00:07:25.263]  Have you found your business isn't quite as profitable as it was before the economy went south?
[00:07:25.723 --> 00:07:27.765]  Are new clients a little harder to come by lately?
[00:07:28.245 --> 00:07:29.286]  Well, maybe we can help.
[00:07:29.726 --> 00:07:36.971]  Advertise your business on the GCN Radio Network, and you'll soon find out why companies all across the country are experiencing a steady flow of new customers.
[00:07:37.411 --> 00:07:39.172]  It's not by coincidence, it's by design.
[00:07:39.679 --> 00:07:44.981]  At GCN, we can increase your business with an ad package that's built specifically for your particular product or service.
[00:07:45.382 --> 00:07:50.884]  Join the many satisfied advertisers on the GCN radio network who found out that the economy isn't so bad after all.
[00:07:51.204 --> 00:07:54.345]  Call toll-free 877-996-4327 extension 106 for quotes or more information.
[00:07:54.365 --> 00:07:55.626]  That number again is 877-996-4327 extension 106.
[00:07:55.726 --> 00:07:56.707]  Everyone listens to radio.
[00:07:56.727 --> 00:07:58.907]  It's the most cost-effective way to increase business available.
[00:08:07.236 --> 00:08:09.158]  Don't wait around hoping for a stronger economy.
[00:08:09.358 --> 00:08:12.441]  The country might be slipping into recession, but your business doesn't have to.
[00:08:12.841 --> 00:08:15.243]  Call GCN today and get more customers tomorrow.
[00:08:20.547 --> 00:08:25.592]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:25.952 --> 00:08:28.234]  Because there's a war on for your mind.
[00:08:42.098 --> 00:08:48.302]  Well, we have a brand spanking new year laying out before us.
[00:08:48.322 --> 00:08:49.223]  0-4!
[00:08:49.243 --> 00:08:52.045]  0-4!
[00:08:54.327 --> 00:08:59.130]  And today, on this Open Line Friday, we're going to be taking your calls for your predictions for 0-4.
[00:08:59.450 --> 00:09:03.093]  And what you think the top three stories were.
[00:09:04.157 --> 00:09:04.257]  Of 03.
[00:09:05.698 --> 00:09:09.999]  And those could be under-reported stories or stories that you think are the most important.
[00:09:11.059 --> 00:09:12.360]  There is a ton of news.
[00:09:12.500 --> 00:09:26.844]  Again, I want to get into the Second Amendment today because Chicago, again, tops the nation in 2003 with homicides with total gun ban going there in the city with handguns and total restrictions on rifles.
[00:09:28.024 --> 00:09:32.926]  And the British people are revolting against not being able to defend themselves even with knives.
[00:09:33.724 --> 00:09:52.278]  uh... against home invaders will get into that also there's a mainstream media article about conspiracy theories abounding concerning september eleventh and this story would be comical uh... it wasn't so dangerous will be going over that analyzing it
[00:09:53.642 --> 00:09:56.184]  As well here on the show.
[00:09:56.724 --> 00:09:58.085]  Prepare for the draft.
[00:09:58.185 --> 00:10:03.168]  Arizona registers men between 18 and 25 who sign up for driver's license.
[00:10:03.208 --> 00:10:04.209]  It's automatic now.
[00:10:04.749 --> 00:10:07.351]  Many other states have passed that law in the last year.
[00:10:08.328 --> 00:10:09.128]  We'll get into that.
[00:10:09.228 --> 00:10:18.092]  William F. Jasper has written a very important article for the New American, echoing something that I have covered here on the show.
[00:10:18.652 --> 00:10:20.693]  Bill of Rights, implausible.
[00:10:21.393 --> 00:10:29.496]  Defenders, don't look to the ACLU and its left-wing allies to defend your liberty and the Constitution against the encroaching police state.
[00:10:30.467 --> 00:10:50.059]  And in this lengthy article, and I'm trying to get him on the show next week, he goes into many of the things that I've observed, that the ACLU is really there to make you think they're doing something about your rights, but then ensuring that they actually lose those battles or water down good legislation or local laws that would counter it.
[00:10:51.471 --> 00:10:55.014]  And the ACLU is full of good people, but at the top, it's controlled.
[00:10:55.054 --> 00:10:56.215]  It's loyal opposition.
[00:10:56.655 --> 00:10:57.996]  And Jasper gets into that.
[00:10:58.677 --> 00:11:01.099]  Of course, it goes on the right wing as well.
[00:11:01.199 --> 00:11:14.109]  We have the NRA that can never seem to repeal a gun law, and supports a bunch of new gun laws, and calls it compromising, and his mom on Bush planning to re-sign the assault weapons ban.
[00:11:14.149 --> 00:11:15.991]  So, that goes both ways.
[00:11:17.060 --> 00:11:42.470]  but it's uh... very very important talking about controlling the opposition also about six months ago we started talking about the matrix system until six months ago was classified we just knew that state and local police uh... and the federal government were buying information from supermarkets from bookstores they were getting it uh... from the credit departments that they were
[00:11:43.492 --> 00:11:52.196]  Hiring private firms to get your divorce records, your college records, everything!
[00:11:53.916 --> 00:12:00.299]  And now they've announced it as the Matrix System, and more states are publicly signing on, like Tennessee.
[00:12:00.319 --> 00:12:05.141]  I thought we'd focus in today a little bit on the Matrix System.
[00:12:05.501 --> 00:12:09.823]  The Tennessean reporting state seeks link with crime data network.
[00:12:10.323 --> 00:12:12.784]  Minnesota just threw out, because of lawsuits,
[00:12:13.402 --> 00:12:24.785]  of the matrix system because I mean they type into it man with black hair driving red pickup truck and everybody in the state who has black hair and owns a red pickup truck instantly is pulled up.
[00:12:25.145 --> 00:12:27.686]  I mean that's how detailed this is, folks.
[00:12:27.746 --> 00:12:29.626]  You go, well, it'll stop the terrorists.
[00:12:30.266 --> 00:12:32.207]  Folks, the globalists are the terrorists.
[00:12:32.507 --> 00:12:33.667]  The border's wide open.
[00:12:33.887 --> 00:12:37.368]  They're about to legalize 25 to 30 million illegals.
[00:12:37.808 --> 00:12:38.828]  Bush says 8 million.
[00:12:38.868 --> 00:12:40.049]  It's more like 25, 30 million.
[00:12:40.069 --> 00:12:40.909]  We're not sure.
[00:12:42.469 --> 00:12:45.292]  Again, they're going off 2000 census numbers, okay?
[00:12:46.133 --> 00:12:50.017]  And they're saying we've got 8 million illegals off the census numbers.
[00:12:50.057 --> 00:12:55.463]  How many illegals do you think actually went along with the census when they knock on the door?
[00:12:56.949 --> 00:12:59.470]  The real numbers we've got is 25 plus million.
[00:12:59.930 --> 00:13:00.810]  So we'll be getting into that.
[00:13:00.850 --> 00:13:05.931]  My point is, they're telling you, we're going to know everything you do, everything you buy, everything you engage in.
[00:13:05.951 --> 00:13:09.292]  You get a bank account, you know, the feds are going to look down your throat.
[00:13:09.792 --> 00:13:16.793]  But, if you're an illegal alien, you just strut right up to the front of the line, and with a fake name, you can get a driver's license or a bank account.
[00:13:16.813 --> 00:13:17.653]  And that is the case.
[00:13:19.974 --> 00:13:21.254]  And of course, that article I mentioned,
[00:13:21.718 --> 00:13:24.000]  Conspiracy theories abound at 9-11 Pro.
[00:13:24.040 --> 00:13:24.920]  Wait till I cover this.
[00:13:25.621 --> 00:13:28.462]  Willie Nelson pens a protest song.
[00:13:29.303 --> 00:13:35.347]  Ballad will debut at fundraising concert for Democratic presidential candidate Dennis Kucinich this weekend.
[00:13:35.707 --> 00:13:37.989]  Tomorrow, he's coming to Austin.
[00:13:39.049 --> 00:13:40.030]  I might go cover that.
[00:13:41.371 --> 00:13:42.332]  I like Willie Nelson.
[00:13:42.352 --> 00:13:45.974]  I don't particularly like Kucinich, but he's done more good than most people.
[00:13:46.775 --> 00:13:48.276]  Oh, but talk about loyal opposition.
[00:13:48.336 --> 00:13:48.776]  He's it.
[00:13:49.542 --> 00:13:50.222]  Three L.A.
[00:13:50.262 --> 00:13:57.487]  Times reporters are injured in that blast in the Iraqi capital on New Year's Eve.
[00:13:57.507 --> 00:13:58.427]  We'll be getting into that.
[00:13:58.927 --> 00:14:01.669]  Also, Stardust set to comet encounter.
[00:14:01.689 --> 00:14:05.471]  The Stardust probe is just hours away from encountering with a comet.
[00:14:06.231 --> 00:14:06.712]  Wild 2.
[00:14:06.832 --> 00:14:08.913]  That's pretty interesting.
[00:14:09.313 --> 00:14:10.414]  Britain says U.S.
[00:14:10.494 --> 00:14:17.638]  plan to seize oil in 73 crisis had a plan to launch a full-scale invasion of the entire Middle East.
[00:14:19.488 --> 00:14:23.709]  And, of course, they were planning to use Operation Northwoods to get that done, carry out terror attacks.
[00:14:24.329 --> 00:14:26.110]  EU-wide arrest warrant launched.
[00:14:26.190 --> 00:14:27.330]  Talk about globalism.
[00:14:27.730 --> 00:14:28.030]  U.S.
[00:14:28.090 --> 00:14:32.351]  torture the innocent while real culprits of Saddam's regime go free.
[00:14:32.371 --> 00:14:33.971]  That's the London Guardian.
[00:14:34.732 --> 00:14:43.994]  Arnold Schwarzenegger has doubled and quadrupled park fees in California and is being praised as a wonderful conservative, even by the liberals now.
[00:14:44.514 --> 00:14:46.074]  A wonderful conservative, yeah.
[00:14:46.394 --> 00:14:48.995]  For gun control, open borders, and the rest of it.
[00:14:50.504 --> 00:14:56.669]  So that is just a sum of what is coming up here on the show.
[00:14:56.689 --> 00:15:03.914]  I also want to get into this article, FDA Rules Anthrax Vaccine Safe and Effective.
[00:15:03.954 --> 00:15:05.175]  Now what happened here?
[00:15:06.676 --> 00:15:10.099]  Starting back in 1989, they started giving the anthrax shots.
[00:15:11.050 --> 00:15:12.250]  And it killed a bunch of people.
[00:15:12.330 --> 00:15:26.493]  And we have the Lansing Journal up in Michigan where employees of BioPort that took the shots dropped dead and the coroner said the shot was killing them and giving them some type of accelerated autoimmune disease that would kill them in a week to two weeks.
[00:15:27.473 --> 00:15:28.534]  We've got all the reports.
[00:15:28.574 --> 00:15:30.734]  So they suspended the shot in 98.
[00:15:32.014 --> 00:15:33.795]  Then they brought it back two years ago.
[00:15:34.615 --> 00:15:35.815]  Now two and a half years ago.
[00:15:36.993 --> 00:15:41.596]  Then a federal judge put an injunction in and said, this is an experimental vaccine.
[00:15:42.016 --> 00:15:44.878]  You can't force troops to take an experimental vaccine.
[00:15:46.539 --> 00:15:49.601]  Again, they would hold the troops down and give them the shots and threaten them with court-martial.
[00:15:49.741 --> 00:15:54.484]  But, again, you can give people something experimental if they sign a waiver and agree to it.
[00:15:54.945 --> 00:15:57.526]  You cannot force anyone to take an experimental vaccine.
[00:15:57.786 --> 00:16:00.408]  And the judge said, you've got to get approval for this.
[00:16:00.708 --> 00:16:02.269]  Why did the FDA never approve it?
[00:16:02.289 --> 00:16:04.911]  Because they didn't want to come out on record and say it was good.
[00:16:06.252 --> 00:16:14.977]  Well, Bush got ordered by this federal judge to put up or shut up to go ahead and either approve the vaccine, get it approved, or stop giving it.
[00:16:16.078 --> 00:16:28.085]  Well, the FDA, after what, 14 years of this being given to troops, and two suspensions of it, with it being reenacted, came out two days ago.
[00:16:29.206 --> 00:16:33.949]  FDA rules anthrax vaccine safe, effective, the Food and Drug Administration made it official again.
[00:16:34.781 --> 00:16:41.142]  Tuesday that anthrax vaccine is safe and effective, no matter how the injection is spread, the infection is spread.
[00:16:41.603 --> 00:16:54.125]  Because they pointed out that it covers four spores, and what the Russians and others have been rumored to have as within 150 to 300 different spores, and that this anthrax shot doesn't even help you.
[00:16:54.885 --> 00:16:57.006]  It's like the smallpox shot doesn't help you.
[00:16:58.185 --> 00:17:00.828]  Because the stuff they claim our enemies have is weaponized.
[00:17:01.268 --> 00:17:03.690]  Plus, if you've ever had the shot, you don't need it.
[00:17:03.970 --> 00:17:06.052]  They told you it was for life, it is for life.
[00:17:06.392 --> 00:17:07.433]  Plus, it's dangerous.
[00:17:07.893 --> 00:17:08.674]  They don't care.
[00:17:09.634 --> 00:17:12.417]  But the Food and Drug Administration made it official again Tuesday.
[00:17:13.337 --> 00:17:24.086]  The ruling comes a week after a federal judge halted the military's anthrax inoculations, saying he thought the vaccine was experimental, if used to prevent inhaled anthrax instead of the through-the-skin form.
[00:17:25.051 --> 00:17:27.832]  The Justice Department, citing the FDA order, asked the U.S.
[00:17:27.852 --> 00:17:38.075]  District Judge Emmett G. Sullivan to set aside his preliminary ban, except for the six plaintiffs who filed a class action suit against the Defense Department to stop the vaccinations.
[00:17:39.095 --> 00:17:43.457]  Now, again, the FDA didn't want to say that this was good for you, that this was approved.
[00:17:44.237 --> 00:17:48.218]  They didn't want to say this for 14 years of its use.
[00:17:48.578 --> 00:17:50.919]  And they illegally gave it to troops, so they're still liable.
[00:17:51.279 --> 00:17:54.260]  But now to keep this happening to the troops, they go ahead and approve it.
[00:17:56.417 --> 00:17:59.159]  Amazing, amazing development here.
[00:17:59.420 --> 00:18:08.527]  And remember, this was the same Pentagon that says that depleted uranium at 1,900 times safe levels is good for the troops.
[00:18:09.428 --> 00:18:17.574]  This is the same Pentagon who sprays chemical and biologicals on our troops in thousands of open-air tests in the last 30 years.
[00:18:19.035 --> 00:18:23.259]  This is the same Food and Drug Administration that approved Prozac
[00:18:24.645 --> 00:18:34.836]  That approved Prozac back in 1983 despite the fact that statistics showed it radically increased the level of suicide in young people.
[00:18:35.177 --> 00:18:39.822]  Which is now England's banning it because this is finally, cannot be ignored, the numbers are too great.
[00:18:40.182 --> 00:18:43.426]  This is the same FDA that has done all this stuff.
[00:18:44.551 --> 00:18:52.233]  Then we have the Environmental Protection Agency that said put MBTE, a deadly carcinogen, that actually causes cars to burn dirtier.
[00:18:52.513 --> 00:18:53.813]  The numbers are out on this now.
[00:18:54.453 --> 00:18:55.234]  It's just crazy.
[00:18:55.554 --> 00:18:59.695]  Just because it's a by-product of the big chemical plants, well here we'll just stick it in the fuel.
[00:18:59.715 --> 00:19:04.416]  It's the same government that says sodium fluoride's good for you, despite all the scientific evidence.
[00:19:06.204 --> 00:19:10.665]  So now they're going to keep injecting the troops with this, despite all the carnage.
[00:19:11.106 --> 00:19:31.592]  The FDA ordered the shutdown of BioPort's Lansing, Michigan plant three separate times, citing the fact that they found viruses alive and dead, bacteria, weird DNA strands, weird hormones, masses of mercury.
[00:19:32.682 --> 00:19:33.603]  Doesn't matter, folks.
[00:19:33.823 --> 00:19:39.068]  Doesn't matter if we have coroners and epidemiologists and scientists saying it's killing people.
[00:19:39.488 --> 00:19:41.050]  The shots will continue.
[00:19:42.431 --> 00:19:50.199]  The shots will continue and the government's moving to ban over-the-counter sales of vitamin C as they've done in Europe.
[00:19:50.699 --> 00:19:54.222]  Oh yeah, it just starts with a veteran, folks.
[00:19:56.725 --> 00:19:57.826]  Alright, we're gonna
[00:20:00.174 --> 00:20:03.277]  We're going to be back after this quick break and go straight to your calls.
[00:20:05.380 --> 00:20:08.123]  And we'll go to Danny and John and Joe and many others.
[00:20:08.703 --> 00:20:14.189]  Wide open phones today on any of the issues I've mentioned or any articles or news pieces you want to discuss.
[00:20:14.990 --> 00:20:16.972]  It's kind of like that Washington Journal show.
[00:20:16.992 --> 00:20:18.233]  You just call in with your story.
[00:20:18.253 --> 00:20:18.654]  We'll be back.
[00:20:21.024 --> 00:20:24.925]  The United States seems to be celebrating over its triumph of reducing government debt.
[00:20:25.145 --> 00:20:37.428]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[00:20:37.848 --> 00:20:38.248]  The U.S.
[00:20:38.288 --> 00:20:43.869]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[00:20:44.269 --> 00:20:46.470]  In the year 2000, debt growth collapsed to only 4.5%.
[00:20:48.348 --> 00:20:49.409]  It's bad enough that the U.S.
[00:20:49.449 --> 00:20:52.291]  citizens is bound by debt in order to have commerce.
[00:20:52.411 --> 00:20:58.436]  However, shocking the economy with a reduction of this magnitude could wipe out years of growth in a stock portfolio.
[00:20:58.856 --> 00:21:02.199]  Before you make your next investment decision, get the cold hard facts.
[00:21:02.299 --> 00:21:08.684]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[00:21:09.205 --> 00:21:13.228]  You must understand how recession and depression are driven by outstanding debt.
[00:21:13.328 --> 00:21:13.588]  Call 1-800-686-2237.
[00:21:16.280 --> 00:21:16.660]  That's 1-800-686-2237.
[00:21:16.840 --> 00:21:22.625]  Hey, John Statman here, and I have a question for you.
[00:21:22.845 --> 00:21:24.366]  Are you having an energy crisis?
[00:21:24.706 --> 00:21:27.368]  No, I'm not talking about the rising cost of gasoline.
[00:21:27.588 --> 00:21:29.489]  I'm talking about you, personally.
[00:21:29.750 --> 00:21:32.712]  Do you have the energy you need to do all the things in life that you need to do?
[00:21:33.012 --> 00:21:34.813]  If you're like most people, the answer is no.
[00:21:35.133 --> 00:21:38.876]  And that extra cup of coffee or an afternoon candy bar is not the solution.
[00:21:39.241 --> 00:21:42.102]  There's a safe and effective way to energize your life naturally.
[00:21:42.382 --> 00:21:44.403]  It's called Be Alive Royal Jelly.
[00:21:44.783 --> 00:21:48.044]  If you haven't tried it yet, you're missing out on one of nature's best kept secrets.
[00:21:48.444 --> 00:21:55.847]  Made naturally in a beehive, not manufactured in a lab, Royal Jelly is used by people around the world for energy, vitality and stamina.
[00:21:56.127 --> 00:21:58.028]  Call Be Alive today to find out more.
[00:21:58.168 --> 00:22:08.252]  Call toll free 866-321-1900 to order your supply of energizing Be Alive Royal Jelly and ask how you can get a free one month supply with your order.
[00:22:08.492 --> 00:22:17.216]  Call toll free 866-321-1900, tell them John sent you and put an end to your energy crisis with Be Alive Royal Jelly.
[00:22:17.236 --> 00:22:17.276]  866-321-1900.
[00:22:20.237 --> 00:22:27.741]  Get the new Berkey Battery Adapter, an inexpensive yet long-term backup power supply for your Berkey Light LED system.
[00:22:28.021 --> 00:22:41.028]  The Berkey's LED lamps are unique because, incredibly, they have an average life of over 11 years of continuous use and are so bright they can be spotted for more than a mile in the dark, yet require very little energy.
[00:22:41.288 --> 00:22:44.590]  That's why this revolutionary new technology is a bit expensive.
[00:22:44.930 --> 00:22:55.393]  But it's worth every penny because the low energy LEDs are able to provide light all night long for over two weeks on a single set of four AA alkaline batteries.
[00:22:55.693 --> 00:22:56.193]  That's right!
[00:22:56.373 --> 00:23:03.475]  Incredibly your emergency light will operate every night for over two weeks for the price of four small AA batteries.
[00:23:03.775 --> 00:23:07.897]  Be prepared for unexpected emergencies and get the Berkey Battery Adapter.
[00:23:08.057 --> 00:23:12.520]  Complete with on-off switch for only $10 by calling New Millennium at 888-803-4438.
[00:23:12.540 --> 00:23:13.040]  That's toll free, 888-803-4438.
[00:23:20.624 --> 00:23:25.288]  Hey folks, Michael Trudeau here to tell you about the first ever half-price package sale at the Ark Institute.
[00:23:25.388 --> 00:23:32.274]  You'll get 25 big packets of Ark's most popular non-hybrid heirloom vegetable seeds, plus four of their most popular self-reliance books.
[00:23:32.495 --> 00:23:34.997]  Learn how to grow your own delicious veggies and build your Ark.
[00:23:35.237 --> 00:23:40.401]  Imagine green beans, carrots, peas, and cucumbers, tomatoes, cabbage, squash, herbs, and more.
[00:23:40.602 --> 00:23:44.545]  Then, harvest your seeds to grow year after year for old-time self-reliance.
[00:23:44.905 --> 00:23:48.606]  In Living Well on Wheat, learn how to cook, eat, and survive on the golden grain.
[00:23:48.926 --> 00:23:51.887]  Preserve your good food for years with the USDA Canning Guide.
[00:23:52.127 --> 00:23:58.188]  In Surviving a Bioterrorist Attack, you'll learn how to protect yourself and your family now from the attacks our government says are coming.
[00:23:58.288 --> 00:23:59.308]  Not if, but when.
[00:23:59.568 --> 00:24:06.070]  Normally selling for $140 plus shipping, get this whole package now for only $69 and shipping is free.
[00:24:06.330 --> 00:24:07.590]  At half price, supplies are limited.
[00:24:07.750 --> 00:24:09.130]  For credit card orders, call today, 1-800-255-1912.
[00:24:11.491 --> 00:24:16.434]  That's 800-255-1912, or send a money order for $69 to the Ark Institute.
[00:24:16.574 --> 00:24:16.814]  P.O.
[00:24:16.854 --> 00:24:18.575]  Box 1227, Jacksonville, Oregon, 97530.
[00:24:18.615 --> 00:24:25.858]  Alright, let's go straight to your calls, and I'm going to plunge into the Second Amendment news, the Matrix Control System.
[00:24:42.017 --> 00:24:47.920]  That just overtly is more out of control than Orwell's vision.
[00:24:48.801 --> 00:24:52.423]  It's just right out in the open, total into privacy, and they call it freedom.
[00:24:53.223 --> 00:24:57.866]  Let's talk to Danny in Oklahoma, then John, Joe, Marcello, Christopher, and others.
[00:24:57.946 --> 00:24:58.927]  Danny, you're on the air.
