[00:00:00.069 --> 00:00:02.451]  Alex Jones on the GCN Radio Network.
[00:03:45.342 --> 00:03:58.547]  To the corporate media who followed their orders, dutifully, like the castrated sheep they are, you're not going to make this go away by trying to take the focus away from Etheridge's bizarre control freak behaviour.
[00:03:59.587 --> 00:04:20.765]  This guy's supposed to be a public servant, so you're not going to be able to demonize people who ask questions of public servants by claiming it's all a Republican stunt and that it's contrived and invented, which is exactly what they're now trying to do through these White House talking points that have gone out to the media.
[00:04:23.072 --> 00:04:26.033]  I don't even care if these kids were Republican Party operatives.
[00:04:26.073 --> 00:04:27.053]  That's not the issue.
[00:04:27.493 --> 00:04:41.137]  The issue is that Etheridge, this establishment neolib, is acting like a nutcase on a power trip and his behaviour is emblematic of how our representatives see us as basically turds on a
[00:04:41.557 --> 00:04:45.704]  Sidewalk that they can treat like crap when in reality they're public servants.
[00:04:46.064 --> 00:04:50.250]  We'll play the video We'll get into how the media is spinning this after the break.
[00:04:50.370 --> 00:04:51.532]  This is the Alex Jones Show.
[00:04:51.572 --> 00:04:52.734]  I'm Paul Joseph Watson.
[00:04:52.754 --> 00:04:53.315]  Stay tuned!
[00:05:04.130 --> 00:05:08.073]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:05:08.314 --> 00:05:14.339]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:05:14.719 --> 00:05:21.805]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:05:22.106 --> 00:05:26.690]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:05:26.990 --> 00:05:29.112]  Get a free, detailed catalog by calling 800-340-7091.
[00:05:31.914 --> 00:05:35.437]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:05:35.658 --> 00:05:37.940]  I'm happy to say our business is going down the drain.
[00:05:37.960 --> 00:05:38.300]  Call us!
[00:05:51.412 --> 00:05:56.821]  At 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:05:56.901 --> 00:05:57.723]  Thank you!
[00:06:05.779 --> 00:06:09.420]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:06:09.740 --> 00:06:17.862]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:06:18.602 --> 00:06:22.643]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:06:23.223 --> 00:06:34.045]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:06:34.685 --> 00:06:43.713]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:06:44.214 --> 00:06:49.278]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:06:49.639 --> 00:06:56.805]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:06:57.125 --> 00:06:59.888]  That's www.silverlungs.com.
[00:07:05.998 --> 00:07:09.160]  Hi, I'm Mark Craighead, founder of Crossbreed Holsters.
[00:07:09.380 --> 00:07:17.404]  I designed our top-selling holster, the Super Tuck Deluxe, to solve the problems of being poked, pinched and gouged while carrying concealed.
[00:07:17.564 --> 00:07:22.686]  The Super Tuck Deluxe is the most comfortable, most concealable holster on the market today.
[00:07:22.886 --> 00:07:25.788]  We offer a two-week free trial and a lifetime warranty.
[00:07:25.868 --> 00:07:28.729]  Visit us at crossbreedholsters.com.
[00:07:29.770 --> 00:07:32.971]  Don't forget, crossbreedholsters.com.
[00:07:34.352 --> 00:07:35.453]  Hi, this is Ted Anderson.
[00:07:35.593 --> 00:07:39.996]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:07:40.176 --> 00:07:45.860]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:07:45.980 --> 00:07:49.402]  Gold has outperformed paper investments, yet no word about IRAs.
[00:07:49.622 --> 00:07:52.224]  If you would like to have gold for your retirement, call 800-686-2237.
[00:07:52.344 --> 00:07:57.247]  Don't get left behind by rising inflation and low returns.
[00:07:57.407 --> 00:07:57.708]  Call 800-686-2237.
[00:07:57.728 --> 00:07:59.049]  Secure your future and call 1-800-686-2237.
[00:08:09.536 --> 00:08:10.196]  Big Brother.
[00:08:10.857 --> 00:08:11.937]  Mainstream media.
[00:08:12.618 --> 00:08:13.779]  Government cover-ups.
[00:08:14.379 --> 00:08:15.200]  You want answers?
[00:08:15.980 --> 00:08:16.941]  Well, so does he.
[00:08:17.521 --> 00:08:21.184]  He's Alex Jones on the GCN Radio Network.
[00:08:21.704 --> 00:08:25.767]  And now, live from Austin, Texas, Alex Jones.
[00:08:28.769 --> 00:08:32.990]  This is Paul Joseph Watson sitting in for Alex Jones on this Tuesday edition.
[00:08:33.491 --> 00:08:35.511]  Alex will be back tomorrow.
[00:08:35.851 --> 00:08:45.775]  Now we're talking about this confrontation between the college kids and this congressman, Bob Etheridge, which is causing debate across the political spectrum.
[00:08:46.235 --> 00:09:06.845]  And basically what we've learned in the 24 hours since this emerged as a news story from Andrew Breitbart's big government website is the fact that the White House, a Democratic Party official, put out these talking points where he was basically ordering the media to try and spin this confrontation in which Etheridge
[00:09:07.302 --> 00:09:11.807]  Uh... physically assaults these people who asked him if he was supporting the Obama agenda.
[00:09:12.667 --> 00:09:22.116]  They put out these talking points uh... mandating the corporate media to spin this as a contrived partisan setup in an attempt to discredit it.
[00:09:22.737 --> 00:09:37.791]  Now, I'm afraid it's just not going to work, because you're never going to take attention and focus away from what the story is, the heart of it, which is Etheridge's bizarre, insane reaction, his ego power trip to merely being asked a question.
[00:09:39.452 --> 00:09:52.979]  You're just not going to spin it by saying it's a Republican setup, because as you've seen and heard as listeners of the Alex Jones Show over the past several years, neocons have been confronted in exactly the same way.
[00:09:53.519 --> 00:10:01.663]  Remember David Fromm, this is the guy that wrote Bush's Axis of Evil speech, this is the guy who was confronted by We Are Change members.
[00:10:02.023 --> 00:10:04.664]  Back in 2008 when they asked him about 9-11.
[00:10:05.525 --> 00:10:14.209]  And if you watch the clip, which is on the website, Fromm behaved almost exactly the same way as Etheridge did in this new video clip.
[00:10:14.449 --> 00:10:19.631]  He's swatting away the camera, he's assaulting the people asking the questions, he's pushing them away.
[00:10:20.091 --> 00:10:22.633]  So I don't care who's being confronted.
[00:10:23.653 --> 00:10:32.015]  Whether it's a Democrat or Republican, and I don't care who's asking the questions, the key issue is the reaction of the individual being confronted.
[00:10:32.675 --> 00:10:40.057]  And you have to ask why the establishment's in such a blind panic over this story.
[00:10:40.377 --> 00:10:48.879]  And it's because they're petrified that a couple of college kids with a flip camera can change the course of a state election.
[00:10:49.419 --> 00:10:49.659]  I mean,
[00:10:50.439 --> 00:10:57.344]  You're not going to turn reality on its head by claiming that Etheridge was being attacked and assaulted by these kids, which is now what they're trying to do.
[00:10:58.225 --> 00:11:07.271]  Etheridge, in the 24 hours since this emerged as a news story, has been forced to issue an apology for his behaviour in the incident.
[00:11:07.651 --> 00:11:19.199]  And yet Democrats and the Lib Card, Neo-Lib establishment are still trying to spin it as a contrived partisan stunt, when Etheridge has already apologised for it.
[00:11:20.520 --> 00:11:36.911]  Politico reported last night that this Democratic Party official was sending out a set of talking points and it said, quote, push hard with blogs the lack of credibility inherent to anything Breitbart does or posts given its role in the debunked Acorn videos.
[00:11:38.212 --> 00:11:47.899]  So this is a memo from the government going out to the corporate media and the neolib blogs telling them how to respond to this incident.
[00:11:49.062 --> 00:12:13.363]  Um, and you'd think it would be an uphill struggle because, you know, Etheridge has already apologized, he's already accepted blame for it, and yet they're still trying to, uh, make out as if the kids asking him the question were the ones, um, engaging in ambush journalism, and even one blog suggests that he was, that these kids asking the question were in fact attacking Etheridge and he was defending himself.
[00:12:13.903 --> 00:12:15.124]  I mean, you've seen the clip.
[00:12:15.825 --> 00:12:18.368]  He's got the kid by, you know, by the neck.
[00:12:18.448 --> 00:12:22.413]  He's almost strangling him in a kind of half-Nelson for a second.
[00:12:22.433 --> 00:12:23.114]  And, uh...
[00:12:24.594 --> 00:12:28.857]  It's just amazing how quickly the mainstream media followed orders.
[00:12:29.738 --> 00:12:37.984]  And we had this coordinated spin, which centered mainly, as you would expect, around Chris Matthews and other hosts on MSNBC.
[00:12:38.685 --> 00:12:51.214]  We've got the Chris Matthews clip linked up in the article today on PrisonPlanet.com, in which, again, he tries to undermine the people who asked the question by claiming that the congressman was ambushed.
[00:12:51.734 --> 00:12:58.737]  And he doesn't even mention the fact that he was physically grappling and assaulting with this young student who asked the question.
[00:12:59.698 --> 00:13:11.583]  And we're going to exemplify this now by playing an MSNBC clip in which they cite so-called Democrats as blasting the people allegedly behind this video.
[00:13:12.043 --> 00:13:15.725]  So they're trying to create this notion that
[00:13:16.565 --> 00:13:21.509]  The people to blame for this confrontation are the kids who are asking him the question.
[00:13:22.190 --> 00:13:25.232]  So, listen to this spin from MSNBC.
[00:13:25.352 --> 00:13:26.533]  This is a two-minute clip.
[00:13:26.853 --> 00:13:32.078]  There's a pause in the middle, but it's only for a few seconds, so we'll go to this MSNBC clip now.
[00:13:33.339 --> 00:13:33.639]  Who are you?
[00:13:33.679 --> 00:13:34.100]  Who are you?
[00:13:34.120 --> 00:13:34.380]  Who are you?
[00:14:00.149 --> 00:14:08.853]  We're just here for a project, sir.
[00:14:09.754 --> 00:14:20.299]  So in a written statement just a short time ago, the congressman said, quote, I deeply and profoundly regret my reaction and I apologize to all involved throughout my many years of service to the people of North Carolina.
[00:14:20.619 --> 00:14:27.142]  I've always tried to treat people from all viewpoints with respect, no matter how intrusive and partisan our politics can become.
[00:14:27.162 --> 00:14:27.883]  This does not
[00:14:28.403 --> 00:14:29.583]  Justify a poor response.
[00:14:30.164 --> 00:14:33.645]  I have and will always work to promote a civil public discourse.
[00:14:33.785 --> 00:14:39.327]  Meanwhile though, there are some Democrats that are blasting the people allegedly behind this video.
[00:14:39.387 --> 00:14:43.908]  It first appeared on Andrew Breitbart's conservative blog biggovernment.org.
[00:14:43.928 --> 00:14:51.411]  Breitbart, you might recall, was partly responsible for that notorious acorn video featuring conservative James O'Keefe when he dressed as a pimp.
[00:14:51.851 --> 00:14:57.333]  After a separate video project, O'Keefe pleaded guilty to misdemeanor for entering Senator Mary Landrieu's office.
[00:15:00.896 --> 00:15:19.490]  So that's the clip, and if you listen to it carefully, the host tries to use the fact that the guy who got the infamous acorn scoop pleaded guilty to a trespassing misdemeanor, which is, you know, has no relation to the actual acorn story whatsoever.
[00:15:20.151 --> 00:15:22.373]  They try to use that as a conduit
[00:15:22.833 --> 00:15:51.209]  Through which to imply that these um... college students who asked the question of the congressman was somehow uh... engaging in uh... a criminal act by asking this uh... public servant a question and then this host then you know parents chris matthews debunk smear of uh... blaming the kid who who supposedly engaged in an ambush again undermining the people ask the question while failing completely to uh... explore
[00:15:52.029 --> 00:15:56.050]  Why the congressman reacted in such an aggressive and bizarre manner.
[00:15:56.591 --> 00:15:58.891]  Now, it gets even worse than that.
[00:16:00.172 --> 00:16:16.477]  Not only are they trying to portray Etheridge as the victim of the incident, after this government memo went out saying what talking points they should go from, there's a website politically illustrated, again this neoliberal establishment website, which ran with a headline, quote,
[00:16:17.472 --> 00:16:22.098]  Bob Etheridge defends himself against student attack on sidewalk.
[00:16:22.839 --> 00:16:23.419]  So that's right.
[00:16:23.459 --> 00:16:31.870]  Now, you know, if someone punches your camera, grabs you by the neck, grabs you by the arm, and basically puts you into a half-Nelson, then...
[00:16:33.336 --> 00:16:48.885]  You better be concerned that they don't charge you with attacking them because now these neolib websites are saying that Etheridge was defending himself from an attack when he's grabbing the guy almost around the throat and assaulting this individual.
[00:16:50.004 --> 00:16:59.713]  Um, and the Washington Post even reported that Etheridge's assault of this student who was asking him the question was, quote, a hug!
[00:16:59.733 --> 00:17:01.895]  A hug!
[00:17:02.215 --> 00:17:09.942]  He's grabbing him round the neck, he's squeezing his arm, he's throwing punches at the camera, and the Washington Post reports it as a hug!
[00:17:10.683 --> 00:17:21.251]  You know, imagine if someone like Rand Paul, who of course was completely savage because he expressed this nuanced philosophical position on the Rachel Maddow Show.
[00:17:21.711 --> 00:17:29.556]  Imagine if Rand Paul had been walking down the street and somebody had asked him a question about his position on the Civil Rights Act.
[00:17:29.857 --> 00:17:35.561]  And then imagine if Rand Paul had like grabbed somebody around the neck and started throwing punches at the camera.
[00:17:36.081 --> 00:17:42.768]  Do you think the media, the corporate media, would then just try and explain it away as a hog and a contrived set-up?
[00:17:43.148 --> 00:17:50.376]  Or would they politically lynch Rand Paul for weeks on end, as they did with the civil rights sphere?
[00:17:50.616 --> 00:17:51.457]  Of course they would!
[00:17:52.037 --> 00:17:58.184]  But this is an establishment Democrat, you know, he's an Obama minion, so they're gonna protect him!
[00:17:59.266 --> 00:17:59.446]  I don't
[00:18:20.340 --> 00:18:34.421]  Over the past few months and this opens the door in North Carolina for another one to step in and take advantage of the fact that Etheridge has been completely publicly disgraced and shamed by his shameful behavior.
[00:18:36.547 --> 00:18:44.175]  But again, it's a sterling example of the fact that two college kids with a little flip camera can change the course of a state election.
[00:18:45.716 --> 00:18:48.819]  It's this kind of in-your-face political activism.
[00:18:49.180 --> 00:18:55.186]  The media smears it as ambush journalism, but, I mean, that's what they engage in on a routine basis.
[00:18:55.706 --> 00:19:05.428]  Uh, especially people like Chris Matthews and MSNBC, uh, when they're attacking grassroots Americans as, um, you know, domestic extremists and violent radicals.
[00:19:05.929 --> 00:19:11.050]  They engage in ambush questions and journalism but then they accuse the independent media of doing it.
[00:19:12.530 --> 00:19:15.631]  But, I mean, again it exemplifies the fact that
[00:19:17.185 --> 00:19:36.910]  When people like Etheridge are confronted, you know, by the rabble, by the independent media, by the people they're supposed to represent, that they react in this way which just shows how they view us, how they think of us, as basically dirt, and the fact that they're not public servants, they're overlords.
[00:19:37.690 --> 00:19:43.612]  So, the establishment is running scared in a blind panic because this just shows the power
[00:19:43.965 --> 00:19:44.566]  Stay tuned.
[00:20:05.129 --> 00:20:05.449]  Fact.
[00:20:05.469 --> 00:20:07.031]  4 million people in the U.S.
[00:20:07.071 --> 00:20:08.873]  have hepatitis C due to liver damage.
[00:20:09.193 --> 00:20:09.513]  Fact.
[00:20:09.713 --> 00:20:13.076]  Cirrhosis of the liver is the 8th leading cause of death among Americans.
[00:20:13.397 --> 00:20:13.717]  Fact.
[00:20:14.017 --> 00:20:19.342]  Alcohol, many prescription drugs, food additives, pesticides, and environmental toxins damage the liver.
[00:20:19.522 --> 00:20:19.863]  Fact.
[00:20:19.883 --> 00:20:24.047]  1 in 10 Americans is or has been affected by liver or gallbladder disease.
[00:20:24.367 --> 00:20:24.707]  Fact.
[00:20:24.947 --> 00:20:28.651]  Anything that keeps the liver from doing its job can put your life in danger.
[00:20:28.891 --> 00:20:36.616]  Protect your liver by visiting ResearchedHerbs.com and learning more about the world's number one selling all-natural liver support formula, LIV52.
[00:20:36.756 --> 00:20:47.804]  It is the only herbal liver supplement that is backed by over 190 published clinical trials and endorsed by a quarter of a million healthcare professionals in 76 countries worldwide.
[00:20:48.084 --> 00:20:49.586]  Don't wait to protect your liver.
[00:20:49.726 --> 00:20:51.588]  Visit us at ResearchedHerbs.com or call 1-800-973-1486.
[00:20:51.608 --> 00:20:52.909]  That's 1-800-973-1486 or go to ResearchedHerbs.com.
[00:20:52.929 --> 00:20:54.110]  All the goodness with none of the side effects.
[00:21:04.909 --> 00:21:08.590]  Have you ever felt like the United States government knows way too much about your financial affairs?
[00:21:08.991 --> 00:21:14.393]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[00:21:14.873 --> 00:21:15.933]  It makes me wonder if a U.S.
[00:21:15.993 --> 00:21:19.975]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[00:21:20.675 --> 00:21:34.061]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act and Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[00:21:34.481 --> 00:21:39.804]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[00:21:40.104 --> 00:21:45.987]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[00:21:46.727 --> 00:21:47.989]  Call for your free copy at 1-800-686-2237.
[00:21:48.009 --> 00:21:49.510]  When investing, always proceed with caution.
[00:21:49.530 --> 00:21:49.991]  Again, call 1-800-686-2237.
[00:21:50.011 --> 00:21:52.173]  Exercise your legal right to trade metals privately.
[00:21:52.193 --> 00:21:52.253]  1-800-686-2237.
[00:22:08.800 --> 00:22:09.781]  Tyranny is here.
[00:22:10.062 --> 00:22:13.786]  The grim future foretold in 1984 has become reality.
[00:22:13.946 --> 00:22:16.229]  It really says that the state is God.
[00:22:16.249 --> 00:22:21.696]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:22:22.116 --> 00:22:28.344]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[00:22:28.764 --> 00:22:34.309]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:22:34.749 --> 00:22:38.432]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:22:38.932 --> 00:22:42.975]  Prepare to enter the secretive world of emergency dictatorship.
[00:22:43.216 --> 00:22:48.760]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:22:49.160 --> 00:22:52.063]  It's only the beginning of the New World Order's hellish plan.
[00:22:52.703 --> 00:22:54.104]  The police state isn't coming.
[00:22:54.684 --> 00:22:55.204]  It's here.
[00:22:55.804 --> 00:23:02.826]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:23:04.947 --> 00:23:05.587]  The problem.
[00:23:05.687 --> 00:23:07.768]  How do I cook food without power?
[00:23:08.248 --> 00:23:10.409]  How do I light my home with no electricity?
[00:23:10.949 --> 00:23:13.150]  How do I get emergency radio broadcasts?
[00:23:13.630 --> 00:23:15.291]  How can I make safe drinking water?
[00:23:16.131 --> 00:23:22.193]  When your power goes out, the solution for cooking, baking, home lighting, listening to the radio, and producing clean water
[00:23:22.193 --> 00:23:24.936]  This year is the Family Emergency Kit from Karo Stove.
[00:23:25.136 --> 00:23:32.224]  Karo Stove has been in business for over 12 years with the largest selection of kerosene stoves and family preparedness supplies in the U.S.
[00:23:32.525 --> 00:23:37.130]  Now get the Family Emergency Kit at kerostove.com for only $4.29 plus shipping.
[00:23:38.251 --> 00:23:39.231]  A savings of nearly $200.
[00:23:40.452 --> 00:23:42.152]  It's perfect for off-the-grid living.
[00:23:42.292 --> 00:23:45.093]  Call 888-395-1164 today.
[00:23:45.213 --> 00:23:54.155]  That's 888-395-1164 and ask about weekly specials or check the specials online each week at kerostove.com.
[00:23:54.375 --> 00:23:59.656]  Again, call 888-395-1164 or go to kerostove.com.
[00:23:59.776 --> 00:24:02.857]  Kero Stove, for family emergency solutions.
[00:24:13.555 --> 00:24:17.188]  I was sitting in traffic, listening to the radio.
[00:24:21.743 --> 00:24:32.647]  Welcome back to the Alex Jones Show, broadcasted live on the GCN Radio Network with live video streaming at PrisonPlanet.tv.
[00:24:33.307 --> 00:24:42.991]  And if you're not a subscriber at PrisonPlanet.tv then there's no better time to become a member because we're adding a ton of new material at the moment.
[00:24:43.371 --> 00:24:52.737]  As you probably know, we've just added Camp FEMA and Don't Tread On Me, two excellent films, exclusively online at PrisonPlanet.tv.
[00:24:53.577 --> 00:24:55.058]  You won't find them on YouTube.
[00:24:55.078 --> 00:24:56.439]  This is exclusive material.
[00:24:57.039 --> 00:24:59.021]  And this is what funds the operation.
[00:25:00.201 --> 00:25:03.602]  You know, this is what pays for the mammoth bandwidth bills every month.
[00:25:04.722 --> 00:25:12.744]  And, you know, the cost of putting most of our material out for free, which is what Alex Jones does, which is what we do on a regular basis.
[00:25:13.464 --> 00:25:19.485]  And it's just £5.95 a month, or you can subscribe for a year and get three months free.
[00:25:20.686 --> 00:25:25.067]  So prisonplanet.tv, become a member of the community today.
[00:25:25.127 --> 00:25:25.527]  We've got
[00:25:27.028 --> 00:25:34.731]  Basically, you get Alex Jones audio archives, you get the video archives every single day, served out directly to you.
[00:25:36.152 --> 00:25:47.076]  You get the live video stream, which is what we're doing right now, so not only can you hear the audio, but you can watch the video, whether it's from me via Skype or in studio with Alex Jones.
[00:25:47.796 --> 00:25:51.478]  And also, we have infowarshop.com.
[00:25:51.718 --> 00:25:53.459]  That's infowarshop.com.
[00:25:54.139 --> 00:26:06.666]  And this is where you can get all the DVDs, the books, the t-shirts, the information that we really consider important and that we've vetted and that is the best information out there for waking up other people.
[00:26:07.166 --> 00:26:17.712]  So that's infowarshop.com and of course, you know, this all goes towards growing our operation and increasing our outreach.
[00:26:19.053 --> 00:26:33.877]  In the information war that we're now starting to see come to fruition, especially with the growth of the independent media, which is exemplified no better by this confrontation of the congressman which we were discussing before the break.
[00:26:34.898 --> 00:26:37.799]  But now we're going to move on to Afghanistan.
[00:26:38.219 --> 00:26:38.359]  Now,
[00:26:39.554 --> 00:26:47.518]  We've got a situation where polls at the moment are showing the maximum opposition to the occupation of Afghanistan since the invasion.
[00:26:48.318 --> 00:26:49.679]  You know, the surge is failing.
[00:26:49.699 --> 00:26:55.041]  We've just had one of the bloodiest weeks in the conflict, which is now, you know, nine years old.
[00:26:55.641 --> 00:26:59.923]  The UK is signalling that there could be a pull-out of troops.
[00:27:01.724 --> 00:27:05.209]  After, you know, more British troops died in the past couple of weeks.
[00:27:05.869 --> 00:27:09.494]  So lo and behold, the New York Times comes to the rescue.
[00:27:09.534 --> 00:27:16.442]  You know, the helpful progenitor of myths about weapons of mass destruction and yellow cake from Niger.
[00:27:17.003 --> 00:27:36.085]  You know, the New York Times, this big liberal newspaper that routinely supports the war, whether it's George W. Bush or Barack Obama in office, with this big announcement that they found a trillion dollars worth of gold, aluminium, copper, iron and other minerals in the mountains of Afghanistan, thus providing the perfect
[00:27:36.505 --> 00:27:42.650]  Justification and motivation for Obama to prolong the occupation.
[00:27:42.690 --> 00:27:46.693]  You know, Obama the peace candidate, the anti-war candidate, the candidate of change.
[00:27:47.113 --> 00:27:53.538]  More troops deployed, more US troops deployed than at any time during George W. Bush's presidency.
[00:27:53.878 --> 00:27:56.600]  That's a peace candidate, Barack Obama there.
[00:27:57.461 --> 00:28:01.124]  And if you just merely scratch the surface on research in this
[00:28:01.845 --> 00:28:06.719]  New announcement, they call it, of these vast mineral deposits in Afghanistan.
[00:28:07.422 --> 00:28:08.866]  You will know that it's basically
[00:28:10.181 --> 00:28:26.052]  As Raw Story calls it in their article, which is posted on PrisonPlanet.com, a PR scam designed to hoodwink Americans, as well as Afghan civilians, into thinking that they will ultimately somehow be the beneficiaries of all this.
[00:28:26.112 --> 00:28:32.657]  Just like, you know, we were told that Americans would reap the bounty of the Iraqi oil.
[00:28:33.968 --> 00:28:39.273]  And, uh, you know, this is nothing more than a contrived and regurgitated story.
[00:28:39.493 --> 00:28:46.820]  The Soviets, the Soviets knew as far back as 85 that Afghanistan contained these minerals 25 years ago.
[00:28:48.601 --> 00:28:49.861]  And in fact, a 2007 U.S.
[00:28:50.522 --> 00:28:56.763]  Geological Survey report said the same thing, that Afghanistan was rich with these minerals.
[00:28:58.444 --> 00:29:08.267]  People who were living in Kabul in the 70s, as is quoted in the Raw Story article, talked about how everybody knew about the fact that these deposits were in the mountains of Afghanistan.
[00:29:08.607 --> 00:29:16.513]  So we're talking about a story that's nearly 40 years old, and the New York Times reports it yesterday as if it's something new.
[00:29:17.014 --> 00:29:18.395]  And why are they reporting it?
[00:29:18.735 --> 00:29:35.429]  Because the New York Times, the establishment media, basically they're just reaning off a Pentagon Press release, are desperate for some pro-war grist amidst this plethora of failures, that they're willing to recycle a story that's four decades old.
[00:29:36.129 --> 00:29:39.830]  And we'll continue to dig into this, and we'll get to your calls after the break.
[00:29:39.890 --> 00:29:41.270]  This is the Alex Jones Show.
[00:29:41.690 --> 00:29:53.913]  Stay tuned.
[00:29:54.673 --> 00:29:55.654]  We're on the march.
[00:29:56.094 --> 00:29:57.734]  The Empire's on the run.
[00:29:58.634 --> 00:30:01.295]  Alex Jones and the GCN Radio Network.
[00:30:04.025 --> 00:30:08.268]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:30:08.568 --> 00:30:09.188]  Number one.
[00:30:09.488 --> 00:30:12.650]  New climate legislation could easily double or triple your electric bill.
[00:30:12.911 --> 00:30:13.491]  Number two.
