[00:00:02.057 --> 00:00:08.704]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:05:32.140 --> 00:05:35.723]  You wipe out all these problems if you have a good food supply.
[00:05:35.723 --> 00:05:39.185]  Food is your ammunition to fight for your freedom and your life.
[00:05:39.525 --> 00:05:40.745]  How much will you need?
[00:05:40.745 --> 00:05:41.666]  We don't know.
[00:05:41.666 --> 00:05:42.746]  How much do you want?
[00:05:42.746 --> 00:05:43.686]  All you can get.
[00:05:43.686 --> 00:05:44.787]  I'm Alex Jones.
[00:05:44.787 --> 00:05:47.828]  I want all of you good guys to live to fight another day.
[00:05:47.828 --> 00:05:49.608]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:05:49.608 --> 00:05:50.528]  Again, that number 1-800-409-5633.
[00:06:01.696 --> 00:06:08.320]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:06:08.320 --> 00:06:11.823]  It's Alex Jones and the GCN Radio Network.
[00:06:11.823 --> 00:06:13.904]  Now Judge, isn't it an oxymoron to have
[00:06:16.969 --> 00:06:35.328]  Geithner and the rest of the crew who are in this revolving door sharing powers with each other in the private corporate banks and then in government clearly stating our official policy is who gets these trillions of dollars that have been served out 180 plus billion to themselves
[00:06:36.429 --> 00:06:57.090]  They're official policy before Congress in the last two years is that it's all secret and then now they say oh my goodness this is terrible we don't know who did this we're not involved in these emails making it secret I mean that right there when they have articulated that their policy is to make it secret and then to now say that that
[00:06:57.690 --> 00:07:01.093]  I mean, it just insults rational thought.
[00:07:01.093 --> 00:07:05.036]  Clearly they're engaged in a cover-up, and the SEC is clearly involved.
[00:07:05.036 --> 00:07:13.142]  I mean, here's Kurt Nemo's Infowars.com headline from yesterday, SEC engages in conspiracy with AIG to hide bailout evidence.
[00:07:13.142 --> 00:07:17.965]  We've got a top judge here saying that that's exactly what he thinks is going on.
[00:07:17.965 --> 00:07:19.627]  Where do we go from here?
[00:07:19.627 --> 00:07:22.449]  I mean, the emperor has no clothes.
[00:07:22.449 --> 00:07:23.750]  This is a joke.
[00:07:23.750 --> 00:07:26.472]  Well, we go to places like your show.
[00:07:27.082 --> 00:07:39.148]  Because of your zeal and your courage and your fearlessness in exposing this, much as you exercise the same zeal and courage and fearlessness in the previous administration.
[00:07:39.148 --> 00:07:40.429]  And we have to educate people.
[00:07:40.429 --> 00:07:45.151]  But Alex, I feel it resonating now.
[00:07:45.151 --> 00:07:50.454]  When Bush was doing these things, I frequently felt that my words, and sometimes yours,
[00:07:50.990 --> 00:08:00.982]  We're falling on deaf ears other than those who, before all this happened, had an appreciation for human liberty and limited government and the primacy of the individual.
[00:08:00.982 --> 00:08:05.989]  But I see that as a prairie fire spreading around the country now.
[00:08:05.989 --> 00:08:06.950]  I mean, just think of it.
[00:08:07.358 --> 00:08:17.767]  The Democrats in Massachusetts are within a weekend of losing a seat that they claimed was the personal property of the Kennedy family to a Republican.
[00:08:17.767 --> 00:08:20.489]  He's not your kind of Republican or my kind of Republican.
[00:08:20.489 --> 00:08:22.210]  There's a mass exodus.
[00:08:22.210 --> 00:08:28.555]  The Democratic Party is imploding because they're... I mean, Bush, we thought Bush was bad because he tripled government.
[00:08:28.555 --> 00:08:34.080]  Obama, as you know, officially spent more money than all presidents before him combined, back to George Washington.
[00:08:34.838 --> 00:08:37.759]  And he has only been in office a year.
[00:08:37.759 --> 00:08:38.639]  You're right.
[00:08:38.639 --> 00:08:39.339]  You're right.
[00:08:39.339 --> 00:08:49.481]  And I think that the Democrats know that they will soon lose their filibuster-proof Senate, and they may actually lose the House altogether in November.
[00:08:49.481 --> 00:08:57.323]  So they know that if they want to do what FDR did to us in 12 years, they only have 10 months left in which to do it.
[00:08:57.323 --> 00:09:00.824]  And the next 10 months will be a mad dash to see how much
[00:09:01.324 --> 00:09:06.429]  Unconstitutional legislation that regulates private human behavior.
[00:09:06.429 --> 00:09:10.833]  They can weave into federal law but they are beginning to feel the blowback already.
[00:09:10.833 --> 00:09:11.814]  Prediction.
[00:09:11.814 --> 00:09:14.777]  If this young man, moderate Republican that he is,
[00:09:15.393 --> 00:09:18.034]  Well I don't know who has jumped ship yet from the Democrats, I'd love to hear it.
[00:09:38.311 --> 00:09:43.792]  Well, at the state level, we're seeing all sorts of state senators and legislative people.
[00:09:43.792 --> 00:09:47.113]  We've seen one in the House, one Democrat, say they're shifting over to... Right.
[00:09:47.113 --> 00:09:53.894]  By the way, I learned this morning that the most liberal member of the House of Representatives, Bob Wexler from Florida, resigned.
[00:09:53.894 --> 00:09:57.875]  And there's no mechanism to replace him in time for the vote on health care.
[00:09:57.875 --> 00:10:06.057]  Now, health care in the House passed by three votes, so Mrs. Pelosi now has two votes with which to play.
[00:10:06.057 --> 00:10:06.937]  That's the extent of her
[00:10:07.577 --> 00:10:09.418]  Wow, that is huge news.
[00:10:09.418 --> 00:10:19.183]  So to be clear, when Senator Dodd says that it's hanging by a thread in conference committee, the government grab of health care, it really is hanging by a thread.
[00:10:19.183 --> 00:10:20.003]  Oh, it absolutely is.
[00:10:20.003 --> 00:10:23.705]  There's a congressman whose name is escaping me, a member of the African American
[00:10:24.235 --> 00:10:32.739]  Leadership in the House of Democrats for Missouri was once the mayor of Kansas City, who said this morning that it truly is in danger.
[00:10:32.739 --> 00:10:38.501]  He predicts eventually something will pass, but he doesn't think it'll be either the House version or the Senate version.
[00:10:38.501 --> 00:10:42.523]  Here's a member of the Democratic leadership who predicted they'd go back to square one.
[00:10:42.523 --> 00:10:43.183]  Why?
[00:10:43.183 --> 00:10:53.127]  Because they did it behind the scenes, because they didn't care about natural rights, they didn't care about the free market, they didn't care about American values, they didn't care about the Constitution, and they're trying to shove it down our throats.
[00:10:53.735 --> 00:11:00.078]  And I think the biggest issue here is liberals finally read the bill and found out, wait, we're not getting a free lunch.
[00:11:00.078 --> 00:11:03.540]  They raise our taxes and cut our goodies.
[00:11:03.540 --> 00:11:06.281]  This is a big bailout to insurance companies.
[00:11:06.281 --> 00:11:07.382]  Oh, absolutely.
[00:11:07.382 --> 00:11:11.324]  And I am delighted to hear the liberals scream.
[00:11:12.082 --> 00:11:19.204]  That they and their states will be paying more money because Nebraska doesn't have to pay for Medicaid and Medicare.
[00:11:19.204 --> 00:11:29.726]  The liberals, and some conservatives have done this too, have been bribing their own members of Congress for generations in order to secure their votes.
[00:11:29.726 --> 00:11:35.868]  But when they are not the recipient of the bribe, but the payer of it, oh how you can hear them squeal.
[00:11:36.880 --> 00:11:53.351]  Judge, I want to get you up for a full hour in the near future to talk about your latest book, all the work you're doing, because you really are trailblazing at Fox News, and I see them more and more aligning themselves with you and your constitutionalist view.
[00:11:53.351 --> 00:12:04.639]  But in the six, seven minutes we've got left, moving quickly, specifically with your constitutional law background, a constitutional law lawyer and judge, specifically,
[00:12:07.220 --> 00:12:09.481]  You could call the shots.
[00:12:09.481 --> 00:12:14.362]  Right now, how do we force Bankstergate out into the open?
[00:12:14.362 --> 00:12:16.922]  I mean, it's already blowing up in their face.
[00:12:16.922 --> 00:12:28.625]  How do we ensure that we mortally wound the private Federal Reserve banking cartel and reveal to the world that this is an unconstitutional, larcenous enterprise?
[00:12:28.625 --> 00:12:34.966]  Because this patina, this cloak of invincibility has now fallen away from them.
[00:12:36.047 --> 00:12:37.710]  Your take on that?
[00:12:37.710 --> 00:12:43.640]  Well, there's a couple things going on, and they're both positive in our direction.
[00:12:43.640 --> 00:12:47.727]  There is litigation making its way through the courts, which in my view will grant
[00:12:48.342 --> 00:13:00.370]  To Bloomberg News and to Fox News, under the Freedom of Information Act, documents that the Federal Reserve has been fighting aggressively to keep secret with respect to TARP.
[00:13:00.370 --> 00:13:07.315]  Now, we may not get these documents until after the election of 2010, but once we do get them, it'll be a treasure trove.
[00:13:07.315 --> 00:13:13.799]  There is also legislation making its way through Congress, which is Congressman Ron Paul's legislation.
[00:13:14.229 --> 00:13:15.130]  To audit the Fed.
[00:13:15.130 --> 00:13:23.538]  Now, unfortunately, it has been attached to other legislation, which is utterly hateful to those of us who believe in the free market and limited government.
[00:13:23.538 --> 00:13:32.366]  But, by attaching it to that legislation, the President cannot veto it, because he desperately wants the other legislation with it.
[00:13:32.366 --> 00:13:33.827]  It's a sleeper.
[00:13:33.827 --> 00:13:39.052]  If it becomes law, and if there is a true audit of the Fed, as it does call for,
[00:13:39.844 --> 00:13:46.187]  It will expose this monster from Jekyll Island for all of the horrific things it's done.
[00:13:46.187 --> 00:13:56.211]  The secret foreign policy that it runs, the monsters that it's been bailing out, the people that have been making money, the inflation, the secret tax that it's imposed on all of us.
[00:13:56.211 --> 00:14:03.955]  We will finally have in front of the American people in black and white the who, what, when, where, and how that they did this to us.
[00:14:04.855 --> 00:14:08.318]  So the momentum is shifting in the direction of liberty.
[00:14:08.318 --> 00:14:09.459]  Everybody can feel it.
[00:14:09.459 --> 00:14:11.021]  You are seeing it.
[00:14:11.021 --> 00:14:11.762]  Is that what you're saying?
[00:14:11.762 --> 00:14:13.503]  Yeah, but you know, it's an odd momentum.
[00:14:13.503 --> 00:14:16.466]  I'll give you an example.
[00:14:16.466 --> 00:14:27.056]  The chairman of the House Financial Services Committee, the bombastic and colorful Barney Franke, quintessential liberal Democrat who believes in Soviet-style central planning.
[00:14:27.828 --> 00:14:31.910]  is now a co-sponsor of Ron Paul's Audit the Fed.
[00:14:31.910 --> 00:14:46.378]  So, at the same time he will help that part of the bill to pass the Audit the Fed, he will also usher through more power to the Fed to regulate the economy.
[00:14:46.378 --> 00:14:56.424]  So, in some narrow ways I see blossoms of liberty in the land, but in other ways I see the most heavy-handed government
[00:14:56.815 --> 00:15:08.224]  We have ever known, and it's almost a question of holding our breath until the Democrats lose the filibuster-proof majority in the Senate and perhaps the majority in the House just ten months from now.
[00:15:08.224 --> 00:15:18.432]  And the bigger question is, will we see a repeat of Gingrich, the establishment globalist, coming in, taking control of the new Republicans, and making sure they don't deliver to the people?
[00:15:18.652 --> 00:15:24.518]  Because if Republicans actually delivered liberty and freedom, they would be in power for 50 years, we'd save the country.
[00:15:24.518 --> 00:15:26.600]  But no, they're going to want to launch more wars.
[00:15:26.600 --> 00:15:30.204]  They're going to want to make money off the naked body scanners like Chertoff.
[00:15:30.204 --> 00:15:38.973]  And if Republicans, as they get into power in the next three years, in the next two elections, if they don't deliver on liberty, what comes next?
[00:15:41.112 --> 00:15:58.035]  I don't know what will come next, but in the six years that the Republicans controlled the White House and the Congress, which would be George W. Bush's first term, and the first two years of his second term, I think there was less fidelity to the Constitution.
[00:16:00.353 --> 00:16:07.335]  This is Alex Jones and I want to tell you about the Ecola Blue Atmospheric Water Generator that produces pure drinking water right from the humidity in the air.
[00:16:07.335 --> 00:16:08.615]  No, this isn't science fiction.
[00:16:08.615 --> 00:16:09.416]  It's very real.
[00:16:09.416 --> 00:16:11.656]  I know because I use one every day in my own home.
[00:16:11.656 --> 00:16:13.317]  And it's available right now to you.
[00:16:13.317 --> 00:16:17.798]  Because you know exactly where your water comes from with Ecola Blue, you'll know what's in your cup.
[00:16:17.798 --> 00:16:20.359]  Clean, great tasting water without all the pollutants.
[00:16:20.359 --> 00:16:24.980]  Get your family off the grid today by ordering your own Ecola Blue Atmospheric Water Generator.
[00:16:25.080 --> 00:16:31.163]  For your home or business, their best seller, the Ecolablue 28, produces up to 7 gallons of water every day.
[00:16:31.163 --> 00:16:33.985]  The Ecolablue 28 is easy to use and economical.
[00:16:33.985 --> 00:16:36.706]  Generate your own pure water from the humidity in the air.
[00:16:36.706 --> 00:16:43.870]  This system is free of chemicals and uses a multi-stage filtration system, including reverse osmosis, carbon filters, and ultraviolet lights.
[00:16:44.170 --> 00:16:47.894]  Order now and claim your water independence today by calling a Coloblue at 1-800-691-6043.
[00:16:47.894 --> 00:16:48.154]  That's 1-800-691-6043.
[00:16:48.154 --> 00:16:50.076]  Or visit a Coloblue on the web at www.ecoloble.com today.
[00:17:00.199 --> 00:17:04.742]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:17:04.742 --> 00:17:05.662]  Number one.
[00:17:05.662 --> 00:17:09.085]  New climate legislation could easily double or triple your electric bill.
[00:17:09.085 --> 00:17:09.945]  Number two.
[00:17:09.945 --> 00:17:14.848]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:17:14.848 --> 00:17:15.589]  It's true.
[00:17:15.589 --> 00:17:20.452]  Total government control of electricity in the name of smart grid technology is coming.
[00:17:20.452 --> 00:17:20.992]  Number three.
[00:17:21.272 --> 00:17:24.855]  In some areas of the country, the power grid is dangerously overloaded.
[00:17:24.855 --> 00:17:29.579]  And now, new socialist legislation is only compounding the problem.
[00:17:29.579 --> 00:17:32.341]  Dangerous weather is always a threat to local grids.
[00:17:32.341 --> 00:17:36.805]  Every year, thousands of families lose their power from weather-related outages.
[00:17:36.805 --> 00:17:40.949]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:17:40.949 --> 00:17:45.713]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:17:45.993 --> 00:17:50.175]  You can get more information at www.mysolarbackup.com.
[00:17:50.175 --> 00:17:51.956]  That's mysolarbackup.com.
[00:17:51.956 --> 00:17:54.198]  Remember, the government doesn't own the sun.
[00:17:54.198 --> 00:17:56.559]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:18:01.923 --> 00:18:05.884]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:18:05.884 --> 00:18:14.745]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:18:14.745 --> 00:18:19.366]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:18:19.366 --> 00:18:30.188]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:18:30.828 --> 00:18:40.330]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:18:40.330 --> 00:18:45.772]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:18:45.772 --> 00:18:53.253]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:18:53.253 --> 00:18:56.014]  That's www.silverlungs.com.
[00:19:01.218 --> 00:19:05.242]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:19:05.242 --> 00:19:08.466]  This is our last chance to not relive history.
[00:19:08.466 --> 00:19:13.291]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:19:13.291 --> 00:19:19.678]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:19:19.678 --> 00:19:21.921]  I think it's incumbent upon all of us
[00:19:22.421 --> 00:19:22.741]  Tim Geithner?
[00:19:22.741 --> 00:19:23.261]  Bernanke?
[00:19:23.261 --> 00:19:24.062]  They're arsonists!
[00:19:24.062 --> 00:19:25.202]  They're asking for more matches!
[00:19:25.202 --> 00:19:27.443]  And the Congress is saying, who do we make the check out to?
[00:19:41.348 --> 00:19:43.469]  Today seems like nobody does care.
[00:19:43.469 --> 00:19:48.610]  And right now in Washington, D.C., we have seen a fall of the republic.
[00:19:48.610 --> 00:20:01.273]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:20:01.273 --> 00:20:04.874]  Coast to Coast, direct from Austin.
[00:20:04.874 --> 00:20:08.075]  You're listening to the Alex Jones Broadcasting Network.
[00:20:10.945 --> 00:20:13.714]  He's the T-Rex of political talk.
[00:20:13.714 --> 00:20:16.522]  Alex Jones on the GCN Radio Network.
[00:20:36.339 --> 00:20:41.649]  Well, his new book's been out for months, been at the top of the bestseller charts in the Fed.
[00:20:42.970 --> 00:20:53.338]  And of course, he had a number one New York Times bestseller, his Manifesto of Freedom, and you can find out a lot more at Campaign for Liberty.
[00:20:53.338 --> 00:21:04.786]  Ron Paul, again, is our statesman, our champion out there, really exposing the fake Republican Party and the fake Democratic Party.
[00:21:04.786 --> 00:21:11.772]  Congressman, getting back to healthcare here briefly, a month ago on the show, you said it looks like it probably will pass.
[00:21:12.592 --> 00:21:15.073]  Is that still your prognosis?
[00:21:15.073 --> 00:21:18.875]  Yes, but I don't think anybody knows what will be in it.
[00:21:18.875 --> 00:21:21.977]  I don't think it will be everything that Obama wanted.
[00:21:24.821 --> 00:21:31.709]  I wouldn't put a whole lot of money on exactly what's going to happen, because, you know, the right-to-life people in the House are very, very determined.
[00:21:31.709 --> 00:21:37.917]  And Democrats, you know, Bart Stupak says he's going to stick to his guns, so maybe something good will come of all that.
[00:21:37.917 --> 00:21:41.160]  But then again, I think something will pass.
[00:21:41.160 --> 00:21:43.984]  The government is going to get more control of medical care.
[00:21:47.119 --> 00:21:53.508]  In every poll, you get Gallup polls of 99% against the banker bailout takeover of 2008.
[00:21:53.508 --> 00:21:55.650]  You see 91% against open borders.
[00:21:55.650 --> 00:22:00.096]  You see 70-plus percent not wanting government-financed abortion.
[00:22:00.096 --> 00:22:01.899]  But it all just continues.
[00:22:02.419 --> 00:22:04.961]  Even if the people are against it.
[00:22:04.961 --> 00:22:06.662]  Take Copenhagen.
[00:22:06.662 --> 00:22:16.648]  The Copenhagen-Denmark event, Congressman, as you know, they couldn't get the treaty, so Obama and Gordon Brown say they're just going to implement it at the executive level.
[00:22:16.648 --> 00:22:18.629]  Is this not tyranny?
[00:22:18.629 --> 00:22:22.132]  It is, and they do a lot of that, and they've been doing it for a lot of years.
[00:22:22.132 --> 00:22:26.995]  Executive orders, probably about 99% of those are illegal.
[00:22:26.995 --> 00:22:30.437]  There are some conditions where a president's allowed to issue an executive order.
[00:22:31.127 --> 00:22:39.070]  But you have the executive orders, you have the signing statements, and I mentioned before about how agencies of government legislate.
[00:22:39.070 --> 00:22:41.010]  That's unconstitutional.
[00:22:41.010 --> 00:22:43.591]  And it's just growing by leaps and bounds.
[00:22:43.591 --> 00:22:51.074]  And when you think about what the CIA does and how we run our foreign policy, it's all out of control.
[00:22:52.759 --> 00:22:56.883]  And it seems from studying history that that's what tyrannies do.
[00:22:56.883 --> 00:23:00.387]  They just get you trained to accept corruption.
[00:23:00.387 --> 00:23:03.029]  No one is for it, but they just do it.
[00:23:03.029 --> 00:23:07.834]  And the people kind of get a broken mindset or broken attitude.
[00:23:09.095 --> 00:23:13.460]  I've seen polls in Europe of 76% against the naked body scanners.
[00:23:13.460 --> 00:23:18.406]  We have medical reports that it does bombard your body with dangerous radiation.
[00:23:18.406 --> 00:23:22.070]  The media blurs the images, but we've posted and gotten the real images.
[00:23:23.872 --> 00:23:27.394]  Images of women's breasts, genitalia, men's genitals.
[00:23:27.394 --> 00:23:30.895]  This is a literal recording of your naked body.
[00:23:30.895 --> 00:23:36.538]  England has to change their law, The Guardian reports, because it is child pornography under their laws.
[00:23:36.538 --> 00:23:41.240]  I mean, who would imagine Stalin putting people through naked body scanners?
[00:23:41.240 --> 00:23:44.301]  Congressman, can you speak to that A and B?
[00:23:44.301 --> 00:23:49.884]  Could you sponsor a bill to have Congress get control of the TSA?
[00:23:50.624 --> 00:23:57.390]  And not let them put in these machines and we have Chertoff making money off the company that got the government contracts?
[00:23:57.390 --> 00:24:00.132]  I mean, this is just incredible conflicts of interest.
[00:24:00.132 --> 00:24:06.137]  We've already had a vote in the House on this to ban these scanners and they passed it to the House.
[00:24:06.137 --> 00:24:09.380]  So that represented what the people were saying.
[00:24:09.380 --> 00:24:10.561]  That was several months ago.
[00:24:11.201 --> 00:24:14.325]  But it's almost like this is the reaction to it.
[00:24:14.325 --> 00:24:19.432]  We need to prove that we need these machines and they have this incident come up.
[00:24:19.432 --> 00:24:26.782]  So I think the people back then said one thing, but now they're using the tactic.
[00:24:26.782 --> 00:24:29.145]  You were wondering why do the people
[00:24:29.765 --> 00:24:39.554]  Uh, you know, go along, and even though it seems like they're opposed to it, I think the reason that people finally go along, even though their numbers are against it, is because of fear.
[00:24:39.554 --> 00:24:44.258]  I mean, the government knows how to build up fear, you know, fear of the financial collapse of the system.
[00:24:44.258 --> 00:24:46.000]  Oh yeah, that's why we have to bail everybody out.
[00:24:46.941 --> 00:24:54.826]  The fear that Osama Bin Laden is on the verge of having a nuclear weapon and Saddam Hussein is going to bomb Washington, D.C.
[00:24:54.826 --> 00:25:05.192]  is always fear, fear, fear, and then the people get frightened, and then they sacrifice their liberties, and it's a continuous process.
[00:25:05.192 --> 00:25:09.194]  It's a hard thing to combat, but hopefully we'll be able to do it.
[00:25:09.858 --> 00:25:12.279]  So, carbon dioxide is going to kill us.
[00:25:12.279 --> 00:25:15.920]  We've got to have a world government and a world tax to save us.
[00:25:15.920 --> 00:25:17.460]  The swine flu is going to kill us.
[00:25:17.460 --> 00:25:23.842]  It's killed right around 11% so far, according to the Associated Press, what the regular seasonal flu does.
[00:25:23.842 --> 00:25:27.643]  But we've got to have those forced inoculations in New York and Massachusetts.
[00:25:27.643 --> 00:25:28.763]  That failed.
[00:25:28.763 --> 00:25:36.145]  It does seem that their selling of fear, though, is having less and less effect, and that people are starting to get wise to it.
[00:25:36.405 --> 00:25:37.245]  Yeah, this is it.
[00:25:37.245 --> 00:25:40.926]  And this is the great thing that's happened, is the loss of credibility of government.
[00:25:40.926 --> 00:25:52.230]  And this comes along with the acknowledgement that the government is bankrupt, and that both parties are bankrupt, because governments make promises and they can't fulfill them.
[00:25:52.230 --> 00:25:57.952]  Even these foreign policy adventures, adventurism, that's not going to pan out either.
[00:25:57.952 --> 00:25:59.712]  There will be a point where you can't afford it.
[00:25:59.712 --> 00:26:00.913]  That's why the Soviets left.
[00:26:00.913 --> 00:26:02.393]  It isn't because we fought them.
[00:26:02.393 --> 00:26:04.694]  They finally, the economic system couldn't be sustained.
[00:26:05.354 --> 00:26:15.038]  And there's as much concern on the left as there is on the right about government and its credibility, because the people on the left say, hey, maybe my benefits aren't going to come.
[00:26:15.038 --> 00:26:17.680]  Is it true that Social Security is bankrupt?
[00:26:17.680 --> 00:26:21.081]  And where are they going to get this money for all this medical bill?
[00:26:21.081 --> 00:26:26.243]  You know, eventually they're starting to wake up, because government is losing their credibility.
[00:26:26.243 --> 00:26:28.585]  And I think this is very, very healthy.
[00:26:28.585 --> 00:26:33.827]  But our job is not just to harp on their total failure as much as to say,
[00:26:34.247 --> 00:26:35.368]  What are we going to do about it?
[00:26:35.368 --> 00:26:36.928]  Is there an answer to this?
