[00:00:06.171 --> 00:00:09.252]  I fear that we as a country are drowning in a sea of debt.
[00:07:18.446 --> 00:07:23.571]  40% of what the Federal Reserve is buying right now, neither you nor I would purchase.
[00:07:24.151 --> 00:07:27.652]  Would you purchase your buddy's bad car loan that lives down the street from you?
[00:07:28.192 --> 00:07:28.993]  No way!
[00:07:29.373 --> 00:07:34.875]  But the Federal Reserve is doing this and we don't even know how they're doing it because they won't let us audit the Federal Reserve.
[00:07:34.955 --> 00:07:39.396]  There's now 270 co-sponsors for auditing it and yet we still don't have a vote.
[00:07:39.876 --> 00:07:41.217]  So we have to keep pushing on.
[00:07:41.257 --> 00:07:42.917]  The Liberty Movement needs more candidates.
[00:07:43.238 --> 00:07:47.339]  We need to keep calling and writing all our congressmen and senators to get the audit bill through.
[00:07:47.819 --> 00:07:52.783]  Recently, they've been talking about who they want to replace Bernanke with, or whether he'll get the job again.
[00:07:52.863 --> 00:07:55.745]  I think the discussion should be, let's don't replace him at all.
[00:07:56.666 --> 00:08:01.129]  And even if you didn't immediately abolish the Fed, abolish some of the powers of the Fed.
[00:08:01.509 --> 00:08:04.892]  Is there any reason why the Fed should set the day-to-day interest rate?
[00:08:05.572 --> 00:08:08.514]  I see the interest rate as kind of like insulin in the body.
[00:08:08.554 --> 00:08:15.279]  When you eat a big meal, your insulin rises, tamponades the blood sugar, and it brings it back to a maintenance level.
[00:08:15.599 --> 00:08:17.120]  We call that homeostasis.
[00:08:17.180 --> 00:08:21.683]  It's sort of an equilibrium that always finds its balance when the body's working properly.
[00:08:22.123 --> 00:08:23.604]  The economy's the same way.
[00:08:24.045 --> 00:08:25.486]  When it gets overheated, there's
[00:08:26.326 --> 00:08:28.287]  A hundred new homebuilders building houses.
[00:08:28.567 --> 00:08:31.108]  The competition for money will drive the interest rate higher.
[00:08:31.428 --> 00:08:33.790]  The economy slows gradually a little bit.
[00:08:34.130 --> 00:08:37.852]  And then when it grows to a point, interest rates fall and the economy will pick back up again.
[00:08:38.372 --> 00:08:44.415]  But if you have the Federal Reserve make the interest rate zero, you get this artificial boom and there is no check and balance.
[00:08:44.715 --> 00:08:49.197]  If the interest rate isn't allowed to rise, the economy keeps getting overheated and overheated.
[00:08:49.617 --> 00:08:51.058]  That's how we got into this mess.
[00:08:51.598 --> 00:08:55.279]  But we're getting into another mess now because we've got the interest rates at zero.
[00:08:55.619 --> 00:09:03.902]  We're telling everybody, go out and buy another car, bring in your old car, we'll give you $4,500 for it, but you need to borrow $20,000 more to buy the new car.
[00:09:04.202 --> 00:09:07.984]  So everybody becomes more indebted, and as a country, that's not good.
[00:09:08.064 --> 00:09:12.945]  It's sort of this mentality, go to the mall, spend your money, and everything will be okay.
[00:09:13.606 --> 00:09:17.587]  It doesn't make any sense to you individually, and it can't make any sense for an economy.
[00:09:18.047 --> 00:09:22.148]  I think it's a little scary in our country that we're doing what's called political profiling.
[00:09:22.188 --> 00:09:26.209]  You know, people were worried about profiling people for the color of their skin.
[00:09:26.529 --> 00:09:29.190]  Now we're profiling people for the color of their thoughts.
[00:09:29.770 --> 00:09:31.110]  You know, what are you thinking?
[00:09:31.130 --> 00:09:34.611]  Do you believe in something really scary like the Constitution?
[00:09:35.031 --> 00:09:36.711]  You might be a dangerous person.
[00:09:37.092 --> 00:09:47.474]  It actually said in that report out of Missouri, the Missouri Department of Homeland Security said, if you believe in the Constitution or supported Ron Paul or Bob Barr,
[00:09:48.041 --> 00:09:49.262]  You might be a terrorist.
[00:09:49.862 --> 00:10:01.148]  So, something so benign and something you would think so wholesome as believing in our country's founding document has now been turned on its head and we're the ones to be investigated.
[00:10:01.308 --> 00:10:05.230]  I think times of crisis is when we have to worry the most about things.
[00:10:05.630 --> 00:10:12.674]  You know, Rahm Emanuel, who's a chief advisor to President Obama said, let no good crisis go past without
[00:10:13.354 --> 00:10:13.775]  All right.
[00:10:31.118 --> 00:10:38.021]  And then came Hitler, who promised that these awful people were the ones doing this to you, and we need to round them up and put them in camps.
[00:10:38.482 --> 00:10:43.484]  And the liberties just went out the window, but people actually democratically voted in Hitler.
[00:10:44.044 --> 00:10:45.965]  And I worry about that again in our country.
[00:10:46.005 --> 00:10:53.569]  If the money is destroyed in our country, could we get a time where a strong leader comes forward and says, we just need security.
[00:10:53.909 --> 00:10:56.451]  I'll make you safe, but just give me your liberty.
[00:10:56.531 --> 00:10:58.752]  Give me your liberty and I'll make you safe again.
[00:10:59.632 --> 00:11:02.594]  And unfortunately, some people accept that, you know.
[00:11:02.634 --> 00:11:04.356]  But we have to remember what Ben Franklin said.
[00:11:04.396 --> 00:11:08.919]  He says, you know, those who trade their liberty for security will have neither.
[00:11:09.359 --> 00:11:13.562]  And that's an important maxim to remember, is that you never get both.
[00:11:13.842 --> 00:11:16.164]  And it's hard to get your liberty back once you've given it up.
[00:11:16.857 --> 00:11:26.360]  Talk about the reports that we're hearing, like Obama supporters are going out and they even set up a tattletale line at one point to, you know, people who criticize Obama kind of turn them in.
[00:11:26.380 --> 00:11:31.842]  They've since stopped that particular piece, but how does that, you know,
[00:11:32.893 --> 00:11:34.294]  Do they have brown shirts on?
[00:11:34.375 --> 00:11:37.779]  Is this a youth patrol talking about hate speech?
[00:11:37.799 --> 00:11:42.545]  Well, I did watch one of the announcers the other day and they were saying, here's the poll.
[00:11:42.626 --> 00:11:46.130]  Do you think if you criticize President Obama that it's hate speech?
[00:11:46.811 --> 00:11:47.432]  Well, for goodness sake.
[00:11:47.932 --> 00:11:51.273]  Criticism of a political figure and they're going to call it hate speech?
[00:11:51.613 --> 00:11:57.195]  That's a dangerous sign that freedom of speech may be under attack next if we have to be careful about what we say.
[00:11:57.795 --> 00:12:04.497]  And so no, I think criticism is what makes the country great and that puts the leaders should have to defend what they're doing.
[00:12:04.837 --> 00:12:06.878]  That's why the town hall process is good.
[00:12:07.558 --> 00:12:10.399]  I was talking with my brother on the way down here and we were talking about how
[00:12:10.999 --> 00:12:19.104]  His congressman at the town hall only accepted questions on cards, and then the county chairman screened them, and 40% of them were taken out.
[00:12:19.164 --> 00:12:21.525]  So only friendly questions were allowed.
[00:12:21.565 --> 00:12:22.706]  You couldn't raise your hand.
[00:12:23.126 --> 00:12:24.306]  So that's what it's going to come to.
[00:12:24.346 --> 00:12:32.191]  If they do town halls at all, they're going to have screened questions, because they're becoming fearful that the people might ask them a hard question.
[00:12:32.531 --> 00:12:34.292]  How do you feel about this uprising?
[00:12:34.412 --> 00:12:38.314]  And these aren't like kids, you know, protesting their college.
[00:12:38.334 --> 00:12:39.695]  These are adult, working people.
[00:12:40.290 --> 00:12:58.213]  I think it goes back to what we talked about, about there being an unease upon the land, a discontent that's growing and festering, and that the Obama administration's gone too far to the left too quickly, and they want to take over health care, they want to take over cap and trade, they want to do all these things so fast
[00:12:58.633 --> 00:13:05.656]  That I think people are, there is a backlash forming and it's not really coming very well from the, or very much, I think, from the Republican Party.
[00:13:05.977 --> 00:13:09.218]  I think it's more spontaneous, that people are just showing up and they're unhappy.
[00:13:09.818 --> 00:13:11.079]  But they want an alternative.
[00:13:11.139 --> 00:13:14.400]  For example, with health care, they don't want someone just to oppose Obamacare.
[00:13:14.781 --> 00:13:16.461]  They want someone to say, what do we do?
[00:13:16.541 --> 00:13:17.902]  How do we make health care better?
[00:13:18.342 --> 00:13:20.864]  You know, and it's not just access, it's expense.
[00:13:20.944 --> 00:13:25.846]  I hear more complaints about how much people spend on their health insurance than I do about access.
[00:13:26.306 --> 00:13:29.827]  But I have a plan that I've been promoting that I think would transform things.
[00:13:30.287 --> 00:13:33.608]  We need to make health insurance more like term life insurance.
[00:13:34.588 --> 00:13:37.489]  When you buy term life insurance, you buy it over many years.
[00:13:37.569 --> 00:13:41.089]  So, for example, I have term life insurance and it's a 20-year contract.
[00:13:41.570 --> 00:13:49.631]  And I'm halfway into it, but if I have a heart attack, because of all these stressful questions today, and I survive, my term life insurance stays the same.
[00:13:49.691 --> 00:13:50.472]  I'm on a 20-year contract.
[00:13:52.012 --> 00:14:00.551]  If I have a heart attack this year, or tonight, but I survive, when my health insurance expires this year, they'll double my rates.
[00:14:01.420 --> 00:14:06.061]  I have a very high deductible and my health insurance still went up 17% last year.
[00:14:06.501 --> 00:14:14.283]  So even people who are part of the healthcare system, I'm a physician, recognize that the costs are rising rapidly and I know people are unhappy about that.
[00:14:14.723 --> 00:14:22.545]  But my question is, are the prices rising because we have too much capitalism in healthcare or too little capitalism?
[00:14:23.005 --> 00:14:25.126]  I would make the point that we have very little capitalism.
[00:14:25.586 --> 00:14:32.572]  We have private ownership, and I make a profit, and it's privately done, but the prices don't fluctuate.
[00:14:32.693 --> 00:14:35.635]  In true capitalism, the price should fluctuate.
[00:14:35.976 --> 00:14:38.958]  So when you go and buy things like a cell phone, they're incredibly cheap.
[00:14:39.058 --> 00:14:45.244]  Every day they're cheaper, but there's many people producing them, and the prices float, and you can choose your product on price.
[00:14:45.584 --> 00:14:48.967]  If you come to me as a doctor, and you're over 65, the government sets the price.
[00:14:49.628 --> 00:14:54.552]  Everybody charges the same across the country, so you can't choose your doctor or your procedure based on price.
[00:14:55.032 --> 00:14:56.513]  And a lot of medicine is elective.
[00:14:56.593 --> 00:15:06.580]  It's hard to choose your doctor when you're having a heart attack, but if you have elective surgery, or you're having your tonsils out, or having something done that's elective, you could choose things on price, but you can't.
[00:15:06.980 --> 00:15:11.203]  They also make surgery centers very hard to open, so everything's done in the hospital.
[00:15:11.524 --> 00:15:14.086]  But if you had surgery centers, all of a sudden you'd have more competition.
[00:15:14.406 --> 00:15:17.348]  So there are a lot of ways to bring competition into healthcare, but
[00:15:17.728 --> 00:15:21.910]  We're not talking about it because all we're talking about is injecting more government into health care.
[00:15:22.450 --> 00:15:27.853]  Well, I mean, the first sort of thing you see with martial law is mandates, and they're talking about making it mandatory.
[00:15:29.033 --> 00:15:37.037]  I worry because the last flu vaccine we had in the 1970s, more people died from the vaccine than died from the swine flu.
[00:15:37.737 --> 00:15:41.998]  I think you have to use your brain, but I think every individual should be allowed to make that choice.
[00:15:42.399 --> 00:15:47.440]  For example, 20 years ago, my parents gave me smallpox vaccine, and I would do it again.
[00:15:47.460 --> 00:15:54.242]  You know, smallpox was an awful disease, and the vaccine wiped smallpox out of civilization, basically.
[00:15:54.262 --> 00:15:57.844]  All the people left with it are bioterrorism labs that have smallpox.
[00:15:57.924 --> 00:15:59.924]  I would have also taken the polio vaccine.
[00:16:00.024 --> 00:16:02.205]  I know a lot of people had polio, and we stopped it.
[00:16:02.565 --> 00:16:04.586]  But am I going to take the swine flu vaccine?
[00:16:05.206 --> 00:16:10.493]  Unlikely until I'm certain that it's safe and I'm not going to have my kids take it until I know it's safe.
[00:16:10.814 --> 00:16:15.460]  But I'm not absolutely saying that I won't take the vaccine, but I say you have to be careful.
[00:16:15.480 --> 00:16:19.165]  You have to weigh the risks of the disease versus the risks of the vaccine.
[00:16:19.525 --> 00:16:20.927]  But I'm not going to tell people
[00:16:21.482 --> 00:16:22.002]  We're good to go.
[00:16:44.873 --> 00:16:47.976]  And meanwhile, they had already talked about making it mandatory.
[00:16:48.296 --> 00:16:51.579]  The whole problem is not necessarily good versus bad on vaccines.
[00:16:51.939 --> 00:16:55.682]  It's whether it should be mandatory or the individual makes the decision.
[00:16:56.363 --> 00:16:59.425]  And sometimes you want to not be the first one to get a new procedure.
[00:16:59.445 --> 00:17:01.987]  You want to see if it works well before you choose.
[00:17:02.828 --> 00:17:13.033]  Well, the way the Freedom Movement can get involved and help me is through visiting our website, RandPaul2010.com, and we're already, the Liberty Movement is mobilized.
[00:17:13.053 --> 00:17:16.055]  We're getting people within Kentucky already distributing literature.
[00:17:16.515 --> 00:17:19.517]  We've given out over 10,000 pieces of literature so far.
[00:17:19.977 --> 00:17:27.601]  We've had our first poll, and it shows us dead even with the leading Democrat and within striking distance of the leading Republican.
[00:17:28.021 --> 00:17:34.406]  So we're excited about what's going on, and if the Liberty Movement will mobilize, this is an election we can win.
[00:17:43.552 --> 00:17:46.014]  Visit InfoWars.com and PrisonPlanet.com.
[00:17:46.514 --> 00:17:51.658]  When you're on the site, you can also tune in 24 hours a day to my daily radio broadcast.
[00:17:51.798 --> 00:17:55.661]  There's also a free iPhone app to listen to the syndicated radio show when and where you want.
