[00:00:05.746 --> 00:00:08.747]  Everything is proceeding
[00:09:06.206 --> 00:09:22.376]  Because if we continue to allow them to have these successes that they're having now, taking over society, always in the name of stopping a crisis, which they always created, the sky's the limit.
[00:09:22.376 --> 00:09:26.838]  The last month, we've seen the head of the World Bank, the head of the IMF, the head of the Federal Reserve.
[00:09:28.735 --> 00:09:37.837]  Different banking heads of the G20 say austerity is here and we're going to destroy the economy to save the environment.
[00:09:37.837 --> 00:09:39.977]  You know, oh, it's good that we're in a depression.
[00:09:39.977 --> 00:09:42.878]  That's lowering our carbon footprints.
[00:09:42.878 --> 00:09:56.640]  All the big central banks financing the fake environmental movement that is meant to further shut down any free market industrial capacity on Main Street in your town, in your city, in your county, in your state.
[00:09:57.915 --> 00:10:05.981]  This is financial economic conquest backed up by the paramilitary forces.
[00:10:05.981 --> 00:10:08.683]  The Globalists staged the economic crises.
[00:10:08.683 --> 00:10:11.165]  On record, we have all their emails, all their documents.
[00:10:11.165 --> 00:10:13.767]  It's not even hidden that they premeditatedly did this.
[00:10:13.767 --> 00:10:17.410]  Goldman Sachs leading the wolf pack.
[00:10:17.410 --> 00:10:26.698]  We on record know that governments have staged many terror attacks as their pretext to bring in the physical force and to train us to live in a high-tech police state.
[00:10:27.517 --> 00:10:40.203]  I mean, I see articles every day, one out of Texas, where they said, well, the federal government has ordered us to not allow children to have any sweets in their lunch box.
[00:10:40.203 --> 00:10:52.329]  Instead of just taking the Coke machines out that the schools put in to make money, and making the school lunches more healthy, they go to the extreme of saying, no, we're going to inspect your lunch boxes, and if a
[00:10:54.128 --> 00:11:00.090]  Seven-year-old little girl is caught with one apple?
[00:11:00.090 --> 00:11:05.652]  Jolly rancher, she is expelled for one week and the school's saying she's lucky.
[00:11:05.652 --> 00:11:07.693]  This is zero tolerance.
[00:11:07.693 --> 00:11:12.954]  Next time, the police may be called in.
[00:11:12.954 --> 00:11:20.357]  But if she was eating a handful of Ritalin or Prozac, now that would have been a different story.
[00:11:21.789 --> 00:11:23.709]  And that's just the backdrop.
[00:11:23.709 --> 00:11:31.151]  Public schools watching the kids in one school district 56,000 times in one year.
[00:11:31.151 --> 00:11:35.012]  We have the school emails where they're saying, oh, it's so much fun to watch them at home.
[00:11:35.012 --> 00:11:36.953]  This is better than a soap opera.
[00:11:36.953 --> 00:11:38.833]  Oh, I love recording it.
[00:11:38.833 --> 00:11:41.194]  Oh, I love watching them in their bedrooms.
[00:11:41.194 --> 00:11:44.254]  Oh my goodness.
[00:11:44.254 --> 00:11:46.235]  And they just throw it in your face and nothing's done.
[00:11:46.235 --> 00:11:47.115]  Nobody gets in trouble.
[00:11:48.496 --> 00:11:55.660]  You have all the heads of the big private banks come out and say, the good times are over!
[00:11:55.660 --> 00:11:58.401]  For good!
[00:11:58.401 --> 00:12:07.867]  You're going to have it worse than your parents had it, and your children are going to have it a hell of a lot worse than you've had it, but you're not going to have to wait for your kids, who are 10 years old, to grow up and be poor.
[00:12:07.867 --> 00:12:11.048]  You're going to be poor right now!
[00:12:11.048 --> 00:12:11.649]  Right now!
[00:12:11.649 --> 00:12:13.710]  We're going to take your pension funds.
[00:12:14.130 --> 00:12:15.311]  Private and public.
[00:12:15.311 --> 00:12:28.718]  We're gonna take it and let corporations create side companies, different divisions, and then shut down the old division and move it over and take your pension fund and fire you or make you train your replacements.
[00:12:28.718 --> 00:12:30.379]  We're gonna expand NAFTA and GAAP.
[00:12:30.379 --> 00:12:32.861]  We're gonna bust the borders wide open.
[00:12:32.861 --> 00:12:34.922]  It's open season on anybody
[00:12:36.872 --> 00:12:49.891]  Who tries to be self-sufficient and who wants to be able to live the American dream or the dream of being a free person.
[00:12:49.891 --> 00:12:50.232]  It's here!
[00:12:51.935 --> 00:13:08.368]  Just overnight, imagine all the discussions and all the debates and all of the prodding and fear-mongering and the former Goldman Sachs head, who was the Treasury head at the time, with his counterpart, the head of the New York Fed.
[00:13:08.368 --> 00:13:13.573]  You had Henry Paulson and Timmy Geithner and Ben Bernanke, all Goldman Sachs pirates.
[00:13:16.294 --> 00:13:28.825]  And they went before Congress and they said there will be blood in the streets, total depression, collapse of society unless you give us this blank check for what is now well above 30 trillion dollars.
[00:13:28.825 --> 00:13:38.754]  Another 20 trillion stolen from other nations, paid into the banks.
[00:13:38.754 --> 00:13:40.275]  And then suddenly overnight,
[00:13:41.434 --> 00:13:47.219]  Oh, there's secret meetings going on with the private bank heads in the G20 last week.
[00:13:47.219 --> 00:13:55.226]  It's a hundred and fifty billion dollars.
[00:13:55.226 --> 00:13:58.508]  It's six hundred and thirty-five billion.
[00:13:58.508 --> 00:13:59.990]  It's a trillion!
[00:13:59.990 --> 00:14:01.031]  No, wait!
[00:14:01.031 --> 00:14:06.195]  It's more than a trillion!
[00:14:06.195 --> 00:14:09.298]  And before they would put out lies like, oh, it's a eight hundred and...
[00:14:10.623 --> 00:14:13.784]  Eighty-six billion dollar bailout.
[00:14:13.784 --> 00:14:15.105]  No, it was in the tens of trillions.
[00:14:15.105 --> 00:14:16.765]  So now they're telling you it's a trillion.
[00:14:16.765 --> 00:14:19.626]  I mean, will it be a hundred trillion?
[00:14:19.626 --> 00:14:26.829]  And again, this is more money than exists in the entire planet to begin with.
[00:14:26.829 --> 00:14:27.749]  Real assets.
[00:14:27.749 --> 00:14:30.870]  You can't buy real things with all this money.
[00:14:30.870 --> 00:14:34.231]  It only uses a weapon to bring us into complete bondage.
[00:14:34.231 --> 00:14:38.693]  And they tell us, oh, we're doing this to save the Eurozone.
[00:14:39.929 --> 00:14:49.736]  The European countries have to give these trillions of dollars to private banks and we can't tell you where it's going.
[00:14:49.736 --> 00:14:51.917]  Oh no, that's all secret!
[00:14:51.917 --> 00:14:54.679]  Or the Euro will fall.
[00:14:54.679 --> 00:14:58.542]  And I had BBC reporter Greg Pallast on just last week.
[00:14:58.542 --> 00:15:05.587]  He talked about some of the founding members of the Euro by name bragging to him that it was designed to take over European nations.
[00:15:06.499 --> 00:15:10.041]  Get them into fraudulent derivatives debt.
[00:15:10.041 --> 00:15:13.444]  Oh, they planned this 50 years ago.
[00:15:13.444 --> 00:15:19.588]  Oh, sure, they were getting money and power and control and robbing people all the way along, but now this is the big sweep.
[00:15:19.588 --> 00:15:24.692]  This is the all-in, the total commitment.
[00:15:24.692 --> 00:15:34.519]  And now they've ordered socialized Europe for workers to... They socialize risk, privatize profit.
[00:15:34.519 --> 00:15:34.879]  Remember that.
[00:15:36.305 --> 00:15:39.206]  It's not socialism for the elite, it's only for us.
[00:15:39.206 --> 00:15:44.549]  And they force you to invest in government health care and in government-controlled pension funds and 401ks.
[00:15:44.549 --> 00:15:46.749]  You pay for it.
[00:15:46.749 --> 00:15:51.491]  In Greece, they take around half of your paycheck for your pension fund.
[00:15:51.491 --> 00:15:58.975]  And then, now that you retire and you say, I want my money, they say, oh no, you're greedy Greeks.
[00:15:58.975 --> 00:16:04.237]  You caused this, not Goldman Sachs running your country as your finance minister and your president.
[00:16:05.874 --> 00:16:08.715]  A public British agent.
[00:16:08.715 --> 00:16:10.255]  And they sell it to the world.
[00:16:10.255 --> 00:16:13.816]  This is all happening because of Greece.
[00:16:13.816 --> 00:16:17.617]  You've got to lose your pension funds in Europe because of the Greek workers.
[00:16:17.617 --> 00:16:19.117]  They did it.
[00:16:19.117 --> 00:16:24.879]  It's all their fault.
[00:16:24.879 --> 00:16:28.419]  And then now they tell us, uh, it's actually for the big banks.
[00:16:28.419 --> 00:16:30.100]  The governments have to pay them this money.
[00:16:30.100 --> 00:16:31.980]  The government's invested in derivatives.
[00:16:31.980 --> 00:16:34.581]  We have to do it, but we're not going to tell you exactly where the money's going.
[00:16:35.762 --> 00:16:39.864]  Just like here in the United States, they won't say where it went.
[00:16:39.864 --> 00:16:44.766]  And remember, this is a replay of a year and a half ago.
[00:16:44.766 --> 00:16:46.306]  Getting closer to two years ago.
[00:16:46.306 --> 00:16:56.930]  This is an absolute replay of what we saw happen in October and November of 2008.
[00:16:59.448 --> 00:17:11.419]  They told us it's the fault of the scumbag Americans why millions of these lazy people, they went out and they lied on their forms to get credit.
[00:17:11.419 --> 00:17:14.722]  And they're the ones that are causing the financial meltdown.
[00:17:14.722 --> 00:17:15.743]  No.
[00:17:15.743 --> 00:17:19.407]  Because day one when they got the money they said it's not going to the housing
[00:17:21.243 --> 00:17:23.604]  Mortgages to the housing derivatives.
[00:17:23.604 --> 00:17:24.664]  It's going somewhere else.
[00:17:24.664 --> 00:17:25.984]  We're not going to tell you.
[00:17:25.984 --> 00:17:27.424]  But that's the cover story.
[00:17:27.424 --> 00:17:31.425]  It's the American homeowners who were told to go out and take these loans.
[00:17:31.425 --> 00:17:32.486]  That it's the American dream.
[00:17:32.486 --> 00:17:33.806]  That all of you deserve this.
[00:17:33.806 --> 00:17:35.446]  That you've got to own a home.
[00:17:35.446 --> 00:17:39.487]  You've got to do it.
[00:17:39.487 --> 00:17:42.748]  This is command organized destruction.
[00:17:42.748 --> 00:17:44.749]  And we'll talk about it next hour with Max Keiser.
[00:17:44.749 --> 00:17:46.349]  Where it goes from here.
[00:17:46.349 --> 00:17:50.050]  The absolute total rendering down.
[00:17:51.735 --> 00:18:10.704]  The total destruction of our economy and the entire nation slipping fully into financial bondage.
[00:18:10.704 --> 00:18:14.806]  And now we've got Justice Kagan as
[00:18:19.206 --> 00:18:30.053]  I mean, I read this NewJersey.com mainstream news article, and I can't even believe I'm reading the fact that now they don't even hide this.
[00:18:30.053 --> 00:18:31.393]  They just throw it in our face.
[00:18:31.393 --> 00:18:32.594]  They don't even care.
[00:18:32.594 --> 00:18:41.619]  Justice Kagan and President Larry Summers.
[00:18:41.619 --> 00:18:45.482]  And then the article admits that Kagan
[00:18:47.222 --> 00:18:50.448]  Is a money advisor to Goldman Sachs Global Investment House.
[00:18:50.448 --> 00:18:55.538]  Meanwhile, she made Cass Sunstein, who is now an advisor to Obama, a full professor at Harvard.
[00:18:58.206 --> 00:19:02.167]  He has suggested the concept of marriage be discontinued.
[00:19:02.167 --> 00:19:11.230]  He's also argued that dogs and cats should have standing to sue in court, but that's just so the government can represent the dogs and cats and have a plaintiff to go after you.
[00:19:11.230 --> 00:19:20.653]  He also proposes an absolute ban on free speech, the end of freedom on the internet, the arrest of anyone who doesn't believe in anthropogenic global warming, or that 9-11 could be an inside job.
[00:19:20.653 --> 00:19:24.714]  I mean, this is a crew of revolutionary crooks!
[00:19:27.270 --> 00:19:32.235]  And now they're getting mad at CBS News.
[00:19:32.235 --> 00:19:33.857]  This is out of the Washington Post.
[00:19:33.857 --> 00:19:40.283]  White House complains about CBS News blog post saying the Supreme Court nominee is gay.
[00:19:40.283 --> 00:19:42.485]  Well, I mean, just be out in the open with it.
[00:19:42.485 --> 00:19:46.469]  If it's not a political issue, well, you're not supposed to talk about it?
[00:19:46.469 --> 00:19:46.830]  Whatever.
[00:19:47.898 --> 00:19:49.340]  She's reportedly gay.
[00:19:49.340 --> 00:19:54.365]  What she is, is a big, fat, ugly tyrant who wants to run our lives.
[00:19:54.365 --> 00:19:58.549]  You're not getting my guns, you pile of pus.
[00:19:58.549 --> 00:20:00.411]  You cast sunsteen piece of trash.
[00:20:01.932 --> 00:20:08.934]  It's no secret why pharmaceutical companies and mainstream media often question the safety and effectiveness of herbal supplements.
[00:20:08.934 --> 00:20:17.536]  But isn't it ironic that mainstream pharmaceutical companies are the ones who manufacture overpriced prescription drugs that produce dangerous side effects?
[00:20:17.536 --> 00:20:21.957]  Do your own research and compare the herbal supplements offered at ResearchedHerbs.com.
[00:20:22.577 --> 00:20:22.857]  I think so.
[00:20:40.595 --> 00:20:41.196]  We're good to go.
[00:21:01.564 --> 00:21:03.985]  Good day, Peter Kronschnabel from Midas Resources.
[00:21:03.985 --> 00:21:05.825]  Today is May 10, 2010.
[00:21:05.825 --> 00:21:08.166]  Gold opened at $11.9610 this morning.
[00:21:08.166 --> 00:21:12.687]  A one ounce gold coin can be purchased for $12.2818, $6.1409 for a half ounce, and $3.0705 for a quarter ounce.
[00:21:12.687 --> 00:21:13.027]  That's $12.2818, $6.1409, and $3.0705.
[00:21:20.990 --> 00:21:23.791]  Making the right decision is a challenge to investors.
[00:21:23.791 --> 00:21:28.032]  Are we going to see economic growth slide into a recession or worse, depression?
[00:21:28.032 --> 00:21:32.893]  Many investors are turning to gold as a common sense alternative to traditional paper investments.
[00:21:32.893 --> 00:21:36.673]  Midas has put together a powerful book titled 10 Reasons to Own Gold.
[00:21:36.673 --> 00:21:41.394]  Discussing costs, benefits, risks, the book is free and can be yours by calling 800-686-2237.
[00:21:44.435 --> 00:21:47.879]  Paper investments are dwarfed by gold's 6,000-year history.
[00:21:47.879 --> 00:21:51.684]  Discover how gold can be right for you and your IRA by calling 800-686-2237.
[00:21:51.684 --> 00:21:54.327]  Whether buying or it's time for you to sell, this book is free.
[00:21:54.327 --> 00:21:54.467]  Call 800-686-2237.
[00:22:02.344 --> 00:22:06.726]  The new World Order Beast is genetically modifying your food.
[00:22:06.726 --> 00:22:08.507]  Genetically modifying.
[00:22:08.507 --> 00:22:14.931]  Mixing vegetables with animals and now experimenting with viruses.
[00:22:14.931 --> 00:22:20.674]  Without a long-term food solution, you will have just two options.
[00:22:20.674 --> 00:22:22.855]  Starve or surrender.
[00:22:22.855 --> 00:22:23.635]  Surrender.
[00:22:23.635 --> 00:22:27.437]  All canned food supplies will eventually run out.
[00:22:27.437 --> 00:22:28.318]  What then?
[00:22:31.033 --> 00:22:34.114]  Grow your own healthy food and feed your family forever.
[00:22:34.114 --> 00:22:38.456]  SurvivalistSeeds.com is now the nation's largest bulk heirloom seed company.
[00:22:38.456 --> 00:22:41.318]  And it's owned by a real patriot, Big John Lipscomb.
[00:22:41.318 --> 00:22:48.541]  You can now have an infinite amount of healthy vegetables like a watermelon, a bundle of carrots, or tomatoes for a little more than a penny each.
[00:22:48.541 --> 00:22:50.442]  SurvivalistSeeds.com.
[00:22:50.442 --> 00:22:55.864]  And now you can go into business with Big John at SurvivalistSeeds.com by becoming an affiliate.
[00:22:55.864 --> 00:22:58.585]  See his link at SurvivalistSeeds.com.
[00:22:58.585 --> 00:22:59.365]  SurvivalistSeeds.com.
[00:23:02.287 --> 00:23:03.028]  The problem.
[00:23:03.028 --> 00:23:05.610]  How do I cook food without power?
[00:23:05.610 --> 00:23:08.333]  How do I light my home with no electricity?
[00:23:08.333 --> 00:23:10.995]  How do I get emergency radio broadcasts?
[00:23:10.995 --> 00:23:13.518]  How can I make safe drinking water?
[00:23:13.518 --> 00:23:22.506]  When your power goes out, the solution for cooking, baking, home lighting, listening to the radio, and producing clean water is the Family Emergency Kit from KaroStove.
[00:23:22.506 --> 00:23:24.308]  KaroStove has been in business for over 12
[00:23:24.628 --> 00:23:25.049]  We're good.
[00:23:39.665 --> 00:23:42.587]  Call 888-395-1164 today.
[00:23:42.587 --> 00:23:51.733]  That's 888-395-1164 and ask about weekly specials or check the specials online each week at kerostove.com.
[00:23:51.733 --> 00:23:57.156]  Again, call 888-395-1164 or go to kerostove.com.
[00:23:57.156 --> 00:24:00.238]  KeroStove, for family emergency solutions.
[00:24:06.240 --> 00:24:08.223]  These aren't just words.
[00:24:08.223 --> 00:24:17.315]  When I get up here and say, we're going into bondage, you're going to have to pay for these trillions and trillions of dollars being stolen by the banks.
[00:24:17.315 --> 00:24:20.699]  They're only intensifying their derivative sales to governments.
[00:24:21.837 --> 00:24:26.260]  They're raising taxes in every city, county, state, every nation.
[00:24:26.260 --> 00:24:35.447]  They are just robbing everyone, and at Davos, and in the Washington Post, and everywhere, just bragging about how you didn't need the good life anyways.
[00:24:35.447 --> 00:24:37.088]  Everything goes to us.
[00:24:37.088 --> 00:24:39.209]  We're going to decide if you can have a business.
[00:24:39.209 --> 00:24:40.991]  We're training your kids to spy on you.
[00:24:40.991 --> 00:24:44.613]  We're training the Boy Scouts to take on vets and confiscate your guns.
[00:24:44.613 --> 00:24:45.174]  Ha ha!
[00:24:45.874 --> 00:24:51.018]  We're training everybody in the public schools that America's bad and the Southwest belongs to Mexico.
[00:24:51.018 --> 00:24:53.399]  We're training everybody for communism.
[00:24:53.399 --> 00:24:55.741]  I mean, you just can't even make this stuff up.
[00:24:55.741 --> 00:25:09.751]  In the last hour today, I'm going to get back into Robert Rodriguez's new film Machete and why I'm so concerned about it and why we posted that video with the headline, New Film Machete Evokes Race War.
[00:25:11.089 --> 00:25:35.585]  Because I understand the nomenclature and the culture of the La Reconquista Invasora invasion psychology, where the media and the government and finances and funds comedians and actors and producers who will promote racial division and race war.
[00:25:38.567 --> 00:26:03.663]  And of course, yesterday I played the video and audio of a teacher at UCLA up there with their students saying, we're gonna get the white people, this is a communist revolution, Che Guevara, Fidel Castro, and everybody cheering, calling for basically the plan of San Diego.
[00:26:03.663 --> 00:26:04.424]  I mean, just the most...
[00:26:08.227 --> 00:26:10.790]  I mean, look at Hattari.
[00:26:10.790 --> 00:26:12.172]  Federal judges ordered them released.
[00:26:12.172 --> 00:26:22.587]  They didn't say one one-hundredth of what is common with UT professors right here in Austin and UT Dallas, just where I live.
[00:26:24.494 --> 00:26:27.157]  It's whites are scum, we're going to get you.
[00:26:27.157 --> 00:26:40.869]  And then Hispanic Americans that don't want to be part of this, we opened the phones up yesterday, every Hispanic caller, it was only for Hispanic callers, disagreed with what was happening and said that they were intimidated and called basically Uncle Toms or Porchos.
[00:26:42.571 --> 00:27:01.545]  In slang in the US, you know, that means Uncle Tom, and intimidated, and attacked, and we had Hispanics calling in saying, you know, we're patriots, we're anti-New World Order, but my daughter is now a communist, and, you know, basically has fallen to La Raza and Mecha.
[00:27:01.545 --> 00:27:05.328]  It's just so horrible.
[00:27:05.328 --> 00:27:07.269]  And that's the bankers' plan.
[00:27:07.269 --> 00:27:08.811]  That's one of their little aces in the hole.
[00:27:09.758 --> 00:27:15.362]  The push for all of this tyranny, it's just overwhelming.
[00:27:15.362 --> 00:27:16.783]  This country is being ruined.
[00:27:16.783 --> 00:27:20.946]  I mean, it's already financially destroyed, and they're just piling it on.
[00:27:20.946 --> 00:27:21.966]  Why not?
[00:27:21.966 --> 00:27:26.409]  I mean, if you steal 30 trillion, why not steal a few trillion more?
[00:27:26.409 --> 00:27:37.437]  But with this European situation, it's just unspeakable.
[00:27:39.670 --> 00:27:42.695]  I mean, look at these headlines.
[00:27:42.695 --> 00:27:46.642]  EU creates 1 trillion package to save Euro.
[00:27:46.642 --> 00:27:48.625]  And because it's dictatorial, no vote needed.
[00:27:48.625 --> 00:27:49.987]  They just did it.
[00:27:49.987 --> 00:27:51.410]  It goes from 150 billion overnight to a trillion.
[00:27:54.668 --> 00:28:04.692]  European Union put up a staggering 1 trillion Monday, and the banks get to leverage that out as derivatives again, to contain its spreading government debt crisis.
[00:28:04.692 --> 00:28:16.156]  Oh, it has a spreading government debt crisis, so you add more debt, which the private banks get, and keep it from tearing the euro currency apart and derailing the global economic recovery.
[00:28:16.156 --> 00:28:20.198]  See, oh, I thought the last big bailouts were going to save us.
[00:28:20.198 --> 00:28:23.599]  No, they're designed to wreck us, and this will only put the cherry on top.
