[00:00:00.250 --> 00:00:04.406]  And now part two of our in-depth interview with New World Order researcher Alan Watt.
[00:02:29.642 --> 00:02:40.230]  They plan certain parts of their agenda in 50-year plans, some in 100-year plans, and some even in 150-year plans for different aspects of it.
[00:02:40.991 --> 00:02:47.776]  The Russells, the Huxleys and so on, Brzezinskis, also use the same terminology with their long-term plans.
[00:02:47.896 --> 00:02:52.799]  And you've got to understand, too, that nothing in culture comes out from the grassroots.
[00:02:53.860 --> 00:02:56.542]  Even Plato talked about that thousands of years ago.
[00:02:57.743 --> 00:03:06.485]  He said that if it was a grassroots movement, really coming from the people, then those in charge, the dominant minority, would lose control.
[00:03:07.366 --> 00:03:22.430]  Therefore, every change in culture, right down to fashion and music, and this was written 2,300 years ago, had to be authorised from the top and promoted from the top if it fitted with the continuance of control over the public.
[00:03:23.314 --> 00:03:26.536]  And these are sciences which were taught down through the ages.
[00:03:26.556 --> 00:03:29.298]  They're still taught today through the big players.
[00:03:30.259 --> 00:03:38.304]  And they've used it to the full in the 20th century, now into the 21st century with the use of television, mass communications, radio, etc.
[00:03:38.604 --> 00:03:44.308]  Everything has been given to us for the appropriate time and stage in the actual planning.
[00:03:47.210 --> 00:03:54.513]  For those who are coming into this kind of study, it's best to go into the books, as I say, written by the big players themselves.
[00:03:54.533 --> 00:03:55.334]  They love to boast.
[00:03:56.414 --> 00:03:58.875]  Kissinger's got lots of books out there, so has Brzezinski.
[00:03:59.896 --> 00:04:05.879]  These are probably two of the master players in geopolitics, trying to stay away from all the conspiracy books.
[00:04:06.579 --> 00:04:09.000]  They're also put out there on purpose.
[00:04:09.340 --> 00:04:10.341]  Very fascinating books.
[00:04:11.161 --> 00:04:21.604]  But the Legion circles forever without giving you the overall picture to the fact that every generation has a purpose up until this present time.
[00:04:22.565 --> 00:04:29.467]  And in a post-industrial era, these big boys have decided, and their masters too, that we are simply superfluous.
[00:04:30.777 --> 00:04:31.718]  And they no longer need us.
[00:04:32.479 --> 00:04:47.013]  Hence, we have big foundations coming forward and organizations like the Optimum Population Trust, who have decided to come out openly and demand that governments start radically reducing the populations.
[00:04:47.413 --> 00:04:51.998]  We are now the useless eaters, as Lord Bertrand Russell called us.
[00:04:52.458 --> 00:04:53.799]  Our ideas, our opinions,
[00:04:54.620 --> 00:05:07.916]  On everything, our worldview, even to do with population, and the fake view that we're overpopulated, is all projected to us by the mainstream media, working in concert for their masters.
[00:05:08.636 --> 00:05:13.902]  And we begin to parrot what we hear through repetition, and that's so important as repetition
[00:05:15.200 --> 00:05:17.361]  Uh, with slogans and catchphrases.
[00:05:18.061 --> 00:05:23.463]  And once you hear it happening in your own local group here in Milieu, then you will, you know it's working.
[00:05:23.763 --> 00:05:27.024]  And the camera can make anything appear to be true.
[00:05:27.664 --> 00:05:35.727]  You'll see that in India, for instance, they always use the same streets of Bombay to make you think that you're massively overcrowded.
[00:05:35.807 --> 00:05:39.128]  And that's the impression people think of the entire Indian continent.
[00:05:39.648 --> 00:05:45.872]  The Indian continent is huge, with thousands and thousands of miles of forest where no one lives.
[00:05:47.113 --> 00:05:48.353]  It's the same in Africa, too.
[00:05:49.494 --> 00:06:03.222]  China, being the model state for the world, for instance, put into effect the United Nations policy to the extreme with its population reduction and the movement of people off of the rural areas into cities.
[00:06:03.623 --> 00:06:04.723]  They said that years ago.
[00:06:05.824 --> 00:06:09.186]  Right now, they're in the process of moving 200 million more people off
[00:06:09.884 --> 00:06:10.164]  I think so.
[00:06:32.777 --> 00:06:34.758]  And the, of the major cities.
[00:06:35.778 --> 00:06:41.480]  All existing buildings have to be used, or else knocked down and replaced with even higher ones.
[00:06:42.080 --> 00:06:50.862]  But regardless, with the immigration and the free flow of people now from third world countries, the western countries appear to be overcrowded.
[00:06:51.262 --> 00:06:55.964]  And yet the UN's own statistics show, and sort of the national census show,
[00:06:56.944 --> 00:07:04.090]  That the Europeans, for instance, Canadians and Americans, who have been here for a couple of hundred years, are actually in decline.
[00:07:05.111 --> 00:07:15.580]  So the overpopulation problem is simply an image projected by the media, as more and more people are crammed into the same cities, and they bring more immigrants in to fill them.
[00:07:15.961 --> 00:07:21.185]  But I also realized the system of schooling, when I was going to school, was bogus.
[00:07:21.665 --> 00:07:22.806]  The histories were bogus.
[00:07:23.817 --> 00:07:30.759]  And I was very, very lucky to have access to very old libraries, very old libraries, town libraries.
[00:07:32.220 --> 00:07:37.041]  Some of them had reference books going back into the 1700s, written at the time.
[00:07:37.701 --> 00:07:44.283]  When you compared the histories I was being taught in school to the histories that were written at the time, they were completely different.
[00:07:45.344 --> 00:07:53.446]  You had a deeper understanding of how geopolitics had been used in the past to even populate the country of Canada.
[00:07:55.407 --> 00:07:58.149]  London couldn't get immigrants to go off into the new colonies.
[00:07:59.530 --> 00:08:04.953]  What they did for Australia was to create so many laws that you couldn't help but break them.
[00:08:05.433 --> 00:08:06.134]  And poverty.
[00:08:06.614 --> 00:08:11.657]  And therefore stealing a loaf of bread to feed you and your family would get you deported to Australia with your family.
[00:08:12.798 --> 00:08:14.179]  That's how they populated Australia.
[00:08:14.559 --> 00:08:14.819]  Crime.
[00:08:15.780 --> 00:08:17.141]  They created the laws for crime.
[00:08:17.601 --> 00:08:19.302]  With Scotland, they had a rebellion.
[00:08:20.899 --> 00:08:22.880]  Which could have been rigged, and I often think it was.
[00:08:23.540 --> 00:08:25.001]  And the whole of Scotland was punished.
[00:08:26.321 --> 00:08:31.023]  And they deported millions of the Scots off to the Americas, to populate the Americas.
[00:08:31.804 --> 00:08:33.405]  This is geopolitics in action.
[00:08:33.805 --> 00:08:34.745]  That's how it works.
[00:08:35.726 --> 00:08:43.809]  And whole peoples are often moved from their land, because the elite masters want them elsewhere to be productive.
[00:08:44.629 --> 00:08:46.190]  For them, themselves, the masters.
[00:08:48.231 --> 00:08:50.332]  When you look at the strategy for the US and Canada,
[00:08:51.317 --> 00:08:53.698]  Again, long-term strategy, long-term planning.
[00:08:55.558 --> 00:09:08.742]  You'll find that the big corporations of their day, the Hudson's Bay companies, the Fraser companies, were given charters to own the land before Canada was Canada or the U.S.
[00:09:08.782 --> 00:09:09.483]  was the U.S.
[00:09:10.063 --> 00:09:11.343]  They were simply called the Americas.
[00:09:12.504 --> 00:09:14.684]  These were private international corporations.
[00:09:15.805 --> 00:09:19.826]  They had the power of life and death over everyone who lived within their areas.
[00:09:21.724 --> 00:09:24.205]  The Queen or the King had a consulate in every country.
[00:09:25.385 --> 00:09:28.006]  Lieutenant General or Governor General we call them.
[00:09:28.026 --> 00:09:31.167]  We still have one in Canada today who represents the Queen.
[00:09:31.607 --> 00:09:36.989]  They have all the powers over life and death of subjects under that Governor.
[00:09:39.489 --> 00:09:43.871]  How they stopped rebellion in the past was they gave us an idea of what they called democracy.
[00:09:44.912 --> 00:09:51.797]  They knew from the Chartist movement in Britain, for instance, and elsewhere, other countries, people were demanding rights for the first time.
[00:09:52.838 --> 00:10:05.987]  And so, once again, they gave us champions to speak on our behalf, which calmed the people down, thinking for the first time in history, the people were involved in their own destiny creation, and nothing was further from the truth.
[00:10:06.988 --> 00:10:07.988]  Because the planners knew,
[00:10:08.888 --> 00:10:22.004]  That once you bring people into a country or a continent, create real wealth for them and get businesses going, clear the land, drain the swamps, and so on, they can take it all away from you through laws 200 years down the road.
[00:10:22.785 --> 00:10:23.967]  And that's what's happening now.
[00:10:25.737 --> 00:10:27.638]  Long-term geopolitics once more.
[00:10:28.899 --> 00:10:32.701]  And if you think I'm kidding about this, go into the history books written at the time.
[00:10:32.721 --> 00:10:34.242]  They're still there in some of the libraries.
[00:10:34.702 --> 00:10:37.143]  And you can also go into the art of geopolitics.
[00:10:38.024 --> 00:10:45.448]  There's even videos on YouTube on Brzezinski, boasting about how he set up the Taliban in Afghanistan.
[00:10:46.469 --> 00:10:50.611]  You'll see him encourage them to fight the Soviets at that time in the 1970s.
[00:10:51.792 --> 00:10:53.673]  And he actually says, yours is a holy war.
[00:10:56.004 --> 00:11:05.232]  This man, who obviously believes in nothing but himself and his own peer group, is encouraging other people to go and fight a holy war, a jihad, and he uses these terms.
[00:11:06.061 --> 00:11:06.862]  against the Soviets.
[00:11:07.222 --> 00:11:14.748]  Knowing full well, once it was set up and it was backed by the CIA, that 10, 15 years down the road, they'd be a problem.
[00:11:15.669 --> 00:11:19.872]  And then they'd have to go to war with the very group they'd created to fight the Soviets.
[00:11:20.433 --> 00:11:21.554]  That's what's happening today.
[00:11:22.394 --> 00:11:23.535]  Long-term strategies.
[00:11:23.815 --> 00:11:26.237]  Well, that's how history has always been run.
[00:11:28.039 --> 00:11:35.505]  If you can go into the books where you find the British Home Office, as mentioned, study the history of the diplomatic corps.
[00:11:36.616 --> 00:11:39.800]  Because the diplomats were spies.
[00:11:40.400 --> 00:11:45.426]  They would go into territory, set up embassies, collect intelligence data for future invasions.
[00:11:45.626 --> 00:11:50.232]  Their job was also to try and grab the rights of minerals, gold, silver, etc.
[00:11:50.332 --> 00:11:51.052]  across the planet.
[00:11:52.375 --> 00:12:06.919]  All natural resources and find ways long term strategy to either bribe it off the present rulers of those countries or else create an ultimate war with them and simply steal it under the guise of occupation.
[00:12:08.851 --> 00:12:13.112]  We're living through a stage today, as I say, where this is all coming to a culmination.
[00:12:13.972 --> 00:12:20.334]  This is the post-industrial era, or post-technical, almost, in the West.
[00:12:20.634 --> 00:12:22.815]  It's all done in other countries, all the technical stuff.
[00:12:24.095 --> 00:12:36.338]  And Brzezinski himself talks about the technocratic era, where the future will be for an elites, with a highly trained bureaucracy underneath them, and scientific elite,
[00:12:36.957 --> 00:12:39.518]  Who will not need the human labor that they've needed in the past.
[00:12:41.119 --> 00:12:48.201]  Human labor that is excessive and is unemployed and is hungry is now a threat to that established elite.
[00:12:49.302 --> 00:12:53.744]  So now they're doing something which they can only do to the human species.
[00:12:53.784 --> 00:12:55.184]  They don't need to do this with animals.
[00:12:56.465 --> 00:12:58.105]  With animals you just go out and hunt them and kill them.
[00:12:59.526 --> 00:13:01.907]  We are the only species that has to be convinced
[00:13:03.305 --> 00:13:14.913]  To allow ourselves, for the good of all, to be sterilized and bring down the population through abortion on one end and euthanasia on the other, under the guise to save the planet.
[00:13:15.534 --> 00:13:27.082]  And unfortunately with the massive propaganda campaigns that are all over media and every country at the same time, with all the big foundations backing them with unlimited financing.
[00:13:27.962 --> 00:13:30.024]  Remember the two foundations are owned
[00:13:31.021 --> 00:13:33.423]  by the international bankers themselves.
[00:13:35.544 --> 00:13:38.827]  Then they can pull all of this off, and unfortunately it really is working.
[00:13:40.188 --> 00:13:48.694]  In kindergarten now, you walk into a kindergarten anywhere in Europe or Americas, and you'll see the rainbow inside every single one of them.
[00:13:49.274 --> 00:13:50.915]  You'll see all the terms about the world.
[00:13:50.955 --> 00:13:51.576]  Here's the globe.
[00:13:51.596 --> 00:13:52.376]  We're all global.
[00:13:53.339 --> 00:13:55.241]  And you'll see the greeting messages everywhere.
[00:13:55.581 --> 00:13:55.981]  Everywhere.
[00:13:56.462 --> 00:14:03.988]  And how sacrifice will have to be made to save the world and the planet and future generations of society.
[00:14:04.628 --> 00:14:05.229]  Sacrifice.
[00:14:06.910 --> 00:14:14.156]  You tie that together with the institutions that were comprised of the Fabian Society.
[00:14:14.176 --> 00:14:16.437]  It was a member of the Royal Institute for International Affairs.
[00:14:16.458 --> 00:14:18.059]  That's one society.
[00:14:19.414 --> 00:14:23.777]  The Council on Foreign Relations is also the same thing as the Royal Institute for International Affairs.
[00:14:25.318 --> 00:14:30.361]  They are what Thatcher and Professor Carl Quigley called the parallel government.
[00:14:30.721 --> 00:14:32.842]  They have told us what the future is going to be.
[00:14:34.343 --> 00:14:40.667]  Some of their members have even written books about the need to cull off massive amounts of the population by any means possible.
[00:14:42.508 --> 00:14:47.011]  And so we see this final stage being pushed as they convince us that we are the problem.
[00:14:47.915 --> 00:14:50.376]  The Club of Rome that also belongs to the same group.
[00:14:50.796 --> 00:15:14.706]  In the 1990s, the two founders said that back in the 1970s at the Club of Rome, they were given the task as a premier think tank for the globe, this global society, the task to find ways of reducing the population and controlling the people to go along with this, convincing the public how to go along with it.
[00:15:15.478 --> 00:15:18.479]  And they said they'd looked at all possible means of doing so.
[00:15:18.979 --> 00:15:19.999]  What had worked before?
[00:15:20.319 --> 00:15:22.539]  Again, geopolitics, strategy.
[00:15:23.660 --> 00:15:27.700]  Under warfare conditions, the public will give up freedom.
[00:15:27.941 --> 00:15:34.362]  The public will be directed by governments, bureaucracies, and police, military, etc.
[00:15:35.322 --> 00:15:37.482]  Under warfare, the public sacrifice.
[00:15:37.823 --> 00:15:39.623]  They'll have less food, they'll ration stuff.
[00:15:40.472 --> 00:15:42.233]  They go along with it to save themselves.
[00:15:42.713 --> 00:15:46.696]  Therefore, they'd have to find a warfare strategy, a reason for war.
[00:15:47.076 --> 00:15:52.900]  And what they came up with was that man was the enemy of the planet.
[00:15:53.800 --> 00:16:02.165]  They said that the idea that global warming could be created and blamed upon mankind would fit the bill.
[00:16:02.826 --> 00:16:03.886]  These are the words they used.
[00:16:04.667 --> 00:16:05.648]  That would fit the bill.
[00:16:06.448 --> 00:16:06.968]  Written in the 1970s.
[00:16:09.702 --> 00:16:11.283]  And decided that the think tank's them.
[00:16:11.903 --> 00:16:16.846]  And published by the guys involved in a book called The First Global Revolution.
[00:16:17.086 --> 00:16:17.707]  Well worth reading.
[00:16:18.187 --> 00:16:23.710]  When they hit upon an idea from a premier think tank, they will never change that agenda.
[00:16:24.451 --> 00:16:28.813]  I've said before, it wouldn't matter if we're up to our eyes in snow all year round.
[00:16:29.854 --> 00:16:31.575]  They will still stick to global warming.
[00:16:32.195 --> 00:16:32.916]  That's the agenda.
[00:16:33.896 --> 00:16:38.339]  Now, of course, they've changed it slightly to climate change, which simply means changes in the weather.
[00:16:39.557 --> 00:16:45.282]  And they're in the process now of convincing the general public to be afraid of summer, for instance.
[00:16:46.963 --> 00:16:51.007]  It's all done through the alteration and distortion of perceptions.
[00:16:52.348 --> 00:16:55.191]  Massive psychology is used on all of this.
[00:16:56.792 --> 00:17:00.875]  And they certainly understand mass psychology of the general public.
[00:17:01.775 --> 00:17:09.120]  These boys don't simply announce things or make up a wish list of the future and send it up the chimney to Santa Claus.
[00:17:09.621 --> 00:17:12.443]  When they come up with an idea, they implement it.
[00:17:15.125 --> 00:17:26.733]  I follow the United Nations Department of Statistics as they announce every single year the sperm count of the Western male, which has been falling drastically since the 1950s.
[00:17:29.042 --> 00:17:32.223]  They say that it's down by about 75-85%.
[00:17:32.603 --> 00:17:48.147]  Now, when something like that's happened across the whole of Europe and the Americas in 50 years, and they suddenly started noticing it 50 years ago, a sudden onset, and there's no crisis made about it,
[00:17:49.548 --> 00:17:53.270]  There's no comeback after announcing the statistics.
[00:17:53.710 --> 00:17:57.892]  They just tell you the cold hard statistics and go off to the next statistic on some other topic.
[00:17:58.512 --> 00:17:59.872]  That means it's part of the agenda.
[00:17:59.972 --> 00:18:01.353]  Otherwise it would be a crisis.
[00:18:01.713 --> 00:18:06.995]  If this wasn't planned and part of the agenda, believe you me, it would be a crisis if they didn't authorise it.
[00:18:07.376 --> 00:18:08.256]  And now they tell us
[00:18:09.130 --> 00:18:16.595]  That the average American has less than 20% sperm and only about 15% is motile.
[00:18:16.836 --> 00:18:17.876]  That's not a coincidence.
[00:18:17.916 --> 00:18:21.779]  What happened in the 1950s to start out this ball rolling?
[00:18:22.179 --> 00:18:33.648]  In the 1950s they suddenly put all the known female synthetic estrogens into food supply.
[00:18:33.708 --> 00:18:34.969]  They put it in baby foods.
[00:18:35.984 --> 00:19:03.566]  Procter & Gamble were the first one to admit, after investigation, 40 years later, that they were using a rinse to supposedly sterilize the baby bottles and it contained bisphenol A. An odd thing to rinse baby bottles with when bisphenol A is the very thing that attacks young male children at that age and stops the testes from developing properly.
[00:19:04.855 --> 00:19:11.739]  You go back even further into more detail, and you find out that the cosmetic industry were using insufflatants.
[00:19:12.560 --> 00:19:24.106]  Insufflation is a technique where certain carriers are put into the creams themselves, and these creams then absorb into the skin, carrying other chemicals with them.
[00:19:24.146 --> 00:19:27.989]  They're almost like they carry the payloads into the target in the bloodstream.
[00:19:29.059 --> 00:19:36.081]  We find that the women were highly toxic with the artificial bisphenol A and other ingredients.
[00:19:36.921 --> 00:19:50.886]  And therefore, within the first 8 to 12 weeks of pregnancy with a male child, there's a very good chance that male would grow up to be either almost completely sterile, or to say, maybe have some motile sperm.
[00:19:51.326 --> 00:19:53.427]  This was all understood 50 years ago.
[00:19:53.747 --> 00:19:56.008]  Bisphenol A, for instance, was discovered in the 1890s.
[00:19:57.688 --> 00:20:01.596]  And the properties it had against humans, especially males, was known then too.
[00:20:03.019 --> 00:20:04.743]  Now it's in all the beer cans.
[00:20:05.725 --> 00:20:06.827]  Great target males again.
[00:20:07.789 --> 00:20:08.972]  They line the cans with it.
[00:20:10.323 --> 00:20:13.205]  There's been many exposés on it now.
[00:20:13.665 --> 00:20:24.493]  The CBC in Canada, which is a government-owned television station, it's the BBC basically of Canada, did a documentary series called The Disappearing Male.
[00:20:25.734 --> 00:20:30.677]  And it goes through all of that in that particular talk with proof.
[00:20:31.498 --> 00:20:37.522]  Also, we go back to the writings of Lord Bertrand Russell and Julian Huxley and Aldo Huxley,
[00:20:39.400 --> 00:20:41.141]  Who are also related to the Darwins, by the way.
[00:20:42.122 --> 00:20:50.148]  You'll find that they talked about ways to sterilize the populations in the 30s, 40s and 50s.
[00:20:52.090 --> 00:20:58.315]  But of course, and even said they would use the needle to create a compliance, pliable population.
[00:20:59.394 --> 00:21:06.018]  We need to dumb down the people and also to bring down the fertility rates.
[00:21:06.979 --> 00:21:10.881]  In the 1950s, across Europe and the Americas, what came out?
[00:21:11.181 --> 00:21:12.882]  Under vast promotion, what came out?
[00:21:14.583 --> 00:21:15.944]  The polio vaccine came out.
[00:21:17.625 --> 00:21:21.388]  That was the first one ever to come out through a mass fear campaign.
[00:21:22.328 --> 00:21:23.549]  A massive fear campaign.
[00:21:25.482 --> 00:21:28.403]  Polio was very, very rare.
[00:21:29.543 --> 00:21:41.965]  Yet, if you go back to the old path, black and white newsreels, that they showed all over the world at the time, they showed you the same one boy in the iron lung, and that terrified the whole world.
[00:21:43.385 --> 00:21:45.486]  How many polio cases was actually there?
[00:21:45.906 --> 00:21:46.866]  Was it really polio?
[00:21:47.926 --> 00:21:51.287]  We do know from those first shots, those injections,
[00:21:52.608 --> 00:21:58.151]  The generation that got them all end up with carrying a hundred simian viruses.
[00:21:59.652 --> 00:22:01.613]  Live simian viruses in the shot.
[00:22:02.634 --> 00:22:09.898]  And simian 40 only had one function according to the maker, the discoverer of the vaccine.
[00:22:10.898 --> 00:22:12.139]  And that was to cause cancer.
[00:22:13.379 --> 00:22:19.763]  And I also have a copy of the discussion with this particular man.
[00:22:20.863 --> 00:22:22.624]  and his staff admitting that.
[00:22:22.644 --> 00:22:23.705]  They knew that at the time.
[00:22:25.026 --> 00:22:30.109]  What they said was, they thought that the risks outweighed the bad benefits that might come along down the road.
[00:22:31.130 --> 00:22:31.891]  That was their excuse.
[00:22:34.212 --> 00:22:42.598]  Since then, we've been trained to accept more and more inoculations until babies now get something like 30 inoculations before they're out of the hospital.
[00:22:43.358 --> 00:22:48.342]  When you look into the big manufacturers of inoculations, like the Baxter Laboratories,
[00:22:49.292 --> 00:23:03.600]  that were in the news recently because they sent out live flu virus along with the bird flu virus mixed together and were caught by another country who tested it on ferrets and the ferrets all died.
[00:23:04.220 --> 00:23:12.605]  They had done the very thing that they say that they're worried about happening in nature where the common flu is mixed with a killer flu and becomes highly contagious.
[00:23:12.665 --> 00:23:17.548]  They actually did it by mistake, we're told, but go back into Baxter Laboratories even further
[00:23:18.362 --> 00:23:23.468]  And you find Baxter Laboratories was part of IG Farbering Group in World War II.
[00:23:25.391 --> 00:23:29.376]  They were responsible for creating chemicals and so on that were used as gas.
[00:23:31.098 --> 00:23:33.661]  And they were also used in other medical experiments on prisoners.
[00:23:34.903 --> 00:23:35.704]  That's in the records.
[00:23:36.869 --> 00:23:39.790]  Of the choir that went on into IG Farben.
[00:23:40.230 --> 00:23:43.332]  A good book to read is The Crimes and Punishment of IG Farben.
[00:23:44.052 --> 00:23:45.672]  All of that stuff's documented in there.
[00:23:45.712 --> 00:23:53.595]  All the companies, the Western corporations that were involved in the setting up of the Hitler regime are mentioned in that book.
[00:23:53.655 --> 00:24:01.258]  And Baxter Laboratories, the one who's coming out with all the shots which it takes supposedly for the swine flu, are still on the go.
[00:24:01.839 --> 00:24:05.580]  So we're going to see Connaught Laboratories as an example.
[00:24:06.733 --> 00:24:16.777]  Connaught Laboratories was employed during World War II to manufacture bacteria and viruses, fungus to attack wheat and corn, etc.
[00:24:16.857 --> 00:24:17.417]  in Germany.
[00:24:20.078 --> 00:24:32.423]  Mr. Bansing, who discovered insulin, the great hero Bansing, during World War II, his main occupation was finding ways to annihilate the food supply of an entire country
[00:24:33.496 --> 00:24:43.200]  And he came up with ideas of creating a form of what we now call mad cow disease, something that rotted the brains of the cattle for herds, dairy herds and beef herds.
[00:24:43.840 --> 00:24:45.721]  And it was manufactured in World War Two.
[00:24:45.761 --> 00:24:49.643]  And I often wonder if that's really, if there really is such a thing as mad cow disease.
[00:24:50.103 --> 00:24:51.124]  Is that where it came from?
[00:24:52.344 --> 00:25:06.430]  But as I say, these big laboratories and cannot laboratories eventually became responsible for seeing, for instance, for the blood supply for hospitals and hemophiliacs and byproducts of blood supply for Canada.
[00:25:07.329 --> 00:25:12.030]  When Mr. Clinton was in power, he signed a deal with some prisons in the U.S.
[00:25:12.430 --> 00:25:15.711]  where the prisoners would get a dollar or two for a pound of blood.
[00:25:16.511 --> 00:25:18.471]  And this stuff was all to be sold to Canada.
[00:25:18.611 --> 00:25:26.813]  And almost every haemophiliac in Canada, everyone who got the blood supply came down with hepatitis and various other diseases.
[00:25:27.833 --> 00:25:34.515]  The government held about a 10-year inquiry, waiting until they were all pretty well dead, maybe one or two survived, before they paid out compensation.
[00:25:35.902 --> 00:25:40.444]  They knew at the very beginning that this blood was contaminated.
[00:25:41.264 --> 00:25:52.649]  And there's Connaught Laboratories, part of the industrial military complex, military-industrial complex, used in World War II, buying the blood and selling it and distributing it across Canada.
[00:25:53.609 --> 00:26:04.694]  When the CBC did a documentary on Connaught Laboratories and their role in this, the little guy who purchased it was caught on the steps of his office, of the building,
[00:26:05.726 --> 00:26:16.655]  And he turned around and he said to the camera crew, who questioned him on all the deaths caused in Canada, thousands of them, he said, it's business.
[00:26:18.016 --> 00:26:20.118]  That was the only reply given.
[00:26:20.638 --> 00:26:30.526]  I've said for many years that the biggest international corporations are real corporations, but they're also front groups for one system.
[00:26:32.508 --> 00:26:34.009]  During the Cold War, for instance,
[00:26:36.579 --> 00:26:40.940]  Many books were published on the war, how it would be won, and so on.
[00:26:41.941 --> 00:26:46.322]  And what they all agreed upon was those with the highest technologies would win.
[00:26:47.722 --> 00:26:58.506]  Now, if you were in a free enterprise system, you could never allow inventions coming out of nowhere, unauthorized, especially in communications and different means,
[00:26:59.380 --> 00:27:00.881]  It has to be permitted by those who rule.
[00:27:01.442 --> 00:27:04.864]  That goes across the board with everything, as I say, from those who rule.
[00:27:30.535 --> 00:27:31.576]  You create culture.
[00:27:32.537 --> 00:27:33.657]  You manipulate culture.
[00:27:34.558 --> 00:27:37.280]  You give the public what you deign to give them.
[00:27:38.021 --> 00:27:40.362]  You suppress that which you don't want the public to have.
[00:27:41.083 --> 00:27:42.304]  It must be under a control.
[00:27:42.344 --> 00:27:48.068]  You cannot have that with a true free market enterprise and true entrepreneurism.
[00:27:48.468 --> 00:27:49.049]  You can't have it.
[00:27:49.789 --> 00:27:51.511]  Therefore, you put up the front companies.
[00:27:51.531 --> 00:27:52.451]  They're real companies.
[00:27:52.732 --> 00:27:54.113]  They will really manufacture stuff.
[00:27:55.023 --> 00:28:00.246]  But it's what's been authorized and guys at the top, CIA, MI6, fund them and run them.
[00:28:00.966 --> 00:28:08.410]  We've seen this with different banks that were set up by CIA in the past, where they funneled money to all the major wars we're fighting.
[00:28:08.430 --> 00:28:12.132]  It was the BCCI, it was one of the first ones that collapsed.
[00:28:12.432 --> 00:28:14.013]  Papa Bush was a director at one time.
[00:28:15.113 --> 00:28:17.294]  Then he was back to being director of the CIA.
[00:28:18.035 --> 00:28:20.796]  These were front massive banks, massive corporations.
[00:28:21.456 --> 00:28:23.898]  A difficult thing for some people to understand
[00:28:24.961 --> 00:28:34.625]  is what's happening today is not just an elite making a final move to take over anything.
[00:28:36.386 --> 00:28:42.168]  Every generation for hundreds of years has been brought up with the same elite's predecessors.
[00:28:43.447 --> 00:28:45.768]  Designing and running the show for each generation.
[00:28:46.349 --> 00:28:50.791]  The elite, in fact, are simply moving their system into a new system.
[00:28:52.112 --> 00:28:53.893]  An updated system to suit themselves.
[00:28:55.233 --> 00:28:56.994]  That's a hard concept for people to grasp.
[00:28:57.455 --> 00:29:04.558]  They've been trained to believe things are happening at the moment, by happenstance, by crisis coming out of nowhere.
[00:29:05.639 --> 00:29:07.000]  And here's what we must do.
[00:29:07.020 --> 00:29:08.721]  We must solve this problem at the time.
[00:29:09.161 --> 00:29:10.522]  Nothing is further from the truth.
[00:29:12.002 --> 00:29:12.903]  And when people wake up,
[00:29:14.025 --> 00:29:22.487]  They generally go through the same stages as someone who becomes bereaved when you find that democracy never existed in the first place.
[00:29:24.348 --> 00:29:26.548]  You go through an anger phase, a depression phase.
[00:29:27.908 --> 00:29:38.551]  You'll blame whoever's handy and then hopefully you emerge from it and you become active and you want to learn what's really going on and what has been going on.
[00:29:39.371 --> 00:29:41.612]  But you'll also eventually come to the realization
