[00:00:03.622 --> 00:00:10.152]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:07:59.142 --> 00:08:00.623]  Now it's funny, it's the opposite.
[00:08:00.623 --> 00:08:05.906]  Now that there's more conservative commentators, the liberals want to stifle the conservatives.
[00:08:05.906 --> 00:08:18.592]  But I think free speech is free speech, whether it's a liberal commentator or a conservative commentator, and that we shouldn't have the government involved in deciding what we hear on the radio waves, what we read in the newspaper, what is written in books.
[00:08:20.501 --> 00:08:38.315]  Senator, obviously you're watching the lame-duck Congress try to legalize illegal aliens with the DREAM Act, trying to further gut society, trying to pass the food safety bill, which was written by Big Agra to shut down local farms and ranches.
[00:08:38.315 --> 00:08:42.718]  Boy, I tell you, they are really showing how disconnected they are.
[00:08:42.718 --> 00:08:49.964]  Are you going to try to lead in the Senate to make sure that whatever horrible things they do, like Obamacare and other things, are repealed?
[00:08:50.848 --> 00:09:00.779]  Absolutely, and the other thing is, is you gotta wonder why when we just had such a big historic mandate of an election, that they're trying to ram all these things through in a lame duck.
[00:09:00.779 --> 00:09:04.703]  Of course we know why, but the thing is, is we shouldn't let them do it.
[00:09:04.703 --> 00:09:11.510]  The people have spoken and elected, you know, nearly a hundred new people in the House, thirteen new people in the Senate,
[00:09:12.088 --> 00:09:17.891]  That we need to wait until the electoral process has been allowed to occur and the new people get there.
[00:09:17.891 --> 00:09:22.933]  So yes, anything they try to do in this session, I think we will try to reverse.
[00:09:22.933 --> 00:09:25.834]  And I think that you're already hearing people.
[00:09:25.834 --> 00:09:28.776]  You know, people are saying that let's wait for the new people.
[00:09:28.776 --> 00:09:30.516]  That's what Senator DeMint said today.
[00:09:30.516 --> 00:09:31.697]  Let's wait for the new senators.
[00:09:32.794 --> 00:09:33.495]  Absolutely.
[00:09:33.495 --> 00:09:41.562]  They've certainly been rebuked in their activities, but they're like a bunch of drunken sailors trying to steal as much as they can.
[00:09:41.562 --> 00:09:50.330]  Speaking of your father, headline, Ron Paul, author of In the Fed, to lead a panel overseeing Central Bank.
[00:09:50.330 --> 00:09:57.977]  Are you going to join with your father in an attempt to get rid of the private Federal Reserve System that won't tell Congress where the trillions went?
[00:09:58.700 --> 00:10:07.007]  Well, how exciting is it to have the probably, historically, the number one critic of the Fed being in charge of oversight of the Fed?
[00:10:07.007 --> 00:10:09.890]  That's got to excite people throughout the country.
[00:10:09.890 --> 00:10:12.352]  And I think a lot of good will come of it.
[00:10:12.352 --> 00:10:17.116]  I think the first thing we have to do is try to audit the Fed and have a real, meaningful audit of the Fed.
[00:10:17.116 --> 00:10:20.859]  I was amazed at the coalition my dad put together.
[00:10:20.859 --> 00:10:21.960]  Over 330 people in the House signed on to it.
[00:10:24.523 --> 00:10:34.069]  30-some-odd people in the Senate, and yet, like so many legislative shenanigans, they stole victory from him and they gave us a watered-down audit.
[00:10:34.069 --> 00:10:38.092]  But even the watered-down audit, we're getting some information about what the Fed bought.
[00:10:38.092 --> 00:10:45.376]  But boy, he could really get through, if he could get through a real audit, I will be supporting and introducing that in the Senate as well.
[00:10:45.376 --> 00:10:50.940]  So, I think the potential for us shedding some light on what the Fed does is enormous.
[00:10:51.969 --> 00:10:57.538]  A lot of folks obviously want your father to run for president.
[00:10:57.538 --> 00:11:02.805]  Are you thinking about, or are you getting questions, Senator-elect, about running for president yourself?
[00:11:03.877 --> 00:11:09.281]  Well, no, but it's very complimentary to get such a question.
[00:11:09.281 --> 00:11:15.646]  But, you know, I think I haven't even really been sworn into my first office, so it might be premature for me to be thinking about it.
[00:11:15.646 --> 00:11:17.468]  Well, it was the same thing with George Washington.
[00:11:17.468 --> 00:11:19.689]  He went right from general to president.
[00:11:19.689 --> 00:11:25.814]  I mean, we need doctors and farmers and people to be senators and presidents.
[00:11:25.814 --> 00:11:26.435]  We don't need
[00:11:26.775 --> 00:11:32.598]  Well, I appreciate that and I know you've got a lot of loyal listeners and we hear from them and we meet them across the country and all across Kentucky.
[00:11:32.598 --> 00:11:33.698]  I end up running into your loyal fan.
[00:11:52.799 --> 00:12:05.048]  But the interesting thing is that we're going to do some things that have never been done before, in the sense that as soon as I get there, I'm going to talk about and introduce a bill that will cut a significant amount of spending.
[00:12:05.048 --> 00:12:11.173]  We have a bill we're working on that will cut $500 billion worth of spending, and that's where we've got to start.
[00:12:11.173 --> 00:12:20.520]  And I think the American people are ready to hear it, because the American people know that we're mortgaging our future to China, that we're printing up the money to pay for these massive debts.
[00:12:20.996 --> 00:12:21.256]  Absolutely!
[00:12:42.466 --> 00:12:43.426]  Senator, sorry to interrupt you.
[00:12:43.426 --> 00:12:47.287]  We've only got about six minutes left with you here today and I've got so many questions.
[00:12:47.287 --> 00:12:49.388]  MSNBC was deceitful.
[00:12:49.388 --> 00:12:51.288]  They lied about what your real views were.
[00:12:51.288 --> 00:12:52.989]  They tried all sorts of dirty tricks.
[00:12:52.989 --> 00:12:55.830]  They said if you don't like Obamacare you are a racist.
[00:12:55.830 --> 00:13:00.651]  We now learn that hundreds of millions of dollars from your father's even partial audit
[00:13:02.352 --> 00:13:06.536]  Of our tax money went to General Electric and MSNBC.
[00:13:06.536 --> 00:13:14.043]  How creepy is that to know that a government media source, like the Kremlin or something, went after you?
[00:13:14.912 --> 00:13:24.637]  Well, the weird thing about it also is that, and I tell people that once upon a time, our dollar was backed by gold until about 1971, at least partially.
[00:13:24.637 --> 00:13:30.481]  From 71 to about the year 2005, our dollar was backed by at least the U.S.
[00:13:30.481 --> 00:13:31.741]  Treasury Bill's debt.
[00:13:31.741 --> 00:13:34.963]  Wasn't the best thing in the world, but it was the least of the government debt.
[00:13:34.963 --> 00:13:36.544]  From about 2005 on, though, it's backed by, I guess,
[00:13:38.706 --> 00:13:49.072]  Buying GE, MSNBC, backed by buying used car loans, basically backed by what the government calls toxic assets.
[00:13:49.072 --> 00:13:58.777]  Things that you and I and no person with a rational investment mind would ever buy, we were forced to buy by the Federal Reserve buying it, but that's essentially what backs the U.S.
[00:13:58.777 --> 00:13:59.437]  dollar now.
[00:13:59.437 --> 00:14:04.820]  Toxic assets are now what we pyramid the dollar on, and that is worrisome.
[00:14:05.928 --> 00:14:06.909]  Incredible.
[00:14:06.909 --> 00:14:08.490]  Dealing with the carbon tax.
[00:14:08.490 --> 00:14:13.853]  When you said, I've got a message from the Tea Party to Washington.
[00:14:13.853 --> 00:14:16.675]  We're going to stop you from this carbon tax.
[00:14:16.675 --> 00:14:18.797]  California went ahead with it.
[00:14:18.797 --> 00:14:20.138]  A 20% tax.
[00:14:20.138 --> 00:14:22.399]  They're already got over 30% unemployment.
[00:14:22.399 --> 00:14:24.180]  60 Minutes reports.
[00:14:24.180 --> 00:14:35.668]  What are you going to do as a senator, sir, to try to aggressively block Obama from implementing his agenda by stealth through the EPA and FDA and other groups?
[00:14:36.328 --> 00:14:55.435]  Yeah, that's one of my biggest fears and one of the things that through the election I learned more about our government was that I was amazed and appalled to know how much the unelected bureaucrats are doing and that basically if something fails in the Senate or in the House, they simply do it anyway through these bureaucracies.
[00:14:55.435 --> 00:15:03.958]  And so part of the reform agenda that I think the Tea Party stands for, one of the items that I will push for is sunsetting all regulations.
[00:15:04.577 --> 00:15:09.782]  Basically, if they pass a regulation, it has to be voted on in Congress by a certain period of time.
[00:15:09.782 --> 00:15:12.044]  Maybe six months, maybe a year.
[00:15:12.044 --> 00:15:15.607]  But it cannot just be put on the books by unelected bureaucrats.
[00:15:15.607 --> 00:15:21.312]  And really, we're in danger of having the government run by these standing bureaucracies.
[00:15:21.312 --> 00:15:24.055]  You know, the Founding Fathers talked about standing armies.
[00:15:24.455 --> 00:15:35.101]  Now what we have is a standing bureaucracy that we need to fear, and we really need to have governmental reform, and that's a big thing that I'm going to be pushing as part of what I call the Tea Party Platform.
[00:16:00.503 --> 00:16:05.047]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:16:05.047 --> 00:16:05.967]  Number 1.
[00:16:05.967 --> 00:16:09.390]  New climate legislation could easily double or triple your electric bill.
[00:16:09.390 --> 00:16:10.251]  Number 2.
[00:16:10.251 --> 00:16:15.134]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:16:15.134 --> 00:16:15.895]  It's true.
[00:16:15.895 --> 00:16:20.759]  Total government control of electricity in the name of smart grid technology is coming.
[00:16:20.759 --> 00:16:21.579]  Number 3.
[00:16:21.579 --> 00:16:25.182]  In some areas of the country, the power grid is dangerously overloaded.
[00:16:25.182 --> 00:16:28.865]  And now, new socialist legislation is only compounding the problem.
[00:16:29.065 --> 00:16:32.626]  Number four, dangerous weather is always a threat to local grids.
[00:16:32.626 --> 00:16:36.308]  Every year, thousands of families lose their power from weather-related outages.
[00:16:36.308 --> 00:16:41.250]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[00:16:41.250 --> 00:16:46.292]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:16:46.292 --> 00:16:50.473]  You can get more information at www.mysolarbackup.com.
[00:16:50.473 --> 00:16:52.254]  That's mysolarbackup.com.
[00:16:52.254 --> 00:16:57.076]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call one
[00:17:01.599 --> 00:17:05.622]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:17:05.622 --> 00:17:08.864]  This is our last chance to not relive history.
[00:17:08.864 --> 00:17:13.647]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:17:13.647 --> 00:17:20.051]  I have tremendous influence on our President and Congress, and they really are calling the shots.
[00:17:20.051 --> 00:17:22.293]  I think it's incumbent upon all of us
[00:17:22.813 --> 00:17:23.113]  Tim Geithner?
[00:17:23.113 --> 00:17:23.634]  Bernanke?
[00:17:23.634 --> 00:17:24.314]  They're arsonists!
[00:17:24.314 --> 00:17:25.596]  They're asking for more matches!
[00:17:25.596 --> 00:17:27.838]  And the Congress is saying, who do we make the check out to?
[00:17:41.730 --> 00:17:46.093]  Today seems like nobody does care and right now in Washington D.C.
[00:17:46.093 --> 00:17:48.994]  we have seen a fall of the Republic.
[00:17:48.994 --> 00:17:58.119]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:18:02.045 --> 00:18:06.006]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:18:06.006 --> 00:18:14.848]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:18:14.848 --> 00:18:19.489]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:18:19.489 --> 00:18:30.291]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:18:30.931 --> 00:18:40.460]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:18:40.460 --> 00:18:45.885]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:18:45.885 --> 00:18:53.371]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:18:53.371 --> 00:18:56.134]  That's www.silverlungs.com.
[00:18:59.995 --> 00:19:01.156]  A very wealthy U.S.
[00:19:01.156 --> 00:19:08.100]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:19:08.100 --> 00:19:10.642]  He says it will change everything about our lives.
[00:19:10.642 --> 00:19:16.025]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:19:16.025 --> 00:19:19.067]  Now this man has made some outrageous predictions over the years.
[00:19:19.067 --> 00:19:21.128]  The crazy part is, he's usually right.
[00:19:21.388 --> 00:19:27.632]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:19:27.632 --> 00:19:31.014]  In fact, Barron's called his work a dire prophecy.
[00:19:31.014 --> 00:19:36.798]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:19:36.798 --> 00:19:38.439]  And it's a real eye-opener.
[00:19:38.439 --> 00:19:39.739]  I can't stress this enough.
[00:19:39.739 --> 00:19:42.401]  You should at least watch this free video online today.
[00:19:42.401 --> 00:19:43.822]  He explains everything you need to know.
[00:19:44.082 --> 00:19:46.624]  Including simple steps you can take to protect yourself.
[00:19:46.624 --> 00:19:51.247]  You can find the video at www.EndOfAmerica3.com.
[00:19:51.247 --> 00:19:53.829]  That's End of America, the number 3.com.
[00:19:53.829 --> 00:19:57.712]  Watch the free video at www.EndOfAmerica3.com.
[00:19:57.712 --> 00:20:01.575]  That's EndOfAmerica3.com.
[00:20:01.575 --> 00:20:05.157]  Coast to coast, direct from Austin.
[00:20:05.157 --> 00:20:08.380]  You're listening to the Alex Jones Broadcasting Network.
[00:20:14.093 --> 00:20:15.095]  Big Brother.
[00:20:15.095 --> 00:20:16.757]  Mainstream media.
[00:20:16.757 --> 00:20:18.159]  Government cover-ups.
[00:20:18.159 --> 00:20:19.401]  You want answers?
[00:20:19.401 --> 00:20:21.485]  Well, so does he.
[00:20:21.485 --> 00:20:24.610]  It's Alex Jones on the GCN Radio Network.
[00:20:35.200 --> 00:20:38.203]  What do you mean I don't support your system?
[00:20:38.203 --> 00:20:41.887]  I go to court when I have to?
[00:20:41.887 --> 00:20:44.129]  What do you mean I can't get the work done?
[00:20:44.129 --> 00:20:50.956]  Dealing with the TSA, we had your father, the Honorable Congressman and Medical Doctor from Texas, where I hail from.
[00:20:50.956 --> 00:20:55.120]  We had him on about three weeks ago and it made national news in the Drudge Report and ABC News and other places.
[00:20:55.620 --> 00:20:57.462]  He hadn't really complained about it previously.
[00:20:57.462 --> 00:21:01.185]  He was against the TSA and it's groping and radiating people.
[00:21:01.185 --> 00:21:05.830]  But now the TSA is announcing they're going to continue sticking their hands actually in people's pants.
[00:21:05.830 --> 00:21:08.292]  They only grabbed him on the outside of the pants.
[00:21:08.292 --> 00:21:11.195]  And same thing happened to former Governor Ventura.
[00:21:11.195 --> 00:21:14.778]  Now the Indian ambassador says she'll never come back here again.
[00:21:14.778 --> 00:21:15.759]  That's in the news today.
[00:21:17.120 --> 00:21:18.081]  I mean, who runs things?
[00:21:18.081 --> 00:21:19.943]  The TSA and Homeland Security?
[00:21:19.943 --> 00:21:20.863]  Or the Congress?
[00:21:20.863 --> 00:21:25.127]  Plus, what are the Feds doing seizing control of transportation?
[00:21:25.127 --> 00:21:31.232]  Now they're expanding out to the roads, they're putting telescreens in Walmart with Napolitano, giving people orders.
[00:21:31.232 --> 00:21:35.115]  What's your take on all this Orwellian stuff and what's your plan to deal with that?
[00:21:35.854 --> 00:21:42.339]  Well, I think it's amazing that after 10 years, we still don't have a frequent flyer plan.
[00:21:42.339 --> 00:21:50.806]  It just shows you the incompetence of the federal government that, you know, my father flies twice a week, my brother-in-law flies three or four times a week.
[00:21:50.806 --> 00:21:58.912]  Why is there not some sort of voluntary program or private program where you could volunteer to have a little more background check, but do it voluntarily?
[00:21:59.577 --> 00:22:07.165]  And have a private group that you do it and then you fly through the airport, walk through without obstruction.
[00:22:07.165 --> 00:22:13.331]  There's no reason why this couldn't be done except for the government does not seem to be able to do anything in a logical fashion.
[00:22:13.331 --> 00:22:19.517]  And so instead of saying, well, let's investigate certain people who are flying in from certain countries.
[00:22:19.517 --> 00:22:23.881]  Most of the danger, I think, at risk on the planes is people coming from other countries.
[00:22:24.372 --> 00:22:35.769]  So why don't we look at those folks, you know, look at the flight plan of who's coming to visit us from certain countries and do some investigation in advance of those folks.
[00:22:35.769 --> 00:22:38.012]  But I think we're wasting time on the
[00:22:38.786 --> 00:22:47.432]  Millions and millions of Americans who aren't a threat, and when you waste so much time on those people, you don't have enough time to spend on the people who truly are a threat.
[00:22:57.658 --> 00:23:01.080]  Again, your father said if you have a Ron Paul sticker, that's the enemy.
[00:23:01.080 --> 00:23:02.000]  Returning veterans.
[00:23:02.000 --> 00:23:06.001]  It was in the news yesterday that TSA is harassing our returning troops.
[00:23:06.001 --> 00:23:18.846]  I mean, you're being diplomatic and I respect that, but what do you, I mean, in your gut, do you agree that this is just a federal power grab and they want to train us, normal citizens, to basically submit like we're criminals in a prison?
[00:23:19.801 --> 00:23:39.140]  I think the danger anytime you give a government agency so much power is that exactly what Rahm Emanuel said about government, you know, let no crisis go wasted, let no crisis deter us or, you know, let's use those crises to go ahead and foment and use government to grow larger and larger.
[00:23:39.140 --> 00:23:40.442]  So yeah, there is a danger.
[00:23:41.382 --> 00:23:51.184]  And what they do is they suck in some well-meaning people, and they want the power to say that it's going after terrorism, which none of us want terrorists to be allowed to attack our country.
[00:23:51.184 --> 00:23:58.245]  But in the process, we all get swooped up in it, and all of our liberties get infringed upon, and that's the real danger in these things.
[00:23:58.245 --> 00:24:08.807]  But it always works upon trying to show you something that is rational, something that people don't want to have happen, nobody wants another terrorist attack, but in doing so,
[00:24:09.406 --> 00:24:15.693]  Then everybody gets lumped in together and our freedoms get eroded and taken away.
[00:24:15.693 --> 00:24:17.776]  Last question, sir.
[00:24:17.776 --> 00:24:28.828]  Obviously, there are a lot of Republicans, like Boehner, who was in Bloomberg, was going to try to block your father getting the committee chairmanship that he was already supposed to get in seniority.
[00:24:29.789 --> 00:24:31.790]  And blocking so many others.
[00:24:31.790 --> 00:24:36.552]  He's a protege of Newt Gingrich, who supports global warming taxes and globalism.
[00:24:36.552 --> 00:24:39.193]  I'm not trying to get a fight going between Republicans.
[00:24:39.193 --> 00:24:47.856]  But we've seen former Senator Trent Lott brag in the news that, hey, we're going to co-opt all these new senators and House members.
[00:24:47.856 --> 00:24:56.539]  I would hope that if you do see the co-opting, that not only we know you won't sell out, we know that, honorable family, you're an honorable person, values are what matter.
[00:24:56.539 --> 00:24:58.300]  But hopefully you'll blow the whistle
[00:24:59.040 --> 00:25:05.648]  And truly lead and let us know about who the good guys are and who the bad guys are.
[00:25:05.648 --> 00:25:08.451]  We know Senator DeMint's good and a few others.
[00:25:08.451 --> 00:25:10.353]  What's your basic statement on that?
[00:25:10.353 --> 00:25:12.936]  I mean, are they already trying to pull you into the smoky rooms?
[00:25:13.831 --> 00:25:18.774]  Well, I think what's interesting is that we've already had an impact, and we haven't even gotten up there.
[00:25:18.774 --> 00:25:24.797]  And I think they have heard the message, and you've heard some of them saying, you know what, we heard the message of the election.
[00:25:24.797 --> 00:25:32.782]  But the real devil is in the details, and, you know, of what these negotiations are, what happens behind closed doors.
[00:25:32.782 --> 00:25:37.445]  And I will do my utmost to shine light on that, but also to stand up in the Senate
[00:25:38.090 --> 00:25:40.472]  And say this isn't what we're going to do.
[00:25:40.472 --> 00:25:45.356]  We have to do something about the debt and we can't just keep spending money.
[00:25:45.356 --> 00:25:55.105]  So yeah, I think you'll find that I will be a voice that will look for opportunities at every turn to try to slow down their agenda and also to correct things.
[00:25:56.109 --> 00:26:02.612]  And I think that has not really been done in the past because so many of the people who get elected have been in office forever and ever.
[00:26:02.612 --> 00:26:16.598]  I've never been in office before, so I think it gives me a perspective where I haven't been beaten down by the system, and I go there really truly with the belief that I can and want to be part of a movement that changes our country for the better.
[00:26:16.778 --> 00:26:21.000]  Yes sir, in closing, I know you've got to get back to patience, one caveat here.
[00:26:21.000 --> 00:26:24.602]  I know that we do need to cut spending.
[00:26:24.602 --> 00:26:27.964]  You've called for cutting defense.
[00:26:27.964 --> 00:26:29.505]  I believe you said by $100 billion.
[00:26:29.505 --> 00:26:32.387]  That's large, that's substantive.
[00:26:32.387 --> 00:26:35.569]  But also, don't we need to say no more bailouts?
[00:26:36.229 --> 00:26:45.558]  If somebody like Paulson comes down there again, like happened in October two years ago, and says, we're going to have martial law, we're going to have collapse if you don't do this.
