[00:00:00.110 --> 00:00:00.272]  Hmm.
[00:03:24.986 --> 00:03:32.109]  All over the country, school began, of course, a month ago, and they're forcing children to take a cocktail of deadly shots.
[00:03:32.109 --> 00:03:33.149]  That's even better, of course.
[00:03:33.149 --> 00:03:42.433]  They then can expand the special ed area with the brain-damaged children and get double or triple or quadruple the funding, federal funding and state funding they would get per pupil.
[00:03:42.433 --> 00:03:45.874]  That's a giant cash cow, the brain-damaging that's
[00:03:46.274 --> 00:03:57.102]  I mean, the schools are designed to brainwash your children, to dumb them down, to teach them how to have sex, to teach them how to tattle on you, to teach them how to be environmental cult members, and to teach them how to become brain damaged.
[00:03:57.102 --> 00:04:01.405]  That's such a beautiful system, when you realize how hardcore and satanic it is.
[00:04:02.105 --> 00:04:04.986]  And of course, the average teacher has no idea this is going on.
[00:04:04.986 --> 00:04:15.692]  They're just compartmentalizing brain damage like everybody else, sucking down fluoride, popping Prozac pills, drinking large amounts of alcohol, watching television all day, being brainwashed further.
[00:04:15.692 --> 00:04:16.692]  Well, I'm done.
[00:04:16.692 --> 00:04:18.113]  I'm a wild human.
[00:04:18.113 --> 00:04:21.294]  I'm a caveman with a high IQ, and I'm not their slave.
[00:04:21.294 --> 00:04:22.355]  I'm not their property.
[00:04:22.355 --> 00:04:23.695]  I see what they're doing.
[00:04:23.695 --> 00:04:26.297]  I see how brazen and out of control it is.
[00:04:26.297 --> 00:04:26.757]  And remember,
[00:04:27.057 --> 00:04:29.038]  I'm not up here saying all this to shock you.
[00:04:29.038 --> 00:04:30.839]  It's worse than I can say.
[00:04:30.839 --> 00:04:32.720]  It's worse than I can describe.
[00:04:32.720 --> 00:04:35.502]  It's more brazen than I can even imagine.
[00:04:35.502 --> 00:04:39.405]  The more I research, it always just gets worse and worse and worse and worse and worse.
[00:04:39.405 --> 00:04:42.827]  If I'd have heard Alex Jones 10 years ago, I'd have thought he was a nut.
[00:04:42.827 --> 00:04:44.828]  If Alex Jones would have heard Alex Jones.
[00:04:44.828 --> 00:04:47.850]  Because I didn't know what I knew now, 10 years ago.
[00:04:48.670 --> 00:04:49.031]  Okay?
[00:04:49.031 --> 00:04:53.800]  And that's what scares me, is it's always a thousand times worse than I could even imagine.
[00:04:53.800 --> 00:04:56.866]  But what we know is unspeakably off the chart.
[00:04:56.866 --> 00:04:57.787]  It's all coming up!
[00:04:57.787 --> 00:04:58.388]  Stay with us!
[00:04:59.721 --> 00:05:04.264]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:05:04.264 --> 00:05:05.185]  Number 1.
[00:05:05.185 --> 00:05:08.607]  New climate legislation could easily double or triple your electric bill.
[00:05:08.607 --> 00:05:09.468]  Number 2.
[00:05:09.468 --> 00:05:14.371]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:14.371 --> 00:05:15.111]  It's true.
[00:05:15.111 --> 00:05:19.975]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:19.975 --> 00:05:20.815]  Number 3.
[00:05:20.815 --> 00:05:24.397]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:24.397 --> 00:05:28.100]  And now, new socialist legislation is only compounding the problem.
[00:05:28.300 --> 00:05:29.080]  Number 4.
[00:05:29.080 --> 00:05:31.841]  Dangerous weather is always a threat to local grids.
[00:05:31.841 --> 00:05:35.522]  Every year, thousands of families lose their power from weather-related outages.
[00:05:35.522 --> 00:05:36.322]  Number 5.
[00:05:36.322 --> 00:05:40.463]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:40.463 --> 00:05:45.525]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:45.525 --> 00:05:49.686]  You can get more information at www.mysolarbackup.com.
[00:05:49.686 --> 00:05:51.487]  That's mysolarbackup.com.
[00:05:51.487 --> 00:05:56.088]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-866-422-9000.
[00:05:56.768 --> 00:05:57.349]  877-327-0365.
[00:05:57.349 --> 00:06:01.272]  Hello friends, this is Alex Jones.
[00:06:01.272 --> 00:06:04.656]  You've heard me talk about Calden 5 Star Soaps for years.
[00:06:04.656 --> 00:06:09.880]  This is an American-made product of the highest quality and compares to nothing you will find in stores.
[00:06:09.880 --> 00:06:13.323]  You can buy factory direct, shipped via UPS right to your door.
[00:06:13.323 --> 00:06:15.646]  Check them out on the web at 5starsoap.com.
[00:06:16.286 --> 00:06:19.810]  Or call 800-340-7091.
[00:06:19.810 --> 00:06:20.951]  Take my word for it.
[00:06:20.951 --> 00:06:23.614]  Once you've used pure soap, you won't buy anything else.
[00:06:23.614 --> 00:06:30.120]  Since 1947, Calbin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:06:30.120 --> 00:06:31.622]  Buy American and stay clean.
[00:06:31.622 --> 00:06:34.925]  As well as support InfoWars, visit 5starsoap.com today.
[00:06:34.925 --> 00:06:35.426]  Or call 1-800-340-7091.
[00:06:35.426 --> 00:06:36.667]  Well, Marty, what do you have to say?
[00:06:39.935 --> 00:06:47.877]  As founder and owner for over 63 years, satisfaction is guaranteed on W3rd Bank.
[00:06:47.877 --> 00:06:51.998]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:06:51.998 --> 00:06:52.798]  Thank you!
[00:06:59.212 --> 00:07:02.336]  Listen up friends, this is Alex Jones with key information.
[00:07:02.336 --> 00:07:06.140]  The mainstream media is now admitting that we're going into a depression.
[00:07:06.140 --> 00:07:09.023]  Don't be dependent on the government for you and your family.
[00:07:09.023 --> 00:07:13.949]  You need to get your own supply of high quality storable foods from efoodsdirect.com.
[00:07:14.389 --> 00:07:20.332]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[00:07:20.332 --> 00:07:25.995]  It's all fresh, made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[00:07:25.995 --> 00:07:30.537]  Try their new Evacuation Pack, a two-week supply of delicious, easy-to-fix food.
[00:07:30.537 --> 00:07:39.042]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[00:07:39.042 --> 00:07:40.823]  Get yourself and your family ready today.
[00:07:41.243 --> 00:07:43.604]  The place to go is eFoodsDirect.com.
[00:07:43.604 --> 00:07:51.449]  Go to their website online right now, eFoodsDirect.com forward slash Alex, or call 800-409-5633.
[00:07:51.449 --> 00:08:01.675]  Again, on the web, eFoodsDirect.com forward slash Alex, or give them a call at 800-409-5633.
[00:08:01.675 --> 00:08:07.699]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:07.699 --> 00:08:10.240]  You're listening to the Alex Jones Show.
[00:08:14.116 --> 00:08:15.377]  It is Friday.
[00:08:15.377 --> 00:08:18.639]  Dr. Sherry Tenpenny joins us.
[00:08:18.639 --> 00:08:28.546]  We're going into another round of forced chemical biological lobotomies through the H1N1 combined with a seasonal flu shot.
[00:08:28.546 --> 00:08:36.751]  I thought we'd go over all the British Medical Journal, the EU Medical Commission, literally hundreds of confirmed mainstream reports.
[00:08:36.751 --> 00:08:40.093]  We told you a year and a half ago what was going to happen with the flu.
[00:08:40.093 --> 00:08:40.914]  It happened.
[00:08:40.914 --> 00:08:43.436]  The brain damage, the death, the injuries.
[00:08:44.296 --> 00:08:45.057]  That's hardcore evil!
[00:09:04.124 --> 00:09:08.369]  Fifty-one minutes from now, and then Bob Chapman on the economy.
[00:09:08.369 --> 00:09:15.838]  Speaking of the economy, let me just quickly go over this stack, then we'll mine into the data in the third hour.
[00:09:15.838 --> 00:09:21.004]  Gold and silver hit new highs for second time in one week.
[00:09:21.004 --> 00:09:23.627]  It's actually three times, but a good article by Steve Watson up at
[00:09:24.755 --> 00:09:26.356]  PrisonPlanet.com.
[00:09:26.356 --> 00:09:27.036]  Here's Bloomberg.
[00:09:27.036 --> 00:09:30.717]  Gold rises to record on increased demand for wealth protection.
[00:09:30.717 --> 00:09:35.819]  Yeah, that Fiat paper is getting worse and worse every day.
[00:09:35.819 --> 00:09:36.159]  U.S.
[00:09:36.159 --> 00:09:38.940]  worker poverty reaches 50-year high.
[00:09:38.940 --> 00:09:43.501]  That's even with federal bookkeepers cooking the numbers.
[00:09:43.501 --> 00:09:44.121]  Here's another one.
[00:09:44.121 --> 00:09:44.921]  MSNBC.
[00:09:44.921 --> 00:09:46.902]  Record number of Americans living in poverty.
[00:09:46.902 --> 00:09:48.303]  Census Bureau says 43.6 million people in 2009.
[00:09:48.303 --> 00:09:49.083]  Up near 4 million in a year.
[00:09:54.329 --> 00:10:00.053]  So there you have it, up an additional four mil in a year.
[00:10:00.053 --> 00:10:02.695]  Here's another one, lost decade for family income.
[00:10:02.695 --> 00:10:07.818]  Wall Street Journal, people are getting poor at record numbers as those last two reports showed.
[00:10:07.818 --> 00:10:11.380]  And this is globalism, this is NAFTA and GATT, this is the service economy.
[00:10:11.380 --> 00:10:18.325]  And don't worry, they've got even more deindustrialization planned for you.
[00:10:18.325 --> 00:10:22.028]  So that's just some of what's coming up on the economic front.
[00:10:23.215 --> 00:10:40.001]  And if you think the deindustrialization is an accident, it's stated by the UN, stated by the Club of Rome, stated by the State Department and State Department of Morandom 200 and many others, that the goal of globalism is to bankrupt you.
[00:10:40.001 --> 00:10:41.362]  It is to make you so poor,
[00:10:42.302 --> 00:10:53.477]  And to shut down farms and ranches so you can't be self-sufficient, this is all stated, so that you go under government control, so they'll say we're gonna give you a food allowance with a card, but we need to sterilize your butt.
[00:10:54.372 --> 00:10:56.954]  And that's the plan, period.
[00:10:56.954 --> 00:10:58.955]  And it's finally all over the news.
[00:10:58.955 --> 00:11:03.859]  Everywhere I look, what they're saying isn't reasonable what the White House Czar says.
[00:11:03.859 --> 00:11:08.462]  He admits carbon taxes are, quote, to de-industrialize the United States.
[00:11:08.462 --> 00:11:12.465]  He's been sitting down with at least four different media outlets in the last week admitting it.
[00:11:12.465 --> 00:11:16.067]  He sat down with Cyber News Service, and we have his quotes.
[00:11:16.067 --> 00:11:16.367]  We'll be
[00:11:17.321 --> 00:11:21.368]  Going over some of those today.
[00:11:21.368 --> 00:11:23.351]  And he said point-blank.
[00:11:23.351 --> 00:11:26.937]  He said, yes, we want a post-industrial United States.
[00:11:26.937 --> 00:11:28.961]  We want to get rid of the economy.
[00:11:31.434 --> 00:11:33.456]  And he said, we're gonna use the free market to do it.
[00:11:33.456 --> 00:11:35.057]  Of course, that's a lie.
[00:11:35.057 --> 00:11:46.287]  They're gonna use tax incentives where they're gonna raise taxes on industries and businesses they don't like, but then give you tax incentives to basically go with this de-industrialization program.
[00:11:46.287 --> 00:11:54.994]  And remember yesterday, we put out the key search term, eco-fascism.
[00:11:54.994 --> 00:11:57.837]  And then I noticed today, an article out of The Guardian,
[00:12:00.154 --> 00:12:04.718]  And it says, on alternative to the new wave of eco-fascism.
[00:12:04.718 --> 00:12:08.701]  And this article goes on to basically say, oh, they mean well with tyranny.
[00:12:08.701 --> 00:12:12.804]  It's a loving green tyranny.
[00:12:12.804 --> 00:12:17.127]  But we have a better way of doing it.
[00:12:17.127 --> 00:12:19.409]  So I'm gonna be going over that report.
[00:12:19.409 --> 00:12:29.197]  It says, by liberating humanity from the compulsion to consume, climate catastrophe can be averted without recourse to authoritarianism.
[00:12:30.930 --> 00:12:33.592]  But they go ahead with a lie that climate's changing.
[00:12:33.592 --> 00:12:34.952]  And see, now it's not just global warming.
[00:12:34.952 --> 00:12:45.078]  They say any change, a thunderstorm, a dust storm, a tornado, man did it, you've got to pay an indulgence to the private corporations, to the central banks.
[00:12:45.078 --> 00:12:47.120]  So we're going to be going over that report.
[00:12:47.120 --> 00:12:52.663]  And we've also got this other London Guardian report, the powerful coalition that wants to engineer the world's climate.
[00:12:53.203 --> 00:13:03.800]  And they say, oh, they want to spray barium salts and aluminum dioxide on the population, spray it into the atmosphere to reflect the sun's rays to save us.
[00:13:03.800 --> 00:13:06.524]  And Bill Gates will get billions a year to run these companies.
[00:13:07.625 --> 00:13:19.496]  And you notice barium salts, aluminum dioxide, is what the chemtrail experts, scientists, environmentalists, others that really studied it, going back 15 years ago, they were proven completely correct.
[00:13:19.496 --> 00:13:28.163]  They said secret groups with secret government programs are spraying aluminum dioxide and barium salts in the atmosphere to reflect the sun's rays out.
[00:13:28.163 --> 00:13:30.365]  But it also poisons the soil.
[00:13:31.326 --> 00:13:35.071]  Hurts trees and other crops.
[00:13:35.071 --> 00:13:37.374]  Just plant life across the board.
[00:13:37.374 --> 00:13:41.059]  And then magically, 15 years later, it's all over the news.
[00:13:41.059 --> 00:13:44.463]  Yes, we've been testing spring barium salts, lunar dioxide.
[00:13:44.463 --> 00:13:45.485]  It's all for your own good.
[00:13:47.273 --> 00:13:58.602]  And just suddenly the last two years, we literally have stacked, we have just a whole desk of stacks of patents and government reports and universities and Department of Energy and every other major government.
[00:13:58.602 --> 00:14:01.525]  They're just spraying 24-7 everywhere.
[00:14:01.525 --> 00:14:03.346]  I mean, it's just wild.
[00:14:03.346 --> 00:14:07.449]  Hundreds of different programs that were secret that are now partially declassified.
[00:14:07.449 --> 00:14:16.737]  They're just wall-to-wall manipulating the weather and probably creating a lot of the extreme weather we've seen as a pretext to sell all of this carbon taxing.
[00:14:19.392 --> 00:14:28.471]  And continuing with the Holdren situation, Paul Watson has a detailed report.
[00:14:29.580 --> 00:14:52.808]  Uh, that is up on PrisonPlanet.com that takes the background info and then integrates it in with all these other mainstream reports about how great it is they're spraying aluminum on you, how great it is they're spraying barium salts on you, how great it is that, oh, there's patents to add to the jet fuel so the airlines can help without even having to, you know, pay any extra money.
[00:14:52.808 --> 00:14:56.669]  The government's got secret programs to pay the, the jet fuel, uh,
[00:14:57.809 --> 00:14:59.270]  ...makers to add it.
[00:14:59.270 --> 00:15:00.430]  Oh, it's so sweet.
[00:15:00.430 --> 00:15:01.551]  It's so loving.
[00:15:01.551 --> 00:15:02.671]  It's so good.
[00:15:02.671 --> 00:15:06.552]  It's been so secret and now admitted.
[00:15:06.552 --> 00:15:15.116]  But continuing, geoengineering killing off the useless eaters, and it dovetails with this CNS report.
[00:15:15.116 --> 00:15:20.958]  Holdren uses free market to get back to the Stone Age, and he says that's what we want.
[00:15:20.958 --> 00:15:23.739]  We're going to destroy our industrial society.
[00:15:26.055 --> 00:15:28.758]  But that's not actually the full story.
[00:15:28.758 --> 00:15:45.334]  They admit, and this is what I've been telling you for more than 12 years since I discovered this information, others knew it before I did, it's all out there and publicly available, the globalists going back 60 years said, we will freeze in the Western world, in the developing world, in the third world, we will freeze industrial development.
[00:15:46.155 --> 00:15:57.421]  The central banks will get everybody in debt, they will take over the free market, then they will not allow loans to anyone who tries to further industrialize or develop sciences.
[00:15:57.421 --> 00:16:10.488]  Then all of those technologies, robotics, manufacturing, nanotech, healthcare, that will be delivered by this new corporate global government to universities and private corporations in armored reservations.
[00:16:11.755 --> 00:16:12.816]  Like the J.J.
[00:16:12.816 --> 00:16:19.304]  Pickle Center in North Austin, where they've got a nuclear reactor and all sorts of secret stuff, and the general public doesn't even know it.
[00:16:19.304 --> 00:16:27.134]  They've got these reservations everywhere, but that's a low-tech reservation compared to Los Alamos and other labs they've got, and things like CERN.
[00:16:28.519 --> 00:16:33.780]  And so they will accelerate hyper technology for the global corporations.
[00:16:33.780 --> 00:16:37.021]  They will freeze the development for the general public.
[00:16:37.021 --> 00:16:41.802]  They'll allow a few new little developments and roll them out slowly for profit making.
[00:16:41.802 --> 00:16:44.103]  But under national security, they'll freeze everything else.
[00:16:44.103 --> 00:16:47.584]  They'll take control of web development through cyber security and freeze that.
[00:16:49.921 --> 00:16:59.306]  Any country that's not part of the New World Order system, there's only a handful of them now, will be attacked, will be economically attacked, physically attacked, militarily attacked.
[00:16:59.306 --> 00:17:04.528]  They won't be able to develop even 50, 60 year old nuclear reactor technology for energy.
[00:17:04.528 --> 00:17:05.489]  They'll be frozen.
[00:17:05.489 --> 00:17:07.050]  They'll be bombarded.
[00:17:07.050 --> 00:17:09.511]  They'll have internal revolutions funded by the globalists.
[00:17:09.511 --> 00:17:10.932]  This is all stated.
[00:17:10.932 --> 00:17:13.073]  All stated.
[00:17:13.073 --> 00:17:13.213]  And
[00:17:14.636 --> 00:17:23.047]  They will develop, and have developed now, this goes back over 60 years, hyper-advanced technologies that are kept secret from the public.
[00:17:23.047 --> 00:17:30.758]  Now I told you more than a decade ago, I was reading MIT reports and documents that were public, where they admitted they already had basically crystal balls.
[00:17:31.218 --> 00:17:32.638]  High-tech computer systems.
[00:17:32.638 --> 00:17:33.999]  They call them crystal balls.
[00:17:33.999 --> 00:17:34.859]  People laughed at me now.
[00:17:34.859 --> 00:17:36.139]  It's all over mainstream news.
[00:17:36.139 --> 00:17:37.780]  Google has crystal ball.
[00:17:37.780 --> 00:17:41.620]  They can predict mass movements over 99% of the time with pure accuracy.
[00:17:41.620 --> 00:17:44.321]  Individual movements 93% of the time.
[00:17:44.321 --> 00:17:46.301]  Just off cell phone tracking.
[00:17:46.301 --> 00:17:47.402]  They've got algorithms.
[00:17:47.402 --> 00:17:48.642]  It's all jacked in.
[00:17:48.642 --> 00:17:50.522]  That's 30 years old.
[00:17:50.522 --> 00:17:52.703]  Believe me, right now, they can tell the future.
[00:17:53.363 --> 00:17:59.311]  Okay, right now they've got bioweapons and chemical weapons that will kill anybody comes in contact with them.
[00:17:59.311 --> 00:18:10.265]  They've got race-specific, individually down to your name and number, in these giant government factory systems, where in a matter of hours, they admit, with your blood sample, which they have everyone's blood sample of your 39 years,
[00:18:11.687 --> 00:18:13.348]  It's now been 39 years or younger.
[00:18:13.348 --> 00:18:14.048]  They have your blood.
[00:18:14.048 --> 00:18:16.150]  Worldwide program, now declassified.
[00:18:16.150 --> 00:18:17.650]  It's in a bioweapons lab.
[00:18:17.650 --> 00:18:30.078]  They've got these giant government-funded factories where they admit they can go in with these genetic engineer systems and create a, generally based on mousepox, bioweapon that will only kill you!
[00:18:31.684 --> 00:18:34.066]  That's a perfect assassination weapon.
[00:18:34.066 --> 00:18:39.231]  So, I mean, they've got it all, and that's why they're so arrogant, and they don't care if you know there's a world government.
[00:18:39.231 --> 00:18:41.713]  That's why they're coming out, yeah, we're Kim trailing you.
[00:18:41.713 --> 00:18:49.019]  That's why they're coming out going, yeah, tenfold increase in convulsions and brain damage, and it's the vaccines, and there's nothing you're gonna do about it.
[00:18:49.019 --> 00:18:53.583]  We're gonna inject you with it.
[00:18:53.583 --> 00:18:57.707]  I mean, this is the hardcore reality, ladies and gentlemen.
[00:18:57.707 --> 00:18:59.248]  This is why they're so arrogant.
[00:19:01.112 --> 00:19:15.837]  And already, we've got the confirmed reports, even from the Forestry Service, all over the United States, all over Canada, all over Europe, people are unable to grow many crops now because there's so much aluminum in the soil.
[00:19:15.837 --> 00:19:18.658]  And that's just one factor of this.
[00:19:18.658 --> 00:19:22.860]  But don't worry, Monsanto's coming out with entire seed lines of plants that grow in aluminum.
[00:19:25.540 --> 00:19:27.723]  You start to figure this out, don't you?
[00:19:27.723 --> 00:19:29.967]  And who is The Nation and Congress?
[00:19:29.967 --> 00:19:31.509]  It also has a report out.
[00:19:31.509 --> 00:19:32.330]  Who are they reporting?
[00:19:32.330 --> 00:19:36.216]  Of course, has XC Blackwater working for them?
[00:19:36.216 --> 00:19:37.318]  Monsanto.
[00:19:37.318 --> 00:19:38.619]  They got a plan.
[00:19:38.619 --> 00:19:39.701]  They launched it.
[00:19:39.701 --> 00:19:41.163]  It's called scientific tyranny.
[00:19:42.102 --> 00:19:50.864]  And cops and FBI and all of you that love the system and are on petty power trips, bureaucrats, all of you, you better figure out you and your family are in the crosshairs.
[00:19:50.864 --> 00:19:51.805]  But you're not going to listen.
[00:19:51.805 --> 00:19:53.525]  You're going to get the flu shot.
[00:19:53.525 --> 00:19:56.386]  And a lot of you that get it, your child's going to have a convulsion.
[00:19:56.386 --> 00:19:58.126]  And then you'll be on the team.
[00:19:58.126 --> 00:19:59.847]  But you want to get hurt first, don't you?
[00:20:01.089 --> 00:20:05.770]  We all know that Berkey Water Purification Systems are the most trusted name in water filtration.
[00:20:05.770 --> 00:20:14.652]  As an authorized Berkey dealer for over 5 years and serving thousands of satisfied customers, The Berkey Guy offers amazing specials for Berkey Water Filtration Systems.
[00:20:14.652 --> 00:20:28.535]  The Berkey Light Systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:20:28.855 --> 00:20:39.803]  Order the Berkey Light System today complete with two black Berkey elements for only $209 and the Berkey Guy will include three sport Berkey water bottles and ship everything to you free of charge.
[00:20:39.803 --> 00:20:43.266]  That's right, three sport Berkey water bottles and free shipping.
[00:20:43.266 --> 00:20:43.986]  An $87 value, yours free.
[00:20:43.986 --> 00:20:44.927]  Call the Berkey Guy at 1-877-886-3653.
[00:20:44.927 --> 00:20:45.247]  That's 1-877-886-3653.
[00:20:45.247 --> 00:20:46.588]  Or order online at GoBerkey.com.
[00:20:46.588 --> 00:20:47.149]  That's GoBerkey.com.
[00:21:01.139 --> 00:21:01.740]  Gold.
[00:21:01.740 --> 00:21:06.304]  If you listen to the radio, watch TV, or surf the net, you are hearing about gold.
[00:21:06.304 --> 00:21:09.127]  Eventually you will ask yourself, is gold right for me?
[00:21:09.127 --> 00:21:10.548]  The answer might surprise you.
[00:21:10.548 --> 00:21:12.970]  We protect ourselves and our families from many things.
[00:21:12.970 --> 00:21:14.652]  Do you have medical insurance?
[00:21:14.652 --> 00:21:15.433]  Is your home insured?
[00:21:15.433 --> 00:21:17.014]  Do you carry life insurance?
[00:21:17.014 --> 00:21:18.576]  How about financial insurance?
[00:21:18.576 --> 00:21:20.558]  If you own gold, then the answer is yes.
[00:21:20.558 --> 00:21:23.981]  If you don't own gold, the question is why don't you have financial insurance?
[00:21:24.221 --> 00:21:26.283]  We put our faith in things we trust.
[00:21:26.283 --> 00:21:27.243]  Do you trust the dollar?
[00:21:27.243 --> 00:21:28.685]  Do you trust the economy?
[00:21:28.685 --> 00:21:29.926]  Do you trust the government?
[00:21:29.926 --> 00:21:32.087]  Gold has always been something you can trust.
[00:21:32.087 --> 00:21:35.069]  For thousands of years, people have put their faith in gold.
[00:21:35.069 --> 00:21:36.471]  Where will you put your faith?
[00:21:36.471 --> 00:21:39.273]  Now is the time to protect yourself and your family.
[00:21:39.273 --> 00:21:41.615]  Call Midas Resources today at 1-800-686-2237, extension 242.
[00:21:41.615 --> 00:21:42.515]  1-800-686-2237, extension 242.
[00:21:42.515 --> 00:21:44.076]  And ask for Jim Parker.
[00:21:52.583 --> 00:21:54.084]  Let me help you get started today.
[00:21:54.084 --> 00:21:59.347]  1-800-686-2237, extension 242.
[00:21:59.347 --> 00:22:08.532]  The economy is crumbling, debts soaring, and the possibility of World War III is increasing.
[00:22:08.532 --> 00:22:19.618]  I started survivalistseeds.com from my dining room table with a small bucket of seed and a single rotating banner ad on prisonplanet.com.
[00:22:20.600 --> 00:22:28.844]  Two years later, we've sold over 40,000 pounds of heirloom seeds, becoming the largest bulk seed seller to the public.
[00:22:28.844 --> 00:22:33.406]  The majority of our customers are Alex Jones listeners.
[00:22:33.406 --> 00:22:48.614]  Now I'm offering 50 all-organic garden varieties, 10,000 heirloom seeds, garden planner, and a CD teaching you how to save seeds, so your children's children will always have healthy food.
[00:22:49.588 --> 00:22:52.270]  Don't wait until it's too late.
[00:22:52.270 --> 00:22:57.734]  I'm Big John Lipscomb and my company is survivalistseeds.com.
[00:23:03.283 --> 00:23:06.685]  If you're in a service business, that's money ringing in your ears.
[00:23:06.685 --> 00:23:10.488]  If your phone's not ringing, chances are it's a problem with your marketing.
[00:23:10.488 --> 00:23:14.571]  Landscapers, painters, roofers, carpet cleaners, pet sitters, handymen.
[00:23:14.571 --> 00:23:20.375]  Anyone with a residential service business can build a huge and loyal customer base fast with the Magic Yellow Flyer.
[00:23:20.715 --> 00:23:25.057]  No more expensive newspaper, yellow pages or internet pay-per-click ads.
[00:23:25.057 --> 00:23:29.340]  The Magic Yellow Flyer will have new customers calling you within one week.
