[00:00:00.269 --> 00:00:08.394]  Alex Jones on the GCN Radio Network.
[00:07:00.683 --> 00:07:12.471]  And this was yet another one of these attacks by program traders and high frequency traders on Wall Street that are using their technology to manipulate markets.
[00:07:13.251 --> 00:07:16.453]  And so now, as I predicted, you would see more of these attacks.
[00:07:16.993 --> 00:07:25.659]  And going forward, you will see many, many more of these types of events where prices are skyrocketing or plummeting in two or three minutes.
[00:07:26.339 --> 00:07:27.020]  Well, continue, Max.
[00:07:48.467 --> 00:07:56.754]  Put in these enormous market-moving program trades that nobody is doing anything to really stop.
[00:07:57.355 --> 00:08:08.725]  And they put lots of money into the pockets of the same people who are financing all the elections and putting in the folks in Washington that we are further deregulating these markets.
[00:08:09.145 --> 00:08:11.568]  Now to move over to the BP situation.
[00:08:13.069 --> 00:08:29.126]  You know, this is remarkably, the Wall Street Journal, I think this is important to get into the thinking here, the Wall Street Journal on June 15th, their take on it, check this out, they said, the oil spill may end up lifting the GDP slightly.
[00:08:29.801 --> 00:08:31.784]  You see, Alex, it's not a catastrophe.
[00:08:32.004 --> 00:08:37.411]  It's actually an economic benefit for the people of the region and for the country.
[00:08:37.471 --> 00:08:39.494]  It's command destruction.
[00:08:39.534 --> 00:08:44.361]  Just like we're in depression, but the top six bank stocks are up, so they tell us the economy's good.
[00:08:45.307 --> 00:08:51.849]  Right, according to JPMorgan Chase, the continuing oil spill in the Gulf of Mexico should end up adding growth to the U.S.
[00:08:51.929 --> 00:09:00.232]  economy as a huge cleanup effort are going to outweigh the negative factors like the one million permanent job loss
[00:09:00.652 --> 00:09:09.936]  The eco-terrorist catastrophe, the loss of that entire region, and the dead zone that will result as a result of this.
[00:09:10.276 --> 00:09:12.777]  So this is the type of thinking that we're battling.
[00:09:12.837 --> 00:09:15.178]  It's perpetrated by the Wall Street Journal.
[00:09:15.378 --> 00:09:21.580]  This idea that everything adds to GDP growth, like an ecological disaster, like a war in Iraq.
[00:09:23.561 --> 00:09:29.343]  All the trillion dollar defense budget, it all ends up adding to the GDP, and we should be celebrating it.
[00:09:29.423 --> 00:09:36.865]  The fact that it's ruining the economy and causing massive unemployment and massive social unrest, that's not a problem.
[00:09:36.905 --> 00:09:50.589]  As a matter of fact, the social unrest is going to equal more GDP growth as well, because after all, a lot of people are going to be out there buying placards, protesting the government, and probably buying little drums to beat and little drum circles.
[00:09:50.829 --> 00:10:03.372]  But Max, what about my idea to have people lobby for grand jury investigations at the state level because we know the feds are bought and paid for by BP and Goldman Sachs that of course owns a lot of BP and formerly chaired it just a few months ago.
[00:10:03.972 --> 00:10:06.473]  The head of Goldman Sachs also co-chaired BP as you know.
[00:10:07.053 --> 00:10:09.214]  Some of the public may not be aware of that so I throw that in.
[00:10:09.794 --> 00:10:12.895]  I mean what about criminal negligence because we know now
[00:10:13.755 --> 00:10:27.231]  According to the Coast Guard hearings, with the survivors and the head engineers, that BP ordered them to do things that had never been done before, and that they said, this is going to blow up, and BP said, we don't care, do it, and this went on for two months.
[00:10:27.311 --> 00:10:29.874]  They kept saying, it's going to blow up, it's going to blow up.
[00:10:30.154 --> 00:10:33.699]  Don't we need a criminal investigation to find out exactly what happened here?
[00:10:35.066 --> 00:10:37.749]  Well, I don't have any faith in the political process whatsoever.
[00:10:38.109 --> 00:10:41.733]  And on the economics, here's where the math gets really dodgy.
[00:10:42.133 --> 00:10:45.556]  In other words, the government says that we're going to fine BP $20 billion.
[00:10:45.596 --> 00:10:51.762]  Now what BP did the next day is they announced that Goldman Sachs is going to raise $20 billion new dollars for them.
[00:10:51.782 --> 00:10:57.067]  They're going to sell $20 to $50 billion in new bonds, thanks to Goldman Sachs and Wall Street bankers.
[00:10:57.888 --> 00:11:07.233]  So they're going to totally pay for this by borrowing money, which, when the bets go bad, when they try to hedge those new offerings, of course, that'll end up being another bailout.
[00:11:07.314 --> 00:11:07.854]  So the U.S.
[00:11:07.874 --> 00:11:09.455]  public is going to end up bailing out them, too.
[00:11:09.475 --> 00:11:21.702]  Yeah, they're going to make money on the way up, investing it in a new derivative, and then when it bankrupts, the feds will come in and pay $50 billion, $100 billion, who knows what it'll be by then, into this new Madoff-type scheme.
[00:11:22.341 --> 00:11:36.546]  Right, so you get 20 billion of new bombs that'll just go a channel into the damage fund, but of course to pave the interest on that, BP will actually lower their operating standards and the risk of another event just like this actually went up because there's no punitive damage.
[00:11:37.127 --> 00:11:46.490]  All they're doing is they're trying to make it into a slap on the wrist, which they won't even pay, they'll get someone else to pay for it on Wall Street, but to pay the interest they're going to lower their operating standards and increase the risk of another
[00:11:47.709 --> 00:11:49.572]  Max Keiser, stay there.
[00:11:49.592 --> 00:11:53.737]  We're going to come back and get into internet censorship and phone calls.
[00:11:53.757 --> 00:11:54.238]  Stay with us.
[00:11:57.703 --> 00:11:58.824]  This is not a drill.
[00:11:58.924 --> 00:12:00.847]  Repeat, this is not a drill.
[00:12:02.711 --> 00:12:03.472]  We're good.
[00:12:21.715 --> 00:12:22.315]  We're good to go!
[00:12:49.906 --> 00:12:50.546]  Hide your guns!
[00:12:50.766 --> 00:12:53.688]  HideYourGuns.com right now!
[00:12:56.770 --> 00:13:02.493]  The fall of America and the Western world is an all new 10 hour documentary and survival guide rolled into one.
[00:13:03.213 --> 00:13:07.596]  In this film you will see the reasons why our government is failing and what you can do to prepare.
[00:13:08.462 --> 00:13:22.029]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Icke, Naomi Wolfe, G. Edward Griffin, Doug McIntyre, Mark Crispin-Miller, Mickey Z, Doug Kasin, David McElhaney, and myself, Alex Jones.
[00:13:22.799 --> 00:13:27.301]  Protect yourself and get the tools you need to protect your family from these difficult times.
[00:13:27.821 --> 00:13:37.326]  The Fall of America and the Western World at www.thefallofamerica.net or click on the banners at infowars.com and prisonplanet.com.
[00:13:38.026 --> 00:13:43.169]  Again, that website www.thefallofamerica.net or call 800-655-1577.
[00:13:43.189 --> 00:13:46.050]  Prepare yourself and the ones you love today.
[00:13:46.090 --> 00:13:47.871]  fallofamerica.net
[00:13:56.957 --> 00:13:58.919]  Are you wondering about your retirement portfolio?
[00:13:59.300 --> 00:14:05.286]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:14:05.546 --> 00:14:09.470]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:14:09.691 --> 00:14:16.518]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:14:16.838 --> 00:14:22.386]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:14:22.746 --> 00:14:30.116]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at theinternationalforecaster.com or call 877-479-8178.
[00:14:33.650 --> 00:14:34.751]  Experience the difference.
[00:14:35.111 --> 00:14:40.054]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:14:40.354 --> 00:14:41.314]  Don't wait another minute.
[00:14:41.594 --> 00:14:45.236]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:14:45.276 --> 00:14:45.456]  That's 877-479-8178.
[00:14:55.620 --> 00:14:59.644]  Is there a favorite radio station or show that you just love and can't stand to miss?
[00:14:59.904 --> 00:15:01.865]  Then you need Replay AV.
[00:15:02.106 --> 00:15:10.853]  With Replay AV, you can set up your PC to record your favorite radio shows, podcasts, XM and Sirius radio feeds, even streaming video automatically!
[00:15:11.053 --> 00:15:11.974]  More than one favorite?
[00:15:12.234 --> 00:15:12.815]  No problem!
[00:15:13.055 --> 00:15:16.859]  Replay AV can simultaneously record multiple shows and stations.
[00:15:17.060 --> 00:15:20.043]  You never have to miss any of your favorite programs again.
[00:15:20.363 --> 00:15:30.294]  Replay AV comes with a built-in media guide to make it easy to find your favorites, and a converter for playback in any of the popular formats, or burn to CD or DVD.
[00:15:30.494 --> 00:15:34.539]  With Replay AV's easy recording wizard, you'll be set up to record quickly.
[00:15:34.859 --> 00:15:37.823]  And REPLAY-AV comes with a 30-day money-back guarantee.
[00:15:38.023 --> 00:15:40.826]  Try it, then buy it at REPLAY-AV.com.
[00:15:41.046 --> 00:15:49.535]  GCN listeners save $10 off the retail price by going to REPLAY-AV.com or click on the REPLAY-AV banner on GCNlive.com.
[00:15:49.696 --> 00:15:51.417]  Visit REPLAY-AV.com.
[00:15:51.658 --> 00:15:52.078]  Stream it.
[00:15:52.258 --> 00:15:52.779]  Record it.
[00:15:52.939 --> 00:15:53.340]  Keep it.
[00:15:53.540 --> 00:15:54.301]  With REPLAY-AV.
[00:15:59.309 --> 00:16:14.334]  By the way, I forgot to add, not only does he have BBC TV shows, British radio shows and the rest of it, Max Keiser is now joining the GCN Radio Network with a multi-hour program Saturday mornings at 9 a.m.
[00:16:16.275 --> 00:16:19.797]  It's the Truth About Markets, USA, Saturday, 9 a.m.
[00:16:19.837 --> 00:16:20.177]  Central.
[00:16:20.617 --> 00:16:25.740]  All right, Max, this is a short segment, but just give me your bottom line, in your gut.
[00:16:26.200 --> 00:16:32.323]  You've got Goldman Sachs dumping 44% of its stock the week before, and of course we know that they were.
[00:16:33.203 --> 00:16:37.587]  At the time, their chairman was also the chairman of BP, and then they made this shuffle right before.
[00:16:37.867 --> 00:16:43.411]  They dumped 44% of their BP stock when other oil stocks were way up.
[00:16:43.611 --> 00:16:47.254]  We also have the CEO dumping over a third of his stock the week before.
[00:16:47.514 --> 00:16:55.400]  We have Halliburton buying this cleanup company that is focused on the Gulf of Mexico in the weeks before.
[00:16:56.321 --> 00:16:59.043]  You have the fact that Obama now has called for the carbon tax.
[00:16:59.063 --> 00:17:00.404]  This is a nice political diversion.
[00:17:01.445 --> 00:17:06.387]  We know that BP ordered them to do things that they've never done before that they knew would blow up.
[00:17:07.507 --> 00:17:09.148]  You never let a good crisis go to waste.
[00:17:10.508 --> 00:17:19.331]  Every way I look at this, this is an inside job, Max Keiser, to get the new global carbon tax to prop up the new SDR system.
[00:17:20.672 --> 00:17:26.994]  Well, on the trading of BP stock, as you know, I've worked on Wall Street for many years.
[00:17:27.074 --> 00:17:29.675]  I know many, if not all, of the tricks that
[00:17:30.467 --> 00:17:31.889]  Brokers and bankers can play.
[00:17:32.530 --> 00:17:38.357]  It's not difficult to predate or post-date a trade.
[00:17:38.977 --> 00:17:42.522]  So in other words, they say that they sold their stock before the event.
[00:17:43.328 --> 00:17:56.456]  It's not difficult to actually sell the stock after the event and then to monkey around with the reporting and with the compliance and to basically commit a bit of accounting fraud.
[00:17:57.036 --> 00:18:03.540]  So that was my first thought, that the dates that they give for their sales were probably cooked.
[00:18:04.491 --> 00:18:07.354]  Uh, just to, because they figured that they can do it.
[00:18:07.875 --> 00:18:14.564]  Uh, there's nobody pushing back on the regulatory front, and fraud is the core business model of Wall Street.
[00:18:15.140 --> 00:18:17.903]  But let's move beyond that.
[00:18:18.323 --> 00:18:24.228]  Let's say that they had pre-knowledge and they were dumping their shares ahead of this.
[00:18:24.248 --> 00:18:34.317]  A lot of the intelligence that flows into the trading desks and the hedge funds on Wall Street comes from sources that are not publicly available.
[00:18:34.337 --> 00:18:36.039]  That's why the system is horribly
[00:18:36.619 --> 00:18:45.168]  Well, yeah, the entire NSA CIA has admitted not just spying on us, but getting intel and economic information to feed to the insiders.
[00:18:45.749 --> 00:18:47.550]  And first it was two weeks, then a month.
[00:18:47.591 --> 00:18:52.756]  Now, two months out, they knew this thing was already leaking, having problems, and was probably going to blow.
[00:18:53.256 --> 00:18:55.399]  And so, I mean, there you have it right there.
[00:18:56.206 --> 00:18:59.487]  Well, the computers run algorithms.
[00:18:59.507 --> 00:19:02.587]  The algorithms in the computer programs actually are able to read the news.
[00:19:02.647 --> 00:19:06.988]  You know, computers read the news now, and they interpret intelligence, and they can interpret data.
[00:19:07.188 --> 00:19:11.029]  And they put the trades in automatically, so it bypasses a human element.
[00:19:11.369 --> 00:19:12.529]  The computers just trade.
[00:19:12.929 --> 00:19:14.990]  And the computers put on a massive amount of trades.
[00:19:15.050 --> 00:19:25.992]  And what happens is that you go post-facto, and you pick the trades you want, and you dump the trades you don't want into a slush fund, and then you get the government to bail out the slush fund.
[00:19:26.696 --> 00:19:31.340]  So this is an advanced version of what we used to call a look-back trade on Wall Street.
[00:19:31.400 --> 00:19:32.761]  So it's an orgy of profit.
[00:19:32.801 --> 00:19:41.789]  They make money when they lose money, they make money when they make money, and they just put it all on us and hire more SWAT teams because they know it's going to blow sky-high.
[00:19:42.349 --> 00:19:57.122]  They put out a massive amount of trade, and they pick the ones they want, and they dump the ones they don't want into a slush fund or an off-balance sheet account until it blows up, and then they get Geithner and Bernanke to bail out that fund.
[00:19:57.182 --> 00:20:01.686]  And they say, well, we never knew it was going to blow up just because we put in all this toxic
[00:20:02.407 --> 00:20:06.092]  I've also read that a lot of stockbrokers have been caught dumping it on their clients.
[00:20:06.432 --> 00:20:09.015]  Like, they trade with their clients' money, not just the big companies.
[00:20:09.035 --> 00:20:13.321]  And then when there's a problem, they dump the losses on their clients and then keep the money for themselves.
[00:20:13.851 --> 00:20:18.433]  Well, the losses are handy for corporations who need tax losses to offset gains.
[00:20:18.513 --> 00:20:22.975]  So this is why less than 50% of the Fortune 500 actually pay taxes.
[00:20:23.315 --> 00:20:29.077]  Because at the end of the year, brokers sell them losing trade to offset their gains for the year.
[00:20:29.097 --> 00:20:30.798]  And that's a big business on Wall Street.
[00:20:30.818 --> 00:20:31.598]  I've done it myself.
[00:20:31.959 --> 00:20:36.280]  You go to the company and you say, I've got a $2 million loss on a trade.
[00:20:36.541 --> 00:20:37.081]  Do you want it?
[00:20:37.161 --> 00:20:38.441]  I can put it in your corporate account.
[00:20:38.761 --> 00:20:39.702]  They'll say, yeah, we'll take it.
[00:20:39.782 --> 00:20:42.303]  You just save them a whole bunch of tax money.
[00:20:43.146 --> 00:20:53.213]  So you have a winning trade and you call up your client and you say, I got a winning trade, and by the way, this is going to cost you per the usual means, and you get a kickback.
[00:20:55.131 --> 00:20:57.412]  Everything is kickbacks, everything is corruption.
[00:20:58.992 --> 00:21:03.853]  That's the problem with you have so many trades and there's so little accounting of the trades.
[00:21:03.893 --> 00:21:13.956]  So you've got hundreds of thousands of trades going on all the time and nobody's actually at the end of the day examining these trades, who's making them, where they're going, and who's accountable for them.
[00:21:14.036 --> 00:21:17.257]  So you have all the industries regulating itself.
[00:21:17.917 --> 00:21:25.418]  And they simply are gaming the system and they're using computer programs to game the system in ever faster ways.
[00:21:25.719 --> 00:21:27.299]  The fraud is speeding up.
[00:21:27.319 --> 00:21:33.980]  Alright Max, we're going to take calls and get into internet censorship when we come back and other topics that you think are important.
[00:21:34.000 --> 00:21:36.881]  In fact, I haven't asked Max yet what he thinks is most important right now.
[00:21:36.901 --> 00:21:39.141]  But let's talk about the Iran situation.
[00:21:39.161 --> 00:21:43.562]  The Israeli papers say it looks like the war may be on sooner rather than later.
[00:21:45.652 --> 00:21:48.636]  We're on the march, the empire's on the run.
[00:21:49.578 --> 00:21:52.262]  Alex Jones and the GCN Radio Network.
[00:21:54.949 --> 00:21:59.811]  The question is, where should the American people draw their line in the sand?
[00:21:59.932 --> 00:22:00.672]  What have we got?
[00:22:00.912 --> 00:22:03.033]  A republic or a monarchy?
[00:22:03.353 --> 00:22:04.094]  A republic.
[00:22:04.374 --> 00:22:06.935]  It's based on a constitution which protects minority rights.
[00:22:07.015 --> 00:22:08.916]  Not democracy, not mob rule.
[00:22:09.276 --> 00:22:11.177]  Two wolves and a sheep voting on what's for dinner.
[00:22:11.297 --> 00:22:12.578]  So they think they own our land?
[00:22:12.978 --> 00:22:14.099]  They think they own our water?
[00:22:14.299 --> 00:22:14.699]  Children?
[00:22:14.899 --> 00:22:15.699]  Our education?
[00:22:16.020 --> 00:22:16.640]  Our money?
[00:22:16.860 --> 00:22:20.502]  We have to define who we are and what we will tolerate.
[00:22:20.862 --> 00:22:24.526]  Somebody's gonna ask you what you did during the Patriot Uprising.
[00:22:25.848 --> 00:22:26.669]  We have the facts.
[00:22:26.869 --> 00:22:27.990]  We have the Constitution.
[00:22:28.030 --> 00:22:28.912]  We have the Bill of Rights.
[00:22:28.932 --> 00:22:29.773]  We have common law.
[00:22:29.833 --> 00:22:32.075]  Knowledge is power, ladies and gentlemen.
[00:22:32.356 --> 00:22:35.059]  And I'm so excited to be able to offer you Don't Tread on Me.
[00:22:35.299 --> 00:22:36.120]  Rise of the Republic.
[00:22:36.240 --> 00:22:41.025]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:22:41.185 --> 00:22:42.567]  A new tool in the Info War.
[00:22:42.687 --> 00:22:43.528]  Don't tread on me.
[00:22:43.768 --> 00:22:51.155]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:22:56.021 --> 00:23:01.765]  The Fall of America and the Western World is an all-new 10-hour documentary and survival guide rolled into one.
[00:23:02.465 --> 00:23:06.908]  In this film, you will see the reasons why our government is failing and what you can do to prepare.
[00:23:07.748 --> 00:23:21.297]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Icke, Naomi Wolf, G. Edward Griffin, Doug McIntyre, Mark Crispin Miller, Mickey Z, Doug Casey, David McIlvaney, and myself, Alex Jones.
[00:23:22.057 --> 00:23:26.500]  Protect yourself and get the tools you need to protect your family from these difficult times.
[00:23:27.080 --> 00:23:32.964]  The Fall of America and the Western World at www.thefallofamerica.net.
[00:23:33.525 --> 00:23:36.587]  Or click on the banners at infowars.com and prisonplanet.com.
[00:23:37.287 --> 00:23:41.550]  Again, that website's www.thefallofamerica.net.
[00:23:42.010 --> 00:23:42.450]  Or call 800-655-1577.
[00:23:42.470 --> 00:23:45.312]  Prepare yourself and the ones you love today.
[00:23:45.352 --> 00:23:46.673]  fallofamerica.net.
[00:23:54.574 --> 00:23:58.517]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:23:58.758 --> 00:24:04.803]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:24:05.163 --> 00:24:12.269]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:24:12.550 --> 00:24:17.134]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:24:17.434 --> 00:24:19.556]  Get a free, detailed catalog by calling 800-340-7091.
[00:24:22.378 --> 00:24:25.904]  Or see them online at FiveStarSoap.com or InfoWars.com.
[00:24:26.084 --> 00:24:29.811]  Let's talk to the owner of Five Star Soap, Marty Schachter, and see what he has to say.
[00:24:30.345 --> 00:24:36.509]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:24:37.110 --> 00:24:40.512]  I'm happy to say our business is going down the drain.
[00:24:41.013 --> 00:24:47.297]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:24:47.357 --> 00:24:48.158]  Thank you.
[00:25:00.769 --> 00:25:03.351]  And I saw Sheriff John Brown!
[00:25:03.411 --> 00:25:06.093]  He was coming to shoot him down!
[00:25:28.931 --> 00:25:29.731]  I mean, what do you do?
[00:25:29.751 --> 00:25:31.572]  Somebody's coming for no reason to kill you.
[00:25:31.672 --> 00:25:32.812]  They can get away with it.
[00:25:32.832 --> 00:25:33.773]  They're a corrupt sheriff.
[00:25:34.893 --> 00:25:36.353]  There you go.
[00:25:36.573 --> 00:25:38.494]  You defend yourself.
[00:25:39.915 --> 00:25:42.936]  But he didn't shoot the deputy.
[00:25:49.008 --> 00:25:50.389]  I mean, think about this society.
[00:25:50.409 --> 00:26:06.460]  You have this giant government out of control robbing us, amassing all this military power, surveillance power, spy power, following the Bible of corruption, the Bible of oppression, the Bible of barbarism.
[00:26:07.921 --> 00:26:17.584]  And we're here, peacefully, trying to wake the people up, trying to wake good people up who are compartmentalizing government, so they can stand up and say no, so that we get our fighting spirit back.
[00:26:17.624 --> 00:26:27.688]  But this go-along-to-get-along attitude, this let-somebody-else-stand-up, let-somebody-else-put-their-head-up-above-the-rocks, let-somebody-else-get-involved, you know, keep your head down.
[00:26:28.088 --> 00:26:30.189]  That attitude is not what built America.
[00:26:31.049 --> 00:26:33.770]  And that attitude is just greasing the skids.
[00:26:33.830 --> 00:26:35.931]  It's inviting the oppressors.
[00:26:38.814 --> 00:26:43.256]  You ever seen like a little skinny guy at a football game or at the mall or in a parking lot?
[00:26:45.156 --> 00:26:52.039]  And bullies will come over right away in high school and start shoving them around, starting to fight with them.
