[00:00:00.069 --> 00:00:00.990]  Political talk.
[00:03:06.117 --> 00:03:18.327]  And I know there's big new developments, but I want Phil for new listeners and people that aren't really understanding this and have just seen the media's kind of boil down, deceptive boil down of what's happening and who birthers are, to talk to the father of the birther movement.
[00:03:20.646 --> 00:03:23.029]  You know, recap the history of this.
[00:03:24.250 --> 00:03:26.352]  But they are acting very, very suspicious now.
[00:03:26.412 --> 00:03:27.393]  They're getting desperate.
[00:03:27.894 --> 00:03:30.617]  Beck says 5% of conservatives are birthers.
[00:03:33.328 --> 00:03:38.392]  I've seen polls of 57% of registered Republicans questioning his birth.
[00:03:38.432 --> 00:03:40.934]  In fact, search engine that for folks for the TV audience.
[00:03:41.214 --> 00:03:44.997]  Majority of conservatives question Obama's birth certificate.
[00:03:45.037 --> 00:03:46.017]  I've seen that headline everywhere.
[00:03:46.218 --> 00:03:48.059]  I mean, here's one, LA Times today.
[00:03:48.579 --> 00:03:53.383]  Arizona House panel approves bill requiring presidential candidates to show birth certificates.
[00:03:55.031 --> 00:04:02.174]  Nearly half of the Arizona legislator wants to force President Barack Obama to show his birth certificate to state officials if he runs for re-election.
[00:04:02.734 --> 00:04:08.837]  A state house committee on Tuesday approved the measure, sponsored 40 of the state's 90 legislatures.
[00:04:09.257 --> 00:04:17.061]  It would require the presidential candidates who want to appear on the ballot in Arizona to submit documents proving that they meet the requirements to be president.
[00:04:17.921 --> 00:04:23.904]  And it goes on, Bill requiring citizenship proof for president contenders pass his house committee.
[00:04:25.680 --> 00:04:28.122]  And it passed in a 6-1 vote.
[00:04:29.063 --> 00:04:29.803]  So 6-1.
[00:04:31.565 --> 00:04:40.192]  So it's a deception to say 5% of America are truthers and 5% are birthers, and to say birthers are dangerous bad people.
[00:04:40.232 --> 00:04:41.133]  That's a Glenn Beck quote.
[00:04:42.032 --> 00:04:44.275]  I mean, that's political suicide.
[00:04:44.875 --> 00:04:53.844]  I think that hurt him more, and why he's lost 12% of his audience, according to Nielsen, in the last three weeks, than just demonizing and setting up Deborah Medina in Texas.
[00:04:54.505 --> 00:04:56.908]  I believe he lost a lot of his viewers over the birther issue.
[00:04:57.248 --> 00:04:58.089]  Now, I'm going to shut up.
[00:04:58.109 --> 00:05:00.551]  I've kind of laid some of the background and groundwork here.
[00:05:01.212 --> 00:05:05.374]  Phil Berg wants to talk about the absolute proof that he is an Indonesian citizen.
[00:05:05.634 --> 00:05:06.955]  His name's Barry Sitaro.
[00:05:07.435 --> 00:05:08.576]  So his name's even fake.
[00:05:08.596 --> 00:05:09.797]  Folks, that's confirmed.
[00:05:10.017 --> 00:05:11.778]  The president has an alias.
[00:05:12.378 --> 00:05:15.700]  And it's one thing if you're a talk radio host and have an alias or a movie star or something.
[00:05:15.820 --> 00:05:17.081]  My name's really Alex Jones.
[00:05:18.421 --> 00:05:23.184]  But a lot of times when people do have aliases, I know some here locally, it's because they have criminal histories.
[00:05:24.460 --> 00:05:24.801]  Okay.
[00:05:25.483 --> 00:05:27.587]  And again, his records are all sealed.
[00:05:27.908 --> 00:05:30.213]  To break it all down is Attorney Phil Berg.
[00:05:30.454 --> 00:05:31.536]  Phil, thanks for being here with us.
[00:05:32.356 --> 00:05:39.541]  Alex, a pleasure to be on with you again, and you have great listeners out there, and I think we're really getting to Obama.
[00:05:39.921 --> 00:05:43.584]  Significant for everyone, and first off, real quick, my background.
[00:05:43.984 --> 00:05:54.251]  Lifelong Democrat, candidate for Governor of the United States Senate, one of the Democratic primaries in Pennsylvania, and many others, which you can find out on my website, obamacrimes.com.
[00:05:54.751 --> 00:05:58.153]  Lifelong Democrat, and also, then they throw at me, I'm a racist.
[00:05:58.213 --> 00:06:02.036]  Well, I happen to be taking a place from the NAACP, so I'm not a racist.
[00:06:02.577 --> 00:06:05.464]  I just believe we should have, you know, equal rights in this country.
[00:06:05.784 --> 00:06:11.057]  The rights given to us through our Constitution, the Declaration of Independence, and the Bill of Rights.
[00:06:11.613 --> 00:06:26.903]  And what we have here is, real quick, is everyone knows that Arnold Schwarzenegger, people have talked about him running for president for the last 10 or 15 years, and he constantly says, then, amend the Constitution, because he admits he's from Austria, and he admits he doesn't fulfill the requirement.
[00:06:27.323 --> 00:06:29.344]  The requirements for president under our U.S.
[00:06:29.384 --> 00:06:30.505]  Constitution are simple.
[00:06:30.945 --> 00:06:32.726]  Number one, you're 35 years of age.
[00:06:32.847 --> 00:06:35.128]  Number two, you live in this country for 14 years.
[00:06:35.528 --> 00:06:38.010]  And number three, you be a natural-born citizen.
[00:06:38.751 --> 00:06:42.376]  Um, Arnold Schwarzenegger acknowledges he's not.
[00:06:42.576 --> 00:06:47.983]  Obama doesn't say anything directly, but by not saying it, he's walking all over the Constitution.
[00:06:48.384 --> 00:06:50.527]  He's saying, I don't care about the Constitution.
[00:06:51.027 --> 00:06:53.331]  As Alexie just said, all his record is sealed.
[00:06:53.431 --> 00:06:55.534]  We really know nothing about this individual.
[00:06:56.034 --> 00:07:02.299]  It's really outrageous that here we are, 13 months after he's sworn into office, that we still don't know anything.
[00:07:02.339 --> 00:07:05.081]  But this is significant, and I think we're making headway.
[00:07:05.101 --> 00:07:05.702]  I'll tell you why.
[00:07:06.142 --> 00:07:07.823]  First off, Nixon went down, everyone.
[00:07:07.863 --> 00:07:09.585]  Not on the Watergate break-in.
[00:07:09.985 --> 00:07:11.226]  He went down on the cover-up.
[00:07:11.506 --> 00:07:14.789]  But we now have Obama in office 13 months, and it's a cover-up.
[00:07:15.409 --> 00:07:16.110]  Significant.
[00:07:17.029 --> 00:07:22.134]  I put out a press release two weeks ago calling for a birth certificate march on Washington.
[00:07:22.234 --> 00:07:23.356]  We don't have a date yet.
[00:07:23.396 --> 00:07:25.998]  As soon as we set the date, we'll have it on our website.
[00:07:26.158 --> 00:07:28.421]  Alex, I'll call you so we can talk about it on air.
[00:07:28.921 --> 00:07:32.345]  But significant was the next day was the National Prayer Breakfast.
[00:07:33.046 --> 00:07:34.047]  We're good to go.
[00:07:53.869 --> 00:07:56.671]  And I'm sure I said it on your show before, but I'll reiterate.
[00:07:56.691 --> 00:08:18.084]  When all is said and done, Barack Obama—actually, his real name is Barry Sotoro, we'll go into that—Michelle Obama, Howard Dean, the former head of the Democratic National Committee, other officials of the Democratic National Committee, senior campaign officials, and now senior administration officials who know that he's a phony and a fraud, should be brought into our criminal justice system and should be tried.
[00:08:18.124 --> 00:08:19.565]  Those convicted should go to jail.
[00:08:19.985 --> 00:08:22.527]  And Obama should go to jail, and also he should be deported.
[00:08:22.987 --> 00:08:30.194]  The reason I'm mentioning that is, and I'm going to be putting out a press release shortly on this, I drafted it months ago, but the timing's right.
[00:08:30.514 --> 00:08:32.176]  What we need is a deep throat.
[00:08:32.676 --> 00:08:37.981]  We need a deep throat regarding Obama, because that's what broke it with the Watergate.
[00:08:38.641 --> 00:08:44.887]  And I think it's going to happen because we're now, with him saying, don't question my citizenship,
[00:08:46.468 --> 00:08:48.188]  And Glenn Beck now going to town.
[00:08:48.268 --> 00:08:49.329]  I don't know about this week.
[00:08:49.369 --> 00:08:51.549]  Last week I know he spoke about me three days.
[00:08:51.569 --> 00:08:54.429]  He had my picture up on his blackboard.
[00:08:54.850 --> 00:08:56.130]  I tried to confront him this.
[00:08:56.610 --> 00:08:58.090]  I couldn't get to him this past Saturday.
[00:08:58.510 --> 00:08:59.810]  I was in Washington, D.C.
[00:08:59.850 --> 00:09:04.251]  at the CPAC Convention 210, which is basically all the conservatives in the country.
[00:09:04.911 --> 00:09:08.252]  He was a keynote speaker at the end, but I couldn't get to him.
[00:09:08.272 --> 00:09:10.032]  I gave something to one of his days.
[00:09:10.432 --> 00:09:11.712]  I'm sure he won't respond.
[00:09:12.252 --> 00:09:13.933]  I challenge him on your show right here.
[00:09:15.834 --> 00:09:21.139]  Well, Demi, did you see the video where he pointed at you and said, these people hate America?
[00:09:30.948 --> 00:09:31.408]  I don't know.
[00:09:50.658 --> 00:10:06.593]  Yeah, notice Beck keeps saying, that's what he does, he puts your picture up and Van Jones and then points in your direction and says, these people hate America, these birthers, these truthers, they want to hurt you President, don't let them be in your administration, they'll kill you.
[00:10:06.853 --> 00:10:13.059]  Now he's said that literally scores of times, so he's invoking this idea of violence, very dangerous.
[00:10:13.599 --> 00:10:23.106]  It is dangerous, and if you can get me the actual clips on that, because if he said that, I'm going to ask for a retraction, and if he won't retract it, I'm going to sue him, because that's what's dangerous right now.
[00:10:23.486 --> 00:10:26.949]  If everyone's looked at what I've been doing, this is now my 19th month doing this.
[00:10:27.329 --> 00:10:29.451]  I've always called for peaceful revolution.
[00:10:29.491 --> 00:10:42.220]  I've called for doing this through the legal system, and since the legal system is so slow, we're going to have this birth certificate march on Washington, probably late May, early June, and we're getting a fabulous response all across this country, because
[00:10:42.920 --> 00:10:43.461]  We're good to go.
[00:11:03.540 --> 00:11:05.762]  And she said, I registered my nephew for school.
[00:11:05.842 --> 00:11:09.325]  At the end of the registration, my nephew said to the principal, can I ask you a question?
[00:11:09.345 --> 00:11:10.726]  The principal said, sure.
[00:11:10.746 --> 00:11:17.072]  And he said, how come I had to show my birth certificate to register for school, but Obama didn't have to show it to become president?
[00:11:17.452 --> 00:11:23.037]  And that says it all when a 13-year-old can identify with... And then they lie and say he's shown his birth certificate.
[00:11:23.077 --> 00:11:23.517]  He hasn't.
[00:11:24.038 --> 00:11:24.918]  Well, no, he hasn't.
[00:11:24.958 --> 00:11:31.284]  And you get people who look like fools, like Chris Matthews shaking a piece of paper saying this is his birth certificate.
[00:11:32.020 --> 00:11:33.761]  No one has seen the birth certificate.
[00:11:33.801 --> 00:11:40.803]  What people have seen is not even a for real document because at the bottom of the document it says if there's any alteration it's invalid.
[00:11:41.124 --> 00:11:45.925]  What people have seen is a certification of live birth, which was even forged.
[00:11:46.286 --> 00:11:47.986]  That was put on their campaign website.
[00:11:48.006 --> 00:11:49.867]  Alright, stay there, stay there Phil.
[00:11:49.927 --> 00:11:55.749]  I want to come back and recap though and get into the Indonesian situation, the Barry Sotero, who this guy really is.
[00:11:56.089 --> 00:11:57.610]  Because the birth certificate is only part of it.
[00:11:58.294 --> 00:12:02.556]  We all know that the Berkey water purification systems are the most trusted name of water filtration.
[00:12:02.917 --> 00:12:10.461]  As an authorized Berkey dealer for over four years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water systems.
[00:12:10.701 --> 00:12:25.509]  The revolutionary Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and removes harmful chemicals such as herbicides and pesticides.
[00:12:25.809 --> 00:12:30.431]  Order the Berkey light system today, complete with two black Berkey elements for only two hundred and nine dollars.
[00:12:30.491 --> 00:12:35.093]  And the Berkey guy will include three sport Berkey water bottles and ship everything to you free of charge.
[00:12:35.313 --> 00:12:35.793]  That's right.
[00:12:35.993 --> 00:12:39.634]  Three sport Berkey water bottles and free shipping and eighty seven dollar value.
[00:12:39.734 --> 00:12:41.995]  Yours free, but only for a limited time.
[00:12:42.255 --> 00:12:43.336]  Just call the Berkey guy at 1 8 7 7 8 8 6 36 53.
[00:12:43.676 --> 00:12:43.936]  Now to order.
[00:12:43.956 --> 00:12:45.236]  That's 1 8 7 7 8 8 6 36 53 or order online now at
[00:12:59.204 --> 00:13:00.585]  Is it safe to breathe anymore?
[00:13:00.845 --> 00:13:11.935]  Crowded public places, global pandemics, and news reports of potential new strains of bacteria and viruses make you wonder, what if there was a germ killing nasal spray that acted almost like hand sanitizer for your nose?
[00:13:12.295 --> 00:13:12.895]  There is!
[00:13:13.256 --> 00:13:16.999]  It's called Sinofresh homeopathic nasal spray and it's a proven germ killer.
[00:13:17.339 --> 00:13:25.528]  Sinofresh is a revolutionary doctor recommended nasal spray that kills a broad spectrum of viruses, bacteria, molds and fungi on contact in your nose.
[00:13:25.929 --> 00:13:33.778]  Sinofresh causes no drug interactions, no loss of smell, no rebound congestion, contains no alcohol, is non-habit forming and is safe for daily use.
[00:13:34.078 --> 00:13:36.561]  Sinofresh must be a part of your family survival plan.
[00:13:36.761 --> 00:13:40.142]  Go to GCN Live dot com now and click on the Sinofresh banner.
[00:13:40.322 --> 00:13:48.626]  The first 1000 customers to click on the Sinofresh banner and purchase Sinofresh antiseptic nasal spray are instantly registered to win a free 24 bottle case.
[00:13:48.886 --> 00:13:51.887]  Go to GCN Live dot com and click on Sinofresh.
[00:13:52.167 --> 00:13:53.028]  Breathe free.
[00:13:53.148 --> 00:13:53.928]  Breathe safe.
[00:13:54.228 --> 00:13:55.089]  Use Sinofresh.
[00:13:55.369 --> 00:13:55.909]  It works.
[00:13:59.108 --> 00:14:01.070]  Are you wondering about your retirement portfolio?
[00:14:01.470 --> 00:14:07.435]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:14:07.695 --> 00:14:11.619]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:14:11.839 --> 00:14:18.665]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:14:19.005 --> 00:14:24.552]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:14:24.913 --> 00:14:32.282]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at theinternationalforecaster.com or call 877-479-8178.
[00:14:35.806 --> 00:14:36.908]  Experience the difference.
[00:14:37.268 --> 00:14:42.214]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:14:42.514 --> 00:14:43.475]  Don't wait another minute.
[00:14:43.735 --> 00:14:47.399]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:14:47.439 --> 00:14:47.660]  That's 877-479-8178.
[00:14:57.621 --> 00:15:02.929]  One major world crisis away from having a totalitarian type of system.
[00:15:02.949 --> 00:15:05.713]  The main event is the wholesale destruction of the world economy.
[00:15:05.733 --> 00:15:10.039]  The push for every nation on the globe to identify and number all of its citizens.
[00:15:11.081 --> 00:15:15.544]  Friends, I hope that you will order Shadow Government from Infowars.com.
[00:15:15.584 --> 00:15:20.127]  We also have some specials when you get some of our other films half price when you order Shadow Government.
[00:15:20.607 --> 00:15:23.689]  A new level in production quality and in information.
[00:15:23.709 --> 00:15:31.654]  It exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:15:31.814 --> 00:15:33.395]  This film needs to be seen.
[00:15:33.675 --> 00:15:34.575]  Everybody needs to get it.
[00:15:34.836 --> 00:15:35.936]  So order yours today.
[00:15:35.956 --> 00:15:39.979]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:15:41.448 --> 00:15:43.009]  Shadow government, ladies and gentlemen.
[00:15:43.049 --> 00:15:45.170]  Get your copy at InfoWars.com today.
[00:15:45.510 --> 00:15:46.250]  Shadow government.
[00:15:46.530 --> 00:15:47.971]  It gives Big Brother a black eye.
[00:15:48.791 --> 00:15:52.473]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[00:15:52.593 --> 00:16:00.176]  You know they're scared when they've got Republicans attacking the birthings.
[00:16:08.720 --> 00:16:19.402]  And you've got legislatures passing, or in the process of passing, laws, and the states do run the federal government, saying, you want to be on the ballot here, you've got to show your birth certificate.
[00:16:19.442 --> 00:16:37.365]  Now, let's shift gears to the key here, and it's the fact that his real name is Barry Sotero, he became an Indonesian citizen, he got adopted by a foreign family, and you talk about this, and the mainstream media says that's a lie, when that's on record, Phil Berg.
[00:16:38.151 --> 00:16:38.591]  Absolutely.
[00:16:38.611 --> 00:16:44.176]  The key really, you know, the bloggers on the internet, they try to say that it's all birth certificates and everything.
[00:16:44.517 --> 00:16:45.558]  We fight back and forth.
[00:16:45.958 --> 00:16:47.840]  But we raised the issue, then we shifted it.
[00:16:47.940 --> 00:16:53.184]  The issue really is, everyone out there, the fact that he was adopted or even acknowledged in Indonesia.
[00:16:53.765 --> 00:16:55.847]  In his books, he's sort of bound by certain things.
[00:16:55.907 --> 00:16:58.709]  Number one in one of his books, he says he found his birth certificate.
[00:16:59.070 --> 00:17:00.831]  So it's a baloney that he can't produce it.
[00:17:00.851 --> 00:17:03.554]  The reason he can't produce it will show that he was born in Kenya.
[00:17:03.974 --> 00:17:06.636]  But the second thing in his book, he says his parents had been divorced.
[00:17:06.656 --> 00:17:15.362]  He says, my stepfather, Lolo Sotoro, returned to Indonesia before my mother and I. Well, that's significant, because in the 1960s, Indonesia was at war.
[00:17:15.402 --> 00:17:19.585]  The only ones who could go to school there were those that were natural of Indonesia.
[00:17:19.645 --> 00:17:22.147]  He became natural because he was adopted or acknowledged.
[00:17:22.467 --> 00:17:24.168]  We have his school record on our website.
[00:17:24.308 --> 00:17:28.811]  His school record indicates his name is Barry Sotoro, S-O-E-T-O-R-O.
[00:17:28.891 --> 00:17:32.454]  His nationality is Indonesian, and his religion is Islam.
[00:17:32.834 --> 00:17:39.218]  Ladies and gentlemen, if he hasn't legally changed his name, his name is his adopted name, Barry Sotoro.
[00:17:39.258 --> 00:17:40.138]  That is his name.
[00:17:40.178 --> 00:17:42.680]  And that's what it was in college, and that's why it's all sealed.
[00:17:43.120 --> 00:17:43.560]  That's right.
[00:17:43.681 --> 00:17:44.461]  That's why he's doing it.
[00:17:44.521 --> 00:17:49.204]  Well, I also think he's sealed his records because I think it will show he applied for and received foreign aid.
[00:17:49.684 --> 00:17:54.807]  Obama is the biggest hoax in the history of our country in over 230 years.
[00:17:55.267 --> 00:17:55.948]  He's a phony.
[00:17:55.988 --> 00:17:56.488]  He's a fraud.
[00:17:56.588 --> 00:17:57.769]  I'm not mentioning words here.
[00:17:58.029 --> 00:18:01.131]  I've been saying this, and I need the American support behind me.
[00:18:01.511 --> 00:18:02.792]  Well, let me just throw this in.
[00:18:30.092 --> 00:18:32.273]  Before we go to break in a long segment, time to flesh this out.
[00:18:32.994 --> 00:18:37.556]  He says he's going to sign executive orders on the carbon taxes, doesn't care what the Congress says.
[00:18:38.636 --> 00:18:41.038]  They stonewalled ClimateGate, said it didn't exist.
[00:18:41.198 --> 00:18:42.298]  That blew up in their face.
[00:18:42.778 --> 00:18:46.720]  I mean, it shows this is the most lying administration we've ever seen.
[00:18:47.060 --> 00:18:49.442]  Worse than Nixon, worse than Clinton, worse than Bush.
[00:18:49.742 --> 00:18:51.022]  He said, no lobbyists.
[00:18:51.122 --> 00:18:52.163]  All he hired was lobbyists.
[00:18:52.583 --> 00:18:55.106]  He said, not going to expand wars, expanded the wars.
[00:18:55.767 --> 00:18:58.830]  He said, no signing statements, went back on that.
[00:18:59.551 --> 00:19:02.574]  I mean, this guy is continuing and expanding torture.
[00:19:02.875 --> 00:19:05.898]  I mean, this guy is a complete and total fraud.
[00:19:05.918 --> 00:19:11.945]  And from your deep research, lay it out, looking at this, what is Obama's real story?
[00:19:12.466 --> 00:19:13.786]  Well, his real story, he's a phony.
[00:19:13.846 --> 00:19:16.007]  I mean, he does not, he's not constitutionally qualified.
[00:19:16.027 --> 00:19:23.069]  And the fact is, Alex, the reason he's doing the legislation he's doing, and the reason his cabinet, think about it for a minute.
[00:19:23.229 --> 00:19:28.751]  I think the higher-ups in this country, the power brokers, the money people, said, we know Phil Berg and others are right.
[00:19:29.131 --> 00:19:29.991]  Do you want to be president?
[00:19:30.011 --> 00:19:31.212]  You've got to play ball our way.
[00:19:31.272 --> 00:19:32.652]  Think about the cabinet he has.
[00:19:33.012 --> 00:19:34.493]  It's not the cabinet he ran on.
[00:19:34.793 --> 00:19:35.673]  He talks about change.
[00:19:36.133 --> 00:19:37.894]  Look about the legislation he's pushing.
[00:19:38.255 --> 00:19:39.496]  Is that the candidate of change?
[00:19:39.616 --> 00:19:46.761]  I think he's being blackmailed internally, and I'm waiting to see what happens when China and Iran get these documents, because I'm sure they're out there.
[00:19:47.221 --> 00:19:51.224]  We're in a really, really bad situation because of Obama.
[00:19:51.584 --> 00:19:52.345]  He is a fraud.
[00:19:53.105 --> 00:20:02.292]  One of my lawsuits is, I believe he's not only not natural born, he's not naturalized, but he's an illegal alien, and therefore one of my lawsuits deals with the fact that he should not have been a U.S.
[00:20:02.332 --> 00:20:06.755]  Senator, and therefore the salary and benefit and expenses should be returned to the U.S.
[00:20:06.795 --> 00:20:08.796]  Treasury of about $1 million.
[00:20:09.216 --> 00:20:15.861]  More important, though, because he's a usurper or fraud, all the laws he's passing, as far as I am concerned, are void or voidable.
[00:20:16.341 --> 00:20:18.903]  I mean, we're really in a constitutional mess at this point.
[00:20:19.383 --> 00:20:20.444]  And, you know, some people are saying,
[00:20:46.441 --> 00:20:48.302]  And that's the whole point.
[00:20:48.342 --> 00:20:50.462]  They release other presidents' records.
[00:20:50.482 --> 00:20:51.883]  They're being very secretive.
[00:21:10.239 --> 00:21:14.045]  And then he's got all this family that's here illegally, too, and living in slums.
[00:21:14.065 --> 00:21:15.066]  He doesn't even help them.
[00:21:15.086 --> 00:21:16.489]  I mean, he's really trashy.
[00:21:16.889 --> 00:21:20.475]  Well, that's his aunt up in Boston who's still trying to fight immigration.
[00:21:20.495 --> 00:21:22.257]  She's an illegal alien.
[00:21:22.538 --> 00:21:25.002]  And he doesn't get near her because he's an illegal alien.
[00:21:27.512 --> 00:21:28.733]  An illegal alien president.
[00:21:28.773 --> 00:21:32.115]  Well, we know Barack Obama's a fake name.
[00:21:32.675 --> 00:21:35.517]  I mean, we know he was an Indonesian citizen.
[00:21:35.557 --> 00:21:36.757]  It's on his school records.
[00:21:37.318 --> 00:21:39.619]  The records we do have, they're not denying those are real.
[00:21:39.639 --> 00:21:40.860]  They just don't want to talk about it.
[00:21:41.760 --> 00:21:45.142]  And you're right, they're blackmailing him and totally controlling him.
[00:21:45.623 --> 00:21:46.243]  More coming up.
[00:21:48.224 --> 00:21:49.125]  We're on the march.
[00:21:49.625 --> 00:21:51.226]  The empire's on the run.
[00:21:52.146 --> 00:21:54.828]  Alex Jones and the GCN Radio Network.
[00:21:57.677 --> 00:21:58.677]  What's your home worth?
[00:21:58.838 --> 00:22:00.758]  How can you compare local real estate agents?
[00:22:00.959 --> 00:22:03.700]  And how do you get MLS listings for the entire country?
[00:22:04.000 --> 00:22:11.503]  If you're thinking of buying a home to take advantage of a tax credit or selling your house, you first need to see an incredible website called HomeGain.com.
[00:22:11.703 --> 00:22:15.145]  HomeGain.com will help you find a realtor to buy or sell a home.
[00:22:15.365 --> 00:22:17.487]  It's so easy, and best of all, it's free.
[00:22:17.807 --> 00:22:25.852]  At HomeGain.com, you can compare realtors anonymously, receive customized proposals, see consumer reviews, then select the best realtor for you.
[00:22:26.092 --> 00:22:31.656]  Go to HomeGain.com and get an instant home value estimate, view comparable homes, and check out street views.
[00:22:31.936 --> 00:22:41.583]  HomeGain.com has an A-plus rating with the Better Business Bureau and contains a wealth of information, like their home improvement tool that helps you determine which home improvements to make to increase your home's value.
[00:22:41.843 --> 00:22:44.908]  See the top 12 home improvements right now at HomeGain.com.
[00:22:45.008 --> 00:22:47.833]  That's H-O-M-E-G-A-I-N dot com.
[00:22:47.993 --> 00:22:56.066]  Look for Max, the Orange Home Gain Gorilla, to help you find a realtor or with any other real estate needs you might have at HomeGain.com, your real estate connection.
[00:22:57.042 --> 00:23:03.884]  This is Alex Jones and I want to tell you about the Ecola Blue Atmospheric Water Generator that produces pure drinking water right from the humidity in the air.
[00:23:04.024 --> 00:23:05.985]  No, this isn't science fiction, it's very real.
[00:23:06.105 --> 00:23:08.225]  I know because I use one every day in my own home.
[00:23:08.345 --> 00:23:09.866]  And it's available right now to you.
[00:23:10.006 --> 00:23:14.347]  Because you know exactly where your water comes from with Ecola Blue, you'll know what's in your cup.
[00:23:14.467 --> 00:23:16.848]  Clean, great tasting water without all the pollutants.
[00:23:17.048 --> 00:23:21.689]  Get your family off the grid today by ordering your own Ecola Blue Atmospheric Water Generator.
[00:23:21.769 --> 00:23:27.773]  For your home or business, their best seller, the Ecola Blue 28, produces up to 7 gallons of water every day.
[00:23:27.853 --> 00:23:30.595]  The Ecola Blue 28 is easy to use and economical.
[00:23:30.675 --> 00:23:33.297]  Generate your own pure water from the humidity in the air.
