[00:00:00.109 --> 00:00:01.090]  News is taking place.
[00:08:32.239 --> 00:08:40.507]  Well, it's fairly interesting that, of course, you alluded to it earlier, quite rightly, that the French had their national referendum.
[00:08:40.547 --> 00:08:41.788]  The French rejected it.
[00:08:42.268 --> 00:08:43.229]  So did the Dutch.
[00:08:43.730 --> 00:08:49.255]  We were promised, in Great Britain, we were promised a referendum by all the main political parties.
[00:08:49.855 --> 00:08:51.537]  They've all reneged on those promises.
[00:08:51.957 --> 00:08:55.840]  Because they're all cheats and liars, and so we haven't been given our say.
[00:08:56.040 --> 00:09:06.629]  And the reason we haven't been given our say, of course, is because everybody knows the British would vote no, just as the Dutch and the French did, and the Irish did first time round, of course, being bullied into saying yes.
[00:09:08.622 --> 00:09:11.243]  So what we've got to do, we've got to find a new party.
[00:09:11.564 --> 00:09:14.525]  We have to find a new party across the globe.
[00:09:14.545 --> 00:09:24.451]  There has to be, and I mentioned this perhaps last time, maybe we need to be looking at something like the party, the constitutional party I would suggest.
[00:09:24.491 --> 00:09:28.194]  We have a constitution, we have a very good constitution in Great Britain.
[00:09:28.234 --> 00:09:30.375]  It isn't a written constitution like yours in America.
[00:09:31.093 --> 00:09:39.598]  I would argue that your American Constitution is one of the greatest documents ever written by men who are significantly wiser than the men we have in charge now.
[00:09:40.098 --> 00:09:41.179]  We have the document.
[00:09:41.519 --> 00:09:44.120]  What we need to do is make sure that it gets back in force.
[00:09:44.680 --> 00:09:46.962]  And we need to write to the scoundrels who now govern us.
[00:09:47.902 --> 00:09:51.705]  And I was very, very interested to hear that the Republican had won.
[00:09:51.725 --> 00:09:53.326]  I predicted Obama.
[00:09:54.086 --> 00:10:03.153]  Obama's honeymoon period would probably last about a year, and it's been about a year, before the American public realised they're dealing with a socialist scoundrel, and it's rumbled.
[00:10:03.533 --> 00:10:13.600]  And I'm very, very happy to see it, although I'm quite sure you're right that the chat that they put in, if you scrape the surface, you'll find another scoundrel and socialist.
[00:10:15.253 --> 00:10:16.234]  I mean, that's the problem.
[00:10:16.274 --> 00:10:18.936]  The people don't want big government.
[00:10:18.956 --> 00:10:19.957]  They don't want tyranny.
[00:10:20.577 --> 00:10:21.938]  But it just continues.
[00:10:22.138 --> 00:10:26.962]  And now Obama has the lowest approval rating of any president one year into his administration.
[00:10:27.002 --> 00:10:27.602]  It's right down at 40%.
[00:10:29.804 --> 00:10:30.685]  Yes, you're absolutely right.
[00:10:31.105 --> 00:10:33.406]  What I think that we need to do, both we here and you over there,
[00:10:58.383 --> 00:11:07.709]  Of course it was a very strong Democratic seat in Massachusetts, and we all know that, and I have to say I regard a very suspicious family who've been running it for some time, but that's by the by.
[00:11:08.070 --> 00:11:20.798]  What I would suggest is that those people who swung, those people who used to vote Democrat and no longer do, and voted Republican, it's not just enough to vote Republican or vote for change.
[00:11:21.098 --> 00:11:25.842]  You have to write to the Democratic Party and those in power and tell them why you did it.
[00:11:26.302 --> 00:11:27.923]  Otherwise they'll go on believing it's an accident.
[00:11:28.684 --> 00:11:31.087]  We're going to come back from break and continue along that line.
[00:11:32.409 --> 00:11:36.074]  And we're going to also get into what happened at Copenhagen and how the enemy's regrouping.
[00:11:36.094 --> 00:11:36.495]  Stay with us.
[00:11:41.966 --> 00:11:46.227]  We all know that the Berkey water purification systems are the most trusted name in water filtration.
[00:11:46.567 --> 00:11:54.109]  As an authorized Berkey dealer for over four years and serving thousands of satisfied customers, the Berkey Guy offers amazing specials for Berkey water systems.
[00:11:54.349 --> 00:12:09.152]  The revolutionary Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and removes harmful chemicals such as herbicides and pesticides.
[00:12:09.452 --> 00:12:18.756]  Order the Berkey Light System today, complete with two black Berkey elements for only $209, and the Berkey Guy will include three Sport Berkey water bottles and ship everything to you free of charge.
[00:12:18.976 --> 00:12:25.638]  That's right, three Sport Berkey water bottles and free shipping, an $87 value, yours free, but only for a limited time.
[00:12:25.918 --> 00:12:27.599]  Just call the Berkey Guy at 1-877-886-3653 now to order.
[00:12:27.619 --> 00:12:29.299]  That's 1-877-886-3653, or order online now at goberkey.com.
[00:12:29.320 --> 00:12:30.200]  That's goberkey.com today.
[00:12:41.880 --> 00:12:42.740]  Gold isn't for you?
[00:12:42.920 --> 00:12:48.261]  Ted Anderson, President of Midas Resources, one of the world's premier gold and precious metal investing firms.
[00:12:48.441 --> 00:12:48.861]  I get it.
[00:12:48.981 --> 00:12:58.323]  You wouldn't buy gold if you believed that the government is doing a great job, that the Fed will stop handing out trillions of dollars like bailout candy, that Social Security would be there for you.
[00:12:58.603 --> 00:12:59.783]  That's not what's happening.
[00:13:00.023 --> 00:13:08.205]  You might even pass on gold if the stimulus package wouldn't fuel inflation, or that the dollar wouldn't lose value, or that your retirement would be secure.
[00:13:08.485 --> 00:13:11.747]  If all looks rosy to you, then now is not the time to buy gold.
[00:13:11.868 --> 00:13:15.970]  For the realists, there have never been more sobering reasons to diversify with gold.
[00:13:16.151 --> 00:13:17.712]  Since 2001, the U.S.
[00:13:17.752 --> 00:13:20.974]  dollar index has tanked 30%, while gold has risen 300%.
[00:13:21.154 --> 00:13:25.337]  Right now, savvy investors are adding gold to their portfolios.
[00:13:25.517 --> 00:13:26.238]  You should, too.
[00:13:26.438 --> 00:13:27.399]  Find out what they know.
[00:13:27.579 --> 00:13:30.921]  Call us and I'll send you 10 reasons why gold will do very well, free.
[00:13:30.941 --> 00:13:30.981]  800-686-2237.
[00:13:35.288 --> 00:13:38.935]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:13:39.315 --> 00:13:42.321]  This is our last chance to not relive history.
[00:13:42.561 --> 00:13:43.964]  As we're finishing off this agenda...
[00:13:44.685 --> 00:13:47.348]  They'll be pulling the rug from underneath Americans at home.
[00:13:48.108 --> 00:13:53.573]  Tremendous influence on our President and Congress, and they really are calling the shots.
[00:13:53.734 --> 00:13:58.778]  I think it's incumbent upon all of us as American citizens to pay attention.
[00:13:58.939 --> 00:14:08.928]  For the Republic identifies the enemies of our nation, the criminal offshore cartel, hell-bent on destroying sovereignty and on its ashes constructing world government.
[00:14:09.028 --> 00:14:11.150]  Tim Geithner, Bernanke, they're arsonists!
[00:14:11.370 --> 00:14:12.711]  They're asking for more matches!
[00:14:12.971 --> 00:14:15.253]  And the Congress is saying, who do we make the check out to?
[00:14:15.433 --> 00:14:17.255]  Today, it seems like nobody does care.
[00:14:17.275 --> 00:14:22.359]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:14:22.699 --> 00:14:27.483]  Get your copy of Fall of the Republic on DVD at InfoWars.com.
[00:14:27.723 --> 00:14:31.827]  Or watch it online right now in super high quality at PrisonPlanet.tv.
[00:14:33.857 --> 00:14:37.040]  Hounded by debt collectors with phone calls and letters?
[00:14:37.400 --> 00:14:39.242]  Thinking of calling a debt relief company?
[00:14:39.703 --> 00:14:40.123]  Don't!
[00:14:40.563 --> 00:14:43.586]  Greedy lawyers and debt companies charge thousands.
[00:14:44.007 --> 00:14:51.133]  Why pay when you can get their solution absolutely free with New York Times best-selling author Herb K.'
[00:14:51.113 --> 00:14:52.775]  's number one debt secret.
[00:14:53.095 --> 00:14:56.779]  The how-to on stopping the calls without paying the debt companies.
[00:14:57.159 --> 00:14:59.880]  Yes, free for a very limited time.
[00:15:00.300 --> 00:15:07.323]  Here's Herb K. Don't get ripped off by credit repair companies when I can give you the information you need to do it yourself for free.
[00:15:07.663 --> 00:15:08.664]  Herb K. was right.
[00:15:08.864 --> 00:15:11.905]  His free information helped me stop the calls and settle my debt.
[00:15:12.025 --> 00:15:13.065]  What have you got to lose?
[00:15:13.385 --> 00:15:16.587]  Stop the calls now, get out of debt, and have more money.
[00:15:17.107 --> 00:15:17.827]  Get Herb K.'
[00:15:17.727 --> 00:15:20.788]  's number one debt secret absolutely free now.
[00:15:21.048 --> 00:15:21.409]  Call 888-352-7726.
[00:15:25.490 --> 00:15:26.450]  That's 888-352-7726.
[00:15:26.470 --> 00:15:27.030]  888-352-7726.
[00:15:27.250 --> 00:15:44.514]  Member of the European Parliament from England, Godfrey Bloom, is our guest for the rest of the hour.
[00:15:44.594 --> 00:15:46.834]  Honored to have him joining us.
[00:15:46.914 --> 00:15:51.455]  If you look at how these bureaucracies operate, it's almost identical.
[00:15:53.407 --> 00:15:59.329]  And the people send a message to Washington, hey Bush, we don't like your big government corruption, your Patriot Act.
[00:16:00.089 --> 00:16:01.529]  So they put Obama in.
[00:16:01.569 --> 00:16:03.030]  A lot of Republicans voted for him.
[00:16:03.750 --> 00:16:05.990]  And then they go, oh my God, this is even worse.
[00:16:06.871 --> 00:16:09.111]  And then we'll get another Republican in and it'll get even worse.
[00:16:09.171 --> 00:16:12.672]  And England has been going through this forever, longer than us.
[00:16:13.192 --> 00:16:17.273]  And that's what the UKIP, the UK Independence Party, is all about.
[00:16:17.333 --> 00:16:19.354]  They're now one of the biggest parties in England.
[00:16:20.334 --> 00:16:39.502]  Gaining ground because the people have figured out that the Tories or the Conservatives put out different rhetoric but they're owned by the same special interests as Labour and so the people of England are really starting to wake up and so we can learn lessons from what they've gone through in England.
[00:16:40.162 --> 00:16:41.803]  Am I accurate in saying that Mr. Bloom?
[00:16:42.243 --> 00:16:43.144]  Indeed you are.
[00:16:43.744 --> 00:16:48.626]  One of the problems that we have, I'm a financial economist by profession and I sit on the economic
[00:16:49.046 --> 00:17:01.309]  Affairs Committee and it was interesting that the biggest party in the United Kingdom is a Conservative Party and I was taken aside this very afternoon and been told to stop rocking the boat.
[00:17:01.769 --> 00:17:05.450]  I was being too forceful at meetings, so on and so forth.
[00:17:05.810 --> 00:17:08.490]  So the establishment are now starting to run scared.
[00:17:08.770 --> 00:17:15.692]  But what if we have a real problem here and I don't quite know how we're going to deal with this and this is a problem that I haven't solved and we haven't solved.
[00:17:16.272 --> 00:17:21.315]  It's the amount of disinformation, or lack of information, that they get back in the United Kingdom.
[00:17:21.375 --> 00:17:31.320]  So, for example, today I'm talking to you about our new commissars, who are going to now be responsible for 75% of the laws made in the United Kingdom.
[00:17:31.560 --> 00:17:33.661]  But most people still don't really know that.
[00:17:33.721 --> 00:17:45.568]  And, of course, we have public service broadcasting, the BBC, who had an absolutely magnificent record in the war for telling the truth, even when the truth hurt, of course, have been completely subverted by this place.
[00:17:46.188 --> 00:17:59.211]  What most people listening in England to your show, and there are many, won't know, for example, is that the European Commission Bank has lent the BBC €100,000 on an interest-free basis.
[00:17:59.471 --> 00:18:00.552]  Now, they won't know that.
[00:18:01.612 --> 00:18:02.772]  There's all sorts of things.
[00:18:02.992 --> 00:18:05.713]  The swine flu thing you've been talking about is interesting as well.
[00:18:06.841 --> 00:18:18.749]  They are still advertising in England the swine flu vaccination, although everybody knows it to be bad, fraudulent, and a scare that never actually happened.
[00:18:19.169 --> 00:18:27.495]  But in the United Kingdom, what is becoming common knowledge now, even in Germany and France, I have to tell you, is not common knowledge in the United Kingdom.
[00:18:27.915 --> 00:18:32.558]  And I spotted this six months ago when I said this swine flu was a great scam.
[00:18:32.998 --> 00:18:37.501]  And none of the English newspapers would handle it because it was too hot to handle.
[00:18:37.761 --> 00:18:43.405]  Because if I'd been wrong, and of course everybody had died of swine flu, you know, they would be held liable.
[00:18:43.445 --> 00:18:44.986]  So I couldn't get the story away.
[00:18:45.287 --> 00:18:50.110]  So most ordinary people in England have no idea that swine flu is a scam.
[00:18:51.311 --> 00:18:57.254]  Well, I want to talk more about that, and what this European Union Commission is saying, because they're actually doing the right thing.
[00:18:57.874 --> 00:19:05.618]  Their own doctors and people coming out saying this is a fraud, and there's talk of indictments with some of the World Health Organization people involved making profits.
[00:19:06.178 --> 00:19:17.904]  It's come out that more than 50% of the government experts hired by the federal government were making hundreds of thousands of dollars apiece as employees or consultants to the vaccine makers.
[00:19:17.944 --> 00:19:19.325]  I mean, this is classic fraud.
[00:19:19.345 --> 00:19:20.606]  But going back to what you just said,
[00:19:21.266 --> 00:19:39.571]  The average Brit, because we talk to them, we have a lot of listeners over there that listen on the internet and shortwave and satellite, they say their neighbors still don't even know that the European Union is run by a bunch of unelected bureaucrats and they don't even know that they're making at least 75% of the laws and rulings.
[00:19:39.891 --> 00:19:40.571]  Same thing here.
[00:19:41.431 --> 00:19:45.712]  Since 2005, we've been under SPP, Security Prosperity Partnership.
[00:19:45.752 --> 00:19:47.232]  The internal documents have been released.
[00:19:47.512 --> 00:19:54.133]  We are under a North American Union with a private governing council and bureaucrats for Mexico, Canada, and the U.S.
[00:19:54.433 --> 00:20:08.276]  They're setting even the color of highway signs, where these inland ports are, trade deals, all these special favors for their cronies, and the general public still doesn't even know that this is happening.
[00:20:09.525 --> 00:20:31.213]  This is absolutely right, Alex, and this is again one of the main problems, because your average chap, your average Joe six-pack, I think you call them there, which I call the man on the Clapham Omnibus over here, which is a rather quaint expression, but he reads the newspapers, he looks at BBC News, so on and so forth, but none of this information is coming through those channels.
[00:20:31.833 --> 00:20:36.615]  And of course, Middle England don't tend to, in general, do much blogging or internet stuff,
[00:20:36.855 --> 00:20:40.776]  They tend to read the newspaper, and they tend to listen to the BBC.
[00:20:41.076 --> 00:20:44.737]  So they're being drip-fed misinformation on a constant basis.
[00:20:44.797 --> 00:20:51.799]  And when I bring people over to the European Parliament, as I do, I bring a busload over, I bring over Middle England businessmen.
[00:20:52.119 --> 00:20:54.100]  These are well-read, intelligent people.
[00:20:54.140 --> 00:20:55.460]  These aren't morons, Alex.
[00:20:55.500 --> 00:20:58.141]  These are intelligent Middle England guys.
[00:20:58.581 --> 00:21:03.002]  And they say to me when they go back, they say, how could it be that I didn't know?
[00:21:04.651 --> 00:21:07.913]  It's a scientifically crafted propaganda fraud.
[00:21:08.233 --> 00:21:08.633]  Stay there.
[00:21:08.673 --> 00:21:09.794]  Long segment coming up.
[00:21:09.874 --> 00:21:13.795]  Member of the European Union Parliament from England, Dodd Freebloom is our guest.
[00:21:13.815 --> 00:21:20.979]  We're going to get into a host of issues and what's up next on the land-grabbing communist agenda.
[00:21:24.441 --> 00:21:25.341]  We're on the march.
[00:21:25.821 --> 00:21:27.442]  The empire's on the run.
[00:21:28.362 --> 00:21:31.044]  Alex Jones and the GCN Radio Network.
[00:21:35.543 --> 00:21:39.164]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:21:39.504 --> 00:21:47.626]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:21:48.366 --> 00:21:52.407]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:21:52.987 --> 00:22:03.809]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:22:04.429 --> 00:22:13.451]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:22:13.951 --> 00:22:18.992]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:22:19.373 --> 00:22:26.574]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:22:26.874 --> 00:22:29.615]  That's www.silverlungs.com.
[00:22:34.781 --> 00:22:38.425]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:22:38.786 --> 00:22:41.809]  This is our last chance to not relive history.
[00:22:42.029 --> 00:22:46.815]  As we're finishing off this agenda, we're pulling the rug from underneath Americans at home.
[00:22:46.835 --> 00:22:53.082]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:22:53.242 --> 00:22:55.465]  I think it's incumbent upon all of us
[00:22:55.965 --> 00:22:56.285]  Tim Geithner?
[00:22:56.305 --> 00:22:56.726]  Bernanke?
[00:22:56.806 --> 00:22:57.446]  They're arsonists!
[00:22:57.466 --> 00:22:58.127]  They're asking for more matches!
[00:22:58.147 --> 00:23:00.268]  And the Congress is saying, who do we make the check out to?
[00:23:14.898 --> 00:23:21.886]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the Republic.
[00:23:22.186 --> 00:23:31.296]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:23:33.499 --> 00:23:38.744]  One major world crisis away from having a totalitarian type of system.
[00:23:38.824 --> 00:23:41.547]  The main event is the wholesale destruction of the world economy.
[00:23:41.567 --> 00:23:46.031]  The push for every nation on the globe to identify and number all of its citizens.
[00:23:46.912 --> 00:23:49.675]  Friends, I hope that you will order shadow government.
[00:23:49.895 --> 00:23:51.356]  From Infowars.com.
[00:23:51.376 --> 00:23:52.456]  We also have some specials.
[00:23:52.476 --> 00:23:55.878]  You can get some of our other films half price when you order Shadow Government.
[00:23:56.378 --> 00:24:07.404]  A new level in production quality and in information exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:24:07.544 --> 00:24:09.105]  This film needs to be seen.
[00:24:09.385 --> 00:24:10.286]  Everybody needs to get it.
[00:24:10.546 --> 00:24:11.627]  So order yours today.
[00:24:11.707 --> 00:24:15.649]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:24:17.105 --> 00:24:18.667]  Shadow Government, ladies and gentlemen.
[00:24:18.707 --> 00:24:20.830]  Get your copy at InfoWars.com today.
[00:24:21.331 --> 00:24:22.072]  Shadow Government.
[00:24:22.733 --> 00:24:24.155]  It gives Big Brother a black eye.
[00:24:24.956 --> 00:24:28.240]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[00:24:46.451 --> 00:24:48.593]  Ladies and gentlemen, this isn't a joke.
[00:24:48.613 --> 00:24:49.354]  This isn't a game.
[00:25:13.320 --> 00:25:16.524]  I've been doing this for 16 years, over 14 years on air.
[00:25:17.365 --> 00:25:29.840]  And when I watch video clips of every single czar, I just randomly look up one of Obama's czars, I type in communism, I type in Mao Zedong, I type in restrictions on free speech.
[00:25:29.900 --> 00:25:30.580]  Do it yourself.
[00:25:31.241 --> 00:25:46.375]  And everyone and I've been doing this for the last year but over the weekend I spent hours and hours and my wife was like come spend time with the children and I wanted to but it was like a horror movie I had to know who these these these true villains are
[00:25:47.276 --> 00:25:49.439]  And every one of them loves Mao.
[00:25:49.739 --> 00:25:54.564]  Every, and we were listing them earlier in the week, every one of them loves communism.
[00:25:54.664 --> 00:25:58.348]  Every one of them says we're going to restrict free speech and arrest people.
[00:25:59.369 --> 00:26:07.257]  And Cass Sunstein, one of the most powerful czars over all federal regulations, he interprets federal law and then implements it however he wants.
[00:26:08.140 --> 00:26:12.321]  We've spent the last two weeks, as you know, day after day just reading his quotes, playing video clips.
[00:26:13.142 --> 00:26:15.762]  There is no Second Amendment, right to keep and bear arms.
[00:26:16.583 --> 00:26:17.643]  There is no free speech.
[00:26:17.683 --> 00:26:19.904]  He wants to arrest you for conspiracy theories.
[00:26:20.404 --> 00:26:21.284]  And then he lists them.
[00:26:22.084 --> 00:26:27.726]  He said, if you don't believe that global warming is man-made and deadly, you need to be arrested.
[00:26:28.006 --> 00:26:29.007]  You need to be banned.
[00:26:29.067 --> 00:26:32.708]  I mean, he wrote this for Chicago Law School a year and a half ago.
[00:26:33.616 --> 00:26:35.938]  I mean, I can't believe it!
[00:26:37.058 --> 00:26:50.506]  And so I read, while I was reading all this about our czars, I saw a member of European Union Parliament, Godfrey Bloom, basically putting press releases out going, oh my God, I've had a chance to interview the bureaucracy czars that really run everything.
[00:26:50.947 --> 00:26:52.788]  We have no power over them and they're all
[00:26:54.448 --> 00:26:56.929]  Folks, communists killed hundreds of millions of people.
[00:26:57.509 --> 00:26:58.870]  Over 100 million conservatively.
[00:26:59.170 --> 00:27:00.430]  These people don't play games.
