[00:00:00.349 --> 00:00:02.610]  ...media, government cover-ups.
[00:02:00.962 --> 00:02:04.147]  From from the influencer to when there was an influencer.
[00:02:04.748 --> 00:02:10.457]  And so I started investigating and I found out that this was due to a change of definition.
[00:02:10.477 --> 00:02:13.902]  WHO had changed the definition what a pandemic is.
[00:02:14.628 --> 00:02:41.645]  Me, as a public health doctor, I learned that a pandemic is something spreading very fast, but as the flu always spreads every year very fast, or as fast as the planes fly, so this was nothing new, and a pandemic which is really worthwhile an alarm or an alert reaction of the people of this world, this is a pandemic which has serious diseases, which goes along with very high mortality, with many deaths and
[00:02:42.580 --> 00:02:48.182]  So when I heard about the Mexican cases, I was curious why they did this because it didn't give any sense.
[00:02:48.202 --> 00:02:50.163]  There was nothing extraordinary.
[00:02:50.223 --> 00:02:51.404]  There were mild cases.
[00:02:51.424 --> 00:02:53.545]  It was not even a new virus.
[00:02:53.665 --> 00:02:57.326]  This was obvious very soon because elder people didn't get ill.
[00:02:57.406 --> 00:02:59.427]  People older than 60 almost didn't get ill.
[00:02:59.727 --> 00:03:09.351]  And this is a very clear indication for that they have already been vaccinated with a similar virus or that they have been infected with a similar virus some years ago or many years ago.
[00:03:09.871 --> 00:03:11.212]  So this is
[00:03:12.233 --> 00:03:13.954]  So I didn't understand why this happened.
[00:03:16.215 --> 00:03:19.276]  And now you've had a chance to begin your investigation.
[00:03:19.796 --> 00:03:21.537]  When did the council start looking at this?
[00:03:21.997 --> 00:03:36.064]  Yeah, the council decided in the middle of last of the December on the 11th of December and last year there was a session on the Committee of Social Affairs and Health in Paris and we
[00:03:37.076 --> 00:04:00.392]  We had an anonymous decision that we want an urgent debate on the topic because we wanted to reinstall trust in the WHO because the population in Europe is very much astonished about this agency because they advised us twice, now at least twice, and they told us there would be a big threat for health.
[00:04:00.452 --> 00:04:02.014]  It was the bird flu where they said
[00:04:02.938 --> 00:04:08.301]  Thousands of people may be dead and they said it now the same way with the swine flu.
[00:04:08.781 --> 00:04:23.950]  So we want to reinstall health and we want to reinstall trust in this WHO and this is why we wanted an urgent debate and we are 47 countries and in this Parliamentary Assembly of the Council of Europe we have all the parliamentarians.
[00:04:24.724 --> 00:04:27.726]  We have the national parliamentarians from 47 countries.
[00:04:28.146 --> 00:04:29.807]  We have the opposition parliamentarians.
[00:04:29.827 --> 00:04:31.408]  We have the governing parties there.
[00:04:31.869 --> 00:04:40.994]  So if you transport a topic to this platform, you can be sure that there is a discussion 47 times in the different nations.
[00:04:41.414 --> 00:04:42.055]  Okay, doctor.
[00:04:42.595 --> 00:04:44.196]  Doctor, not to interrupt, but we have to break.
[00:04:44.857 --> 00:04:47.218]  Dr. Wolfgang Wodarg is our guest.
[00:04:47.698 --> 00:04:49.460]  He's the head of the Health Council of Europe.
[00:04:49.480 --> 00:04:53.062]  We're going to break down what they found, and it's incredible, on the other side.
[00:04:55.020 --> 00:04:58.684]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:04:59.024 --> 00:05:02.047]  This is our last chance to not relive history.
[00:05:02.287 --> 00:05:07.052]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:05:07.072 --> 00:05:13.358]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:05:13.478 --> 00:05:15.721]  I think it's incumbent upon all of us
[00:05:16.241 --> 00:05:17.642]  Tim Geithner, Bernanke, they're arsonists!
[00:05:17.682 --> 00:05:18.383]  They're asking for more matches!
[00:05:18.403 --> 00:05:20.505]  And the Congress is saying, who do we make the check out to?
[00:05:35.137 --> 00:05:36.978]  Today, it seems like nobody does care.
[00:05:37.279 --> 00:05:42.122]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:05:42.422 --> 00:05:51.549]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:05:53.718 --> 00:05:59.025]  One major world crisis away from having a totalitarian type of system.
[00:05:59.065 --> 00:06:01.789]  The main event is the wholesale destruction of the world economy.
[00:06:01.809 --> 00:06:07.457]  The push for every nation on the globe to identify and number all of its citizens.
[00:06:08.558 --> 00:06:11.599]  Order Shadow Government from Infowars.com.
[00:06:11.619 --> 00:06:13.019]  We also have some specials for you.
[00:06:13.059 --> 00:06:14.739]  Some of our other films have price.
[00:06:14.759 --> 00:06:27.601]  When you order Shadow Government, a new level in production quality and in information exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:06:27.761 --> 00:06:29.342]  This film needs to be seen.
[00:06:29.622 --> 00:06:30.522]  Everybody needs to get it.
[00:06:30.782 --> 00:06:31.862]  So order yours today.
[00:06:31.962 --> 00:06:35.883]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:06:37.341 --> 00:06:38.922]  Shadow Government, ladies and gentlemen.
[00:06:38.942 --> 00:06:41.083]  Get your copy at InfoWars.com today.
[00:06:41.583 --> 00:06:42.323]  Shadow Government.
[00:06:42.983 --> 00:06:44.384]  It gives Big Brother a black eye.
[00:06:45.204 --> 00:06:48.465]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[00:06:54.246 --> 00:06:56.847]  Hello, this is Alex Jones with some important questions.
[00:06:57.247 --> 00:07:02.209]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:07:02.570 --> 00:07:04.310]  My answer would be all I can get.
[00:07:04.630 --> 00:07:09.432]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:07:09.633 --> 00:07:10.593]  How much do you want?
[00:07:10.813 --> 00:07:11.553]  When do you want it?
[00:07:11.934 --> 00:07:13.534]  Now or after the battle starts?
[00:07:13.814 --> 00:07:14.635]  When will you need it?
[00:07:14.895 --> 00:07:16.956]  Can you buy it without proper identification?
[00:07:17.096 --> 00:07:18.196]  Will there be any food?
[00:07:18.436 --> 00:07:19.737]  Will it make your children sick?
[00:07:20.077 --> 00:07:22.340]  There's a quarantine and you can't feed yourself.
[00:07:22.500 --> 00:07:25.023]  Will you go to the gathering center and be immunized?
[00:07:25.223 --> 00:07:28.407]  You wipe out all these problems if you have a good food supply.
[00:07:28.808 --> 00:07:32.312]  Food is your ammunition to fight for your freedom and your life.
[00:07:32.633 --> 00:07:33.614]  How much will you need?
[00:07:33.874 --> 00:07:34.475]  We don't know.
[00:07:34.755 --> 00:07:35.676]  How much do you want?
[00:07:35.877 --> 00:07:36.598]  All you can get.
[00:07:36.618 --> 00:07:37.599]  I'm Alex Jones.
[00:07:37.879 --> 00:07:40.642]  I want all of you good guys to live to fight another day.
[00:07:40.922 --> 00:07:43.104]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:07:43.124 --> 00:07:44.185]  Again, that number, 1-800-409-5633.
[00:07:44.245 --> 00:07:47.588]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:07:47.608 --> 00:07:48.529]  Dr. Wolfgang Wodarg.
[00:08:04.673 --> 00:08:09.437]  Has been the head of health for the Council of Europe until late last month.
[00:08:09.757 --> 00:08:12.559]  Now he rotated off that post and is still an honorary member of it.
[00:08:12.940 --> 00:08:16.022]  Now he's a private citizen medical doctor who can now speak about this.
[00:08:16.442 --> 00:08:18.204]  They've been investigating it since last year.
[00:08:18.224 --> 00:08:23.048]  They've now started the formal investigation from a week and a half ago.
[00:08:23.428 --> 00:08:31.534]  And we have the quotes here from the resolution about Big Pharma pushing this, most of the White House here.
[00:08:32.375 --> 00:08:36.878]  The scientific experts on the payroll, they talk about it being a dangerous vaccine.
[00:08:36.918 --> 00:08:39.780]  The German government wouldn't take it, wouldn't give it to the troops.
[00:08:41.001 --> 00:08:43.202]  Our media lied and said there wasn't mercury in it.
[00:08:44.623 --> 00:08:48.105]  And of course it killed a fraction of those what the regular flu does.
[00:08:48.426 --> 00:08:49.466]  So that's what they're looking at.
[00:08:50.527 --> 00:08:55.514]  In that first segment, doctor, we got up to the point of the formal investigation starting.
[00:08:56.015 --> 00:08:59.239]  What did you guys hear in testimony in the last few weeks?
[00:09:00.220 --> 00:09:05.508]  And then break down personally some of the statements you've made, the research of what this appears to be.
[00:09:06.414 --> 00:09:34.135]  Yeah, we had the WHO was present in the first edition and there will be a report which will be finished in June and there will be recommendations for our member governments how to handle this problem in future because we have seen that the government had to order or ordered a lot of vaccines and they were obliged, they made marketing commitments with pharmaceutical companies because they were threatened by specialists, by scientists that there could be something very dangerous coming and
[00:09:34.935 --> 00:09:50.723]  So they just made those contracts, and within those contracts, which were secret, which we could not see as parliamentarians, there was written that the WHO was at the trigger to say, this is a pandemic, and if they say it, then the whole business was on, and they had to take the vaccines for pandemic use.
[00:09:51.304 --> 00:09:57.667]  And this was about $18 billion worldwide value, and this is a lot of money in health.
[00:09:58.157 --> 00:10:15.452]  So we were wondering, because of this mild flu, how such an enormous waste of money could happen and how millions of people could have been vaccinated parallelly to the seasonal vaccination, so it's a double vaccination, without any
[00:10:16.705 --> 00:10:18.146]  Scientific evidence to do so.
[00:10:18.526 --> 00:10:26.249]  And there is Poland, for instance, where the health minister, she's experienced in public health, and she said, no, we don't buy this vaccine.
[00:10:26.549 --> 00:10:28.049]  And the Polish now are very well off.
[00:10:28.109 --> 00:10:29.050]  They are not vaccinated.
[00:10:29.070 --> 00:10:30.010]  They didn't spend the money.
[00:10:30.670 --> 00:10:32.511]  And in other nations, the people didn't trust.
[00:10:32.731 --> 00:10:38.953]  The French, for instance, they bought for 90% of the population, they bought vaccines and only 6% took the vaccine.
[00:10:39.434 --> 00:10:40.454]  It's similar in Germany.
[00:10:41.104 --> 00:10:42.686]  And nevertheless, people are well off.
[00:10:42.926 --> 00:10:44.287]  This was the mildest flu ever.
[00:10:44.808 --> 00:10:48.411]  And the people were much clever, much more clever than the government.
[00:10:48.511 --> 00:10:50.954]  So we have to find out what was going on with WHO.
[00:10:51.014 --> 00:10:53.416]  Why did they do this pandemic alarm?
[00:10:53.856 --> 00:10:59.282]  And we found out that there is a public-private partnership within WHO, which developed the last 10 years.
[00:10:59.802 --> 00:11:14.637]  And which the very powerful pharmaceutical companies seem to have used quite well for them, for their purpose, for their shareholders, because the decisions there were the reason why they now earn so much money with this vaccine.
[00:11:15.278 --> 00:11:17.620]  And we don't know what really happened.
[00:11:17.660 --> 00:11:20.343]  We only know that they changed the definition of pandemic.
[00:11:21.235 --> 00:11:24.718]  Which was a very dangerous thing before and now it's just a normal flu.
[00:11:24.778 --> 00:11:29.861]  It's called a pandemic and this is the reason why the business for pharmaceutical companies was open.
[00:11:31.650 --> 00:11:44.440]  Well, Doctor, looking at this, and again we're talking to the former head, he just left his post, regular rotation off of it, last month as the head of the Health Council of Europe.
[00:11:44.980 --> 00:11:49.884]  I still go on cooperating with my colleague and working on this matter very intensely.
[00:11:49.904 --> 00:11:50.765]  So you're still part of it.
[00:11:52.486 --> 00:11:58.991]  My point is this, so out of the gates, and we noticed this, they changed the definition of a pandemic.
[00:12:01.502 --> 00:12:06.446]  Because they knew that it was very mild and wasn't a pandemic by the old measurement, not even near.
[00:12:06.886 --> 00:12:11.210]  So, out of the gates, we know that that is fraud.
[00:12:11.850 --> 00:12:25.261]  And then in the reports I've been reading, the council and yourself have been talking about that the vaccine wasn't properly tested, was approved without testing, thanks to government's declarations of emergency.
[00:12:25.581 --> 00:12:28.924]  That's why they went with the pandemic designation, correct?
[00:12:29.164 --> 00:12:36.885]  Yes, too, because if the pharmaceutical companies wanted to have a real business, they have a monopole on the vaccines.
[00:12:36.925 --> 00:12:44.607]  And this is what they tried by using new vaccines, using adjuvants, using new technologies to breed the virus for the vaccine.
[00:12:45.207 --> 00:12:47.647]  And this were patented methods.
[00:12:47.807 --> 00:12:58.449]  So they could monopolize it and tell the government that this was a pandemic vaccine, a special one which they can produce more quickly than normally.
[00:12:58.882 --> 00:12:59.162]  Okay.
[00:12:59.182 --> 00:12:59.403]  Go ahead.
[00:12:59.423 --> 00:12:59.703]  Go ahead.
[00:13:13.966 --> 00:13:34.637]  Normally you can if you have the virus which is to come you make a mixture of certain viruses you expect to come and there are so many facilities all over the world which would be able to produce non-patented vaccines everywhere very fast and very much adapted to the epidemiological situation but when you do this with a monopole when you have
[00:13:35.477 --> 00:13:41.239]  Such a small passage only and everything has to go through those few enterprises.
[00:13:41.900 --> 00:13:43.960]  It is not faster, it's not quicker.
[00:13:44.400 --> 00:13:47.181]  And I think it is just the wrong pandemic plans we do.
[00:13:47.261 --> 00:13:49.562]  We should have no patents on vaccines.
[00:13:49.642 --> 00:13:51.183]  This is what we think politically.
[00:13:51.203 --> 00:13:53.264]  The Council of Europe already had a decision on this.
[00:13:53.324 --> 00:13:56.825]  We said there should be no patents, no monopoles possible.
[00:13:57.505 --> 00:13:59.747]  On life-saving vaccines.
[00:13:59.847 --> 00:14:07.553]  Because, doctor, doesn't that also incentivize the big pharma to engage in hype and hoaxes and fraud because it is a monetary driver?
[00:14:08.934 --> 00:14:23.165]  Yes, I think it is their trick that they always try to monopolize this and we pay much more like this if we would pay the scientists to find out the best vaccines and to develop the best vaccines.
[00:14:23.766 --> 00:14:28.530]  And let this do without patents and let them be copied all over the world very fast.
[00:14:29.131 --> 00:14:32.874]  The taxpayer would be much better off and it would be much cheaper.
[00:14:33.334 --> 00:14:38.358]  Now, Dr. Wolfgang Wudarg, I want to move quickly because I know your time is precious here and you're very busy.
[00:14:38.698 --> 00:14:48.567]  I have so many questions, but a thought that I just had when you mentioned the third world, they're already saying they're going to ship this throughout the year around the world
[00:14:49.187 --> 00:15:05.676]  When they admit that the virus has already mutated and is already even weakening more, and in six months a year it'll be absolutely worthless if it wasn't already worthless, and they're saying they're going to ship the unused vaccine, because the hoax failed, the people didn't take it en masse, to the third world.
[00:15:05.716 --> 00:15:09.478]  I mean, is that not manifest fraud on top of fraud right there?
[00:15:09.958 --> 00:15:12.561]  But there is no influence in the hot countries.
[00:15:13.182 --> 00:15:14.043]  They don't need it.
[00:15:14.463 --> 00:15:17.086]  And there is no influence in the Arctic, neither.
[00:15:17.386 --> 00:15:19.849]  The virus needs a certain climate to spread.
[00:15:20.316 --> 00:15:22.337]  And this is only in our regions in winter.
[00:15:22.757 --> 00:15:25.937]  And so we don't, the third world doesn't need it really.
[00:15:26.177 --> 00:15:28.658]  But I had a discussion yesterday with Japanese colleagues.
[00:15:29.138 --> 00:15:32.759]  And the Japanese, they are going to have the vaccination campaign in February.
[00:15:33.239 --> 00:15:34.540]  So they just will start now.
[00:15:34.900 --> 00:15:39.621]  And they know already that it is a very mild flu to come and there is no danger in it.
[00:15:39.921 --> 00:15:43.142]  But the Japan bought vaccines for 110 million people.
[00:15:44.862 --> 00:15:48.885]  And they cannot retire from this vaccine contract.
[00:15:49.365 --> 00:15:51.927]  So they are in a very, very big political dilemma now.
[00:15:52.367 --> 00:15:58.271]  And they have very big problems because the Japanese people, they already know it wouldn't be necessary to get vaccinated.
[00:15:58.291 --> 00:16:00.552]  What shall Japan do with all its vaccines?
[00:16:00.632 --> 00:16:08.154]  But that's my next issue, is this is destroying the credibility of the entire medical system when it is Big Pharma that is doing it.
[00:16:09.214 --> 00:16:15.676]  In the Council of Europe report, it is discussed that this is an untested, dangerous vaccine.
[00:16:15.716 --> 00:16:16.676]  Can you speak to that?
[00:16:17.076 --> 00:16:24.018]  Also, can you speak to the German military and government ministers being given a special additive-free vaccine?
[00:16:24.038 --> 00:16:25.678]  That isn't a very strong vote of confidence.
[00:16:26.098 --> 00:16:27.940]  Yeah, this is two points.
[00:16:28.320 --> 00:16:37.387]  The first thing is that the pandemic vaccine is a pandemic vaccine and it was planned to be produced very fast, trust me.
[00:16:37.447 --> 00:16:44.893]  And so we have additives, adjuvants with it, and they are only tested with elderly people.
[00:16:44.933 --> 00:16:51.879]  This is why the FDA in the US didn't allow this vaccine to be used with children and younger people in the US.
[00:16:52.538 --> 00:16:53.118]  And so U.S.
[00:16:53.178 --> 00:16:57.901]  people population is well better protected against those side effects.
[00:16:58.361 --> 00:17:08.686]  But in Europe we just use them for children, for pregnant women and there are no clinic, there's no clinical testing has been done with children and with some of the vaccines.
[00:17:08.746 --> 00:17:11.467]  And there are other vaccines which you spoke about for soldiers.
[00:17:11.868 --> 00:17:16.330]  This is a vaccine which takes the whole virus and it is known to have more side effects.
[00:17:16.370 --> 00:17:20.352]  So it's not better than the one the rest of the population gets.
[00:17:20.792 --> 00:17:21.412]  Well, yes, sir.
[00:17:21.472 --> 00:17:24.193]  Doctor, we know what adjuvants did with the anthrax shot.
[00:17:24.233 --> 00:17:40.679]  The Pentagon suspended it because in young people, as you know, Doctor, the audience may not, when you give a young person who has a really strong immune system an adjuvant, it can trigger what the cytokine storm and have the lungs fill full of liquids similar to hemorrhagic fever, correct?
[00:17:42.359 --> 00:17:50.142]  I don't have the scientific evidence for this, but I know that the adjuvants, they stimulate the immune system enormously.
[00:17:50.740 --> 00:18:01.669]  And this may lead to a misfunction of the immune system, which means that there may be autoimmune diseases or allergic diseases result afterwards within those vaccinated people.
[00:18:01.689 --> 00:18:04.912]  Well, what about all the confirmed cases of Guillain-Barré?
[00:18:05.673 --> 00:18:09.336]  Guillain-Barré was there when they had this vaccine.
[00:18:11.598 --> 00:18:13.520]  It was in the U.S.
[00:18:13.940 --> 00:18:17.343]  when they stopped having this, and there is evidence for this.
[00:18:17.938 --> 00:18:26.521]  But what they use now is a new patent adjuvant and we don't have any evidence how the side effects of this will be.
[00:18:26.881 --> 00:18:30.823]  But this is the big risk and it would not be necessary to take this risk.
[00:18:32.264 --> 00:18:38.106]  I mean sure if the flu was killing tens of millions of people it might be if you can trust the shot but if it's a mild
[00:18:39.440 --> 00:18:45.482]  Bottom line, Doctor, you personally looking at the research, is this a giant hoax?
[00:18:46.022 --> 00:18:49.723]  We know they paid off most of the big health ministers to come out and fear monger.
[00:18:49.963 --> 00:18:51.363]  Is that not a conflict of interest?
[00:18:52.344 --> 00:18:54.304]  For sure it is a conflict of interest.
[00:18:54.644 --> 00:19:07.488]  Those people who are there for their shareholders, who have the interest of the pharmaceutical companies and to earn a lot of money, they have different reasons to decide and they decide differently than those people who are in charge of public health.
[00:19:07.992 --> 00:19:09.133]  Bottom line, it's a hoax.
[00:19:28.783 --> 00:19:29.684]  Unbelievable.
[00:19:29.764 --> 00:19:33.226]  Dr. Wolfgang Wudarg is our guest.
[00:19:33.246 --> 00:19:35.327]  We're going to give you his website when we come back.
[00:19:35.367 --> 00:19:40.711]  I'm going to try to twist his arm into staying maybe to 40 after, because we're going to have one five-minute segment when we come back.
[00:19:40.771 --> 00:19:42.732]  And I've got this huge list of questions.
[00:19:42.772 --> 00:19:47.635]  If it sounds like I'm interrupting you, doctor, it's just, I mean, you are such a great person.
[00:19:47.655 --> 00:19:51.298]  This council is doing such great work exposing this fraud.
[00:19:54.608 --> 00:19:58.869]  We all know that the Berkey water purification systems are the most trusted name in water filtration.
[00:19:59.230 --> 00:20:06.772]  As an authorized Berkey dealer for over four years and serving thousands of satisfied customers, the Berkey Guy offers amazing specials for Berkey water systems.
[00:20:07.012 --> 00:20:21.797]  The revolutionary Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts, and parasites to non-detectable levels and removes harmful chemicals such as herbicides and pesticides.
[00:20:22.117 --> 00:20:31.403]  Order the Berkey Light System today, complete with two black Berkey elements for only $209, and the Berkey Guy will include three Sport Berkey water bottles and ship everything to you free of charge.
[00:20:31.624 --> 00:20:38.308]  That's right, three Sport Berkey water bottles and free shipping, an $87 value, yours free, but only for a limited time.
[00:20:38.568 --> 00:20:40.249]  Just call the Berkey Guy at 1-877-886-3653 now to order.
[00:20:40.270 --> 00:20:41.951]  That's 1-877-886-3653, or order online now at GoBerkey.com.
[00:20:41.971 --> 00:20:42.791]  That's GoBerkey.com today!
[00:20:55.203 --> 00:20:58.828]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:20:59.228 --> 00:21:02.212]  This is our last chance to not relive history.
[00:21:02.472 --> 00:21:07.279]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:21:07.819 --> 00:21:11.123]  Tremendous influence on our president and Congress.
[00:21:11.744 --> 00:21:13.465]  And they really are calling the shots.
[00:21:13.646 --> 00:21:18.669]  I think it's incumbent upon all of us, as American citizens, to pay attention.
[00:21:18.849 --> 00:21:21.952]  For the Republic identifies the enemies of our nation.
[00:21:22.112 --> 00:21:28.837]  The criminal offshore cartel, hell-bent on destroying sovereignty, and on its ashes constructing world government.
[00:21:28.937 --> 00:21:31.059]  Tim Geithner, Bernanke, they're arsonists!
[00:21:31.299 --> 00:21:32.620]  They're asking for more matches!
[00:21:32.900 --> 00:21:35.182]  And the Congress is saying, who do we make the check out to?
[00:21:35.342 --> 00:21:37.183]  Today, it seems like nobody does care.
[00:21:37.464 --> 00:21:39.005]  And right now in Washington, D.C.,
[00:21:39.705 --> 00:21:42.288]  We have seen a fall of the Republic.
[00:21:42.608 --> 00:21:51.737]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:21:55.111 --> 00:21:57.073]  Are you wondering about your retirement portfolio?
[00:21:57.473 --> 00:22:03.439]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:22:03.699 --> 00:22:07.622]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:22:07.843 --> 00:22:14.689]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:22:15.009 --> 00:22:20.551]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:22:20.912 --> 00:22:28.275]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at theinternationalforecaster.com or call 877-479-8178.
[00:22:31.816 --> 00:22:32.918]  Experience the difference.
[00:22:33.278 --> 00:22:38.225]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:22:38.525 --> 00:22:39.486]  Don't wait another minute.
[00:22:39.747 --> 00:22:43.391]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:22:43.451 --> 00:22:43.652]  That's 877-479-8178.
[00:22:53.948 --> 00:22:54.929]  What's your home worth?
[00:22:55.109 --> 00:22:57.031]  How can you compare local real estate agents?
[00:22:57.211 --> 00:22:59.953]  And how do you get MLS listings for the entire country?
[00:23:00.253 --> 00:23:07.780]  If you're thinking of buying a home to take advantage of a tax credit or selling your house, you first need to see an incredible website called HomeGain.com.
[00:23:07.980 --> 00:23:11.443]  HomeGain.com will help you find a realtor to buy or sell a home.
[00:23:11.643 --> 00:23:13.765]  It's so easy, and best of all, it's free.
[00:23:14.085 --> 00:23:18.649]  At HomeGain.com, you can compare realtors anonymously, receive customized proposals,
[00:23:18.909 --> 00:23:22.113]  See consumer reviews, then select the best realtor for you.
[00:23:22.353 --> 00:23:27.940]  Go to HomeGain.com and get an instant home value estimate, view comparable homes, and check out street views.
[00:23:28.200 --> 00:23:37.852]  HomeGain.com has an A-plus rating with the Better Business Bureau and contains a wealth of information, like their Home Improvement Tool that helps you determine which home improvements to make to increase your home's value.
[00:23:38.112 --> 00:23:41.155]  See the top 12 home improvements right now at HomeGain.com.
[00:23:41.275 --> 00:23:44.097]  That's H-O-M-E-G-A-I-N dot com.
[00:23:44.258 --> 00:23:52.305]  Look for Max, the Orange Home Gain Gorilla, to help you find a realtor or with any other real estate needs you might have at HomeGain.com, your real estate connection.
[00:23:57.045 --> 00:24:00.729]  Wolfgang Wudarg, Dr. Wolfgang Wudarg is our guest.
[00:24:01.370 --> 00:24:05.194]  It's wudarg.de is the website.
[00:24:05.214 --> 00:24:08.037]  We've got it up on screen at prisonplanet.tv for the viewers.
[00:24:08.437 --> 00:24:10.920]  Radio listeners can go to infowars.com and link over.
[00:24:10.940 --> 00:24:13.943]  We've got him until 40 after, graciously giving us a lot of time.
[00:24:14.424 --> 00:24:16.065]  He was the head of the investigation.
[00:24:16.886 --> 00:24:26.872]  For the 47-member nation, Bonnie, Council of Europe, Parliamentary Assembly over health, and they just had the start of the intense investigation.
[00:24:26.932 --> 00:24:34.237]  I want to get into that in the next segment, any new breaking info that came out, what you were told by Big Pharma that you had before you.
[00:24:34.277 --> 00:24:42.022]  But first, Doctor, you talk about the bird flu, and I have the Czech Republic news, I have the London Telegraph.
[00:24:43.202 --> 00:24:48.025]  Where they were mixing weaponized, very deadly, bird flu in.
[00:24:48.286 --> 00:24:50.667]  Thank God they found out it was killing the test animals.
[00:24:50.967 --> 00:24:54.850]  We have homeless people die after bird flu vaccine trial in Poland.
[00:24:54.990 --> 00:24:57.451]  Roughly 30% that were given it died.
[00:24:57.852 --> 00:25:00.273]  The media never said what big pharma company that was.
[00:25:00.353 --> 00:25:02.735]  You mentioned that, that hoax as well.
[00:25:03.435 --> 00:25:04.316]  Can you speak to that?
[00:25:05.573 --> 00:25:06.995]  I'm not so much in this matter.
[00:25:07.035 --> 00:25:20.915]  I only know that the enterprise of Baxter sent such stuff to 16 laboratories in Europe and that in Czech Republic they found out that it is a very dangerous mixture which they send and they
[00:25:21.682 --> 00:25:26.884]  It is said that they sent it by accident, but the enterprise doesn't declare anything.
[00:25:26.904 --> 00:25:30.365]  And as far as I know, there have been no parliamentary investigation.
[00:25:30.425 --> 00:25:33.486]  I think there should be a very deep and thorough investigation on this.
[00:25:33.966 --> 00:25:39.368]  What I know is there is some courts dealing with this, so we have to look at the single states.
[00:25:40.166 --> 00:25:40.506]  I think so.
[00:25:55.433 --> 00:26:00.858]  Are not very responsible and who are not very much bound to public interest and to public health.
[00:26:01.239 --> 00:26:02.219]  This is a dangerous thing.
[00:26:02.780 --> 00:26:08.906]  And if an enterprise which goes for money has such stuff, I think it is not.
