[00:00:00.089 --> 00:00:01.330]  GCN Radio Network.
[00:10:04.225 --> 00:10:05.266]  The top story that I will hit
[00:10:16.796 --> 00:10:23.099]  Later in the hour, after I've gone to some of your calls, just went live at PrisonPlanet.com.
[00:10:24.640 --> 00:10:29.782]  And the headline is, false flag cyber attack could take down the internet.
[00:10:32.463 --> 00:10:33.884]  And this story is multifaceted.
[00:10:33.924 --> 00:10:38.726]  We had a caller on the broadcast who said, Alex, starting last Friday and through Tuesday,
[00:10:40.074 --> 00:10:51.564]  On Friday, Sunday, Monday, and Tuesday, you've given out key search terms like Obama deception, Obama deception censored, Google spies, and now Google launches.
[00:10:53.665 --> 00:10:58.990]  And all four of those terms have become the number one search trend.
[00:10:59.670 --> 00:11:07.357]  Not Lindsay Lohan, not Mel Gibson, not even the BP oil spill.
[00:11:09.199 --> 00:11:15.987]  And the way Google Trends works is if you're in the top 10 or so, generally that's going to stay in there for a few days.
[00:11:17.749 --> 00:11:19.591]  We know Google's been censoring these.
[00:11:19.671 --> 00:11:20.632]  It's very elementary.
[00:11:20.652 --> 00:11:22.635]  And I went in and read their algorithm.
[00:11:24.406 --> 00:11:28.288]  Rules in the last few days and what we had already known about it was correct.
[00:11:29.409 --> 00:11:34.431]  They claim that you will be searchable if you're in the top several thousand search terms.
[00:11:35.032 --> 00:11:42.916]  So there's no way that these four terms have gone to number one on Friday, Sunday, Monday and Tuesday.
[00:11:43.436 --> 00:11:44.917]  Each day we launched a search term.
[00:11:45.498 --> 00:11:47.018]  The first being Obama deception.
[00:11:47.899 --> 00:11:49.800]  The second being Obama deception censored.
[00:11:50.882 --> 00:11:58.046]  The third being Google spies and the next being Google launches cover-up of Google spies.
[00:12:01.849 --> 00:12:12.816]  We know they are erasing it because it goes to number one and other search terms that are number one, number two, number five, number ten, number fifteen, they move back and forth all day.
[00:12:13.856 --> 00:12:19.440]  Our four search terms go to number one and then just completely disappear and when you search those terms it says
[00:12:20.501 --> 00:12:22.822]  No data to produce a graph.
[00:12:24.142 --> 00:12:26.263]  No searches found for this term.
[00:12:27.263 --> 00:12:29.004]  Now, that's impossible.
[00:12:29.544 --> 00:12:33.485]  You don't have something at the top of the search engine and then it's just not found.
[00:12:33.805 --> 00:12:39.647]  It doesn't go from number one to zero, not existing instantaneously.
[00:12:40.428 --> 00:12:45.829]  So, it's just total fact, common sense, that that is indeed happening.
[00:12:45.849 --> 00:12:46.990]  As I saw some of the comments,
[00:12:48.280 --> 00:12:57.868]  On the InfoWars.com and PrisonPlanet.com story by Steve Watson yesterday about Google launches cover-up of Google spies story.
[00:12:58.669 --> 00:13:13.422]  I also noticed that it was in the top ten two days ago, the Washington Post story that was the one of the major stories in the nation about the United States of spies and about how there's 850 plus thousand highest-level private corporate spies
[00:13:14.531 --> 00:13:17.792]  That gives them untrade advantage, unfair trade advantage, gives them control.
[00:13:18.413 --> 00:13:19.893]  They are literally taking over the government.
[00:13:20.733 --> 00:13:21.854]  That was disappeared.
[00:13:22.474 --> 00:13:23.875]  I noticed that that was number nine.
[00:13:24.515 --> 00:13:26.956]  Our search was number one on Monday.
[00:13:26.976 --> 00:13:30.397]  And then I searched a few hours later and it said no search found.
[00:13:30.497 --> 00:13:30.917]  Zero.
[00:13:31.298 --> 00:13:39.621]  So they're not just censoring Obama deception, Obama deception censored, Google spies, Google launches cover-up.
[00:13:41.912 --> 00:13:45.818]  I guess they could argue, well, you had people doing that, so we're saying it's not a real surge.
[00:13:45.838 --> 00:13:49.123]  I mean, they haven't said that publicly, but I could see them doing that.
[00:13:49.383 --> 00:13:50.826]  But still, that's a form of censorship.
[00:13:54.755 --> 00:14:09.680]  The headline out of the Washington Post that was all over the national news and is all over the news today, to have that disappear without a trace, this is another window into how the establishment decides what it wants to be the top trends.
[00:14:09.981 --> 00:14:11.741]  They're not disappearing Lindsay Lohan.
[00:14:12.762 --> 00:14:14.862]  They're not disappearing Mel Gibson.
[00:14:14.882 --> 00:14:17.423]  They're not disappearing VanderSloot.
[00:14:18.024 --> 00:14:20.845]  They're not disappearing things like that.
[00:14:20.885 --> 00:14:21.845]  They are disappearing
[00:14:24.187 --> 00:14:32.612]  Information that exposes the fact that Google and Oracle and others are deeply into the secret America.
[00:14:32.632 --> 00:14:34.793]  In fact, the term was the secret America.
[00:14:34.833 --> 00:14:40.376]  That was the term that they censored dealing with the Washington Post article.
[00:14:40.416 --> 00:14:42.357]  And here's some articles on it today.
[00:14:42.377 --> 00:14:44.959]  Here's one out of the Seattle Times.
[00:14:45.319 --> 00:14:47.660]  Top secret America snoops in our suburbs.
[00:14:48.381 --> 00:14:52.063]  And it shows how all over the country they're building giant spy bases against the American people.
[00:14:54.679 --> 00:15:07.290]  And there's a bunch of other mainstream news articles that are dealing with that today, and we'll be covering some of that coming up after I take your phone calls.
[00:15:07.530 --> 00:15:11.253]  But false flag cyber attack could take down the Internet.
[00:15:13.680 --> 00:15:15.983]  The Pentagon is telling us there's going to be a massive attack.
[00:15:16.003 --> 00:15:18.867]  They're going to have to shut the web off and change our access.
[00:15:18.947 --> 00:15:25.936]  And last Thursday, 73,000 blogs were taken down because one blog they claim was being used by Al-Qaeda.
[00:15:28.359 --> 00:15:30.422]  The feds have now, what, five days later,
[00:15:32.148 --> 00:15:34.631]  told us their reason, and that's in the news today.
[00:15:35.131 --> 00:15:43.841]  Kurt Nemo wrote a story about it last night, linking to Reuters and others, where they said, oh, well, there was one blog on this website that Al-Qaeda was using.
[00:15:43.901 --> 00:15:50.188]  So we didn't call the website and say, you know, please take that down, or we didn't take them to court, or we didn't show evidence.
[00:15:50.248 --> 00:15:52.850]  No, no, we just took a giant website with 73,000 blogs down.
[00:15:55.270 --> 00:15:57.091]  And so they will attack the Internet.
[00:15:57.552 --> 00:15:58.853]  The mainstream media is dying.
[00:15:59.013 --> 00:16:01.455]  The government's support with the people is dying.
[00:16:01.815 --> 00:16:03.256]  All the polls and numbers show that.
[00:16:03.577 --> 00:16:08.040]  The media, the dinosaur media, even admits they're in free fall and government's in free fall.
[00:16:08.581 --> 00:16:16.907]  And so the dinosaur media owned by the big global robber-bearing corporations that aren't free market, that are criminal, that make their money through looting and power and surveillance and espionage,
[00:16:17.628 --> 00:16:19.451]  I've been telling you it's a global corporate takeover.
[00:16:19.491 --> 00:16:29.447]  Now you learn that there are hundreds of times more security clearances at the highest level for private corporate chiefs, 850 plus thousand, than there are in the government.
[00:16:30.848 --> 00:16:43.520]  The government is now... I mean, here in Austin, foreign banks come in and the city council gets bought off and they pass $2.6 billion in energy increase taxes that are more than all the other taxes combined each year.
[00:16:44.381 --> 00:16:51.848]  And now they're announcing they're going to seize all the major roads and put toll roads on it, and almost all the money's going to go to offshore corporations like Centra of Spain.
[00:16:53.710 --> 00:17:10.534]  Exactly what happened 150 plus years ago in China, when 11 Western powers, France, the United States, England, the Netherlands, Germany, even Poland had an outpost, went in and divided up China and took it over.
[00:17:10.874 --> 00:17:15.855]  And it took them decades of corporate espionage to buy off local cities and regions, and they did it.
[00:17:17.728 --> 00:17:24.430]  And the Boxer Rebellion and other rebellions led to China finally getting its sovereignty back, but then it was still weak, so Japan came in decades later.
[00:17:27.471 --> 00:17:28.272]  Same with Korea.
[00:17:31.993 --> 00:17:34.574]  Eastern Russia was weak, so the Japanese invaded as well.
[00:17:36.115 --> 00:17:36.955]  Before World War II.
[00:17:41.542 --> 00:17:42.623]  So this is happening now.
[00:17:42.683 --> 00:17:50.746]  We were a free society, we were wide open, and corporations running intelligence operations, and the first intelligence agencies were not government.
[00:17:51.707 --> 00:18:01.511]  In the more modern era, the last 300 years in Europe, the Rothschilds and others on record had intelligence agencies bigger than British intelligence.
[00:18:02.131 --> 00:18:08.014]  And British intelligence itself, this is in mainline history, was modeled after the Rothschild intelligence networks.
[00:18:11.212 --> 00:18:17.417]  And so we have been conquered, and the banks are bankrupting us to bring us down to the level of third world serfs.
[00:18:18.158 --> 00:18:22.542]  And they don't want the people to be able to speak out and expose their banking takeover.
[00:18:23.623 --> 00:18:28.167]  That's why they erased the Obama deception, but the backlash caused them to put it back up, an unprecedented move.
[00:18:29.588 --> 00:18:32.490]  That's why they're moving and openly announcing they're going to start curtailing the web.
[00:18:32.971 --> 00:18:37.755]  Because we are countering them, and they can't have us out there telling the truth during this process.
[00:18:37.795 --> 00:18:38.536]  And so today,
[00:18:40.592 --> 00:18:42.633]  This is the last time I'm going to do this, at least for a few weeks.
[00:18:42.653 --> 00:18:44.513]  I want to see the aftermath of it and gauge it.
[00:18:44.533 --> 00:18:46.754]  I want to analyze the data.
[00:18:47.114 --> 00:18:47.954]  It's very interesting.
[00:18:51.075 --> 00:18:57.217]  But it does show we're even more effective than we had previously gauged, which is a chilling prospect.
[00:18:58.017 --> 00:18:58.897]  Why me, God?
[00:18:59.137 --> 00:18:59.357]  Why?
[00:19:00.337 --> 00:19:02.978]  Why am I sitting in the middle of this platform that's so powerful?
[00:19:04.178 --> 00:19:09.600]  It's a chilling, adrenaline-fueled
[00:19:11.932 --> 00:19:12.313]  Burden.
[00:19:14.356 --> 00:19:19.222]  When I consciously face the position we're in and the responsibility we have, I have an adrenaline rush.
[00:19:23.188 --> 00:19:25.451]  But today we're going to make this term number one.
[00:19:26.479 --> 00:19:28.540]  False flag cyber attack.
[00:19:28.880 --> 00:19:30.820]  False flag cyber attack.
[00:19:31.480 --> 00:19:38.582]  So that hundreds of other blogs and newspapers will then pick up on the story as the last four term blitzes have done.
[00:19:39.423 --> 00:19:41.563]  And so we'll put it out there even more on record.
[00:19:41.883 --> 00:19:54.387]  But we know a false flag cyber attack is coming to be blamed on foreign enemies or domestic hackers as a pretext to further curtail the web and bring it a step further on its journey towards being a
[00:19:55.507 --> 00:19:58.089]  Instrument of control, not an instrument of enlightenment.
[00:19:58.529 --> 00:20:03.513]  So the search term today, folks, if you choose to accept this mission, is false flag cyber attack.
[00:20:17.313 --> 00:20:20.854]  Other products merely treat symptoms and not the cause of sinus problems.
[00:20:21.134 --> 00:20:24.615]  And 37 million Americans suffer from sinus distress just like you.
[00:20:24.815 --> 00:20:32.198]  But now many are finding relief with the only patent-protected homeopathic nasal product that antiseptically eliminates the known causes of sinusitis.
[00:20:32.558 --> 00:20:33.218]  Sinofresh.
[00:20:33.438 --> 00:20:36.279]  Now here's your limited-time discount offer to use Sinofresh.
[00:20:36.519 --> 00:20:42.141]  Call 888-906-3636 right now for $2 off per bottle when you mention GCN.
[00:20:42.321 --> 00:20:42.741]  That's it!
[00:20:42.941 --> 00:20:48.183]  Just call 888-906-3636 and mention GCN for a $2 discount.
[00:20:48.223 --> 00:20:51.103]  But hurry, this offer is only for the first 1,000 customers.
[00:20:51.243 --> 00:20:51.504]  Call 888-906-3636.
[00:20:51.524 --> 00:20:51.624]  888-906-3636.
[00:20:51.644 --> 00:20:52.784]  Call right now for $2 off per bottle.
[00:20:52.804 --> 00:20:53.164]  Mention GCN.
[00:20:53.184 --> 00:20:53.964]  Buy SinoFresh.com.
[00:20:54.124 --> 00:20:54.304]  It works!
[00:21:05.404 --> 00:21:10.287]  The economy is crumbling, debt soaring, and the possibility of World War III is increasing.
[00:21:11.167 --> 00:21:22.354]  I started survivalistseeds.com from my dining room table with a small bucket of seed and a single rotating banner ad on prisonplanet.com.
[00:21:23.255 --> 00:21:30.839]  Two years later, we've sold over 40,000 pounds of heirloom seeds, becoming the largest bulk seed seller to the public.
[00:21:31.520 --> 00:21:35.202]  The majority of our customers are Alex Jones listeners.
[00:21:36.055 --> 00:21:51.339]  Now I'm offering 50 all-organic garden varieties, 10,000 heirloom seeds, garden planner, and a CD teaching you how to save seeds so your children's children will always have healthy food.
[00:21:52.240 --> 00:21:54.060]  Don't wait until it's too late.
[00:21:54.960 --> 00:22:00.322]  I'm Big John Lipscomb and my company is survivalistseeds.com.
[00:22:03.200 --> 00:22:04.180]  Hello, Ted Anderson.
[00:22:04.260 --> 00:22:09.042]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:22:09.202 --> 00:22:17.025]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:22:17.285 --> 00:22:22.667]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:22:22.867 --> 00:22:29.849]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:22:30.149 --> 00:22:35.474]  A current effort is underway by the Fed, along with other central banks, to increase liquidity for depositors.
[00:22:35.734 --> 00:22:40.459]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:22:40.819 --> 00:22:48.406]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:22:48.746 --> 00:22:54.991]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[00:22:55.311 --> 00:22:58.833]  For more information, call 1-800-686-2237.
[00:22:59.174 --> 00:23:02.096]  That's 1-800-686-2237.
[00:23:02.656 --> 00:23:05.678]  When you hear the words water purification, what comes to mind?
[00:23:06.019 --> 00:23:09.641]  If it's Berkey Water Purification Systems, this message is for you.
[00:23:09.941 --> 00:23:13.344]  Did you know that over 60% of municipal water contains fluoride?
[00:23:13.644 --> 00:23:22.450]  At less than two cents per gallon, Berkey Water Filters purify treated and untreated water, remove dangerous chlorine, fluoride, and contaminants from municipal water.
[00:23:22.650 --> 00:23:28.534]  These filters are powerful enough to purify stagnant pond water, making them perfect for rainwater collection systems.
[00:23:28.814 --> 00:23:34.718]  From the smallest to the largest systems, BigBerkeyWaterFilters.com has what you need with your system purchase.
[00:23:34.978 --> 00:23:39.839]  You'll receive a shower filter, a fluoride filter, or two sport Berkey bottles absolutely free.
[00:23:40.099 --> 00:23:49.542]  BigBerkeyWaterFilters.com would like to offer GCN listeners 5% off all ceramic filter systems and ship all orders over $50 free of charge.
[00:23:49.862 --> 00:23:52.182]  Visit BigBerkeyWaterFilters.com.
[00:23:52.403 --> 00:23:54.343]  That's BigBerkeyWaterFilters.com.
[00:23:54.363 --> 00:23:55.083]  Or call 1-877-99-BERKEY.
[00:23:55.103 --> 00:23:55.763]  That's 1-877-99-BERKEY today.
[00:24:12.418 --> 00:24:27.871]  Okay my friends, we're gonna go straight to your phone calls and then coming up, household cleaning products linked to breast cancer in a major long-term study.
[00:24:30.657 --> 00:24:34.321]  But it's also linked to ADHD, increases in cancer.
[00:24:34.382 --> 00:24:42.732]  That's because mainline household cleaning products are the derivatives of the oil industry and gasoline refining.
[00:24:44.194 --> 00:24:47.618]  They also spray it on the crops and they know full well what they're doing.
[00:24:49.175 --> 00:25:02.146]  That's why 30 years ago, in a cancer ward, doctors would come from hundreds of miles around to see someone below the age of 10 who had cancer, and now there's children with cancer all over your neighborhood.
[00:25:03.748 --> 00:25:04.829]  You are being murdered.
[00:25:05.569 --> 00:25:08.432]  The question is, will you have the strength to research this?
[00:25:08.592 --> 00:25:09.873]  Well, we'll talk about that later.
[00:25:10.874 --> 00:25:13.196]  Let's talk to JP in Minnesota.
[00:25:13.736 --> 00:25:15.278]  JP, you're on the air, welcome.
[00:25:17.538 --> 00:25:22.480]  Alex, my brother in freedom and my sensei in the info war.
[00:25:22.560 --> 00:25:23.620]  Thank you for taking my call.
[00:25:25.241 --> 00:25:26.341]  Thanks for calling.
[00:25:27.722 --> 00:25:31.703]  You know Alex, I had a few questions for you and a few points I wanted to share with you.
[00:25:32.323 --> 00:25:36.485]  I was all caught up on listening to your show last week.
[00:25:36.845 --> 00:25:41.607]  On Saturday I had to drive into work so I downloaded one of your older shows.
[00:25:41.707 --> 00:25:45.108]  I went searching through 2008 and I downloaded this
[00:25:46.428 --> 00:26:11.452]  Episode where you interviewed Nick baggage and it was an awesome awesome show probably five minutes into the show You were talking about the internet and some news story at the time and you were telling us that I Mean you predicted flat-out you said in two and a half years mid 2010 internet's dead big attack the
[00:26:12.014 --> 00:26:20.359]  Globalist own words their own documents, so I thought that was just amazing to hear you Back in 2008 you really laid it out.
[00:26:20.419 --> 00:26:21.580]  What's going on right now.
[00:26:21.640 --> 00:26:27.384]  I believe I was I don't remember the show two years ago That would be two years ago now that was mid 2008.
[00:26:28.525 --> 00:26:33.328]  I do remember interviewing baggage then His brother was running for the Senate and then won but
[00:26:36.690 --> 00:26:37.151]  I don't know.
[00:26:52.808 --> 00:26:57.692]  The transfer of the web from free to unfree in 2010 into 2012.
[00:26:58.453 --> 00:27:00.635]  Nothing to do with the Mayan calendar.
[00:27:00.675 --> 00:27:04.879]  That's the government itself is saying they want to have this global system in by 2012.
[00:27:05.539 --> 00:27:14.066]  And there's mirrored documents in defense department statements and also Internet 2, this private consortium, this corporate
[00:27:14.827 --> 00:27:17.470]  I know, it was just amazing to hear you lay it out, uh, you know, two years ago.
[00:27:17.490 --> 00:27:19.211]  I mean, you hit the nail on the head.
[00:27:19.712 --> 00:27:20.793]  But, uh, um, I want you to know I've been, uh,
[00:27:41.673 --> 00:27:45.835]  Long-time listener, long-time activist, fighting the cause, helping you out.
[00:27:46.175 --> 00:27:51.698]  I've been playing all your videos on the local cable access channel here in Washington County.
[00:27:51.878 --> 00:27:52.679]  Beautiful!
[00:27:52.939 --> 00:28:04.685]  We've got, yeah, we've got all of Jason Bermas' films playing and now I just added the Secret of Oz and Money Masters and Don't Tread on Me.
[00:28:04.725 --> 00:28:05.906]  They're playing there as well.
[00:28:06.486 --> 00:28:10.289]  And by the way, that Don't Tread On Me, awesome film.
[00:28:10.870 --> 00:28:13.792]  Awesome.
[00:28:14.012 --> 00:28:19.617]  Well, it's awesome because it's filled with real solutions to take the states and counties and sheriffs back.
[00:28:21.559 --> 00:28:23.040]  Yeah, and that's what I tell people.
[00:28:23.100 --> 00:28:29.005]  I'm like, you know, this film, it isn't depressing, but it does address real issues, but it's all about solutions.
[00:28:29.665 --> 00:28:30.226]  And, you know,
[00:28:31.998 --> 00:28:42.191]  One of the biggest problems in America right now is we've got to get people to wake up to, obviously, you know, the whole banking fraud, private central bank, how all that works.
[00:28:42.732 --> 00:28:50.562]  But I think that, and speaking of which, in that movie, The Secret of Oz, they have Byron Dale.
[00:28:51.596 --> 00:28:53.797]  And I highly suggest that you interview him.
[00:28:53.977 --> 00:28:56.259]  I've gotten to know him over the years personally.
[00:28:56.599 --> 00:28:58.540]  I can give you his contact info if you'd like.
