[00:00:09.124 --> 00:00:14.668]  Hello everybody, Mike Adams, the Health Ranger here, and we are talking about Big Pharma's agenda.
[00:07:15.805 --> 00:07:20.309]  From promoting a pandemic, these companies can make billions of dollars.
[00:07:20.629 --> 00:07:21.951]  They didn't tell you that it wasn't tested.
[00:07:22.671 --> 00:07:30.519]  They didn't tell you that there have been no randomized, double-blind, placebo-controlled studies on these seasonal vaccines, and there never will be.
[00:07:31.119 --> 00:07:32.000]  Well, that's insane!
[00:07:32.180 --> 00:07:33.001]  How do you know it works?
[00:07:33.902 --> 00:07:34.682]  How do you know it's safe?
[00:07:34.722 --> 00:07:36.204]  How do you know it doesn't cause side effects?
[00:07:38.146 --> 00:07:38.727]  They don't know.
[00:07:38.747 --> 00:07:41.209]  They're ignoring the evidence.
[00:07:41.329 --> 00:07:45.313]  They're using you as human guinea pigs and they're hoping that you just don't notice.
[00:07:45.333 --> 00:07:48.176]  Let's talk about the global population agenda.
[00:07:48.957 --> 00:07:59.527]  Now we did an article about Bill Gates and in a recent TED speech Bill Gates talked about vaccines as a way to reduce the global population by 10 to 15 percent.
[00:08:01.104 --> 00:08:01.524]  That's right.
[00:08:01.584 --> 00:08:13.491]  He said if we did a good job on vaccines and on health care and reproductive services, we could reduce the global population by 10 to 15 percent and thereby reduce CO2 emissions.
[00:08:13.971 --> 00:08:15.052]  He's got a formula for it.
[00:08:15.592 --> 00:08:16.032]  It's right here.
[00:08:16.052 --> 00:08:25.098]  The formula is CO2 equals people times services times energy per service times CO2 emitted per energy unit.
[00:08:25.438 --> 00:08:27.299]  This is the formula for CO2.
[00:08:27.499 --> 00:08:28.860]  Bill Gates said himself that
[00:08:29.600 --> 00:08:35.522]  To get this formula down to near zero, you need to get one of the variables close to zero.
[00:08:35.542 --> 00:08:37.083]  It's basic algebra, right?
[00:08:37.803 --> 00:08:42.485]  And it seems like they're going to work on the population variable of this formula, the P variable.
[00:08:42.585 --> 00:08:45.126]  P meaning people like you and me.
[00:08:45.606 --> 00:08:56.210]  How would you really go about reducing the population through vaccines if vaccines are promoted as something that can actually protect your health and save lives?
[00:08:57.179 --> 00:08:59.602]  Well, there are really only about three ways that you could do this.
[00:09:00.302 --> 00:09:04.226]  Number one, the vaccines would have to kill you outright, which they don't.
[00:09:04.246 --> 00:09:06.189]  I mean, they don't kill you overnight.
[00:09:06.649 --> 00:09:08.991]  You don't get vaccinated today and drop dead tomorrow.
[00:09:09.552 --> 00:09:18.521]  The second way is you could have a slow kill effect where the vaccines cause degenerative health conditions that kill you over time.
[00:09:19.867 --> 00:09:29.237]  And that's probably one of the mechanisms they're using because they can extract so much money from you during that time that the side effects of the vaccine are starting to emerge.
[00:09:29.938 --> 00:09:36.765]  And as you get diagnosed and as you get told to take more pharmaceuticals and have more surgeries, they're taking money from you the whole time.
[00:09:36.865 --> 00:09:37.565]  There's a third way.
[00:09:38.246 --> 00:09:42.767]  Which is to alter the reproductive ability of the population.
[00:09:42.807 --> 00:09:49.968]  In other words, if they can use vaccines to take away your fertility, then they can reduce the population over time.
[00:09:50.188 --> 00:10:01.831]  If you're an expectant mother or you know someone who is an expectant mother who's watching this, let them know that they need to avoid vaccines or they may risk the life of their baby.
[00:10:03.156 --> 00:10:11.538]  And if they get vaccinated and lose their baby, they may have inadvertently killed their baby by agreeing to be injected with these dangerous vaccine chemicals.
[00:10:12.218 --> 00:10:18.819]  So it's a very dangerous way to go, but it's effective for those who are trying to control the world population.
[00:10:18.859 --> 00:10:27.241]  Remember, if you can reduce fertility by about 50%, then of course you can reduce the growth of the next generation by about half.
[00:10:27.921 --> 00:10:35.627]  So that's one long-term way to reduce the world population and fulfill this formula that he has for bringing down global emissions.
[00:10:35.767 --> 00:10:48.698]  If you inject the population today, and most people go along with it as they do, with a vaccine that weakens the immune system, it actually compromises the immune system and leaves you more vulnerable to future infections.
[00:10:49.338 --> 00:11:07.427]  Then they have a system by which a future widespread virus in the wild, either an engineered virus or something that just comes out of the wild because of some of the crazy factory farming techniques that are being used around the world, that virus could become a global killer.
[00:11:08.127 --> 00:11:10.509]  A global pandemic that strikes at who?
[00:11:11.289 --> 00:11:11.829]  You and me?
[00:11:11.849 --> 00:11:14.570]  No way, because you and I are taking care of our health.
[00:11:14.871 --> 00:11:15.591]  Who's it going to strike?
[00:11:15.791 --> 00:11:21.073]  It's going to strike those people who got vaccinated, because they're the ones with the weakest immune systems.
[00:11:21.193 --> 00:11:22.754]  An immune system needs practice.
[00:11:23.474 --> 00:11:32.898]  It has to be exposed to the natural world so that it can strengthen itself, just like strengthening your muscles or strengthening your brain by reading and engaging in thought exercises.
[00:11:33.198 --> 00:11:35.139]  Well, your immune system needs some exercise too.
[00:11:35.859 --> 00:11:42.083]  And it gets exercise by being exposed to viruses in the wild and then building up an immune response.
[00:11:42.343 --> 00:11:58.914]  It actually builds a database response so that it can track down invading microorganisms in your body for the rest of your life and it can identify that this is a virus from, you know, 1992 or 2010 or wherever it's from and it can attack that virus instantly so you have immunity.
[00:11:59.215 --> 00:12:01.696]  This is the way they say vaccines are supposed to work.
[00:12:02.237 --> 00:12:03.497]  They say that they will give you
[00:12:04.398 --> 00:12:05.159]  That's right.
[00:12:13.186 --> 00:12:17.588]  Except what they don't tell you is that the vaccine is a weakened virus.
[00:12:18.088 --> 00:12:26.812]  So your immune system doesn't really have to respond in a powerful, strong and fully functional type of way.
[00:12:27.092 --> 00:12:36.076]  It's a weakened response, so you have a weakened immune system, so you are more vulnerable to future infections because your immune system begins to atrophy.
[00:12:36.417 --> 00:12:37.137]  And then one day,
[00:12:37.677 --> 00:12:51.261]  When a real, a powerful virus comes along, either engineered or in the wild, and when you need that immune system to survive, to protect your life, to save your life from something that's attacking you in the wild, then it's not there.
[00:12:51.662 --> 00:13:04.166]  If you eat their foods, their GMO foods, if you eat their processed foods and you take their over-the-counter medications, if you take their vaccines and undergo their surgical procedures, most of which are entirely unnecessary,
[00:13:05.306 --> 00:13:14.251]  And when all is said and done, at the end of the day, you will remove yourself from the gene pool, you will reduce the world population, and they're more than happy to help you do that.
[00:13:15.372 --> 00:13:16.173]  I don't want you to do that.
[00:13:16.313 --> 00:13:18.314]  I want you to be alive, healthy, and happy.
[00:13:19.094 --> 00:13:28.580]  So don't believe what the authorities are telling you, don't believe what the food companies are telling you, and certainly don't believe what the vaccine companies and the drug industry is trying to get you to do.
[00:13:29.020 --> 00:13:29.761]  Trust in yourself.
[00:13:30.501 --> 00:13:36.749]  Trust in your body, your innate ability to heal yourself and be a skeptical thinker.
[00:13:37.269 --> 00:13:49.584]  Trust information sources that you know are speaking out on your behalf rather than talking in favor of the pharmaceutical industry and the food companies and governments that don't have your best interests at heart.
[00:13:50.505 --> 00:14:00.218]  Remember this, they say that pharmaceutical marketing is really an exercise in convincing you to make decisions that are against your own long-term interests.
[00:14:01.395 --> 00:14:07.318]  The same could be said about the food industry, convincing you to buy and consume food that will actually harm you.
[00:14:07.918 --> 00:14:13.600]  It's not in your best interest to do that, and especially if you're feeding a family, you don't want to do that to your kids.
[00:14:14.121 --> 00:14:20.884]  Some of what is sold out there today in the food industry is, in my opinion, a form of nutritional child abuse.
[00:14:21.984 --> 00:14:27.929]  And parents need to wake up and start feeding their kids healthy food if they want to have healthy kids in the future.
[00:14:28.229 --> 00:14:30.431]  So listen to this information.
[00:14:30.571 --> 00:14:38.818]  Learn, empower yourself, and be skeptical of what the governments and the pharmaceutical industries and the food industries are trying to tell you.
[00:14:39.418 --> 00:14:41.800]  And you will save your own life in the process.
[00:14:42.381 --> 00:14:43.081]  Thanks for watching.
[00:14:43.121 --> 00:14:44.742]  This is Mike Adams, the Health Ranger.
[00:14:44.822 --> 00:14:45.183]  Take care.
