[00:00:00.009 --> 00:00:01.612]  Confirmation war continues.
[00:02:28.923 --> 00:02:35.228]  Also, G20 law gives police sweeping powers to arrest people going to the G20 where they hire the regular anarchists.
[00:02:35.728 --> 00:02:41.432]  It even came out two weeks before the G20 met that the police have been caught hiring provocateurs again ahead of it.
[00:02:42.473 --> 00:02:48.538]  Of course, police have been caught before at meetings in Canada, globalist meetings, posing as anarchists.
[00:02:49.438 --> 00:02:50.559]  And the media does two things.
[00:02:50.739 --> 00:03:01.947]  They go and point cameras at police and government provocateurs to demonize all the protesters and say, oh, look at these anarchists who are engaged in violence, as a way to cause a chilling effect against all demonstrations.
[00:03:02.768 --> 00:03:03.971]  And it's working well.
[00:03:04.392 --> 00:03:11.788]  But they also point their cameras always at foundation-funded communists and say, oh, it's communists against capitalism protesting the banks.
[00:03:12.748 --> 00:03:18.131]  The big central banks promote communism for the general public's wealth, which then goes offshore to them.
[00:03:18.591 --> 00:03:21.052]  They promote collectivism at the lower level.
[00:03:21.733 --> 00:03:35.040]  And this is not capitalism having central banks stealing trillions of dollars from us, but this is all part of the semantical deception where the lies are just in the basic terms, and the rules of the political game we're given are lies.
[00:03:35.840 --> 00:04:04.549]  uh... so that is coming up uh... as well today also salon ask the question how many americans are targeted for assassination because first we heard it was just a few in foreign battlefields and now we hear americans anywhere pentagon wants to kill an american in austin texas or detroit michigan or albuquerque new mexico or tampa florida or uh... paris france kill kill kill and so they're just quietly setting a precedent so when they give their
[00:04:05.742 --> 00:04:08.846]  It's private contractors or government killers, the order.
[00:04:09.166 --> 00:04:10.307]  They've heard about it on the news.
[00:04:10.388 --> 00:04:12.070]  And men, you've heard about our new powers.
[00:04:12.470 --> 00:04:13.391]  You've seen it in the news.
[00:04:13.431 --> 00:04:14.573]  You're authorized to do this.
[00:04:15.694 --> 00:04:16.976]  And go forward and kill!
[00:04:18.382 --> 00:04:24.305]  Of course, six years ago Israel bragged in United Press International and AP that they've got hit teams in the U.S.
[00:04:24.345 --> 00:04:25.806]  killing whoever they want, when they want.
[00:04:26.867 --> 00:04:27.767]  So that's coming up.
[00:04:28.228 --> 00:04:35.492]  But I talked to some police officers about an hour ago, a little over an hour ago, before I got down here to the office.
[00:04:35.532 --> 00:04:39.114]  I saw some police officers and I felt the urge to go speak to them.
[00:04:39.134 --> 00:04:40.454]  I'll tell you about that when we come back.
[00:04:40.835 --> 00:04:42.756]  Then we'll get into the end of the Internet.
[00:04:43.596 --> 00:04:52.438]  The end of our national sovereignty, what's happening with the economy, and how we can fight back against these tyrants if we ever choose to want to remove these criminals, these illegitimate criminals.
[00:04:54.790 --> 00:04:58.431]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:04:58.751 --> 00:05:06.872]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:05:07.612 --> 00:05:11.653]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:05:12.233 --> 00:05:23.055]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:05:23.695 --> 00:05:32.697]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[00:05:33.197 --> 00:05:38.238]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:05:38.639 --> 00:05:45.800]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:05:46.120 --> 00:05:48.881]  That's www.SilverLungs.com.
[00:05:58.649 --> 00:06:02.830]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:06:03.470 --> 00:06:04.291]  You want answers?
[00:06:05.071 --> 00:06:06.051]  Well, so does he.
[00:06:06.611 --> 00:06:10.172]  He's Alex Jones on the GCN Radio Network.
[00:06:10.812 --> 00:06:14.853]  And now, live from Austin, Texas, Alex Jones.
[00:06:19.193 --> 00:06:20.134]  Welcome, my friends.
[00:06:20.154 --> 00:06:23.575]  It is Sunday, the 27th day of June 2010.
[00:06:23.655 --> 00:06:38.001]  We're going to be live here for the next two hours, as we are every Sunday, with the abbreviated Sunday broadcast, Transmission Against Tyranny, in a desperate attempt to wake up our fellow humans around the planet.
[00:06:38.621 --> 00:06:56.108]  to the illegitimate criminal corporate takeover known as the New World Order that is happening all over the planet as our governments fall, as legitimate corporations and private companies are taken over by these megacorporations that are now bigger than any one government.
[00:06:57.168 --> 00:06:59.110]  So that is all coming up today.
[00:06:59.130 --> 00:07:01.592]  I want to get into the economy.
[00:07:01.612 --> 00:07:06.455]  The latest on the hurricane forming in the Gulf and what will that do to all the oil in the Gulf.
[00:07:06.776 --> 00:07:09.918]  Will that blow that oil into the shorelines?
[00:07:10.498 --> 00:07:14.582]  I'll just tell you right now the good news is Hurricane Alex or this tropical storm they say that
[00:07:15.262 --> 00:07:16.363]  Will become a hurricane.
[00:07:16.383 --> 00:07:23.349]  The meteorologists are now saying is not aimed at the northern and eastern areas of the Gulf.
[00:07:23.369 --> 00:07:26.092]  So they're predicting it's not going to blow all that oil.
[00:07:26.152 --> 00:07:32.177]  The majority of the oil is out in the Gulf into the shorelines, thus causing an evacuation now.
[00:07:33.178 --> 00:07:42.066]  But we've been talking to military personnel and others for about a month about the fact that they are being trained for massed force evacuation in the Gulf.
[00:07:43.778 --> 00:07:49.242]  And we've seen the EPA a few weeks ago say there may be evacuations in areas of the Gulf.
[00:07:50.423 --> 00:08:03.432]  And when the big storms come in in the next two months and form, and when the hurricanes come into the Gulf, they will blow these 50 to 100 million, no one knows, barrels of oil, gallons of oil.
[00:08:04.112 --> 00:08:09.316]  It's over 50 million gallons and some reports are
[00:08:11.289 --> 00:08:15.352]  over a hundred million because BP's been so deceptive and I don't think BP even really knows.
[00:08:15.372 --> 00:08:39.289]  The point is there's a lot of oil out there and a hurricane no doubt because their tracks are from the south towards the north will blow that oil into land and it's off-gassing really toxic chemicals so people are really bracing for that and this is going to be even more devastating to the economy on the gulf and the rest of the nation as well so we ain't seen nothing yet
[00:08:40.109 --> 00:08:46.114]  And then I saw a headline by Kurt Nemo at Infowars.com on Friday.
[00:08:46.134 --> 00:08:56.122]  Oil industry insider and CFR member predicts Gulf evacuation and the Washington Post promoted this back on Thursday and Friday.
[00:08:56.462 --> 00:08:59.665]  So we'll be discussing that a little bit later.
[00:09:00.646 --> 00:09:09.544]  in the radio show slash TV show because we are simulcasting this radio broadcast also at PrisonPlanet.TV today.
[00:09:12.813 --> 00:09:20.994]  But before I get into all of the news and your phone calls, I want to tell you a little story of what happened about an hour and 15 minutes ago.
[00:09:21.575 --> 00:09:32.136]  I was driving into the office to do this radio show, and I pulled into a barbecue place called Pokey Joe's to eat a late lunch so I wouldn't have low blood sugar on the air.
[00:09:33.197 --> 00:09:40.258]  And I went in, got my food, sat down in the corner of their main dining room that looks into their back dining room.
[00:09:43.444 --> 00:09:47.747]  Then I noticed four police officers walking in to go in and have something to eat.
[00:09:49.529 --> 00:10:02.639]  And I watched the body language of the families that were eating in the establishment, and I noticed their body language going from one of being happy and laughing and talking to everyone being quiet for about ten minutes.
[00:10:03.379 --> 00:10:10.145]  I'd been there about twenty minutes eating, the police got there, and then I was there about another ten minutes and I watched everyone's body language, because I always watch people,
[00:10:10.985 --> 00:10:14.370]  I wasn't watching the televisions they had hanging up in the dining room.
[00:10:14.410 --> 00:10:20.659]  I was watching people while I was eating and thinking about societal engineering and how the globalists are operating.
[00:10:20.679 --> 00:10:26.828]  And I was writing notes for a voiceover that I'm going to cut tonight on a new film I'm working on that deals with eugenics.
[00:10:27.429 --> 00:10:52.535]  And deals with genetically modified crops, and weather modification, and toxins in the water, and how we're sending crews off in the next few weeks to interview top EPA scientists about how deadly sodium fluoride is in the water, and how the government knows this, and purposefully puts it in the water to cause cumulative bone cancer, organ failure, and reductions in fertility.
[00:10:52.815 --> 00:10:54.896]  And that's all admitted mainline science.
[00:10:56.024 --> 00:11:12.577]  And so I'm sitting there looking at these poor people wanting to warn them they're drinking the tap water and drinking the iced tea that's made out of tap water and thinking about should I go up and just start warning everyone at their tables that this poison is being put in their water under international rules.
[00:11:13.692 --> 00:11:19.773]  Sure, they'll laugh at me and think I'm a kook, but some of them will still go check into the scientific facts.
[00:11:19.873 --> 00:11:30.815]  Kind of like, for 15 years I've been warning you about how your blood's taken at birth in the entire Western world and put in secret Pentagon DNA bioweapons databases.
[00:11:31.316 --> 00:11:38.517]  And that's been declassified the last two years and they admit it is in the Pentagon and Cold Springs Harbor Eugenics, IBM Laboratory, Cold Springs, New York.
[00:11:40.291 --> 00:11:42.252]  I mean, sure, truth is stranger than fiction.
[00:11:42.992 --> 00:11:45.573]  But I thought, you know what, I'm just going to save it for the radio.
[00:11:45.994 --> 00:11:53.357]  I'm not going to do what I do more and more in grocery store lines, at shopping malls, at gas station checkout counters.
[00:11:53.457 --> 00:11:58.559]  I will just start preaching and warning people and holding up the bubble gum and saying, look, you can't find one type of gum.
[00:11:59.179 --> 00:12:02.160]  in here that doesn't have aspartame, even though it's sugar gum.
[00:12:02.400 --> 00:12:05.721]  This is a chemical toxin on record.
[00:12:06.641 --> 00:12:10.282]  It was developed by the Pentagon as a sweet tasting chemical weapon.
[00:12:11.302 --> 00:12:12.482]  It's highly addictive.
[00:12:12.823 --> 00:12:13.863]  Many poisons are.
[00:12:14.523 --> 00:12:16.904]  You need to understand it's a neurotoxin.
[00:12:16.984 --> 00:12:22.085]  I've interviewed scores of top brain surgeons, neurologists, toxicologists.
[00:12:23.396 --> 00:12:24.737]  But today I didn't do it.
[00:12:24.797 --> 00:12:25.618]  I just shut up.
[00:12:26.038 --> 00:12:29.140]  Because it's a normal human instinct to warn people.
[00:12:29.181 --> 00:12:44.893]  If you saw somebody 3,000 years ago, you know, let's say you lived somewhere in Central Asia, and you saw someone in your village eating a berry that was poison, you would run over and say, don't eat that berry, that's poisonous, if you were older and had that knowledge and understood it.
[00:12:45.888 --> 00:13:11.643]  Or if your people had basically been enslaved by a ruling tribe, and you knew that that ruling tribe was putting a poison in your water to make your people weak, you would hunch down at the well and say, you know, the Bunga tribe is poisoning the water of the Chamumbi tribe, and you should be aware of that, and we should sneak to the river at night and get our own water, and get our people strong enough mentally and physically to be able to try to escape bondage.
[00:13:12.463 --> 00:13:17.145]  But see, today, under this mind control auspice, I'm not supposed to want to warn people.
[00:13:18.105 --> 00:13:29.268]  So the police come in, and I watch everyone in Land of the Free, Home of the Brave, for whatever reason, everyone gets uncomfortable, everyone starts looking down, basically everybody stops talking.
[00:13:29.308 --> 00:13:30.649]  These are good American slaves.
[00:13:31.721 --> 00:13:34.703]  By the media, by the culture, they've been taught to keep their mouths shut.
[00:13:35.364 --> 00:13:38.466]  They've all been made to feel guilty by the media that they're all criminals somehow.
[00:13:38.826 --> 00:13:40.848]  They better all keep their mouths shut in the Pokey Joes.
[00:13:41.288 --> 00:13:47.693]  And the cops realize that the public is scared of them, so they go in the back little dining room by themselves in a corner.
[00:13:47.753 --> 00:13:51.015]  They want to be left alone, but everybody's looking at them through the dining room doors.
[00:13:51.576 --> 00:13:56.159]  There's two doors, open doors there to the back, and I see the families all kind of looking scared.
[00:13:56.199 --> 00:14:00.863]  Everybody's whispering now because the authority of the states there, the states put out the messages
[00:14:01.403 --> 00:14:06.464]  I just saw a report of, the police report admits, a woman that they called the ambulance to come get.
[00:14:06.504 --> 00:14:07.725]  She was 86 years old.
[00:14:08.225 --> 00:14:17.447]  Ten cops came in her house, took her oxygen mask off, so she argued with them, and so they said they felt threatened by her posture in the bed, so they tasered her.
[00:14:18.248 --> 00:14:19.908]  And everybody sees those images.
[00:14:20.508 --> 00:14:23.049]  Whether they're fair or not, that's how people see cops.
[00:14:23.569 --> 00:14:25.870]  So everybody was being quiet in the Pokey Joe.
[00:14:25.910 --> 00:14:30.271]  So it's kind of like an old western movie, where the bad guys come in, everybody gets quiet in the saloon.
[00:14:31.408 --> 00:14:37.879]  Okay, so I'm sitting there basically in the Modern Saloon and I've got my notebooks out and I've got all these government documents in front of me.
[00:14:38.580 --> 00:14:42.426]  Some of the latest put out even by the EPA admitting that sodium fluoride is deadly poison.
[00:14:43.871 --> 00:14:46.734]  And I'm on the verge of already standing up and giving a speech and warning people.
[00:14:47.014 --> 00:14:50.839]  Breaking my conditioning to not be ashamed of being a true leader.
[00:14:52.120 --> 00:14:58.427]  Getting out of my comfort zone to stand up and warn people as a natural, healthy human would do.
[00:14:58.927 --> 00:15:00.409]  As a natural guardian.
[00:15:00.449 --> 00:15:01.290]  I mean, as a male.
[00:15:01.730 --> 00:15:04.452]  As a fighting age male, I'm not just meant to be a tough guy.
[00:15:04.772 --> 00:15:09.035]  I'm meant to be informed and knowledgeable and warning my fellow humans about things.
[00:15:09.075 --> 00:15:11.196]  That's the position of a healthy male.
[00:15:11.256 --> 00:15:14.198]  That's what we're supposed to do in that guardian position.
[00:15:14.618 --> 00:15:15.218]  Genetically.
[00:15:15.518 --> 00:15:16.239]  Historically.
[00:15:17.540 --> 00:15:20.061]  That's through anthropology and sociology.
[00:15:20.341 --> 00:15:21.182]  That's who we are.
[00:15:21.582 --> 00:15:23.984]  So I'm there thinking about doing this and the cops come in.
[00:15:24.004 --> 00:15:26.445]  I go into total analyzing mode.
[00:15:26.945 --> 00:15:27.906]  I'm watching everything.
[00:15:27.946 --> 00:15:29.407]  I see everyone suddenly not talking.
[00:15:29.747 --> 00:15:30.568]  They're intimidated.
[00:15:31.408 --> 00:15:32.970]  And I look at these police officers.
[00:15:33.050 --> 00:15:34.111]  They look intimidated.
[00:15:34.191 --> 00:15:34.992]  They look upset.
[00:15:35.052 --> 00:15:36.654]  They're all being quiet while they're eating.
[00:15:36.934 --> 00:15:38.016]  They look really uptight.
[00:15:39.117 --> 00:15:40.539]  And so I decide to talk to them.
[00:15:40.579 --> 00:15:42.761]  I decide to go over and talk to the police officers.
[00:15:42.801 --> 00:15:43.282]  Four of them.
[00:15:43.662 --> 00:15:44.924]  Three males and a female.
[00:15:46.005 --> 00:15:47.447]  And I went over and talked to them.
[00:15:47.467 --> 00:15:49.769]  And I'll tell you what happened when we get back.
[00:15:49.849 --> 00:15:51.031]  And I went over and I told them.
[00:15:53.931 --> 00:15:57.937]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:15:58.418 --> 00:16:05.308]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[00:16:05.889 --> 00:16:09.334]  By tracking 300 separately defined domestic and international trends,
[00:16:09.935 --> 00:16:14.239]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[00:16:14.459 --> 00:16:21.665]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:16:22.326 --> 00:16:29.532]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:16:30.092 --> 00:16:32.655]  Extra information to keep you well informed throughout the year.
[00:16:32.875 --> 00:16:39.901]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:16:40.402 --> 00:16:44.386]  When you subscribe to the Trends Journal, you'll also receive trends alerts.
[00:16:44.686 --> 00:16:46.528]  Visit TrendsResearch.com today.
[00:16:46.848 --> 00:16:48.830]  That's TrendsResearch.com.
[00:16:49.150 --> 00:16:50.652]  Subscribe to the Trends Journal.
[00:16:51.012 --> 00:16:52.734]  This information is too important to wait.
[00:16:53.646 --> 00:16:57.869]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:16:58.189 --> 00:16:58.469]  Number 1.
[00:16:59.110 --> 00:17:02.252]  New climate legislation could easily double or triple your electric bill.
[00:17:02.532 --> 00:17:03.092]  Number 2.
[00:17:03.393 --> 00:17:07.936]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:17:08.276 --> 00:17:08.736]  It's true.
[00:17:09.036 --> 00:17:13.579]  Total government control of electricity in the name of smart grid technology is coming.
[00:17:13.900 --> 00:17:14.440]  Number 3.
[00:17:14.720 --> 00:17:18.002]  In some areas of the country, the power grid is dangerously overloaded.
[00:17:18.302 --> 00:17:22.005]  And now, new socialist legislation is only compounding the problem.
[00:17:22.205 --> 00:17:22.766]  Number 4.
[00:17:23.006 --> 00:17:25.368]  Dangerous weather is always a threat to local grids.
[00:17:25.769 --> 00:17:29.152]  Every year, thousands of families lose their power from weather-related outages.
[00:17:29.453 --> 00:17:29.673]  Number 5.
[00:17:30.233 --> 00:17:34.158]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:17:34.398 --> 00:17:39.143]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:17:39.423 --> 00:17:43.470]  You can get more information at www.mysolarbackup.com.
[00:17:43.610 --> 00:17:45.172]  That's mysolarbackup.com.
[00:17:45.393 --> 00:17:47.476]  Remember, the government doesn't own the sun.
[00:17:47.656 --> 00:17:50.000]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:17:53.499 --> 00:17:57.462]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:17:57.683 --> 00:18:03.728]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:18:04.088 --> 00:18:11.194]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:18:11.475 --> 00:18:16.059]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:18:16.359 --> 00:18:18.501]  Get a free, detailed catalog by calling 800-340-7091.
[00:18:21.303 --> 00:18:24.829]  Or see them online at FiveStarSoap.com or InfoWars.com.
[00:18:25.009 --> 00:18:28.736]  Let's talk to the owner of Five Star Soap, Marty Schachter, and see what he has to say.
[00:18:29.269 --> 00:18:35.430]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:18:36.030 --> 00:18:39.451]  I'm happy to say our business is going down the drain.
[00:18:39.911 --> 00:18:46.213]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:18:46.293 --> 00:18:47.493]  Thank you.
[00:18:57.409 --> 00:18:58.290]  Tyranny is here.
[00:18:58.670 --> 00:19:02.192]  The grim future foretold in 1984 has become reality.
[00:19:02.212 --> 00:19:04.814]  It really says that the state is God.
[00:19:04.834 --> 00:19:10.277]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:19:10.698 --> 00:19:16.942]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:19:17.362 --> 00:19:22.903]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:19:23.343 --> 00:19:27.004]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:19:27.524 --> 00:19:31.525]  Prepare to enter the secretive world of emergency dictatorship.
[00:19:31.805 --> 00:19:37.326]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[00:19:37.746 --> 00:19:40.706]  It's only the beginning of the New World Order's hellish plan.
[00:19:41.306 --> 00:19:42.727]  The police state isn't coming.
[00:19:43.267 --> 00:19:43.707]  It's here.
[00:19:44.387 --> 00:19:50.735]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:20:10.805 --> 00:20:14.747]  The websites are Infowars.com and PrisonPlanet.com.
[00:20:14.767 --> 00:20:22.752]  I got up this morning at about 7 a.m., went in and fired up the laptop at the kitchen table while I was drinking hot coffee.
[00:20:24.813 --> 00:20:26.614]  And there was the drugs report.
[00:20:27.334 --> 00:20:29.575]  Never had the giant headline at the top.
[00:20:31.336 --> 00:20:33.918]  Senate Committee Passes Internet Kill Switch.
[00:20:35.419 --> 00:20:36.820]  I think?
[00:20:50.925 --> 00:20:55.349]  And it'll be a tax on alternative media to be paid to the mainstream media.
[00:20:55.449 --> 00:20:57.290]  You can't make up something that evil.
[00:20:57.330 --> 00:21:01.994]  Not only does it violate the First Amendment, but it's discriminatory and makes you fund establishment propaganda.
[00:21:02.534 --> 00:21:09.940]  And it allows the federal government to selectively or in its entirety shut the internet off completely for four months.
[00:21:10.440 --> 00:21:13.063]  So we'll be covering that coming up.
[00:21:13.823 --> 00:21:19.045]  But the good news is it is finally being covered and is being picked up by newspapers everywhere.
[00:21:19.325 --> 00:21:22.846]  And I commend the Drugs Report for giving us the top link this morning.
[00:21:22.886 --> 00:21:27.387]  It's now on the right-hand side of the Drugs Report, one of the top stories in the right-hand column.
[00:21:28.207 --> 00:21:29.088]  You can read our headlines.
[00:21:29.648 --> 00:21:32.188]  Obama Internet Kill Switch Plan Approved by U.S.
[00:21:32.248 --> 00:21:32.549]  Senate.
[00:21:32.909 --> 00:21:33.789]  That's tech world.
[00:21:34.509 --> 00:21:38.132]  Here's the PrisonPlanet.com headline, Paul Joseph Watson article from Friday.
[00:21:38.753 --> 00:21:42.135]  Obama can shut down internet for four months under new emergency powers.
[00:21:42.515 --> 00:21:45.638]  Killswitch bill approved, moves to full Senate floor.
[00:21:46.599 --> 00:21:48.180]  So we're going to be going over that.
[00:21:49.561 --> 00:21:54.705]  You're not in Kansas anymore, neither am I. This is bonafide, real tyranny.
[00:21:55.666 --> 00:21:58.007]  And a lot of people say, well I don't care if we live under tyranny.
[00:21:59.108 --> 00:22:01.850]  I go along, I got my job, I go along with what the government says.
[00:22:03.624 --> 00:22:10.206]  I submit to checkpoints and corruption and naked body scanners at the airports and the taxes always going up.
[00:22:10.266 --> 00:22:11.006]  I'm going to bend over.
[00:22:11.867 --> 00:22:14.647]  Well, they know you are, and that's why they're going to hurt you real bad.
[00:22:15.448 --> 00:22:21.450]  As Thomas Jefferson said, and as history shows, the level of tyranny you will live under is the exact level you'll put up with.
[00:22:21.770 --> 00:22:22.730]  They will not stop.
[00:22:23.490 --> 00:22:28.672]  The type of individuals in power worldwide throughout history are the types that always want more power.
[00:22:28.952 --> 00:22:31.953]  If you lay down to them completely like the Russians did to Stalin,
[00:22:33.393 --> 00:22:39.174]  They'll just kill 20-30% of you for fun, because they've got a bunch of murdering control freaks that work for them.
[00:22:39.234 --> 00:22:50.356]  They're enforcers who want to dominate you, who want to rape you, who want to steal from you, who want to arrest you so they can extract fines out of you or take your farm or ranch.
[00:22:50.416 --> 00:22:53.316]  Listen, people say that cops can do no wrong in America.
[00:22:53.497 --> 00:22:54.537]  The media told us so.
[00:22:55.277 --> 00:23:01.758]  But did the Russian cops under Stalin and Lenin before him, were they bad?
[00:23:02.594 --> 00:23:05.055]  Were Hitler's police, the Gestapo, were they bad?
[00:23:05.735 --> 00:23:08.577]  Are Pol Pot's troops, were they bad?
[00:23:09.017 --> 00:23:10.858]  Was Pol Pot's police, were they oppressive?
[00:23:11.438 --> 00:23:12.498]  What about Fidel Castro?
[00:23:12.518 --> 00:23:13.659]  What about Mao Zedong?
[00:23:13.919 --> 00:23:15.160]  What about Julius Caesar?
[00:23:15.660 --> 00:23:16.740]  What about Attila the Hun?
[00:23:16.820 --> 00:23:18.101]  Oh, he had enforcers.
[00:23:19.349 --> 00:23:22.913]  The truth is, nine times out of ten, I mean, have you ever been to Latin America?
[00:23:22.933 --> 00:23:25.775]  Have you ever been to a third world country where most of the people are living homeless?
[00:23:26.476 --> 00:23:29.439]  And there's cops in black uniforms walking around on power trips.
[00:23:29.799 --> 00:23:34.364]  People that enjoy abusing people, staring down the public, staring you down if you look them in the eyes.
[00:23:35.064 --> 00:23:37.687]  Maybe beating you up and taking you to jail if you look at them wrong.
[00:23:38.167 --> 00:23:43.332]  Maybe they want your wife, maybe they're going to take you to jail and shake you down and rape your wife in the cell next to you.
[00:23:44.013 --> 00:23:50.977]  That happens all the time to dumb, chump Americans that go to Latin America, that go to Guatemala, that go to the wrong area of Mexico.
[00:23:51.578 --> 00:23:51.878]  Okay?
[00:23:53.098 --> 00:23:57.481]  So I'm here trying to keep our police from being turned into that historically.
[00:23:57.921 --> 00:23:59.862]  Why did our Founding Fathers fight the Redcoats?
[00:24:00.103 --> 00:24:01.723]  They became oppressive police.
[00:24:02.264 --> 00:24:03.845]  Have you read the Declaration of Independence?
[00:24:04.225 --> 00:24:10.509]  Read what the government was doing then and ask yourself, ask yourself, is that what's starting to happen now?
[00:24:10.529 --> 00:24:12.110]  And the answer is yes in spades.
[00:24:13.615 --> 00:24:16.637]  Let me just finish the story quickly, then we're gonna go to break and come back and get into all the news.
[00:24:17.017 --> 00:24:23.062]  And boy, I mean, just every show, I keep saying, it gets more important, more pertinent, more insane, more crazy.
[00:24:23.302 --> 00:24:24.663]  Things are moving faster and faster.
[00:24:25.443 --> 00:24:27.945]  So I met the Pokey Joes about an hour and a half ago.
[00:24:28.045 --> 00:24:30.067]  I'm eating, uh, you know, real fast.
[00:24:30.667 --> 00:24:32.148]  Everybody's talking, having a good time.
[00:24:32.368 --> 00:24:33.209]  Families are in there.
[00:24:33.509 --> 00:24:34.710]  Cops come in, four of them.
[00:24:34.790 --> 00:24:35.670]  Everybody gets quiet.
[00:24:36.731 --> 00:24:37.652]  Everybody stops talking.
[00:24:38.971 --> 00:24:40.593]  And I look at the cops and I analyze them.
[00:24:40.613 --> 00:24:43.436]  They look like hard-working, smart, good people.
