[00:00:07.535 --> 00:00:09.796]  ...media, government cover-ups.
[00:04:19.173 --> 00:04:28.997]  Do not dilly-dally because this information is so vital and the citizenry is not buying the official story out of the gates.
[00:04:29.537 --> 00:04:34.419]  The people of the West, not just the United States, have been questioning the official story.
[00:04:35.169 --> 00:04:44.834]  And we've even got a very interesting letter to the editor in a major newspaper, one of the biggest and oldest newspapers in Maine, telling it like it is, better than I can even say it.
[00:04:45.354 --> 00:04:47.595]  So we'll be reading that as well coming up.
[00:04:48.195 --> 00:04:55.419]  New developments on the Supreme Court nominees, new developments on the Patriot Act, new developments on CAFTA, vitamins, you name it.
[00:04:55.519 --> 00:04:59.661]  It's all going to be jam-packed with vital news and information, so stay with us.
[00:05:02.245 --> 00:05:02.646]  We're good to go.
[00:05:02.666 --> 00:05:02.886]  I think?
[00:05:22.008 --> 00:05:22.208]  I think?
[00:05:38.268 --> 00:05:41.491]  Or watch the film right now online at PrisonPlanet.tv
[00:06:02.395 --> 00:06:06.896]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:06:07.256 --> 00:06:11.338]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:06:11.638 --> 00:06:12.178]  We listened.
[00:06:12.498 --> 00:06:17.479]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:06:17.759 --> 00:06:18.240]  We listened.
[00:06:18.620 --> 00:06:21.661]  You asked us to develop a filter that was made in the USA.
[00:06:22.081 --> 00:06:22.621]  We listened.
[00:06:23.081 --> 00:06:26.242]  You asked us to include an emergency light for camping and during
[00:06:26.482 --> 00:06:27.042]  We're good to go.
[00:06:52.365 --> 00:07:07.491]  Hi, I'm Tom Valentine, and I want to tell you about the Sacro Wedgie.
[00:07:08.031 --> 00:07:10.432]  I don't endorse many products, but I'm endorsing this one.
[00:07:10.752 --> 00:07:17.815]  If you've got back pain, sciatica, hip pain, leg pain, knee pain, then you need to listen very closely to this message.
[00:07:18.277 --> 00:07:26.365]  For more than 10 years now, the Sacro Wedgie has helped thousands find relief from the symptoms and pain of back problems.
[00:07:26.725 --> 00:07:28.627]  Now all you have to do is go to their website.
[00:07:28.907 --> 00:07:31.190]  You can read the testimonials and read all about it.
[00:07:31.730 --> 00:07:35.554]  On the internet, it is sacrowedgie.com.
[00:07:36.034 --> 00:07:40.919]  S-A-C-R-O-W-E-D-G-Y dot com.
[00:07:41.119 --> 00:07:42.581]  Sacrowedgie.com.
[00:07:43.121 --> 00:07:44.523]  Or you can use the toll-free number.
[00:07:44.543 --> 00:07:45.263]  1-800-737-9295.
[00:07:45.403 --> 00:07:52.470]  That's 737-9295.
[00:07:54.532 --> 00:07:54.852]  Call them.
[00:07:54.872 --> 00:07:58.075]  It's only $29.95, and it really works.
[00:08:00.898 --> 00:08:05.962]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:06.363 --> 00:08:08.585]  Because there's a war on for your mind.
[00:08:09.600 --> 00:08:15.382]  All right, ladies and gentlemen, it is Thursday, 14th day of July 2005.
[00:08:16.542 --> 00:08:30.546]  John Rappaport giving us another update on the London bombings and how it ties into other government-sponsored events as well as some updates on the avian flu, which is mutating very dangerously.
[00:08:30.907 --> 00:08:33.047]  The government is saying it's going to get us.
[00:08:33.687 --> 00:08:34.548]  I'm not saying that.
[00:08:34.608 --> 00:08:35.328]  They're saying it.
[00:08:36.028 --> 00:08:44.673]  And we'll also discuss how all of this ties into the move to ban and restrict vitamins across the Western world.
[00:08:44.733 --> 00:08:46.555]  So that's in the third hour.
[00:08:46.575 --> 00:08:50.277]  We're going to have wide-open phones today in the first and second hours.
[00:08:50.317 --> 00:08:52.318]  What was the third hour?
[00:08:52.338 --> 00:08:52.398]  1-800-259-9231.
[00:08:53.038 --> 00:09:00.403]  And Joseph in England and John in Texas and Rodney in Texas and everybody, your calls are coming up here in a few minutes.
[00:09:01.274 --> 00:09:04.716]  Let me just run through some of the headlines, and then we'll start detailing them.
[00:09:05.157 --> 00:09:09.620]  Two more WTC workers claim bombs in North Tower basement.
[00:09:10.380 --> 00:09:12.141]  This is on prisonplanet.com.
[00:09:12.842 --> 00:09:16.124]  How many workers and firemen and janitors is that now?
[00:09:17.025 --> 00:09:21.528]  Fire and bomb-resistant IDs in London by Kurt Nemo.
[00:09:22.228 --> 00:09:24.610]  The magic ID cards and passports.
[00:09:25.130 --> 00:09:28.472]  House Intelligence Committee approves Patriot Act changes.
[00:09:29.113 --> 00:09:29.513]  Uh-oh.
[00:09:30.650 --> 00:09:33.111]  And the same type of police state stuff is moving forward in England.
[00:09:33.131 --> 00:09:35.012]  Boy, they had all the bills lined up and ready, didn't they?
[00:09:35.552 --> 00:09:36.092]  Frame up!
[00:09:36.232 --> 00:09:39.713]  Do these people fit the bill of suicide bombers?
[00:09:40.293 --> 00:09:43.854]  And then we take the BBC's own descriptions of them from the police.
[00:09:44.314 --> 00:09:46.035]  Here's another headline on the Sky Television.
[00:09:46.295 --> 00:09:47.415]  The teacher bomber.
[00:09:48.076 --> 00:09:48.536]  Another one.
[00:09:48.816 --> 00:09:50.056]  The boy bomber.
[00:09:50.516 --> 00:09:53.317]  Suicide bomber had all to live for.
[00:09:54.998 --> 00:09:58.079]  And a very interesting letter to the editor...
[00:09:59.283 --> 00:10:08.149]  In the Kennebec Journal, the oldest and biggest paper in Maine, only Bush team benefits from bombings in London.
[00:10:09.550 --> 00:10:13.893]  And I have now had some mathematicians and others look over these numbers.
[00:10:13.933 --> 00:10:17.415]  We were sent by a statistician, and they are accurate.
[00:10:17.455 --> 00:10:21.598]  In fact, the numbers could have been crunched to make these numbers even larger.
[00:10:22.419 --> 00:10:25.721]  But the chances of three simultaneous drills...
[00:10:26.850 --> 00:10:33.854]  At the exact same spot and exact same time, well, they did it within a probability of an hour, so we didn't even get it down to just a five-minute period.
[00:10:33.874 --> 00:10:37.335]  We did it even with wider parameters of an hour.
[00:10:39.176 --> 00:10:54.504]  The chances of it happening... Well, the chances of someone dropping a grain of sand and then you randomly going out to search for it and finding that exact grain of sand at a beach, out of all the grains of sand in the world...
[00:10:55.344 --> 00:11:03.086]  Government mathematicians, we have a link to that, estimated at 7-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0 or a third, roughly, of the numbers involved in the chance of this happening.
[00:11:13.008 --> 00:11:15.750]  Three bombings simultaneously at the same spot.
[00:11:16.671 --> 00:11:19.854]  That is 3715-592-613-265-750-000-000-000-000-000-000-000 on a 10-year mean calculated to that hour.
[00:11:19.954 --> 00:11:23.777]  And we have all the mathematical calculations here done scientifically for you.
[00:11:23.797 --> 00:11:24.417]  Give you an idea.
[00:11:24.697 --> 00:11:25.618]  The chance of you
[00:11:43.061 --> 00:11:50.387]  Dropping a grain of sand and then coming back and being able to find that grain of sand is impossible.
[00:11:51.327 --> 00:12:03.097]  But it is many times basically more probable, but feasibly impossible, for you to find that same grain of sand out of all the grains of sand in the world, not just off the same beach.
[00:12:03.117 --> 00:12:05.058]  Do you understand this, folks?
[00:12:05.559 --> 00:12:11.243]  Than it is for three bombings at the exact same time, exact same place, and having a drill of that happening.
[00:12:12.282 --> 00:12:19.305]  So the chances of finding the same grain of sand out of all grains of sand in the world is, let me see, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, that's 20 zeros.
[00:12:19.325 --> 00:12:19.685]  What is 20 zeros?
[00:12:19.705 --> 00:12:20.625]  That's a sextillion.
[00:12:20.645 --> 00:12:23.546]  Okay, now let's move on down to something with 45 numbers, and this is actually...
[00:12:39.267 --> 00:12:42.009]  Something with 45 numbers, and this has more than 45 numbers.
[00:12:43.029 --> 00:12:44.510]  I need to count these up.
[00:12:44.630 --> 00:12:47.791]  It is a quattro decillion.
[00:12:49.012 --> 00:12:54.735]  So, the chances of this is in the high quattro brazilians.
[00:13:01.172 --> 00:13:23.485]  And before the quatrosodrillions is a tressillion, before that a duodecalillion, before that a unisodrillion, before that a decalillion, a nonlillion, an octalillion, a septillion, a sextillion, a quintalillion, a quadrillion, a trillion, and a billion.
[00:13:24.985 --> 00:13:29.528]  In orders of power above a billion, there's trillion, quadrillion, quadrillion,
[00:13:29.768 --> 00:13:34.992]  Not going to spend any more time on this.
[00:13:35.092 --> 00:13:37.934]  I mean, this is ridiculous.
[00:13:38.735 --> 00:13:42.438]  And you try to calculate the chances.
[00:13:42.798 --> 00:13:45.520]  We ought to do this now.
[00:13:45.540 --> 00:13:46.301]  The chances of three planes...
[00:13:57.173 --> 00:14:04.398]  Four planes, excuse me, but three of the planes hitting their exact targets, having an exact drill of the exact same thing at the exact same time on 9-11.
[00:14:06.619 --> 00:14:08.401]  Wonder what the chances of that are.
[00:14:09.781 --> 00:14:21.990]  So, we're talking about in levels of power of a sextillion versus a quattro-bazillion orders of power, let me see, 1, 2, 3, 4, 5, 6, 7, 8.
[00:14:22.690 --> 00:14:23.010]  Eight
[00:14:26.320 --> 00:14:28.442]  Whole levels above that.
[00:14:32.285 --> 00:14:33.846]  This is absolutely ridiculous.
[00:14:33.866 --> 00:14:36.668]  I mean, this is amazing.
[00:14:36.688 --> 00:14:38.630]  Of course, I misspoke.
[00:14:39.030 --> 00:14:42.713]  This is something like a gulag, is what they call it.
[00:14:42.753 --> 00:14:45.735]  That would be ones and zeros stretched all the way around the planet.
[00:14:45.755 --> 00:14:47.256]  This is much smaller than that.
[00:14:47.296 --> 00:14:54.122]  But when you're talking about quattro decillions versus trillions, I mean...
[00:14:55.532 --> 00:14:56.172]  It's ridiculous.
[00:14:57.312 --> 00:15:06.255]  They did calculations of, what, 67 dead microbiologists dying by foul play, and it was in the trillions.
[00:15:07.515 --> 00:15:10.756]  I mean, that's basically impossible.
[00:15:11.356 --> 00:15:17.137]  But a quattro decillion is way, way above that.
[00:15:18.558 --> 00:15:23.219]  So we have an article on InfoWars.com about this, and it's the headline,
[00:15:24.235 --> 00:15:27.520]  Probability of 7-7 drill and attack coinciding.
[00:15:27.620 --> 00:15:29.263]  This is absolutely mind-boggling.
[00:15:29.303 --> 00:15:35.953]  The chances for these two events taking place at the same time, let alone the same locations, are astronomical.
[00:15:37.034 --> 00:15:40.219]  Numbers so big, we had to look up how to save them.
[00:15:40.825 --> 00:15:43.346]  And these estimates are within very conservative means.
[00:15:44.046 --> 00:15:57.890]  In other words, most statistical analysis is designed to create the impression of a similarity incredibly in probability is usually framed within a greater amount of time, say 50 years since the England began experiencing bombings in the tube.
[00:15:58.230 --> 00:16:08.813]  We don't need to frame these results in that way because the chances is so low that these events would even occur simultaneously without some sort of intervention that one might go so far as to call it impossible.
[00:16:09.835 --> 00:16:11.375]  And then we break it down.
[00:16:13.276 --> 00:16:31.221]  Just to have one of the drills coinciding with one of the bombings is... Well, we've got all the numbers here, but it's in the billions.
[00:16:32.901 --> 00:16:33.621]  This is insane.
[00:16:35.202 --> 00:16:35.382]  So...
[00:16:36.505 --> 00:16:37.986]  There you have it, ladies and gentlemen.
[00:16:38.046 --> 00:16:40.628]  And look, I know we've got other statisticians and mathematicians.
[00:16:40.688 --> 00:16:41.548]  Go look at these numbers.
[00:16:42.029 --> 00:16:48.593]  If you want to add to it or subtract from it or come up with your own calculations, we'll be happy to post them.
[00:16:49.914 --> 00:16:51.715]  Professors that are out there listening and others.
[00:16:52.296 --> 00:17:03.183]  And if somebody wants to calculate, again, the chances of 9-11 running the exact same drills at the exact same time, the exact same targets, and then I'd like to add those with these numbers and see what number we get.
[00:17:03.603 --> 00:17:06.045]  It may go out to the power of infinity, but...
[00:17:06.658 --> 00:17:11.702]  We'll just put an eight on its side and say that that's the probability.
[00:17:12.462 --> 00:17:15.244]  And the dumbed-down public will say, well, it's one chance out of eight, then.
[00:17:16.445 --> 00:17:19.467]  No, that eight on its side means infinity, ladies and gentlemen.
[00:17:20.828 --> 00:17:28.374]  Again, if anything fits the bill of mind-boggling, then this is it.
[00:17:28.514 --> 00:17:31.136]  There's a bunch of other news coming up, but let's just start going to your calls.
[00:17:31.596 --> 00:17:33.057]  Let's talk to Joseph in England.
[00:17:33.117 --> 00:17:33.878]  Joseph, welcome.
[00:17:34.998 --> 00:17:35.359]  Hi, yes.
[00:17:36.269 --> 00:17:41.712]  Basically, I just wanted to mention something that I thought might spiral out of control here in the UK.
[00:17:41.732 --> 00:17:55.719]  I mean, I haven't actually got a crystal ball or anything in front of me, but I think the latest news reports that have come out about these four guys that have apparently blown themselves up appropriately, gets them out of the way so that they can't be questioned.
[00:17:55.739 --> 00:17:58.480]  It's just something I can see spiralling out of control.
[00:17:58.939 --> 00:18:04.145]  Basically, I don't know if you know the news about this that we have in Britain.
[00:18:04.185 --> 00:18:11.033]  We have issues with a lot of these racial hate groups in the Yorkshire area, which is actually where I live.
[00:18:11.053 --> 00:18:19.803]  I think it was about four years ago we had some riots in a place called Bradford, which isn't too far away from where these guys were supposed to have operated.
[00:18:21.109 --> 00:18:32.478]  I mean, this is something that could really... No, I get what you're... Listen, we have the BBC articles where a hundred plus raids overnight of citizens that were heard saying racial comments.
[00:18:32.518 --> 00:18:38.022]  I mean, if you say, you know, the racial slang for an Indian or a black...
[00:18:38.702 --> 00:18:40.283]  You spend a couple years in prison.
[00:18:40.303 --> 00:18:44.764]  I mean, this is the hate crime laws they're trying to pass here in the United States.
[00:18:44.784 --> 00:18:50.366]  They tried last year to put seven Christians in jail, or eight Christians, for 47 years.
[00:18:51.387 --> 00:18:59.470]  That was finally a wake-up call for people, and now we've had a Muslim boy being beaten to death by a British young man.
[00:19:00.390 --> 00:19:02.071]  And yes, of course it'll be used.
[00:19:03.012 --> 00:19:11.559]  Now, the public will read into this, they'll get mad at Muslims, as the media means them to, and then they'll clamp down even more with the thought police.
[00:19:11.599 --> 00:19:17.663]  In fact, that was in my stack of stuff to talk about, and you're bringing up a very, very good point here.
[00:19:18.424 --> 00:19:22.727]  Well, it's important to talk about before it actually happens, because I can really see this happening.
[00:19:22.747 --> 00:19:23.688]  Well, it's already happened.
[00:19:23.708 --> 00:19:29.032]  You already have arrests going on of people that say a word, and you already have Muslims being beaten to death.
[00:19:29.611 --> 00:19:35.974]  No, well, what I actually mean is actual riots going on because there's a place called Bradford, like I say, which about four years ago had riots.
[00:19:35.994 --> 00:19:42.097]  It was all to do with... I mean, there's the British National Party, which are kind of qualified as like a, you know, bona fide political movement.
[00:19:42.117 --> 00:19:47.599]  There's other groups behind them that are, you know, operating and creating... Well, this is tribalism.
[00:19:47.639 --> 00:19:52.962]  I mean, you bring in 25, 30% of the British population now are foreigners.
[00:19:53.422 --> 00:19:54.563]  People are going to get mad about it.
[00:19:54.983 --> 00:19:56.504]  And the government's going to capital... Stay there.
[00:19:56.524 --> 00:19:59.325]  We'll let you finish up on the other side, Joseph, joining us from England.
[00:20:01.926 --> 00:20:08.289]  Why continue to suffer from pain, illness, and disease when natural health and wellness therapies are within your reach?
[00:20:08.509 --> 00:20:13.572]  Hundreds of people report improved health and wellness using the Rife frequency technology.
[00:20:13.832 --> 00:20:21.736]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[00:20:21.896 --> 00:20:28.939]  The BioSolutions frequency instrument uses this same technology for relief or elimination of pain and disease conditions.
[00:20:29.159 --> 00:20:30.360]  There are no side effects.
[00:20:30.520 --> 00:20:33.902]  Join others in discovering a return to natural health and wellness.
[00:20:33.962 --> 00:20:36.644]  Don't just treat symptoms, eliminate the cause.
[00:20:36.844 --> 00:20:43.689]  BioSolutions has over 550 pre-programmed auto-sequences for various health conditions and is very easy to use.
[00:20:43.789 --> 00:20:46.311]  Customer satisfaction is guaranteed or your money back.
[00:20:46.431 --> 00:20:49.453]  For more information, call Alternative Technologies toll-free, 866-885-6625.
[00:20:49.473 --> 00:20:49.513]  866-885-6625.
[00:20:55.837 --> 00:20:59.859]  One more time, that's 866-885-6625.
[00:21:01.560 --> 00:21:09.885]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:21:10.065 --> 00:21:20.110]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:21:20.590 --> 00:21:26.451]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:21:26.671 --> 00:21:31.112]  Find out everything from where to get water in an emergency to geographic income levels.
[00:21:31.332 --> 00:21:37.373]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000-plus counties in the U.S.
[00:21:37.553 --> 00:21:44.014]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[00:21:44.314 --> 00:21:49.735]  Order Bruton Places USA now for only $29, plus shipping by calling newmillennium.com.
[00:21:50.035 --> 00:21:52.017]  Hi folks, Jack Browning from Midas Resources.
[00:21:52.037 --> 00:21:53.179]  The real money folks.
[00:22:09.531 --> 00:22:11.192]  Let's review a few things from the past year.
[00:22:11.232 --> 00:22:12.273]  November 2003 to November 2004.
[00:22:12.313 --> 00:22:13.354]  The dollars ranged from $9,800 to $10,300.
[00:22:13.454 --> 00:22:13.875]  A 5% increase.
[00:22:13.915 --> 00:22:16.357]  The dollar's value has dropped from $0.96 to $0.70 against the Euro.
[00:22:16.377 --> 00:22:18.238]  A 24% decrease in spending power against the gold-backed Euro.
[00:22:18.258 --> 00:22:19.719]  Gold has gone from the $390s to the $440s.
[00:22:19.739 --> 00:22:21.301]  A 16% increase in real money.
[00:22:37.012 --> 00:22:38.314]  That's Midas Resources at 1-800-686-2237.
[00:23:00.982 --> 00:23:05.644]  Imagine enjoying your own health spa in the comfort of your own home daily at a fraction of a clock.
[00:23:05.904 --> 00:23:06.804]  No more imagining.
[00:23:06.984 --> 00:23:10.926]  It's time to experience the relaxing and rejuvenating Total Health Spa by HTE.
[00:23:11.006 --> 00:23:23.310]  The Total Health Spa consists of two medical devices working together to promote increased circulation and oxygenation, help to support proper body function through detoxification, cell regeneration, stress reduction, and so much more.
[00:23:23.450 --> 00:23:26.651]  The Total Health Spa begins with the original and only tea machine.
[00:23:26.712 --> 00:23:27.852]  The tea machine, which is a
[00:23:28.272 --> 00:23:38.097]  The FDA, regulated as a Class I medical device, maximizes the movement of the body, which helps provide relief through increased oxygen levels, allowing a sense of extreme comfort and pleasure.
[00:23:38.277 --> 00:23:40.058]  Enhance your experience with the Hot House.
[00:23:40.219 --> 00:23:44.601]  The Hot House produces its unique effect through a beneficial radiant orange-red rays.
[00:23:44.821 --> 00:23:47.182]  It makes you feel absolutely terrific.
[00:23:47.282 --> 00:23:50.984]  The most effective and affordable complete body treatment available today.
[00:23:51.204 --> 00:23:56.067]  Call now and experience the Total Health Spa for a 14-day unconditional money-back year.
[00:23:58.387 --> 00:24:07.069]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:24:07.729 --> 00:24:10.089]  Because there's a war on for your mind.
[00:24:12.450 --> 00:24:13.410]  The Alex Jones Show.
[00:24:26.990 --> 00:24:31.274]  All right, going back quickly, because I want to jam a bunch of calls in here and get into more of the news.
[00:24:31.794 --> 00:24:32.735]  Joseph in England.
[00:24:34.236 --> 00:24:42.123]  Joseph, what do you think would happen if, say, let's use the example of an African country.
[00:24:43.044 --> 00:25:02.072]  Where if the neighboring African country, 25% of the population moved in, and then started saying that basically it was their country, and people get mad about this, and I don't agree with a lot of the views of how they radicalize these groups, but you try to go to these other third world countries, they don't want us there.
[00:25:02.732 --> 00:25:05.614]  But then they want to come here and do whatever they want.
[00:25:06.074 --> 00:25:15.521]  And then the government then can blame the Muslims while at the same time, quote, defending their rights and use that police state to then crack down on everybody's free speech.
[00:25:15.621 --> 00:25:18.403]  So it's what Bush calls order out of chaos.
[00:25:18.423 --> 00:25:22.005]  We've got to restore chaos to then bring in order.
[00:25:22.946 --> 00:25:24.287]  And that's their maxim.
[00:25:24.307 --> 00:25:25.708]  But go ahead and finish up what you were saying.
[00:25:26.451 --> 00:25:26.871]  Well, exactly.
[00:25:26.891 --> 00:25:31.433]  I mean, it's been documented throughout history that, you know, it's called divide and conquer.
[00:25:31.473 --> 00:25:34.335]  It's, you know, you basically say racism, really.
[00:25:34.355 --> 00:25:35.896]  It's like the word you used earlier.
[00:25:35.936 --> 00:25:36.796]  It's tribalism.
[00:25:36.816 --> 00:25:40.238]  You just basically play off different groups against each other.
[00:25:40.458 --> 00:25:48.622]  And you say that one tribe is allowed to be tribal, but then the main group that the elite is attacking isn't then allowed to defend themselves.
[00:25:49.292 --> 00:25:49.572]  Exactly.
[00:25:49.592 --> 00:25:51.393]  I mean, it works between men and women as well.
[00:25:51.433 --> 00:25:56.854]  I mean, men are generally sort of recognized as being very sexist, but in a lot of cases, a lot of women are very sexist.
[00:25:56.914 --> 00:26:10.297]  But it's, you know, it can be generalized very easily, and that's where, you know, it breeds ignorance, and, you know, that's where a lot of the friction... Well, I've had so-called minorities just to my face talk about how white people are bad, like that's just acceptable.
[00:26:11.097 --> 00:26:13.458]  And again, this is all manipulated.
[00:26:14.198 --> 00:26:14.438]  Yeah.
[00:26:15.018 --> 00:26:18.039]  But they just think that's acceptable, but then you say the same thing back to them...
[00:26:19.218 --> 00:26:20.179]  Look, here's an example.
[00:26:20.199 --> 00:26:26.747]  Did you know it's illegal in Israel for somebody who is Jewish to marry someone who's not Jewish?
[00:26:26.767 --> 00:26:27.308]  Did you know that?
[00:26:28.028 --> 00:26:32.374]  And it's illegal to preach the gospel in Israel.
[00:26:32.854 --> 00:26:33.415]  Did you know that?
[00:26:34.235 --> 00:26:35.195]  Yeah, I've heard about that, yeah.
[00:26:35.295 --> 00:26:38.916]  It's all, but see, why is, that is very bigoted.
[00:26:39.336 --> 00:26:49.399]  That is very, but no, that, and again, most Jews are even against that type of racism or elitism, but the government isn't.
[00:26:49.499 --> 00:26:53.360]  So you have to ask yourselves, why isn't the ADL being criticized for supporting that?
[00:26:53.380 --> 00:26:57.442]  Well, exactly, I mean, it's a lot like, it's just divide and conquer.
[00:26:57.502 --> 00:26:58.742]  I mean, you basically, you
[00:26:59.717 --> 00:27:10.123]  You set up double standards, which isn't too difficult to do when you've got people in positions of influence, be it in the media or whatever, or figures of... Hey, what are most Brits saying about the bombings?
[00:27:10.824 --> 00:27:12.124]  Oh, you're going to like this.
[00:27:12.165 --> 00:27:13.325]  This is absolutely true, is this?
[00:27:13.345 --> 00:27:14.626]  I totally trust the guy that told me.
[00:27:14.646 --> 00:27:21.330]  My next door neighbour, this is true, missed the bomb by five minutes on, like you know, last Thursday.
[00:27:22.106 --> 00:27:27.851]  I mean, the first question to the guy was, you know, what do you think about the fact that they were saying it was, you know, a power fail?
[00:27:27.871 --> 00:27:29.512]  And he said, absolutely not, no way.
[00:27:29.552 --> 00:27:32.074]  There was no reason why anybody should have thought that.
[00:27:32.495 --> 00:27:33.916]  Everybody knew it was a bomb.
[00:27:34.176 --> 00:27:34.617]  You know what I mean?
[00:27:34.637 --> 00:27:35.537]  It was just ridiculous.
[00:27:36.498 --> 00:27:39.020]  But, I mean, I kind of, like, questioned him further.
[00:27:39.360 --> 00:27:42.743]  He doesn't know that I'm, you know, sort of into this kind of stuff because I don't really know him that well.
[00:27:42.783 --> 00:27:47.087]  But he basically, without any prompting from me, was just saying it's all about control, you know, the government's
[00:27:47.805 --> 00:27:50.888]  Oh, I've gotten hundreds of emails the first day, first two days from England.
[00:27:50.928 --> 00:27:53.269]  We're still getting them getting calls.
[00:27:53.289 --> 00:27:55.211]  And everybody we talk to says this.
[00:27:55.231 --> 00:27:56.592]  Thanks for the call, sir.
[00:27:56.652 --> 00:27:57.693]  There you have it, Joseph in England.
[00:27:57.713 --> 00:27:59.094]  John in Texas, you're on the air.
[00:27:59.114 --> 00:27:59.354]  Go ahead.
