[00:00:00.117 --> 00:00:00.537]  Network.
[00:03:43.295 --> 00:03:45.537]  Yeah, they even beat and tortured their own people there.
[00:03:45.557 --> 00:03:47.478]  It's so fun.
[00:03:47.518 --> 00:03:48.619]  It's so great.
[00:03:48.659 --> 00:03:55.565]  And now, now the United Nations is weighing in, trying to make themselves look good by criticizing the U.S.
[00:03:55.585 --> 00:03:59.287]  and it'll all be more good cop, bad cop, and, oh, you must be for the U.N.
[00:03:59.307 --> 00:04:00.268]  if you're against torture.
[00:04:02.370 --> 00:04:03.050]  It's amazing.
[00:04:03.311 --> 00:04:03.631]  Also,
[00:04:05.169 --> 00:04:05.449]  U.S.
[00:04:05.489 --> 00:04:18.592]  poised to rule on livestock, cloned livestock, and experts are saying looks like the court is going to rule that cloned meat, cloned milk from farm animals can be put on the market.
[00:04:20.672 --> 00:04:23.513]  This is getting more and more out of control.
[00:04:23.533 --> 00:04:26.614]  Karl Rove criticizes liberals on 9-11.
[00:04:29.253 --> 00:04:31.295]  More on martial law.
[00:04:31.315 --> 00:04:33.837]  They're trying to declare martial law in Richmond, Virginia.
[00:04:34.377 --> 00:04:35.799]  That's out of the Associated Press.
[00:04:36.599 --> 00:04:37.640]  So much today.
[00:04:37.720 --> 00:04:41.123]  The key issues that really affect you and your family.
[00:04:41.563 --> 00:04:42.724]  Real talk radio.
[00:04:43.345 --> 00:04:46.187]  Real issues that actually affect the society.
[00:04:47.668 --> 00:04:50.230]  Straight ahead on the other side of this quick break.
[00:04:50.931 --> 00:04:52.192]  I'm Alex Jones, your host.
[00:04:52.232 --> 00:04:53.914]  Be sure and check out InfoWars.com.
[00:04:55.410 --> 00:04:59.853]  PrisonPlanet.com, Infowars.net, and PrisonPlanet.tv.
[00:04:59.893 --> 00:05:00.413]  Stay with us.
[00:05:04.475 --> 00:05:07.377]  There is a secret that holds the world's destiny in its grasp.
[00:05:07.597 --> 00:05:09.178]  Hello my friends, Alex Jones here.
[00:05:09.518 --> 00:05:14.221]  Learn that secret with my new film, Martial Law, 9-11 Rise of the Police State.
[00:05:14.521 --> 00:05:18.963]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:05:19.384 --> 00:05:23.546]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:05:23.766 --> 00:05:26.607]  The Constitution has been shredded, and America is now a police state.
[00:05:26.707 --> 00:05:31.369]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:05:31.569 --> 00:05:35.990]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:05:36.210 --> 00:05:43.432]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:05:43.693 --> 00:05:46.113]  Discover the documentary for yourself before it's too late.
[00:05:46.273 --> 00:05:48.014]  Call toll-free to get a copy of Martial Law.
[00:05:48.114 --> 00:05:54.182]  1-888-253-3139 or visit InfoWars.com and the secure shopping cart.
[00:05:54.262 --> 00:06:01.132]  That's InfoWars.com or 888-253-3139 or watch the film right now online at PrisonPlanet.tv
[00:06:03.602 --> 00:06:14.348]  The Berkey Light's unique design combines the age-old process of microporous filtration coupled with modern state-of-the-art technology and the highest quality materials, bringing you the finest water filter available anywhere.
[00:06:14.509 --> 00:06:22.113]  The revolutionary Berkey Light, with its exclusive black Berkey filter elements, remove pathogenic bacteria, cysts, and parasites to non-detectable levels.
[00:06:22.333 --> 00:06:25.495]  Harmful or unwanted chemicals are reduced to below detectable levels.
[00:06:25.755 --> 00:06:31.498]  And it reduces nitrates and unhealthy minerals like lead and mercury while leaving the nutritional minerals your body needs.
[00:06:31.798 --> 00:06:37.961]  Made of durable lexan, the material used in making bulletproof glass, the system is durable, rugged, and yet attractive.
[00:06:38.301 --> 00:06:42.203]  The Berkey Light is transparent, so there is no guesswork when refilling the system.
[00:06:42.243 --> 00:06:44.124]  The water level is always visible.
[00:06:44.324 --> 00:06:50.267]  The rechargeable LED lighting system is beautiful as a night light and as necessary in emergency situations.
[00:06:50.487 --> 00:06:54.449]  Get the Berkey Light, the transparent water filter for only $259 by calling New Millennium at 888-803-4438.
[00:06:54.469 --> 00:06:55.030]  That's toll free, 888-803-4438.
[00:07:04.307 --> 00:07:11.213]  Sandal season is finally here, but not for those of us too embarrassed to wear them because of yellow, unsightly toenails.
[00:07:11.734 --> 00:07:17.159]  If your nails look dark or discolored, now's the time to start using patented Non-X Nail Gel.
[00:07:17.559 --> 00:07:27.568]  All Natural Non-X is a topical, ethanoic acid gel that clears out the source of the problem, the dark or yellow material that builds up under the nails called keratin debris.
[00:07:27.728 --> 00:07:30.110]  Non-X Nail Gel is absolutely amazing.
[00:07:30.430 --> 00:07:33.513]  I used to have yellow nails and now they look clear and almost perfect.
[00:07:33.733 --> 00:07:35.114]  I'm wearing sandals again.
[00:07:35.234 --> 00:07:38.116]  Non-X Nail Gel removes yellowing keratin debris.
[00:07:38.416 --> 00:07:42.740]  It's podiatrist recommended and has been clinically shown to improve nail clarity.
[00:07:43.000 --> 00:07:44.701]  It's also money-back guaranteed.
[00:07:45.062 --> 00:07:56.371]  You'll find Non-X Gel spelled N-O-N-Y-X in the foot care section at Rite Aid, Walgreens, Longs, Brooks and independent pharmacies nationwide or online at drugstore.com.
[00:07:57.331 --> 00:08:01.673]  Non-X nail gel for clearer nails and feet that look great in sandals.
[00:08:03.454 --> 00:08:05.656]  He's the T-Rex of political talk.
[00:08:06.216 --> 00:08:09.097]  Alex Jones on the GCN Radio Network.
[00:08:14.000 --> 00:08:25.346]  Eight minutes, twenty seconds into this first hour.
[00:08:26.266 --> 00:08:27.887]  Let's plunge straight into the news.
[00:08:28.967 --> 00:08:29.427]  Cities!
[00:08:29.787 --> 00:08:31.088]  Cities, ladies and gentlemen.
[00:08:31.968 --> 00:08:40.491]  These little corporations that private individuals can just set up may seize homes for economic development, court rules for private ventures.
[00:08:41.272 --> 00:08:48.154]  And that means the real estate councils go and lobby to steal your property to build whatever they want on it, including homes.
[00:08:49.555 --> 00:08:53.116]  Big K's up in Connecticut been watched very closely in the last two years.
[00:08:54.125 --> 00:09:07.428]  And the Supreme Court, four years ago, in the case of land around the big lake up there in Reno, Nevada, they ruled no just compensation, that the government can take your land and not pay you.
[00:09:07.528 --> 00:09:14.730]  I mean, this is, there is nothing in America that is so great a cornerstone as private property.
[00:09:15.630 --> 00:09:19.331]  I mean, it is the absolute, total bedrock.
[00:09:20.504 --> 00:09:30.929]  And then it's free speech, and then the right to defend yourself, the Second Amendment, and the right to not be illegally searched and seized, Fourth Amendment, and not to incriminate yourself, innocent until proven guilty.
[00:09:32.129 --> 00:09:38.492]  These are the basic canons of a free society, and they're all being dismantled.
[00:09:39.190 --> 00:09:42.552]  Not piecemeal, but in giant chunks.
[00:09:42.612 --> 00:09:50.456]  It's like a great white, 30-foot great white shark in America is a fur seal, and they've literally bitten this country in half.
[00:09:51.836 --> 00:09:53.797]  Before, they were just eating around the edges.
[00:09:55.558 --> 00:09:58.840]  Cities may seize homes for economic development court rules.
[00:09:59.300 --> 00:10:08.725]  This is out of the Associated Press, the Supreme Court ruled today that local government may seize people's homes and businesses even against their will for private economic development.
[00:10:09.275 --> 00:10:21.287]  It was a decision fraught with huge implications for a country with many areas, particularly the rapidly growing urban and suburban areas, facing countervailing pressures of development and property ownership rights.
[00:10:21.887 --> 00:10:30.676]  The 5-4 ruling represented a defeat for some Connecticut residents whose homes are slated for destruction to make room for an office complex and private homes, I would add.
[00:10:31.096 --> 00:10:39.680]  They argue that the cities have no right to take their land except for projects with a clear public use such as roads and schools or to revitalize blighted areas.
[00:10:40.320 --> 00:10:48.904]  As a result, cities now have wide power to bulldoze residences for projects such as shopping malls, hotel complexes, in order to generate tax revenue.
[00:10:48.924 --> 00:10:49.664]  Let's stop right there.
[00:10:52.768 --> 00:11:01.813]  In Connecticut, this particular Real Estate Council came in, because this has been covered ad nauseam on this broadcast in the last two years, and all over the place.
[00:11:01.873 --> 00:11:08.637]  I mean, even people like Neil Bortz, who I normally disagree with, as he's a neocon, is spot on when it comes to land grabbing.
[00:11:09.117 --> 00:11:10.298]  And he's really covered this.
[00:11:10.338 --> 00:11:12.739]  I listen to him routinely when I'm driving around at night.
[00:11:12.779 --> 00:11:13.900]  They re-air him here in Austin.
[00:11:14.280 --> 00:11:15.541]  And he's had all the guests on.
[00:11:15.581 --> 00:11:17.782]  And so, you know, I know about this case.
[00:11:17.842 --> 00:11:19.083]  It's like a soap opera.
[00:11:19.123 --> 00:11:22.525]  For two years, I've been interviewing people and listening to folks interview.
[00:11:22.845 --> 00:11:24.226]  I mean, it is so horrible.
[00:11:24.266 --> 00:11:28.969]  These are beautiful, Victorian-style homes, right there on the water.
[00:11:29.409 --> 00:11:34.633]  And they are going to bulldoze hundreds, and they're talking about thousands, just a whole neighborhood.
[00:11:34.653 --> 00:11:36.214]  A hundred-year-old neighborhood.
[00:11:36.694 --> 00:11:37.394]  Tear it out.
[00:11:37.454 --> 00:11:38.415]  Middle-class neighborhood.
[00:11:39.315 --> 00:11:45.237]  And build luxury homes, luxury high-rise condos, luxury office buildings.
[00:11:47.257 --> 00:11:57.960]  And folks, all the Real Estate Council's got to do is come pay off your politicians, and then the politicians will pay out the money to steal the land, and then basically give it to these corporations.
[00:11:58.620 --> 00:12:02.021]  We saw this through the environmental guise of smart growth.
[00:12:02.601 --> 00:12:07.963]  I went to a smart growth conference in 1998 here in Austin, shot video of it, put it on the TV show.
[00:12:09.153 --> 00:12:13.495]  I'm thinking about putting it in a new documentary and going back and doing a film on property rights.
[00:12:13.515 --> 00:12:15.936]  Because it's so important.
[00:12:16.356 --> 00:12:19.817]  And I go to the Smart Growth Conference and there's like three or four thousand people there.
[00:12:20.138 --> 00:12:21.818]  There's the heads of major banks.
[00:12:21.998 --> 00:12:23.359]  I mean, big national banks.
[00:12:23.999 --> 00:12:25.460]  I don't mean just their vice presidents.
[00:12:25.540 --> 00:12:26.780]  I mean the CEOs.
[00:12:27.240 --> 00:12:28.701]  There's Michael Dell.
[00:12:28.761 --> 00:12:31.822]  There's Nature Conservancy, Sierra Club.
[00:12:32.302 --> 00:12:33.283]  And I'm sitting there.
[00:12:33.323 --> 00:12:34.403]  It was a three-day conference.
[00:12:34.443 --> 00:12:35.844]  I was only there for about five hours.
[00:12:37.718 --> 00:12:41.161]  And I interviewed Michael Dell in press conferences, and that got written up in the paper.
[00:12:42.101 --> 00:12:46.704]  How he confronted me, but... I'm sitting there, and they're all literally laughing!
[00:12:47.165 --> 00:12:50.066]  They had a former Dallas Cowboy, who's a big developer up there.
[00:12:50.427 --> 00:12:52.248]  I tried to talk to him, he got in my face.
[00:12:52.728 --> 00:12:53.629]  Very aggressive!
[00:12:55.090 --> 00:12:56.151]  And they're up there laughing!
[00:12:57.051 --> 00:13:07.138]  Yes, we're gonna take all the property, and then we're going to decide the use of it, and then the development will be given over to the banks, and then that'll be selectively handed out to the different real estate moguls.
[00:13:08.716 --> 00:13:25.423]  And they got past the SOS expansion and took about 20,000 acres, took hundreds of millions of taxpayer dollars, and basically everything in southwest Austin and south of Austin was laid off limits.
[00:13:26.903 --> 00:13:28.104]  Totally laid off limits.
[00:13:28.977 --> 00:13:44.844]  And then we have read documents of what they've done in other areas of the country, three or four years later when people forget about it, they then take the restrictions off, and the city, for literal pennies on the dollar, sells it to select big developers.
[00:13:46.465 --> 00:13:49.246]  So it's crony capitalism, or it's mercantilism.
[00:13:49.526 --> 00:13:51.507]  It's not free market, it's managed.
[00:13:51.847 --> 00:13:56.709]  Kind of like the oligarchs in Russia today, or what Hitler did, or what Mussolini did.
[00:13:58.897 --> 00:14:03.020]  They basically control the country, but then hand it off to their private interest.
[00:14:04.161 --> 00:14:06.162]  And here are the poor environmentalists.
[00:14:06.783 --> 00:14:11.486]  They send out squadrons for as long as I've lived in Austin.
[00:14:12.827 --> 00:14:13.228]  15 years.
[00:14:14.368 --> 00:14:18.912]  I mean, I remember so many times living in my parents' home, or then in my own apartment, or in my home today.
[00:14:20.643 --> 00:14:23.125]  Nice young lady, nice young man, 18, 20 years old.
[00:14:23.545 --> 00:14:23.886]  Hi!
[00:14:24.326 --> 00:14:25.147]  And they're sincere.
[00:14:25.227 --> 00:14:26.267]  Best type of salesperson.
[00:14:26.308 --> 00:14:27.749]  Listen, they're destroying the water.
[00:14:27.989 --> 00:14:30.531]  They're destroying the golden cheek warbler, the salamander.
[00:14:30.871 --> 00:14:33.633]  Please give me $100 for Save Our Springs.
[00:14:34.074 --> 00:14:35.995]  Please, so we can stop development.
[00:14:36.055 --> 00:14:36.936]  It's so horrible.
[00:14:36.956 --> 00:14:37.316]  Please.
[00:14:37.957 --> 00:14:39.518]  And I'd say, no, no.
[00:14:39.598 --> 00:14:43.020]  I'd watch my mother write a big fat check, but I figured it out.
[00:14:43.060 --> 00:14:45.222]  And, you know, later in my own home, wouldn't give them money.
[00:14:45.242 --> 00:14:45.983]  And they'd get mad.
[00:14:46.023 --> 00:14:46.984]  They'd say, how dare you?
[00:14:47.304 --> 00:14:48.585]  You know, very self-righteous.
[00:14:50.089 --> 00:14:53.032]  And then I'd watch them go to neighbors' houses and get checks!
[00:14:55.674 --> 00:14:56.875]  And so it's big business.
[00:14:56.895 --> 00:14:59.017]  So they have all these useful idiots working for them.
[00:15:00.738 --> 00:15:04.382]  And now, seven years later, man, they're building hotels.
[00:15:04.422 --> 00:15:06.784]  They're building five-star golf courses.
[00:15:07.104 --> 00:15:08.766]  They're building luxury homes.
[00:15:09.286 --> 00:15:10.887]  They're building all over it!
[00:15:12.929 --> 00:15:15.231]  But you've got to be one of those select developers.
[00:15:15.271 --> 00:15:15.992]  You go to the city,
[00:15:17.049 --> 00:15:22.373]  And you say, uh, we'd like to buy this land from you, city, or other people refuse to sell.
[00:15:22.433 --> 00:15:24.595]  They may have laid 20,000 acres off limits and bought it.
[00:15:24.915 --> 00:15:30.579]  There is, you know, many times that in people's land, where they just say, okay, you can't build on it anything.
[00:15:30.959 --> 00:15:37.104]  Well, I bought it when it was zoned for full construction, or for homes, or for, sorry, you can't build anything.
[00:15:38.644 --> 00:15:42.125]  And then you can sue them, and they'll go, okay, you can build on 5% of it.
[00:15:42.485 --> 00:15:44.886]  Well, I own a two lot parcel.
[00:15:44.946 --> 00:15:46.927]  I couldn't even build an outhouse on it.
[00:15:46.947 --> 00:15:49.628]  I mean, you know, well, sorry.
[00:15:50.268 --> 00:15:54.589]  You can sell to Billy Bob, the developer, and the developer will go, sorry, it's not worth anything.
[00:15:54.929 --> 00:15:57.030]  I'll pay you five cents on the dollar for your ranch.
[00:15:57.330 --> 00:16:06.453]  They sell it, and three years later, the restrictions are off, and there are giant, $500,000 a piece, million dollar, million and a half dollar homes.
[00:16:09.473 --> 00:16:15.938]  This is what we're dealing with, and now they don't even need the environmental fraud to get your land.
[00:16:16.779 --> 00:16:18.280]  Now they'll just say, we're taking it.
[00:16:19.821 --> 00:16:20.341]  We're taking it.
[00:16:20.361 --> 00:16:28.247]  Oh, by the way, beautiful place called Reimer's Ranch where I'd go rock climbing or go camping back when I had time to do such things ten years ago.
[00:16:29.531 --> 00:16:32.593]  I'd still go out to Reimer's Ranch out in the German Hill Country maybe once a year.
[00:16:32.953 --> 00:16:34.454]  Do some fishing there on the river.
[00:16:35.094 --> 00:16:39.916]  It's beautiful cliffs and gnarled oak trees.
[00:16:40.977 --> 00:16:45.840]  Well, they convinced the old guy to sell it to the state through a private consortium.
[00:16:46.200 --> 00:16:46.820]  And guess what?
[00:16:46.880 --> 00:16:50.222]  After they got the land, oh, we're going to build houses on it!
[00:16:51.603 --> 00:16:53.383]  The environmental group's going to build houses on it.
[00:16:55.124 --> 00:16:55.324]  Ha!
[00:16:55.545 --> 00:16:55.725]  Ha!
[00:16:55.965 --> 00:16:56.065]  Ha!
[00:16:57.958 --> 00:17:02.139]  Oh man, it just gets richer and richer and richer.
[00:17:03.619 --> 00:17:05.560]  And of course, old Reimer didn't intend for that to happen.
[00:17:05.600 --> 00:17:06.820]  I read he was a little bit upset now.
[00:17:08.280 --> 00:17:10.361]  That guy was a really nice fellow up there.
[00:17:10.881 --> 00:17:12.721]  Chewing his tobacco when you pull up.
[00:17:13.181 --> 00:17:14.581]  Got his goats out front of his house.
[00:17:16.002 --> 00:17:17.842]  Oh man, these people are out of control.
[00:17:18.282 --> 00:17:19.202]  Such a scam.
[00:17:19.242 --> 00:17:19.803]  And you know what?
[00:17:19.863 --> 00:17:22.143]  It won't stop these zit-faced kids from coming to your door.
[00:17:23.107 --> 00:17:25.330]  Every month on the month, give me money, give me money.
[00:17:25.370 --> 00:17:28.954]  And you try to tell them it's a scam, they just drool at you.
[00:17:30.135 --> 00:17:32.638]  That's not true, actually a lot of them are waking up.
[00:17:34.900 --> 00:17:35.401]  Amazing!
[00:17:36.983 --> 00:17:42.309]  So this morning I've been working on getting some guests on, and we do have some coming up on this subject.
[00:17:43.894 --> 00:17:44.634]  But that's okay.
[00:17:44.674 --> 00:17:47.995]  Forget it if they're now saying for houses they can take your property.
[00:17:48.515 --> 00:17:49.315]  Because of real estate.
[00:17:49.335 --> 00:17:51.296]  Oh, by the way, it's the Real Estate Council in Austin.
[00:17:51.596 --> 00:17:53.836]  They were also there at the Smart Growth Conference.
[00:17:53.856 --> 00:17:54.297]  They love it.
[00:17:55.037 --> 00:17:57.857]  It's the Land Grabbing Conference and Control Conference.
[00:17:59.658 --> 00:18:04.219]  They're also behind pushing for the massive toll roads on almost every major road in Austin.
[00:18:04.999 --> 00:18:06.259]  And it's the same all over the state.
[00:18:07.060 --> 00:18:08.760]  Because they're going to control where the roads go.
[00:18:08.780 --> 00:18:09.420]  They're going to control.
[00:18:09.460 --> 00:18:12.781]  They already bought the land up five, ten years ago when these decisions were made.
[00:18:13.810 --> 00:18:17.052]  It is such a unholy scam.
[00:18:17.812 --> 00:18:19.112]  And of course, it's like everything else.
[00:18:19.232 --> 00:18:21.093]  Every realtor I've talked to is against it.
[00:18:21.433 --> 00:18:27.116]  Every realtor I've talked to knows it's driving down property values in the areas where these toll roads are going to block off populations.
[00:18:28.476 --> 00:18:31.538]  In studies they've done, the vast majority of realtors are against it.
[00:18:31.598 --> 00:18:32.578]  It's the council.
[00:18:32.958 --> 00:18:35.079]  It's the elitist, because they're going to control it.
[00:18:36.700 --> 00:18:37.380]  I'm sick of it.
[00:18:40.985 --> 00:18:43.646]  Makes me very angry, and none of us are safe.
[00:18:44.607 --> 00:18:50.770]  You know, right behind my house, they are now annihilating the Greenbelt.
[00:18:50.810 --> 00:18:58.593]  There are eight bulldozers out back my house, just knocking down giant oak trees everywhere, about to build some gigantic monstrosity.
[00:18:59.154 --> 00:19:01.435]  And under SOS, that's not supposed to be happening.
[00:19:03.856 --> 00:19:05.957]  Oh no, this land won't be built on.
[00:19:06.613 --> 00:19:07.433]  We promise you.
[00:19:07.453 --> 00:19:11.275]  And right now there's bulldozers, just right now, crashing into oak trees.
[00:19:11.595 --> 00:19:14.136]  And again, I'm not one of these so-called environmentalists.
[00:19:14.156 --> 00:19:14.836]  Don't call me that.
[00:19:15.176 --> 00:19:16.177]  I'm a conservationist.
[00:19:17.457 --> 00:19:19.158]  I'm somebody who really does love the environment.
[00:19:19.198 --> 00:19:21.279]  I believe you should be able to sell your private property if you want to.
[00:19:21.579 --> 00:19:25.421]  And by having land holding being diversified, you will protect the land.
[00:19:26.001 --> 00:19:28.322]  Not by having the corporations do whatever they want.
[00:19:30.183 --> 00:19:33.084]  So, uh, unbelievable.
[00:19:33.304 --> 00:19:36.145]  I know so many ranchers, so many people that lost their land.
[00:19:37.148 --> 00:19:38.309]  Because you're selling it to us.
[00:19:38.469 --> 00:19:43.072]  First they take, first they, in many cases, first they say there's a land use restriction.
[00:19:44.393 --> 00:19:45.574]  Then they get the property.
[00:19:47.215 --> 00:19:48.556]  Then the property value drops.
[00:19:48.797 --> 00:19:49.757]  Then they offer to buy it.
[00:19:50.098 --> 00:19:51.599]  Then they buy it for pennies on the dollar.
[00:19:52.079 --> 00:19:53.360]  I forgot that part of the equation.
[00:19:53.660 --> 00:19:55.722]  Then they take the restrictions off and sell it to their buddies.
[00:19:56.883 --> 00:19:57.863]  At a discount, of course.
[00:19:57.903 --> 00:19:58.364]  We'll be right back.
[00:20:03.925 --> 00:20:05.427]  To the farthest corners of the Earth.
[00:20:05.707 --> 00:20:10.312]  Explorers are willing to put all their wealth and skill into mapping every corner of the world, and they did.
[00:20:10.632 --> 00:20:12.975]  But you can still hold the world in the palm of your hand.
[00:20:13.195 --> 00:20:14.736]  Achieve financial independence.
[00:20:15.117 --> 00:20:20.262]  Unlike explorers of yesteryear, you'll have a map to follow instead of relying on a compass and a North Star.
[00:20:20.523 --> 00:20:21.744]  Get the Red Book of U.S.
[00:20:21.784 --> 00:20:24.487]  Coins and you'll begin your journey to total financial freedom.
[00:20:24.887 --> 00:20:30.833]  Right now, Midas Resources is offering a 2005 edition of the Red Book, along with a silver dollar for only $22.95.
[00:20:30.893 --> 00:20:31.834]  Call them today at 1-800-686-2237.
[00:20:31.854 --> 00:20:32.135]  That's 800-686-2237.
[00:20:32.175 --> 00:20:36.119]  I can tell you there'll be storms ahead, but with real money as your base, liberty will be your fate.
[00:20:44.447 --> 00:20:51.090]  Leave the fiat currency behind and call Midas Resources to get your Red Book along with that silver dollar for only $22.95.
[00:20:51.330 --> 00:20:51.990]  Get the map.
[00:20:52.010 --> 00:20:54.412]  Start your journey to financial independence today.
[00:20:54.632 --> 00:20:55.632]  The time is now.
[00:20:55.972 --> 00:20:56.933]  Call 800-686-2237.
[00:20:58.873 --> 00:21:01.975]  Get your Red Book now and you'll weather any storm that comes your way.
[00:21:04.924 --> 00:21:05.965]  The War on Terrorism.
[00:21:06.285 --> 00:21:09.068]  Will it be fought overseas, or will it affect us here at home?
[00:21:09.328 --> 00:21:13.492]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:21:13.913 --> 00:21:14.733]  So what do you do?
[00:21:15.074 --> 00:21:19.658]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:21:20.138 --> 00:21:22.260]  With a little know-how, it's not that difficult.
[00:21:22.741 --> 00:21:23.622]  Sheltering in place.
[00:21:24.022 --> 00:21:37.430]  Surviving Acts of Terrorism from Biological, Chemical, and Radioactive Fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:21:37.470 --> 00:21:44.535]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:21:44.895 --> 00:21:49.276]  Get this critical video every American needs for only $29 plus shipping.
[00:21:49.737 --> 00:21:51.497]  Order by calling New Millennium today at 888-803-4438.
[00:21:51.517 --> 00:21:51.797]  That's 888-803-4438.
[00:21:51.837 --> 00:21:53.278]  Or order on the web at Berkeywater.com.
[00:22:03.517 --> 00:22:05.959]  David J. Smith for Newswatch Magazine.
[00:22:06.679 --> 00:22:10.322]  Have you ever heard of the Genocide Convention Treaty to the United Nations?
[00:22:10.962 --> 00:22:14.845]  Did you know that it's a direct assault upon your freedom of religion?
[00:22:15.525 --> 00:22:24.131]  Did you know that if you mention perverted sex acts as being wrong according to the Bible, you could be arrested and tried for causing mental harm to others?
[00:22:25.092 --> 00:22:32.237]  It's already law in Canada, Australia, Britain, and Sweden where Christians are being tried and deprived of freedom of speech.
[00:22:33.172 --> 00:22:41.314]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:22:42.414 --> 00:22:44.914]  Just call our toll-free order line number 1-800-516-8736.
[00:22:44.935 --> 00:22:45.735]  That's 1-800-516-8736.
[00:22:45.755 --> 00:22:45.995]  Call now.
[00:22:46.055 --> 00:22:49.796]  Our operators are standing by to receive your call.
[00:23:02.944 --> 00:23:05.305]  So what's in your shampoo, bath soap, and dish soap?
[00:23:05.566 --> 00:23:09.408]  Chlorides, dyes, ethanol, sulfates, sodiums, formaldehydes, etc.?
[00:23:09.728 --> 00:23:10.529]  Read the labels.
