[00:00:01.533 --> 00:00:02.617]  I don't know.
[00:09:44.787 --> 00:09:48.329]  Representative David Graves, Republican of Macon, Georgia...
[00:09:49.033 --> 00:10:01.322]  Tried to use an obscure provision in the state constitution to argue that he should not be prosecuted for a DUI he received in the Vennings in February during a 2005 session of the General Assembly.
[00:10:02.310 --> 00:10:15.257]  The centuries-old provision holds that a lawmaker cannot be arrested during sessions of the General Assembly, legislative committee meetings, or while they're in transit, except in cases of treason, felony, or breach of the peace.
[00:10:15.858 --> 00:10:21.200]  Such provisions were generally written to protect lawmakers from political incrimination and intimidation.
[00:10:21.901 --> 00:10:23.302]  Yes, in fact, we looked the law up.
[00:10:24.022 --> 00:10:31.046]  It's back before the state was even a state, back when it was a colony during transition, because of harassment...
[00:10:32.825 --> 00:10:37.108]  And Tories running about in different counties, that was enacted.
[00:10:38.069 --> 00:10:40.431]  And so this guy tried to use that.
[00:10:40.531 --> 00:10:50.659]  But we saw a case, what, three and a half years ago up in Milwaukee where a member of the city council was being investigated for corruption and was about to be removed.
[00:10:50.739 --> 00:10:54.362]  So she just got up in session and said, well, we talked about martial law.
[00:10:55.086 --> 00:10:59.549]  You know, we've done the drills with the feds before, and they were actually, it was in the newspaper, they were going, shut up!
[00:10:59.889 --> 00:11:01.330]  You're not supposed to talk about that!
[00:11:01.691 --> 00:11:04.973]  Well, well, we could just have people arrested that are investigating me.
[00:11:06.654 --> 00:11:07.675]  We could just take over.
[00:11:08.815 --> 00:11:11.757]  It was actually in the paper, her quote, she said it was on television.
[00:11:12.258 --> 00:11:13.479]  You know, on the local cable system.
[00:11:13.499 --> 00:11:15.360]  We could just take over and run things forever.
[00:11:17.057 --> 00:11:18.817]  Just cuckoo for Cocoa Puffs.
[00:11:18.857 --> 00:11:21.798]  These people, you know, they just think it's normal.
[00:11:22.338 --> 00:11:27.279]  I mean, they're not like old-fashioned pirates who crept around doing it knowing they were bad.
[00:11:27.699 --> 00:11:29.660]  A lot of these people think, well, I'm God.
[00:11:29.800 --> 00:11:31.000]  I mean, I've got a uniform.
[00:11:31.080 --> 00:11:31.780]  I've got a hat.
[00:11:31.820 --> 00:11:33.580]  I've got a fancy insignia.
[00:11:34.381 --> 00:11:35.581]  I can do whatever I want.
[00:11:38.361 --> 00:11:46.623]  And so this individual, now being brought to trial, after they're in session, they're not in session now, today Cobb State Court
[00:11:47.350 --> 00:11:52.854]  Judge Irma B. Glover denies Graves' request to use the legislative immunity defense.
[00:11:52.914 --> 00:11:58.359]  Graves' attorney, William C. Bubbahead, folks, I'm not kidding, that's his name, is likely to appeal.
[00:11:58.439 --> 00:12:11.869]  Graves, chairman of the House Committee overseeing laws governing the alcohol industry, has said that on February 15th, he and other committee chairmen went from the Capitol to a dinner meeting where they conferred about the status of legislation and plans for the next legislative day.
[00:12:11.889 --> 00:12:15.872]  His lawyer argues that Graves should have been granted immunity from arrest because he was leaving
[00:12:16.861 --> 00:12:21.983]  And gathering that was tantamount to a committee meeting according to legal findings.
[00:12:22.583 --> 00:12:32.107]  Well, Gary Jones, the assistant solicitor in Cobb State Court, assigned to prosecute the case, said his office is fighting the contention.
[00:12:33.028 --> 00:12:38.730]  Just because you're having dinner with other politicians doesn't make it a committee meeting, Jones said.
[00:12:38.810 --> 00:12:44.192]  They could be at a casino doing the same thing, and he could allege it was a committee meeting even though they're gambling.
[00:12:44.950 --> 00:12:50.614]  Only in the case there was drinking, which is to me another indication it was not a committee meeting.
[00:12:52.376 --> 00:12:53.637]  Well, I'm going to stop right there.
[00:12:53.717 --> 00:12:55.718]  I mean, I live here in Austin most of my life.
[00:12:55.738 --> 00:12:59.461]  Let me tell you, here most restaurants are also bars.
[00:13:00.982 --> 00:13:02.944]  In fact, almost all restaurants have a bar.
[00:13:03.184 --> 00:13:12.511]  And, I mean, if you're eating downtown during the session, especially at some of the better restaurants, there's going to be a group of legislators stumbling around so drunk they can hardly walk.
[00:13:13.599 --> 00:13:19.061]  And I've always commented, why don't the Austin police go in there and arrest them for public intoxication?
[00:13:20.882 --> 00:13:23.243]  I mean, they arrested Jeb Bush's youngest son.
[00:13:23.263 --> 00:13:30.946]  And I'm no defender of Jeb Bush or Marvin Bush or George W. Bush or, you know, any of these people.
[00:13:32.047 --> 00:13:38.329]  They all have criminal records for cocaine or alcohol or DUIs or robbery.
[00:13:38.389 --> 00:13:41.791]  I mean, just type it in, Bush crime history.
[00:13:42.378 --> 00:13:47.202]  Now, going back to Prescott and the Nazis, being grabbed by the feds.
[00:13:48.043 --> 00:13:52.546]  But, I mean, I've got to defend Jeb's youngest son.
[00:13:54.067 --> 00:14:07.758]  He was in downtown Austin, at a bar, and they came into the bar and started randomly arresting people, and they were arresting a young lady he was with, saying, well, we were watching you, you've had four drinks.
[00:14:08.499 --> 00:14:10.160]  And he went over and said, hey, what's the problem?
[00:14:10.220 --> 00:14:11.421]  And just talked to them.
[00:14:12.347 --> 00:14:13.827]  And so they arrested him.
[00:14:15.328 --> 00:14:17.188]  They arrested the Bushy.
[00:14:18.368 --> 00:14:21.069]  And, again, Jeb's youngest son.
[00:14:21.109 --> 00:14:22.009]  I forget his first name.
[00:14:23.090 --> 00:14:23.990]  It's Jeb, actually.
[00:14:24.650 --> 00:14:27.031]  And they grabbed him.
[00:14:29.211 --> 00:14:31.772]  And then they said that he leaned into them.
[00:14:33.192 --> 00:14:34.952]  And so they're charging him with resisting.
[00:14:35.012 --> 00:14:37.053]  And he's facing ten years in jail.
[00:14:38.286 --> 00:14:44.873]  Now again, folks, I don't think Rush Limbaugh should go to prison for taking 100 Oxycontin heroin pills a day.
[00:14:45.654 --> 00:14:46.755]  It's synthetic heroin.
[00:14:46.855 --> 00:14:48.717]  Time-released heroin, folks, is what it is.
[00:14:48.957 --> 00:14:50.079]  The molecule is identical.
[00:14:50.499 --> 00:14:52.221]  Time-released heroin.
[00:14:53.914 --> 00:15:16.985]  Now that ball of socialism and big government and that ball of communism, that ball of CFR globalism, who's meant to neutralize conservatives and fool you into thinking everything's okay when it's not, that Trojan horse, that wolf in sheep's clothing, that Benedict Arnold, that traitor, that camouflage enemy salvo, whatever you want to call him, shouldn't go to prison.
[00:15:18.570 --> 00:15:26.733]  But I'll tell you this, and they shouldn't use the Patriot Act to get his medical records, which the Associated Press and World Night Daily reported they did use.
[00:15:27.673 --> 00:15:38.796]  But I'll tell you this, I'll tell you he's a disgusting hypocrite, because I've heard that punk many times go, Oh, these young kids get caught with drugs.
[00:15:38.896 --> 00:15:43.358]  I love the no tolerance policy.
[00:15:44.378 --> 00:15:47.499]  Good, I've liked mandatory sentencing 15 years in prison.
[00:15:48.191 --> 00:15:49.772]  First time they're caught with cocaine.
[00:15:51.053 --> 00:15:52.414]  First time they're caught with heroin.
[00:15:53.275 --> 00:15:54.896]  I've heard him defend it and so have you.
[00:15:55.096 --> 00:15:58.599]  And then that piece of filth sits there.
[00:15:59.300 --> 00:16:10.408]  That guy that sits up there and tells you the free trade area of the Americas is good and there's no gun control and there's no global government and Bush didn't sign on to UNESCO and Bush is a conservative and everything's okay and don't worry.
[00:16:11.049 --> 00:16:13.531]  That guy was gobbling enough Oxycontin
[00:16:14.053 --> 00:16:21.579]  The kill, the news reported, doctors reported, 100 Oxycontin of the strength he was taking, well, 15 of those would kill a horse.
[00:16:22.260 --> 00:16:28.865]  So 15 into 100, we're talking 5, 6, 7 horses that could be killed by the amount he was taking, folks.
[00:16:29.146 --> 00:16:32.789]  I mean, that is total drug addict, massive tolerance.
[00:16:33.229 --> 00:16:36.632]  His liver would probably bounce like a basketball off the ground.
[00:16:36.652 --> 00:16:40.275]  I don't want to spend all day on this, but the point is,
[00:16:41.158 --> 00:16:44.720]  Is that Rush Limbaugh is immune to the laws he pushes to be passed.
[00:16:45.420 --> 00:16:50.783]  And this state rep thought he was immune, you know, the chairman of the committee over alcohol control.
[00:16:51.063 --> 00:16:53.885]  And I guarantee you, he passed laws to put young people in jail.
[00:16:54.465 --> 00:16:55.326]  Let me tell you something.
[00:16:55.366 --> 00:16:56.166]  I have friends.
[00:16:57.087 --> 00:17:02.450]  I have a friend who's a bartender at a very old, successful bar here in Austin.
[00:17:04.151 --> 00:17:06.532]  It's the D. Petty Cabaret.
[00:17:08.477 --> 00:17:25.806]  And the local state police goon squad, the Texas Department of Alcohol, whatever they're called, they came in, and they sat there, and they watched people have a couple drinks, and then they just cleared the bar out and basically arrested half the people, including the bartender.
[00:17:27.126 --> 00:17:29.147]  And the place doesn't even serve hard liquor, folks.
[00:17:29.167 --> 00:17:30.268]  They serve beer.
[00:17:31.408 --> 00:17:33.869]  And they went in there, and they took everybody out of there.
[00:17:33.889 --> 00:17:36.811]  It's a 53-year-old establishment.
[00:17:37.409 --> 00:17:40.890]  And they were all over Austin that night, just randomly grabbing people.
[00:17:41.530 --> 00:17:44.872]  And a few nights before, you got the Bushy.
[00:17:46.552 --> 00:17:48.873]  I mean, folks, they go into bars.
[00:17:48.933 --> 00:17:54.075]  Listen, this was in the Washington Times a couple years ago, and it even mentioned that Austin and D.C.
[00:17:54.115 --> 00:17:55.395]  are the two big cities that do this.
[00:17:55.475 --> 00:17:56.396]  It's spreading to others.
[00:17:57.876 --> 00:17:59.217]  They will go into...
[00:18:00.672 --> 00:18:06.616]  The restaurants, you know, the sports bars, where they got the video games, and they got the food, and they got the, there'll be a bar.
[00:18:06.996 --> 00:18:08.957]  I mean, every restaurant in town basically has this.
[00:18:10.719 --> 00:18:15.202]  And they will go into sports bars, and you're in there eating baby back ribs, and you're not even drinking.
[00:18:15.962 --> 00:18:18.504]  And they will just load up paddy wagons full of people.
[00:18:21.586 --> 00:18:24.808]  Again, this is total police state in your face.
[00:18:27.194 --> 00:18:33.297]  And then if you lean into them or you smart mouth them, these cops think it's okay to try to put you in prison for ten years.
[00:18:33.757 --> 00:18:35.557]  Because you, quote, leaned on them.
[00:18:35.958 --> 00:18:36.938]  It's like Abby Newman.
[00:18:36.958 --> 00:18:39.139]  We got video of her not resisting.
[00:18:39.479 --> 00:18:40.940]  They shove her up against a car.
[00:18:41.760 --> 00:18:42.720]  She doesn't resist.
[00:18:43.481 --> 00:18:44.981]  All she said was, I'm not getting out of the car.
[00:18:45.001 --> 00:18:45.782]  Then they drug her out.
[00:18:45.822 --> 00:18:46.482]  She didn't resist.
[00:18:46.742 --> 00:18:48.323]  And they charged her with resisting.
[00:18:48.863 --> 00:18:51.744]  Then they threw the book at her, even though they had their own squad car video.
[00:18:52.164 --> 00:18:54.325]  Now the jury saw it and said, not guilty.
[00:18:55.945 --> 00:18:56.906]  That's in Road to Tyranny.
[00:18:57.626 --> 00:19:06.434]  But still, they tried to put that woman in jail for over a decade in Virginia for nothing.
[00:19:06.914 --> 00:19:11.978]  Again, that mentality ought to scare every single one of you.
[00:19:11.998 --> 00:19:20.145]  Alright, we'll come back and talk to David and others that are patient.
[00:19:20.185 --> 00:19:22.407]  Chuck and others that are patiently holding.
[00:19:23.728 --> 00:19:25.269]  And I've got so much news today.
[00:19:26.095 --> 00:19:30.577]  There is so much of it, but the point is that every action is now being made criminal.
[00:19:30.937 --> 00:19:33.278]  Things that were never criminal are now being made criminal.
[00:19:36.039 --> 00:19:39.761]  And the neocons are saying, we shouldn't pray for the prisoners in jail.
[00:19:41.342 --> 00:19:42.602]  We should make them work.
[00:19:42.842 --> 00:19:44.883]  Oh yeah, for 20 cents an hour competing with you.
[00:19:46.064 --> 00:19:47.064]  Competing with our jobs.
[00:19:47.825 --> 00:19:49.865]  And they go, we ought to put them in work camps.
[00:19:49.945 --> 00:19:50.866]  I'm hearing a lot of that now.
[00:19:50.906 --> 00:19:55.568]  See, one inch away, you lean into the cops, 10 years in a work camp.
[00:19:56.380 --> 00:19:57.200]  Soviet Union.
[00:19:57.281 --> 00:19:58.081]  We're almost there.
[00:19:58.781 --> 00:19:59.182]  Here it is, folks.
[00:19:59.202 --> 00:19:59.662]  The 2006 Red Book.
[00:19:59.682 --> 00:20:02.703]  The most comprehensive edition ever published.
[00:20:08.675 --> 00:20:12.316]  Midas Resources believes our clients should be as informed as possible.
[00:20:13.096 --> 00:20:14.556]  It includes the history of U.S.
[00:20:14.636 --> 00:20:18.757]  coins, the actual mintages, the grading standards.
[00:20:19.357 --> 00:20:21.018]  Learn the stability of real money.
[00:20:21.438 --> 00:20:23.478]  Protect yourself from fiat currencies.
[00:20:23.898 --> 00:20:25.379]  They are instruments of debt.
[00:20:25.679 --> 00:20:27.739]  Feel the comfort and safety of real money.
[00:20:28.299 --> 00:20:34.141]  Midas will send you the 2006 Red Book and the genuine silver dollar for just $22.95 delivered today.
[00:20:36.477 --> 00:20:37.378]  Call Midas today at 1-800-686-2237.
[00:20:37.398 --> 00:20:37.618]  That's 1-800-686-2237.
[00:20:37.698 --> 00:20:39.679]  Don't be lost in a sea of confusion.
[00:20:40.140 --> 00:20:41.000]  Get the 2006 Red Book.
[00:20:41.060 --> 00:20:44.022]  Help steer your own financial ship.
[00:20:44.042 --> 00:20:44.723]  Call Midas now.
[00:20:44.743 --> 00:20:44.803]  1-800-686-2237.
[00:21:01.866 --> 00:21:05.347]  Hello folks, Alex Jones here introducing you to the Black Berkey Replacement Elements.
[00:21:05.627 --> 00:21:09.129]  They're new and they're more powerful than any gravity filter element on the market.
[00:21:09.209 --> 00:21:13.150]  These powerful filters fit most gravity filter systems and can be installed in minutes.
[00:21:13.370 --> 00:21:19.532]  Black Berkey Replacement Elements are so powerful they remove pathogenic bacteria, cysts, parasites to non-detectable levels.
[00:21:19.952 --> 00:21:27.855]  The trihalomethanes and volatile organic chemicals such as atrazine, styrene, chloroform, and MTBE are removed below detectable limits.
[00:21:28.255 --> 00:21:33.621]  Black Berkey filter elements also reduce nitrates and unwanted metals such as lead, mercury, and aluminum.
[00:21:33.761 --> 00:21:37.545]  Get the Black Berkey filter elements, leave in the nutritional minerals that your body needs.
[00:21:37.905 --> 00:21:39.767]  And the Black Berkey filters are reclaimable.
[00:21:39.827 --> 00:21:41.989]  Simply brush them up with Scotch-Brite pads.
[00:21:42.229 --> 00:21:47.174]  Normally $48 each, you get a two-pack for only $91 or a four-pack for only $173.
[00:21:47.214 --> 00:21:51.318]  Get the powerful Black Berkey replacement filters now by calling New Millennium at 888-
[00:21:52.039 --> 00:21:53.860]  803-4438 and tell them Alex Jones sent you.
[00:21:53.940 --> 00:21:55.542]  That's 888-803-4438 and protect your family.
[00:22:01.633 --> 00:22:04.776]  We understand that decisions related to health can be overwhelming.
[00:22:05.016 --> 00:22:11.821]  That is why at ResearchedHerbs.com we take pride in offering you herbs whose safety and effectiveness have been proven time and time again.
[00:22:12.281 --> 00:22:25.632]  For example, did you know that Live52, the top-selling natural herbal supplement for liver diseases since 1930, is backed by over 300 research studies and clinical trials and prescribed by more than 200,000 health professionals worldwide?
[00:22:25.952 --> 00:22:29.695]  In fact, the effectiveness of all the herbs featured on ResearchedHerbs.com
[00:22:29.855 --> 00:22:30.716]  We're good to go.
[00:22:30.736 --> 00:22:30.936]  I think?
[00:23:01.427 --> 00:23:03.888]  David J. Smith for Newswatch Magazine.
[00:23:04.568 --> 00:23:13.170]  Has anyone told you how the Patriot Acts number 1 and 2 is the groundwork to eliminate all of our freedoms guaranteed to us by the Bill of Rights?
[00:23:14.131 --> 00:23:19.072]  Have you been told that they infringe upon the 1st, 2nd, 4th, 5th, and 14th Amendment?
[00:23:20.132 --> 00:23:21.973]  This is minimum infringement.
[00:23:22.353 --> 00:23:23.133]  There may be more.
[00:23:24.104 --> 00:23:24.224]  516-8736.
[00:23:24.244 --> 00:23:24.504]  That's 1-800-516-8736.
[00:23:54.540 --> 00:23:55.121]  Call now.
[00:23:55.341 --> 00:23:58.083]  Our operators are standing by to take your order.
[00:24:02.587 --> 00:24:14.757]  All right, David, Sikander, Chuck, Lewis, Russell, everybody, I'm going to get to you.
[00:24:16.739 --> 00:24:21.123]  But looking at this article out of the Atlanta Journal-Constitution, this committee chairman...
[00:24:22.228 --> 00:24:32.313]  Has two DWIs, he ran a red light and got caught by police, and then he also got caught at a police checkpoint totally drunk, allegedly.
[00:24:34.394 --> 00:24:40.057]  And, of course, he's the chairman of the committee that passed laws to take federal funds to set up checkpoints.
[00:24:40.117 --> 00:24:47.881]  It's just like the Bushes have helped set up the police state, and all of their children, all of them, have been caught up in it.
[00:24:48.860 --> 00:24:53.983]  Whether it's with fake prescriptions or dealing drugs or selling drugs or stumbling around drunk.
[00:24:56.125 --> 00:24:58.706]  So none of them are even immune from their own system.
[00:24:59.707 --> 00:25:00.628]  Though they'd like to be.
[00:25:00.868 --> 00:25:02.048]  Don't you know who I am?
[00:25:02.149 --> 00:25:03.129]  I'm God!
[00:25:03.149 --> 00:25:06.051]  Of course, I've got to advise the police.
[00:25:07.052 --> 00:25:13.836]  If you pull a bush over and they're doing something illegal, believe me, it's very unhealthy to take them into jail.
[00:25:14.875 --> 00:25:21.079]  Very bad things, we've been tracking this, happen to people that do anything to their minions.
[00:25:22.160 --> 00:25:26.423]  So, but you've got to commend these police.
[00:25:26.783 --> 00:25:30.326]  They still take them to jail, even though they do shoot their mouths off.
[00:25:30.346 --> 00:25:31.447]  Do you know who I am?
[00:25:33.148 --> 00:25:37.431]  Let's go ahead and, yes, we know you are the son of a rattlesnake.
[00:25:37.990 --> 00:25:39.010]  Let's go ahead.
[00:25:39.070 --> 00:25:40.070]  David in Kansas.
[00:25:40.090 --> 00:25:40.771]  Go ahead, David.
[00:25:41.111 --> 00:25:41.831]  How you doing, Alex?
[00:25:41.891 --> 00:25:42.131]  Great show.
[00:25:42.151 --> 00:25:42.231]  Good.
[00:25:42.251 --> 00:25:42.451]  Welcome.
[00:25:42.471 --> 00:25:46.132]  I don't know how you keep your head from exploding doing the job that you do.
[00:25:46.992 --> 00:25:50.613]  I just had a... I want to tell a quick story and then ask you a specific question.
[00:25:51.513 --> 00:26:05.176]  You talk a lot about martial law, and I don't think people realize that the government doesn't need Walmart or Starbucks or any other facets of the service economy in order to control the country with this military-industrial complex.
[00:26:06.089 --> 00:26:10.572]  And I just want to tell a story about when I was recruited into the military.
[00:26:10.632 --> 00:26:12.073]  I just did a four-year STEM.
[00:26:12.213 --> 00:26:14.274]  It was Preventive Medicine and Radiation Protection.
