[00:00:07.023 --> 00:00:08.104]  Mainstream media.
[00:07:01.475 --> 00:07:03.838]  So what's in your shampoo, bath soap, and dish soap?
[00:07:04.078 --> 00:07:07.921]  Chlorides, dyes, ethanol, sulfates, sodiums, formaldehydes, etc.?
[00:07:08.242 --> 00:07:09.063]  Read the labels.
[00:07:09.483 --> 00:07:13.627]  Inhaling exposure can lead to coughing, wheezing, shortness of breath, headache, and nausea.
[00:07:13.847 --> 00:07:18.031]  Also may be irritating to the skin and mucous membranes and cause you to seek medical help.
[00:07:18.411 --> 00:07:23.276]  Perfumes, also known as fragrance on a label, can indicate the presence of thousands of separate ingredients.
[00:07:23.656 --> 00:07:27.178]  Now just by one example, here's what's in my CalBen Pure Soap Shampoo.
[00:07:27.418 --> 00:07:32.762]  It's all natural, earth friendly, it contains extra virgin cocoa butter oils and vegetable protein oils.
[00:07:33.042 --> 00:07:35.763]  No harsh chemicals, no animal tallow or testing.
[00:07:36.064 --> 00:07:36.964]  So what are you waiting for?
[00:07:37.264 --> 00:07:47.991]  Call now 1-800-340-7091 and find out how a family of four can save over $1,000 per year on all their cleaning products with CalBen Pure Soaps.
[00:07:48.371 --> 00:07:53.272]  Call Cal-Ben toll-free at 1-800-340-7091.
[00:07:53.412 --> 00:07:58.274]  That's 800-340-7091 or visit calbenpuresoap.com.
[00:08:02.155 --> 00:08:07.777]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:07.877 --> 00:08:16.219]  Alright my friends, 8 minutes and 15 seconds into this first hour of broadcast.
[00:08:17.518 --> 00:08:22.621]  I'm about to go over the latest developments in New Orleans and surrounding areas.
[00:08:22.802 --> 00:08:23.582]  Devastated.
[00:08:25.283 --> 00:08:30.987]  Just absolutely destroyed in many cases there on the Gulf Coast.
[00:08:31.047 --> 00:08:41.234]  A lot of new big developments that I'm sure most of you are aware of but we've got some news behind the news and some observations that need to be made.
[00:08:41.994 --> 00:08:46.137]  Also coming up here in about 25 minutes we have a meteorologist coming on
[00:08:47.465 --> 00:08:52.648]  Who has done some of the most revealing work concerning weather wars.
[00:08:53.869 --> 00:09:06.117]  And the government's own admission that they do have weather modification and weather generating systems that are both controlled from the ground and via the air.
[00:09:07.856 --> 00:09:30.616]  And I'm not saying the hurricane was a government action, though it happened near the September 11th anniversary, right when Bush's approval ratings were incredibly low, and Bush blocked the specific funds for repairing the dikes and levees, and this tropical depression suddenly got strengthened out of nowhere and raced towards the Gulf Coast,
[00:09:33.160 --> 00:09:38.646]  But really, with all the evidence out there on the table, I don't want to believe and I don't believe this was a government action.
[00:09:39.187 --> 00:09:46.835]  Now, the general public, most people in America today, are not aware that weather modification is at least 50 years old.
[00:09:48.477 --> 00:09:53.603]  And that a few years ago we had massive floods in South Texas that killed 35 people in one night.
[00:09:54.424 --> 00:10:04.414]  And it was in the newspaper that the Navy was doing weather modification with aircraft in those very storms that went from being large to being record size.
[00:10:05.895 --> 00:10:10.079]  And again, over 10 inches of rain was dumped in just a few hours, and it was horrible.
[00:10:11.622 --> 00:10:15.243]  And again, I have History Channel documentaries that listeners have mailed me.
[00:10:16.024 --> 00:10:31.430]  I have one from the Weather Channel, the Atmosphere Show, had one on weather modification and admitted that our government could create massive storms and floods to drown the enemy supply lines in Vietnam.
[00:10:33.730 --> 00:10:40.173]  And so, when we mention weather control, we get emails going, you people are complete lunatics, it doesn't exist.
[00:10:41.617 --> 00:10:49.799]  Folks, on InfoWars.com, right now, we have legislative bills at the congressional level in D.C.
[00:10:49.859 --> 00:11:00.262]  introduced, calling for blocking not just weather weapons, not just meteorological weapons, but tectonic, seismic weapons, volcanic weapons.
[00:11:01.263 --> 00:11:02.723]  These things do exist.
[00:11:03.443 --> 00:11:05.944]  It's not just the Hollywood movie, The Corps.
[00:11:08.811 --> 00:11:13.253]  The San Francisco Chronicle reported on something that I'd only seen in a few scientific journals.
[00:11:14.434 --> 00:11:17.136]  Then I saw reports that the government considered it to be classified.
[00:11:17.176 --> 00:11:21.299]  Those articles were removed, retroactively, that the U.S.
[00:11:21.359 --> 00:11:25.061]  government has developed antimatter bombs.
[00:11:26.062 --> 00:11:28.823]  And they've never been able to test them, though they know that they're operational.
[00:11:29.544 --> 00:11:37.349]  They can't test them because they could deploy one on Mars, and it could potentially destroy the entire solar system.
[00:11:38.507 --> 00:11:42.249]  So they can't test them, they've just built them.
[00:11:42.469 --> 00:11:43.290]  That's wonderful.
[00:11:43.470 --> 00:11:47.492]  You've built anti-matter bombs.
[00:11:47.532 --> 00:12:00.159]  So it's 2005, folks, and in 1944, our government had the Fat Boy, which could blow up a major, destroy a major city.
[00:12:01.145 --> 00:12:04.306]  So, believe me, that's not the height of advancement.
[00:12:04.406 --> 00:12:18.489]  When they tell you the SR-71 Blackbird, in service in 1955, is the fastest plane in 2005, 50 years later, folks, I'm telling you that's not the case.
[00:12:20.270 --> 00:12:24.231]  They have aircraft that can go from New York to Tokyo in less than an hour.
[00:12:26.311 --> 00:12:27.091]  Alright, so,
[00:12:30.538 --> 00:12:41.007]  Can the criminals that run the global system, our overlords, our owners, our masters, can they create earthquakes?
[00:12:42.228 --> 00:12:44.070]  Can they create tsunamis?
[00:12:44.770 --> 00:12:46.392]  Can they create hurricanes?
[00:12:46.932 --> 00:12:47.252]  Yes.
[00:12:48.153 --> 00:12:57.842]  But the latest science on it shows, with mathematical calculations, looking at the different systems our government has, shows they cannot control them.
[00:12:59.938 --> 00:13:04.781]  They cannot control them, especially large formations.
[00:13:06.062 --> 00:13:13.806]  Yes, they can take a tropical depression by ionizing the atmosphere with giant antenna farms on the ground or on ships.
[00:13:13.847 --> 00:13:14.987]  This is the published stuff.
[00:13:15.668 --> 00:13:22.812]  Then using jets to spray and seed with chemicals in an existing storm, they can create a hurricane.
[00:13:24.002 --> 00:13:26.684]  With the proper sea temperatures and proper things.
[00:13:26.704 --> 00:13:32.228]  You know, it's like I can't make a chocolate cake without the chocolate and without the eggs and without the flour.
[00:13:32.768 --> 00:13:33.469]  Without the sugar.
[00:13:34.690 --> 00:13:36.091]  Well, it's the same thing with the globalists.
[00:13:36.111 --> 00:13:38.192]  They can't just make hurricanes out of nothing.
[00:13:38.572 --> 00:13:42.495]  They take existing jet streams and gulf streams.
[00:13:42.535 --> 00:13:44.476]  They take existing El Nino effects.
[00:13:44.837 --> 00:13:48.679]  They take existing weather patterns and then manipulate them.
[00:13:50.080 --> 00:13:53.663]  That's why I don't believe that this is a government action.
[00:13:54.508 --> 00:14:24.001]  Because whereas, even with the advanced technologies they've got, and folks, I've even interviewed generals who are over the HART program, here on the program, here on the show, and they will tell you that whereas these type of things can be created or accentuated, they call it weather modification, it's not really creation, to make one sit there off the Gulf Coast of Florida for a few days and then race up and
[00:14:24.787 --> 00:14:31.488]  You know, just be 50 miles off from a T-bone hit of New Orleans, it's just the technology is not there.
[00:14:32.628 --> 00:14:35.529]  And I mean, I'm being criticized by different parties right now.
[00:14:35.709 --> 00:14:37.609]  Alex Jones, see, he's evil!
[00:14:38.569 --> 00:14:38.929]  Why?
[00:14:39.049 --> 00:14:40.650]  He won't say it's the government.
[00:14:43.130 --> 00:14:44.850]  We go off what we can prove.
[00:14:45.391 --> 00:14:51.132]  I mean, already most of the audience is having probably troubles dealing with what I have posted on my website.
[00:14:51.812 --> 00:14:53.552]  I mean, Secretary of Defense Cohen
[00:14:54.834 --> 00:15:01.096]  In 97, saying whether weapons are here and are real and are more dangerous than nuclear weapons.
[00:15:03.196 --> 00:15:04.857]  I mean, I have the legislation.
[00:15:05.577 --> 00:15:14.499]  I have the articles where, well, just a few months ago they had the 50th anniversary or 60th whatever of the Russians' victory over the Nazis.
[00:15:15.219 --> 00:15:15.999]  It'd be 60th.
[00:15:17.100 --> 00:15:22.181]  And it was horrible thunderstorms and the Russians went out and set up their antennas and
[00:15:22.944 --> 00:15:25.126]  Had some jets flying by and it was clear sky.
[00:15:27.088 --> 00:15:28.629]  And it was all over the news.
[00:15:29.450 --> 00:15:36.036]  Folks, this stuff is real, but just because it's real doesn't mean that the government created this hurricane.
[00:15:36.396 --> 00:15:38.157]  Now, let's look at what the government really did do.
[00:15:39.899 --> 00:15:42.721]  On average, the federal government doubled in size.
[00:15:42.801 --> 00:15:45.043]  The average federal agency doubled.
[00:15:45.164 --> 00:15:49.027]  Some quadrupled, some got smaller, but on average we had a doubling.
[00:15:49.835 --> 00:15:53.779]  And I remember a year ago seeing people complaining, man, Houston Chronicle!
[00:15:54.479 --> 00:16:03.047]  Hundreds of thousands could die if Houston Chronicle reported if New Orleans is hit by a Category 4 Greater Hurricane.
[00:16:04.489 --> 00:16:09.553]  And the hydrologists, the meteorologists, they were all saying this.
[00:16:09.573 --> 00:16:11.275]  The people looking at the topography.
[00:16:14.833 --> 00:16:23.956]  They took that funding after 9-11 and they cut it almost to nothing for flood retention to hold back the floods.
[00:16:24.836 --> 00:16:26.677]  And they cut it each successive year.
[00:16:29.097 --> 00:16:31.498]  And no one was reporting on this the last few days.
[00:16:31.558 --> 00:16:40.801]  Now finally Salon and a few other major publications, I even saw a Yahoo story, it is now being reported on.
[00:16:42.665 --> 00:16:51.652]  And then now it's coming out that Bush was playing guitar and partying and Lisa Rice was joking and laughing, you know, just a day and a half ago.
[00:16:51.852 --> 00:16:53.494]  I mean, they don't care.
[00:16:55.215 --> 00:16:56.476]  Bill Clinton doesn't care.
[00:16:56.536 --> 00:16:58.297]  I mean, they love these disasters.
[00:16:58.337 --> 00:17:03.442]  They get to grandstand and go basically suck off of all of the contributions that are given.
[00:17:05.263 --> 00:17:07.104]  And so it's the same thing happening again.
[00:17:08.245 --> 00:17:10.067]  And here's the government, unable,
[00:17:11.298 --> 00:17:19.001]  Outside the Superdome, where tens of thousands of people are trapped now for three days, outside the Superdome today, somebody fired a gunshot.
[00:17:19.841 --> 00:17:31.285]  So the police and the military retreat in cowering fear and say, we've got to stop the evacuation because somebody fired a gun.
[00:17:34.026 --> 00:17:35.926]  I mean, what do we pay the police?
[00:17:36.687 --> 00:17:40.528]  What do we pay the National Guardsmen for?
[00:17:41.866 --> 00:17:52.033]  I mean, for all their black masks and all their little outfits and all their armored vehicles... 30 years ago, folks, if we had a bunch of looters running around, they would have been dealt with.
[00:17:53.294 --> 00:17:55.955]  And the media... and the looters are horrible.
[00:17:57.096 --> 00:18:04.241]  But at the same time, the media will point cameras at some mother with a bag and her two children with her and go, oh, look, looters!
[00:18:04.701 --> 00:18:06.002]  Most of those people are not looters.
[00:18:06.442 --> 00:18:08.924]  Though there are a bunch of unsavory, out-of-control looters.
[00:18:09.966 --> 00:18:11.887]  And now they're trying to demonize the Second Amendment.
[00:18:11.927 --> 00:18:12.287]  Why?
[00:18:13.028 --> 00:18:14.789]  Why will Walmart be liable?
[00:18:14.869 --> 00:18:17.411]  People broke into Walmart and got guns.
[00:18:17.491 --> 00:18:18.911]  Look how bad guns are!
[00:18:20.612 --> 00:18:21.373]  Well, look at the L.A.
[00:18:21.453 --> 00:18:28.257]  riots with the Korean shopkeepers holding back the rioters and containing it when the police basically said, we're not going to go in there.
[00:18:28.757 --> 00:18:30.839]  It was citizens who stopped a lot of the rioting.
[00:18:32.219 --> 00:18:37.002]  And there are scum that were shooting at the firemen in the riots in L.A.
[00:18:37.042 --> 00:18:37.763]  in the early 90s.
[00:18:37.843 --> 00:18:39.444]  I mean, it's just scum of the earth, folks.
[00:18:41.132 --> 00:18:42.953]  But who are the heroes of the day?
[00:18:43.073 --> 00:18:46.434]  It's not the government, regardless of how much the media says that.
[00:18:46.494 --> 00:18:49.456]  It isn't the government that didn't repair the levees and dikes.
[00:18:51.697 --> 00:19:04.242]  No, it's the citizens of Louisiana and Texas and Mississippi who are taking in by the millions now, millions of people who are homeless, taking them in, feeding them, donating.
[00:19:06.124 --> 00:19:14.810]  And again, the government cannot protect you, is not going to protect you, is never going to take care of you, whether it's Social Security or Medicare or Medicaid.
[00:19:15.350 --> 00:19:18.372]  They only got you addicted to government to get you under their control.
[00:19:18.472 --> 00:19:20.113]  Now they're removing all of that.
[00:19:21.074 --> 00:19:31.000]  And so for everybody out there that's counting on the government to take care of them, whether it's a terrorist attack, or an asteroid, or a giant earthquake, or a tsunami,
[00:19:31.821 --> 00:19:33.442]  They're not going to protect you.
[00:19:33.542 --> 00:19:38.586]  You've got to make preparations to take care of yourself!
[00:19:42.870 --> 00:19:47.133]  And I mean, I saw Chris Matthews last night just going, oh, the federal government, aren't they just wonderful?
[00:19:47.694 --> 00:19:51.897]  Oh, a lot of people don't like the feds, states' rights, but man, aren't they doing a great job?
[00:19:52.257 --> 00:19:54.039]  That's not what the mayor of New Orleans says.
[00:19:54.059 --> 00:19:55.380]  They're screwing it all up!
[00:19:56.801 --> 00:19:58.082]  Chertoff and the rest of them.
[00:20:01.807 --> 00:20:05.890]  If the cost of your prescriptions are getting out of control, you want to listen carefully to this.
[00:20:06.190 --> 00:20:13.975]  RxDrugCard.com is a simple, innovative program designed to give individuals the same purchasing power as large HMOs and insurance companies.
[00:20:14.155 --> 00:20:24.021]  As a member of RxDrugCard.com, you'll enjoy savings of up to 80% on all prescription medications at over 52,000 USA pharmacies, including Walmart, Walgreens, and Eckerd's.
[00:20:24.301 --> 00:20:27.984]  Don't risk ruining your health by using cheap, counterfeit foreign drugs.
[00:20:28.064 --> 00:20:32.247]  This program provides savings on safe, genuine, FDA-approved medications.
[00:20:32.427 --> 00:20:42.515]  With low membership fees, unlimited use, no age or income requirements, and coverage for all pre-existing conditions, RxDrugCard.com is an absolute must for anyone who pays for their own prescriptions.
[00:20:42.695 --> 00:20:44.417]  Enroll today for as little as $4.50 per month.
[00:20:44.957 --> 00:20:48.861]  At www.rxdrugcard.com and start saving immediately!
[00:20:49.081 --> 00:20:52.325]  rxdrugcard.com is backed by a 30-day money-back guarantee!
[00:20:52.425 --> 00:20:54.827]  Visit rxdrugcard.com or call 888-216-2461.
[00:20:54.847 --> 00:20:55.108]  That's 888-216-2461.
[00:21:03.146 --> 00:21:04.187]  The War on Terrorism.
[00:21:04.507 --> 00:21:07.310]  Will it be fought overseas or will it affect us here at home?
[00:21:07.570 --> 00:21:11.734]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:21:12.154 --> 00:21:12.995]  So what do you do?
[00:21:13.296 --> 00:21:17.860]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:21:18.360 --> 00:21:20.482]  With a little know-how, it's not that difficult.
[00:21:20.962 --> 00:21:35.673]  Sheltering in Place, Surviving Acts of Terrorism from Biological, Chemical, and Radioactive Fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:21:35.713 --> 00:21:42.778]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:21:43.118 --> 00:21:47.522]  Get this critical video every American needs for only $29 plus shipping.
[00:21:47.962 --> 00:21:49.984]  Order by calling New Millennium today at 888-803-4438.
[00:21:50.104 --> 00:21:50.544]  That's 888-803-4438.
[00:21:50.804 --> 00:21:52.266]  Or order on the web at Berkeywater.com.
[00:21:52.286 --> 00:21:53.266]  Currency devaluation.
[00:21:53.346 --> 00:21:53.587]  Inflation.
[00:21:53.607 --> 00:21:54.087]  One and the same.
[00:22:07.478 --> 00:22:12.549]  If you had deposited $100,000 in a bank at 1% in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[00:22:19.531 --> 00:22:22.734]  The dollar lost 33% of its value in that time frame.
[00:22:23.114 --> 00:22:25.777]  The bank paid you 1%.
[00:22:25.837 --> 00:22:30.181]  Your $100,000 now has a net purchasing power of $68,000.
[00:22:31.422 --> 00:22:32.323]  Here is reality.
[00:22:32.663 --> 00:22:36.266]  The devaluation of currency equals real inflation.
[00:22:37.327 --> 00:22:40.951]  Keep in mind how the value of your paper assets are measured in dollars.
[00:22:41.751 --> 00:22:45.616]  Gold in the same time frame increased 35% in value.
[00:22:46.137 --> 00:22:50.202]  Learn how to protect and profit in this truly unstable world economy.
[00:22:50.723 --> 00:22:52.185]  Call Midas Resources at 1-800-686-2237.
[00:22:52.245 --> 00:22:52.485]  That's 1-800-686-2237.
[00:23:02.719 --> 00:23:08.044]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[00:23:08.364 --> 00:23:13.649]  Globalists are concerned with what's good for big business in the American empire, instead of what's fair for the American people.
[00:23:14.069 --> 00:23:17.072]  The only antidote to the poison of globalism is nationalism.
[00:23:17.493 --> 00:23:19.414]  Start reading the Nationalist Times each month.
[00:23:19.675 --> 00:23:24.399]  The Nationalist Times promotes a common-sense, intelligent, and passionate alternative to the reigning party line.
[00:23:24.779 --> 00:23:32.865]  Published monthly since 1985, The Nationalist Times is a 20-page newspaper featuring outstanding writers and columnists who don't believe in taboos or sacred cows.
[00:23:33.226 --> 00:23:36.148]  Be one of the many thousands of loyal readers of The Nationalist Times.
[00:23:36.468 --> 00:23:38.049]  Subscribe now to The Nationalist Times.
[00:23:38.269 --> 00:23:38.750]  Just $19 for one year.
[00:23:38.790 --> 00:23:39.891]  That's 50% off the regular price.
[00:23:41.932 --> 00:23:45.314]  Send for your $19 subscription to The Nationalist Times, P.O.
[00:23:45.334 --> 00:23:47.935]  Box 426, Allison Park, Pennsylvania, 15101.
[00:23:49.696 --> 00:23:51.357]  That's The Nationalist Times, P.O.
[00:23:51.397 --> 00:23:53.858]  Box 426, Allison Park, Pennsylvania, 15101.
[00:23:54.739 --> 00:23:59.761]  Or subscribe online at our website, www.anu.org.
[00:24:02.022 --> 00:24:08.626]  Crashing through the lies and disinformation, it's Alex Jones, only on the GCN Radio Network.
[00:24:14.425 --> 00:24:26.191]  We're going to go to Charles in Louisiana in just a minute or so, but more Navy ships headed to the Gulf Coast.
[00:24:27.232 --> 00:24:37.518]  The aircraft carrier, the USS Harry S. Freeman, was headed to the Gulf Coast Thursday to serve as a floating command center for Hurricane Katrina relief operations.
[00:24:39.750 --> 00:24:43.771]  Meanwhile, Bush says he can't spare any troops from Iraq, though.
[00:24:44.491 --> 00:24:49.692]  He's just got to have, well, a doubling of the National Guard now that are going to be sent there, up to 28,000.
[00:24:51.972 --> 00:25:09.396]  And I've just got to say this, and for those that aren't informed on it, just put on your thinking caps, remember, back in 1995, the Red Cross, which is actually a globalist intelligence agency, a lot of well-meaning people that serve it, but the leadership is absolutely criminal,
[00:25:10.294 --> 00:25:15.818]  Went into the Oklahoma City area after the bombing and said, we'll deliver all the mail from the post office to the families.
[00:25:16.598 --> 00:25:22.142]  Because people would see a widow or somebody who'd lost their children and they would write them ten, twenty thousand dollar checks.
[00:25:23.302 --> 00:25:30.607]  And the Red Cross was caught, and convicted, and civilly had to settle for actually signing over checks for themselves.
[00:25:31.167 --> 00:25:33.549]  And this was done on an industrial scale.
[00:25:33.849 --> 00:25:35.450]  It wasn't like a few employees did this.
[00:25:35.830 --> 00:25:38.592]  The Red Cross is flagrantly criminal.
[00:25:40.012 --> 00:25:41.272]  And they were convicted of that.
[00:25:41.653 --> 00:25:43.053]  And they stole millions of dollars.
[00:25:43.773 --> 00:25:50.796]  And then, of course, you know on 9-11, I got on air, the day after 9-11, and I said, don't give money to the Red Cross or the United Way.
[00:25:51.336 --> 00:25:52.296]  They steal the money.
[00:25:53.176 --> 00:25:58.798]  I said, give it to other charities that actually are just taking food or medicine or clothes.
[00:25:59.058 --> 00:26:01.959]  And you can do searches on them online.
[00:26:01.979 --> 00:26:03.040]  You can do research on them.
[00:26:04.562 --> 00:26:08.725]  The bad charities have all been caught and engaged in corruption many times.
[00:26:08.765 --> 00:26:10.326]  There are a lot of good charities.
[00:26:11.947 --> 00:26:17.991]  And so we said, send breathing apparatus so the rescue workers don't breathe the asbestos.
[00:26:18.851 --> 00:26:28.978]  And we did get, just this show alone, hundreds of those mailed to a nearby church that was giving breathing apparatus to the firemen and others.
[00:26:30.063 --> 00:26:34.504]  Even though the government said that it was nutritious debris they were breathing, we knew it wasn't.
[00:26:35.784 --> 00:26:43.946]  And so it may feel good to you, it may be easy, because the media all points the way towards the Red Cross to give money to them.
[00:26:44.366 --> 00:26:49.207]  But we also talked about how they've been caught giving money to gun control groups, as well as the United Way.
[00:26:49.767 --> 00:26:51.687]  And sure enough, it became a big scandal.
[00:26:52.068 --> 00:26:54.888]  Tens of millions of dollars given to gun control groups.
[00:26:56.869 --> 00:26:59.069]  And other socialistic organizations.
[00:26:59.873 --> 00:27:00.453]  And movements.
[00:27:01.373 --> 00:27:03.074]  And I actually got some heat for that.
[00:27:03.614 --> 00:27:07.475]  Of course, I was totally exonerated as it became a national scandal.
