[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[00:06:32.280 --> 00:06:37.143]  prison rates soars even higher, filled with non-violent offenders who make good workers.
[00:06:37.143 --> 00:06:37.263]  U.S.
[00:06:37.263 --> 00:06:47.328]  prison population has risen further, with 1 in 138 people now in jail, new official figures reveal.
[00:06:47.328 --> 00:06:48.429]  There are more than 2.1 million people
[00:06:50.097 --> 00:06:50.297]  U.S.
[00:06:50.297 --> 00:06:51.618]  citizens in jail.
[00:06:51.618 --> 00:06:52.859]  And of course, these numbers are wrong.
[00:06:52.859 --> 00:06:55.261]  You look at the Justice Department numbers.
[00:06:55.261 --> 00:06:57.963]  It's 7 plus million.
[00:06:57.963 --> 00:07:00.465]  They're just counting one strata of jails.
[00:07:00.465 --> 00:07:05.550]  The figures show the prison population increased by an estimated 48,552 people, or 2.3% in the year, in this year to June 30, 2004.
[00:07:05.550 --> 00:07:08.332]  Alright, we'll get more into that coming up as well.
[00:07:18.152 --> 00:07:18.772]  Some good news.
[00:07:18.772 --> 00:07:21.373]  Students bring Patriot Act to town meeting.
[00:07:21.373 --> 00:07:25.433]  I quit counting a year ago, but it was over 400 cities and 4 states then.
[00:07:25.433 --> 00:07:29.654]  Several more states have gone against the Patriot Act now, including conservative states.
[00:07:29.654 --> 00:07:32.635]  But I've got to commend these students in Boston.
[00:07:32.635 --> 00:07:37.856]  It's students, high school students, going to the City Council to defeat the Patriot Act.
[00:07:37.856 --> 00:07:40.056]  Putin deplores the collapse of the USSR.
[00:07:40.056 --> 00:07:42.117]  Folks, it never collapsed.
[00:07:42.117 --> 00:07:44.137]  City cameras don't cut crime.
[00:07:45.552 --> 00:07:48.494]  New report out, but that doesn't stop the government from accelerating it.
[00:07:48.494 --> 00:07:52.756]  And even Newsmax has to admit that Bush is boosting Hillary in 08.
[00:07:52.756 --> 00:08:00.361]  Of course, Clinton's in a continual love-fest with the Bushes, agreeing with all their policies.
[00:08:00.361 --> 00:08:09.166]  A horrible article here about a baby, alive, who the abortionists didn't even try to save.
[00:08:09.166 --> 00:08:12.188]  At least 50 die in that Japan derailment.
[00:08:12.188 --> 00:08:15.050]  A packed meter train jumped the tracks of western Japan on Monday.
[00:08:15.948 --> 00:08:24.232]  Hurdled into an apartment building, killing 50 people and injuring more than 340 others in the deadliest rail accident in Japan in four decades.
[00:08:24.232 --> 00:08:28.434]  Rail is still one of the most safest ways to travel.
[00:08:28.434 --> 00:08:34.356]  The transportation period is dangerous, and it's the number one cause of death until you hit 55, and it's cancer and heart attacks.
[00:08:34.356 --> 00:08:38.618]  Depending on what year you look at, one year it's cancer, next year it's heart attacks.
[00:08:38.618 --> 00:08:42.500]  They're always taking the pole position from each other.
[00:08:42.500 --> 00:08:43.000]  But, um,
[00:08:44.110 --> 00:08:47.252]  It just shows how quickly life can be snuffed out.
[00:08:47.252 --> 00:09:02.120]  You fear fighting for liberty and freedom, you're afraid the globalists will get you, but you still get in your car every day, you still get on planes every month, you still get on trains every week, when this is your number one cause of death.
[00:09:02.120 --> 00:09:12.366]  Last time I looked at the numbers, you're nine times more likely for your child to drown in the bathtub, or a mop bucket, or in the pool, than for your child to die from a gun, but we hear, ban the guns, it's for the children.
[00:09:13.217 --> 00:09:17.098]  I like to look at statistics, though.
[00:09:17.098 --> 00:09:18.498]  There is so much I want to cover.
[00:09:18.498 --> 00:09:27.420]  When we get back, I want to air about a three-minute newscast out of CBS Channel 10 to analyze it out of Florida concerning this five-year-old arrested in Florida on felony charges.
[00:09:27.420 --> 00:09:31.761]  We first heard that she was viciously, savagely attacking her teachers.
[00:09:31.761 --> 00:09:35.702]  And so that's why the five-year-old had to be arrested by three police and charged with a felony.
[00:09:37.816 --> 00:09:42.699]  The problem is, now the Big Brother video camera footage has been released from the classroom.
[00:09:42.699 --> 00:09:44.821]  Look at how surveilled things are.
[00:09:44.821 --> 00:09:51.445]  And she is, like I've seen Brat do in the grocery store, in the mall, on the street, I know you've seen it, spatting.
[00:09:51.445 --> 00:09:56.228]  Just going, nyeh, nyeh, nyeh, with her hands, open hands at the teacher.
[00:09:56.228 --> 00:10:04.174]  And in the old days, the teacher would have grabbed that youth, drug her by her ear or her hair, to the principal's office where she would have been given
[00:10:04.887 --> 00:10:09.299]  Five to six pops, as I did when I acted like that.
[00:10:09.299 --> 00:10:11.345]  And when I got home, I'd have really been in trouble.
[00:10:12.256 --> 00:10:16.579]  But I read the Globalist Think Tank documents that were written by the Carnegie Foundation 70 years ago.
[00:10:16.579 --> 00:10:22.884]  They said that we have to train parents not to discipline, so that then their children will be rebellious and out of control.
[00:10:22.884 --> 00:10:24.625]  We can then fill the prisons with them.
[00:10:24.625 --> 00:10:29.849]  So what they do is, instead of disciplining the children in the schools, they've taken that authority from the teachers.
[00:10:29.849 --> 00:10:36.734]  Then things turn into bedlam, because the children are gobbling Twinkies and Cokes between every recess, basically.
[00:10:36.734 --> 00:10:38.776]  Literally.
[00:10:38.776 --> 00:10:39.496]  You got children?
[00:10:39.496 --> 00:10:41.478]  You ever given your children sugar and watch how they act?
[00:10:42.597 --> 00:10:43.498]  People are idiots.
[00:10:43.498 --> 00:10:45.579]  I see them giving their children cokes, Twinkies, all of it.
[00:10:45.579 --> 00:10:48.602]  No wonder your children act like demons.
[00:10:48.602 --> 00:10:57.609]  And the child bounces off the walls, and instead of disciplining them, don't we just call the police, charge you with a felony, and send you to juvie, where you're really going to get beat up.
[00:10:57.609 --> 00:10:59.531]  You see?
[00:10:59.531 --> 00:11:00.692]  They know what they're doing.
[00:11:00.692 --> 00:11:03.194]  They're training us all to be prisoners.
[00:11:03.194 --> 00:11:06.716]  Next, it'll be four-year-olds being arrested and charged as adults.
[00:11:06.716 --> 00:11:09.599]  For spatting.
[00:11:09.599 --> 00:11:11.080]  I remember the old days, occasionally.
[00:11:12.094 --> 00:11:15.936]  A student would take a swing at a coach and it happened a few times.
[00:11:15.936 --> 00:11:20.358]  The coach would just grab them, tackle them, slam them down on the ground and then make them run till they vomited.
[00:11:20.358 --> 00:11:27.002]  And then they respected the coach and became good friends with them and that's how things were done.
[00:11:27.002 --> 00:11:34.786]  But if a coach today grabbed one of these punks, some big 14-year-old taking a swing at them, that coach would be in jail.
[00:11:34.786 --> 00:11:37.908]  So instead we put your son in jail.
[00:11:38.945 --> 00:11:44.068]  The criminal justice system and two years later they're on heroin with tattoos all over their bodies.
[00:11:44.068 --> 00:11:47.731]  And they're male punks with HIV.
[00:11:47.731 --> 00:11:49.152]  Because we've taken discipline away.
[00:11:49.152 --> 00:11:49.732]  We'll be right back.
[00:11:52.532 --> 00:11:59.520]  For some time now, many people have heard of the benefits of oregasin, oreganol, oregamax, and the many under-health products from North American Urban Spice.
[00:11:59.520 --> 00:12:09.632]  Dr. Cass Ingram has stated, Extracts of wild oregano, notably the P7-3 oil, in particular the P7-3 oregasin, completely obliterate the human cold virus in 20 minutes in one dose.
[00:12:10.312 --> 00:12:12.094]  With a 100% kill.
[00:12:12.094 --> 00:12:17.217]  Health and well-being can be achieved by using the all-natural herb and spice products from North American Herb and Spice.
[00:12:17.217 --> 00:12:21.620]  Call 877-817-9829 to order or ask for a free catalog.
[00:12:21.620 --> 00:12:30.847]  The oils, juices, and capsules manufactured by North American Herb and Spice are from the finest raw materials in the world, which is why North American Herb and Spice is recognized as the leader in natural herbal products.
[00:12:30.847 --> 00:12:35.991]  The herbal medicine has the exact frequency, the exact chemistry to kill any germ.
[00:12:36.551 --> 00:12:36.932]  Call 877-817-9829.
[00:12:36.932 --> 00:12:39.616]  That's 877-817-9829 and start down the road to herbal health.
[00:12:39.616 --> 00:12:41.559]  Herbs and spices or doctors and drugs.
[00:12:41.559 --> 00:12:42.400]  The choice is yours.
[00:12:42.400 --> 00:12:45.265]  Call 877-817-9829 to order your North American Herb and Spice products today.
[00:12:52.350 --> 00:12:53.270]  Terrorism!
[00:12:53.270 --> 00:12:54.130]  Terrorism!
[00:12:54.130 --> 00:13:00.432]  Chemical attacks, dirty bombs, fallout, biological attack, hand threats, and to top it all off, duct tape and plastic!
[00:13:00.432 --> 00:13:02.272]  Alarming words for our time!
[00:13:02.272 --> 00:13:05.133]  But how do you protect your family during such a crisis?
[00:13:05.133 --> 00:13:19.736]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:13:19.736 --> 00:13:20.236]  government.
[00:13:20.236 --> 00:13:22.036]  Anyone can follow the simple instructions.
[00:13:22.416 --> 00:13:28.479]  It's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[00:13:28.479 --> 00:13:33.220]  If you're not the type who waits till it's too late, then you need the video, Sheltering in Place.
[00:13:33.220 --> 00:13:38.723]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:13:38.723 --> 00:13:40.003]  And tell them Alex Jones sent you.
[00:13:40.003 --> 00:13:40.603]  That's 888-803-4438.
[00:13:40.603 --> 00:13:42.644]  Or order on the web at murkywater.com.
[00:13:53.257 --> 00:13:55.958]  Hi folks, Jack Browner from Midas Resources.
[00:13:55.958 --> 00:14:00.240]  The Real Money Folks.
[00:14:00.240 --> 00:14:02.641]  Let's review a few things from the past year.
[00:14:02.641 --> 00:14:03.601]  November 2003 to November 2004.
[00:14:03.601 --> 00:14:05.042]  The dollars ranged from $9,800 to $10,300.
[00:14:05.042 --> 00:14:06.162]  A 5% increase.
[00:14:06.162 --> 00:14:08.663]  The dollar's value has dropped from $0.96 to $0.70 against the year-old.
[00:14:08.663 --> 00:14:11.884]  A 24% decrease in spending power against the gold-backed year-old.
[00:14:21.494 --> 00:14:27.719]  Gold has gone from the 390s to the 440s, a 16% increase in real money.
[00:14:27.719 --> 00:14:31.321]  Precious metals are the safe haven in today's hectic marketplace.
[00:14:31.321 --> 00:14:37.766]  To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[00:14:37.766 --> 00:14:42.369]  Remember, gold is liquid, private, and portable.
[00:14:42.369 --> 00:14:45.752]  Call now before your buying power shrinks even more dramatically.
[00:14:45.752 --> 00:14:47.173]  That's Midas Resources at 800-686-2237.
[00:14:51.758 --> 00:14:53.199]  Why do you wear watches?
[00:14:53.199 --> 00:14:56.242]  The answer is no longer simply to tell time.
[00:14:56.242 --> 00:15:04.188]  At DiscountWatchStore.com, watches are as much about telling time as they are about making a fashion statement or showing off one's success.
[00:15:04.188 --> 00:15:08.392]  Watches also make for great heirlooms to pass on for generations to come.
[00:15:08.392 --> 00:15:10.654]  As an authorized dealer of many fine watches,
[00:15:10.954 --> 00:15:17.800]  DiscountWatchStore.com offers fine timepieces that have been sought after by many for over 160 years.
[00:15:17.800 --> 00:15:22.645]  Choose from over 450 styles with discounts up to 70% off retail prices.
[00:15:22.645 --> 00:15:28.290]  With Mother's Day and Father's Day right around the corner, now is a perfect time to get them the watch they've always wanted.
[00:15:28.290 --> 00:15:34.055]  Visit DiscountWatchStore.com slash radio today to get an extra 5% off our already low, low prices.
[00:15:34.435 --> 00:15:37.757]  Free shipping and secure transaction is standard with every order.
[00:15:37.757 --> 00:15:40.879]  So visit DiscountWatchStore.com slash radio today.
[00:15:40.879 --> 00:15:43.861]  That is DiscountWatchStore.com slash radio.
[00:15:43.861 --> 00:15:44.622]  Or call toll free 866-371-2330.
[00:15:44.622 --> 00:15:44.922]  That's 866-371-2330.
[00:15:44.922 --> 00:15:45.743]  Waging war on corruption.
[00:15:45.743 --> 00:15:47.564]  Alex Jones on the GCN Radio Network.
[00:16:04.725 --> 00:16:23.645]  I could speak for hours about the arrest of this five-year-old for limp-wristedly, barely slapping, at about five miles an hour, and the hands were just moving so slowly, going, nyeh, nyeh, nyeh, on the teacher.
[00:16:26.312 --> 00:16:33.778]  But really the bigger news story here is how the media all over the country was legitimizing, and I went and watched four or five newscasts online.
[00:16:33.778 --> 00:16:35.419]  They were all basically the same script.
[00:16:35.419 --> 00:16:36.200]  Is this good?
[00:16:36.200 --> 00:16:37.981]  Well, maybe they have to, you know.
[00:16:37.981 --> 00:16:41.264]  Arrest five-year-olds and charge them with felonies.
[00:16:41.264 --> 00:16:55.315]  Then they show the worst possible video they can, which is the child being followed around by this special ed teacher who's hanging over, getting in her face, not talking to the child in a loving fashion.
[00:16:57.617 --> 00:17:03.222]  They're on video camera, it's so obvious, trying to get her to respond or do something.
[00:17:03.222 --> 00:17:10.647]  And then, uh, the child is limp-wristedly going, eh, eh, at the teacher's hands that are trying to grab a hold of her.
[00:17:10.647 --> 00:17:12.029]  I mean, literally, folks.
[00:17:12.029 --> 00:17:14.110]  Limp-wristedly, like a jellyfish.
[00:17:14.110 --> 00:17:16.512]  You know how two and a half year olds do sometimes when they throw a fit?
[00:17:16.512 --> 00:17:20.255]  They just go, eh, eh, with their hands.
[00:17:20.255 --> 00:17:21.636]  I wouldn't even call it a spat.
[00:17:21.636 --> 00:17:23.718]  I mean, I've seen many children do this.
[00:17:23.718 --> 00:17:26.200]  Well, this guy got this five year old felony charges.
[00:17:27.057 --> 00:17:31.781]  And the news is acting like it's normal and good.
[00:17:31.781 --> 00:17:35.484]  So let's go ahead and play this clip and analyze it.
[00:17:35.484 --> 00:17:36.504]  Good evening, I'm Heather Venness.
[00:17:36.504 --> 00:17:37.565]  And I'm Reginald Roundtree.
[00:17:37.565 --> 00:17:38.946]  Thank you so much for joining us tonight.
[00:17:38.946 --> 00:17:42.989]  It's the hottest video in America tonight and you can't rent it at Blockbuster.
[00:17:42.989 --> 00:17:44.511]  The video shows St.
[00:17:44.511 --> 00:17:48.794]  Petersburg police officers handcuffing and arresting a five-year-old girl.
[00:17:48.794 --> 00:17:52.477]  School officials said the girl was out of control and they had to call police.
[00:17:52.817 --> 00:17:57.879]  Today's reporter Mike Deason, who first broke this story last month, is here with the video and the story.
[00:17:57.879 --> 00:17:58.479]  Mike?
[00:17:58.479 --> 00:18:06.022]  Well, Heather and Reg, there's no question the little girl was out of control at the school, but the girl's mother says the police overreacted.
[00:18:06.022 --> 00:18:19.527]  However, a veteran kindergarten teacher we talked to says after trying several techniques to calm a child, sometimes outside help has to be called in in order to protect teachers, other students, and even the child who's having the tantrum.
[00:18:28.664 --> 00:18:36.450]  This is how the incident ends, as police officers put the handcuffs on five-year-old Jaisha Scott.
[00:18:36.450 --> 00:18:42.395]  But it began much earlier, when teachers could not control the kindergarten student who was having a tantrum.
[00:18:46.378 --> 00:18:47.179]  Thank goodness.
[00:18:47.179 --> 00:18:52.143]  But kindergarten teacher Jennifer Pyle says sometimes kids do get out of control.
[00:18:52.143 --> 00:18:58.349]  If it's extreme situation you have to be careful of the safety of the child and the safety of the other children in the room.
[00:18:58.349 --> 00:19:00.651]  And some of the things you definitely have to call for help.
[00:19:00.651 --> 00:19:06.116]  Pyle who's been teaching for 15 years says she doesn't blame the school for calling the police.
[00:19:06.116 --> 00:19:06.476]  It looks like
[00:19:07.943 --> 00:19:09.064]  That had to happen.
[00:19:09.064 --> 00:19:13.648]  But the attorney for the family blames both the school system and the police.
[00:19:13.648 --> 00:19:22.234]  I think that, you know, a clear failure on the part of the school in involving the police, and then the police taking it to the lengths that they did.
[00:19:22.234 --> 00:19:24.416]  It's just, it's unconscionable.
[00:19:24.416 --> 00:19:25.777]  You need to calm down.
[00:19:25.777 --> 00:19:26.758]  You need to do it now.
[00:19:26.758 --> 00:19:29.940]  Meantime, Pyle has no problem with the handcuffs.
[00:19:29.940 --> 00:19:33.283]  And I think it was really probably more to protect the child.
[00:19:33.963 --> 00:19:36.345]  Eventually, a jury will decide if this arrest was appropriate or not.
[00:19:49.651 --> 00:19:56.696]  The lawyer for the family, John Trevena, says by the time police arrived, Jaisha was sitting calmly and there was no need to handcuff her.
[00:19:56.696 --> 00:19:58.177]  Trevena says he'll sue the St.
[00:19:58.177 --> 00:20:00.058]  Petersburg Police Department.
[00:20:00.058 --> 00:20:04.421]  While the police won't comment, the school system is standing by the teacher and the police.
[00:20:04.421 --> 00:20:09.204]  They say someone had to bring the situation under control.
[00:20:09.204 --> 00:20:09.964]  Heather Redd.
[00:20:09.964 --> 00:20:11.185]  Thank you, Mike.
[00:20:11.185 --> 00:20:13.647]  Okay, now let's look at how they phrase this.
[00:20:13.647 --> 00:20:15.068]  Someone had to help her.
[00:20:15.068 --> 00:20:17.149]  Outside help had to get things under control.
[00:20:18.559 --> 00:20:28.564]  Now, it's one thing if you're dealing with a 15-year-old in a fist fight and they gotta call some of the coaches or some of the male teachers out to grab them or a security guard, whatever.
[00:20:28.564 --> 00:20:31.125]  It's another thing with a 5-year-old.
[00:20:31.125 --> 00:20:33.746]  And it is admitted, she was sitting there when the cops got there.
[00:20:33.746 --> 00:20:38.729]  And if you see the evil violence, it's the teacher trying to grab her and she's going, eh, eh, eh.
[00:20:38.729 --> 00:20:39.929]  And we're going to help you.
[00:20:39.929 --> 00:20:43.731]  We're going to give you a felony wrap and try to put you in the juvie.
[00:20:43.731 --> 00:20:45.492]  And of course push Ritalin and Prozac on her.
[00:20:46.542 --> 00:20:47.603]  We're going to do that for you.
[00:20:47.603 --> 00:20:49.564]  That's some help for you.
[00:20:49.564 --> 00:20:55.807]  And so every one of you that's got children, you better hope and pray they never do anything in school.
[00:20:55.807 --> 00:21:05.412]  Because here in Austin, if you're late to class three times, it's considered an absence, even though the state law has a higher number of whole days missed as truancy.
[00:21:05.412 --> 00:21:09.954]  They go ahead and drag your child in, try to get them into the system.
[00:21:09.954 --> 00:21:13.356]  It's across the board about getting them into the system.
[00:21:13.356 --> 00:21:14.737]  Well, something had to be done.
[00:21:17.413 --> 00:21:22.739]  Someone had to help this little girl by charging her with a felony.
[00:21:22.739 --> 00:21:34.171]  Don't worry, the family won't have any money, so they'll, uh, you know, plea bargain and she'll be in the system forever and she'll probably, probably, in most cases, turn out to be a hardcore criminal.
[00:21:34.171 --> 00:21:36.614]  Which is exactly what the Globalists want.
[00:21:36.614 --> 00:21:39.297]  Another soul under their control.
[00:21:42.885 --> 00:21:45.892]  We're on the march, the empire's on the run.
[00:21:45.892 --> 00:21:49.480]  Alex Jones and the GCN Radio Network.
[00:21:52.432 --> 00:21:58.676]  Do you have $10, $20, $30,000 or more in credit card debt that's suffocating your bank account and your lifestyle?
[00:21:58.676 --> 00:22:03.800]  If you think bankruptcy is the only way out, then pay close attention because relief is on the way!
[00:22:03.800 --> 00:22:13.546]  Debt Relief USA at 800-509-3201 will negotiate with your creditors and settle your credit card debt for about half of what you now owe without filing bankruptcy.
[00:22:13.726 --> 00:22:18.287]  Debt Relief USA has been helping people just like you regain control of their financial future.
[00:22:18.287 --> 00:22:21.648]  In most cases, you can be debt free in less than 36 months.
[00:22:21.648 --> 00:22:25.449]  I owed so much on my credit cards, I could barely make the minimum monthly payment.
[00:22:25.449 --> 00:22:28.590]  We talked about filing bankruptcy, but I was concerned about my credit.
[00:22:28.590 --> 00:22:30.791]  That's when I called Debt Relief USA.
[00:22:30.791 --> 00:22:34.692]  They set up a plan for me, where I could settle for just 40% of what I owed.
[00:22:34.692 --> 00:22:38.273]  I'm back in control of my life, and I owe it all to Debt Relief USA.
[00:22:38.433 --> 00:22:41.737]  Call Debt Relief USA today for your free consultation.
[00:22:41.737 --> 00:22:41.857]  800-509-3201.
[00:22:41.857 --> 00:22:43.299]  Pay your creditors and avoid bankruptcy.
[00:22:43.299 --> 00:22:43.539]  Call now.
[00:22:43.539 --> 00:22:43.659]  800-509-3201.
[00:22:43.659 --> 00:22:43.719]  800-509-3201.
[00:22:43.719 --> 00:22:46.443]  More than 700 chemicals have been found in our drinking water.
[00:22:55.513 --> 00:23:00.675]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[00:23:00.675 --> 00:23:05.336]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[00:23:05.336 --> 00:23:14.458]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[00:23:14.458 --> 00:23:18.380]  The media is non-toxic, environmentally sound, and is recyclable.
[00:23:18.380 --> 00:23:23.381]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[00:23:23.701 --> 00:23:30.904]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:23:30.904 --> 00:23:32.204]  What about you?
[00:23:32.204 --> 00:23:37.146]  Order your KDF shower filter, normally $49, for our special price of only $35.
[00:23:37.146 --> 00:23:37.606]  A $14 savings.
[00:23:37.606 --> 00:23:38.786]  Call now to order at 1-888-803-4438.
[00:23:38.786 --> 00:23:40.667]  Order today and save $14 by calling 1-888-803-4438.
[00:23:54.142 --> 00:24:00.046]  Why continue to suffer from pain, illness, and disease when natural health and wellness therapies are within your reach?
[00:24:00.046 --> 00:24:04.509]  Hundreds of people report improved health and wellness using Rife frequency technology.
[00:24:04.509 --> 00:24:11.935]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[00:24:11.935 --> 00:24:18.179]  The BioSolutions frequency instrument uses the same technology for relief or elimination of pain and disease conditions.
[00:24:18.179 --> 00:24:19.400]  There are no side effects.
[00:24:19.740 --> 00:24:22.844]  Join others in discovering a return to natural health and wellness.
[00:24:22.844 --> 00:24:25.167]  Eliminate the cost, don't just treat symptoms.
[00:24:25.167 --> 00:24:32.716]  BioSolutions has over 450 pre-programmed auto-sequences for various health conditions and is very easy to use.
