[00:00:00.149 --> 00:00:02.310]  I appreciate him holding.
[00:08:58.967 --> 00:09:04.331]  He did not go into the formal entrance of the building where he was speaking.
[00:09:04.331 --> 00:09:05.232]  He went into the underground.
[00:09:07.146 --> 00:09:09.467]  Um, so, I don't know.
[00:09:09.467 --> 00:09:14.368]  Um, they had us blocked off for three blocks in any given direction.
[00:09:14.368 --> 00:09:16.929]  And, I mean, this is Memphis, Tennessee after all.
[00:09:16.929 --> 00:09:32.534]  This is a place that knows one or two things about civil rights and the cost and the problems that, uh, not that civil rights cause, of course, but that, uh, the problems that can happen and the horrible events that can arise when people's civil rights are suppressed.
[00:09:33.271 --> 00:09:42.094]  I mean, I'm literally standing less than a mile from where Martin Luther King was assassinated, and there's a constant reminder of that in this city.
[00:09:42.094 --> 00:09:53.898]  Well, I mean, as you say, you're a veteran, and you have served this country as a public servant, and you know a little bit about the Bill of Rights and Constitution.
[00:09:53.898 --> 00:09:58.740]  You know how egregious this is, how ridiculous this is, how un-American this is.
[00:09:58.740 --> 00:10:02.661]  This is something right out of China, where they don't let people protest at Tiananmen Square.
[00:10:03.496 --> 00:10:09.318]  I mean, now they have a Red Sox game, and some people are out on the streets having a party.
[00:10:09.318 --> 00:10:16.121]  They walk up with rubber bullets and blow a young woman's eye back into her brain.
[00:10:16.121 --> 00:10:22.604]  It's also violence against people that are protesting, and it's getting worse and worse and worse.
[00:10:22.604 --> 00:10:25.485]  I mean, how does this have anything to do with fighting terrorism?
[00:10:25.485 --> 00:10:26.305]  It doesn't.
[00:10:26.305 --> 00:10:28.106]  But using this backdrop of fear
[00:10:29.395 --> 00:10:30.716]  They're just doing it.
[00:10:30.716 --> 00:10:32.196]  And that's what tyranny is all about.
[00:10:32.196 --> 00:10:33.417]  It's just doing it.
[00:10:33.417 --> 00:10:36.719]  Government just starts doing whatever it wants.
[00:10:36.719 --> 00:10:41.841]  And I'd like to ask the listeners out there if they're aware of how bad this has gotten.
[00:10:41.841 --> 00:10:47.604]  And I know it's going to be worse in the next generation because they're teaching the children in the public schools almost nothing.
[00:10:48.104 --> 00:10:53.471]  I'm sure you've heard about the young man who wrote a fiction story about zombies busting up out of the ground.
[00:11:07.468 --> 00:11:08.348]  That is so ridiculous.
[00:11:29.188 --> 00:11:31.590]  It doesn't surprise me in this day and age.
[00:11:31.590 --> 00:11:33.072]  What do you know about the lead singer?
[00:11:33.072 --> 00:11:35.074]  The lead singer of Stereophonics?
[00:11:35.074 --> 00:11:37.117]  He had a shirt with a gun on it.
[00:11:37.117 --> 00:11:48.129]  One of the band's symbols and they wouldn't let him fly because of the picture of a gun on his shirt.
[00:11:48.129 --> 00:11:48.990]  What are those warm comments?
[00:11:51.502 --> 00:11:57.686]  Well, I just want to ask folks out there how much worse they think it's going to get in the future.
[00:11:57.686 --> 00:12:00.528]  Just a few other questions for you.
[00:12:00.528 --> 00:12:02.269]  Now, again, this guy calls.
[00:12:02.269 --> 00:12:10.314]  He told you his name, but at the time you weren't paying complete attention until he started getting into don't have signs in your window for or against Bush, particularly against.
[00:12:10.314 --> 00:12:16.918]  What about when you started talking to some of your other businesses, some of the other neighbors, or what happened when locals came in and saw your sign?
[00:12:16.918 --> 00:12:19.800]  First, tell us about the sign and then tell us what other businesses told you.
[00:12:20.652 --> 00:12:29.975]  Well, the sign says, uh, we have been told by a federal agent that we are not to put up any anti-President Bush signs in our store windows.
[00:12:29.975 --> 00:12:33.537]  We would instead like to remind the agent that we still have First Amendment rights.
[00:12:33.537 --> 00:12:36.158]  Thank you and fire call.
[00:12:36.158 --> 00:12:40.479]  So in no way, shape or form does it say anything negative about the President.
[00:12:40.479 --> 00:12:41.860]  Uh, I'm a business owner.
[00:12:41.860 --> 00:12:42.520]  I gotta make money.
[00:12:42.520 --> 00:12:47.602]  I'm not gonna take off half my, uh, half my, uh, possible customers.
[00:12:48.200 --> 00:12:48.620]  Exactly.
[00:12:48.620 --> 00:12:50.761]  You didn't even have a sign, did you, when they called you?
[00:12:50.761 --> 00:12:51.901]  Absolutely not.
[00:12:51.901 --> 00:12:56.003]  Okay, but then you talked to others, according to the newspaper, of the Memphis Flyer.
[00:12:56.003 --> 00:12:59.404]  Then you talked to other locals, and what did they tell you?
[00:12:59.404 --> 00:13:10.148]  Some of the other businesses, I talked to various servers and bartenders in some of the local restaurants, and they'd heard of people being called.
[00:13:10.148 --> 00:13:14.650]  A few restaurants knew that people were being called.
[00:13:14.650 --> 00:13:15.730]  And then on Saturday,
[00:13:17.250 --> 00:13:24.654]  Saturday afternoon after someone took a picture of the other side and put it on a blog and that's how this whole thing got picked up.
[00:13:24.654 --> 00:13:30.937]  On Saturday, we got two phone calls from Alabama, where the President had been apparently on Thursday.
[00:13:30.937 --> 00:13:34.419]  And oddly enough, same thing had happened there.
[00:13:34.419 --> 00:13:35.920]  They'd been told the same thing.
[00:13:35.920 --> 00:13:37.581]  Exactly.
[00:13:37.581 --> 00:13:45.405]  And the demeanor of the person, making sure that they understood that it was before or
[00:13:46.297 --> 00:13:54.760]  But really stressing the against part was intact as well.
[00:13:54.760 --> 00:14:06.385]  It's amazing because the more the story grows, the more I hear that it's happened in various other places that things similar to this have been happening.
[00:14:06.385 --> 00:14:11.266]  Now, there are a couple of points that I've got to stress on this.
[00:14:11.266 --> 00:14:12.707]  One, I can't prove
[00:14:13.755 --> 00:14:16.877]  That it was, in fact, a federal agent.
[00:14:16.877 --> 00:14:18.278]  That's how they identified themselves.
[00:14:18.278 --> 00:14:20.439]  Could have been just goons from the party.
[00:14:20.439 --> 00:14:21.200]  Exactly.
[00:14:21.200 --> 00:14:22.441]  Hey, let's stay there.
[00:14:22.441 --> 00:14:27.504]  I'm back on my line here, and we're going to come back, and I want to take some calls for you, John, okay?
[00:14:27.504 --> 00:14:28.845]  Sure thing.
[00:14:28.845 --> 00:14:30.286]  We're talking to John Gascade.
[00:14:31.232 --> 00:14:35.775]  And, uh, I wish these mainstream media reporters would do some Google searching.
[00:14:35.775 --> 00:14:38.076]  They've got Nexus, Nexus is even better.
[00:14:38.076 --> 00:14:45.820]  I could probably think of 20 mainstream articles of stuff like this happening, front pages of papers, in the last three years.
[00:14:45.820 --> 00:14:55.425]  So I'll have to, maybe the listeners, maybe folks, you can dig those articles out, they're on Infowars.com, and send them to the mainstream media so we can confirm all this.
[00:14:55.425 --> 00:14:57.206]  Just one more case of the same stuff happening.
[00:14:59.415 --> 00:15:03.939]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:15:03.939 --> 00:15:07.602]  Police State 3 details the architecture, goals, and operations of the new
[00:15:09.363 --> 00:15:10.765]  You will lose your liberty.
[00:15:29.605 --> 00:15:40.394]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grants, government-run white slavery rings, and much, much more.
[00:15:40.394 --> 00:15:46.299]  If you want to understand what the new world order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[00:15:46.299 --> 00:15:50.102]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:15:50.102 --> 00:15:50.542]  That's 888-253-3139.
[00:15:50.542 --> 00:15:52.504]  Order today and spread the word.
[00:15:58.849 --> 00:16:05.231]  The illuminated Berkey Base allows most gravity filters to be used in the center of a table by raising the spigot level.
[00:16:05.231 --> 00:16:11.673]  Made of durable Lexan polymer, the same material used for bulletproof glass, it has eight LED lamps.
[00:16:11.673 --> 00:16:20.056]  Incredibly, the low-energy LEDs will last for more than 11 years of continuous use and are bright enough to be spotted for over a mile in the dark.
[00:16:20.356 --> 00:16:27.683]  The LED lamps are powered by an AC adapter, and during emergencies, the rechargeable batteries will operate them all night long.
[00:16:27.683 --> 00:16:32.728]  When the LEDs are switched off, the AC adapter automatically recharges the batteries.
[00:16:32.728 --> 00:16:38.473]  The Berkey Base is available in gorgeous cobalt blue or practical bright white LEDs.
[00:16:38.473 --> 00:16:41.536]  Ideal as an emergency light, flashlight, or nightlight.
[00:16:41.876 --> 00:16:49.887]  Get the Illuminated Berkey Bass for only $69 or get both white and blue for only $125 by calling New Millennium at 888-803-4438.
[00:16:49.887 --> 00:16:50.468]  That's toll free, 888-803-4438.
[00:17:00.078 --> 00:17:00.359]  Thank you.
[00:17:15.220 --> 00:17:15.880]  We're good to go.
[00:17:30.765 --> 00:17:37.828]  For a limited time, you can sign up on the website and receive our 104-page catalog and a current Herbal Healer newsletter free.
[00:17:37.828 --> 00:17:40.089]  Simply log on to HerbalHealer.com.
[00:17:40.089 --> 00:17:44.751]  Check out our online member testimonials and our hundreds of exceptional products.
[00:17:44.751 --> 00:17:47.992]  We have been working hard since 1988 to save the remnant.
[00:17:47.992 --> 00:17:53.855]  That's HerbalHealer.com, your website for safe, effective, natural alternatives in education.
[00:18:02.803 --> 00:18:04.704]  I got Ron Paul's office coming on.
[00:18:04.704 --> 00:18:10.228]  They've signed it on to the supplemental budget package.
[00:18:10.228 --> 00:18:14.511]  The expansion of the National ID Card set to pass the Senate today.
[00:18:14.511 --> 00:18:17.072]  That's coming up about ten after in the next hour.
[00:18:17.072 --> 00:18:19.954]  I want to get to all your calls as well.
[00:18:19.954 --> 00:18:21.495]  Before we go back to John,
[00:18:22.495 --> 00:18:24.537]  And let him finish up and take a few of your calls.
[00:18:24.537 --> 00:18:29.640]  My new film, Martial Law, 9-1-1, rise of the police state, is out.
[00:18:29.640 --> 00:18:33.663]  The first 35 minutes of the two-plus hour film is reporters being arrested.
[00:18:33.663 --> 00:18:38.727]  We're threatened with arrest with congressional press passes anywhere in New York.
[00:18:38.727 --> 00:18:41.569]  Protestors being arrested for no reason.
[00:18:41.569 --> 00:18:47.413]  The White House's public order for the Secret Service and others are arrest protestors.
[00:18:47.413 --> 00:18:49.435]  Don't allow them on our parade routes.
[00:18:50.769 --> 00:18:55.011]  So, this is all just part of the course.
[00:18:55.011 --> 00:19:00.014]  I hope you'll get Martial Law, because then we get into 9-11 for a full hour of the film.
[00:19:00.014 --> 00:19:04.216]  And really, it's just power-packed full of information and what really happened.
[00:19:04.216 --> 00:19:11.400]  Then we get into Skull and Bones and the elite, the Bush-Nazi connection back to World War II and how that connects into Schwarzenegger.
[00:19:11.400 --> 00:19:12.621]  It's my best film.
[00:19:12.621 --> 00:19:17.764]  Infowars.com or presentplanet.com to order via the safe, secure online shopping cart.
[00:19:18.516 --> 00:19:19.777]  We're now shipping the video.
[00:19:19.777 --> 00:19:22.899]  Been shipping it for a couple days.
[00:19:22.899 --> 00:19:24.300]  You can get it now.
[00:19:24.300 --> 00:19:25.501]  The wait is over.
[00:19:25.501 --> 00:19:31.526]  Or go to PrisonPlanet.TV and get a monthly or yearly subscription.
[00:19:31.526 --> 00:19:33.107]  15 cents a day.
[00:19:33.107 --> 00:19:35.929]  Sign up for a year, you get three months free.
[00:19:35.929 --> 00:19:38.271]  We have monthly subscriptions.
[00:19:38.271 --> 00:19:39.031]  $4.95.
[00:19:39.031 --> 00:19:41.593]  Speaking of coffee, I mean a cup of coffee costs you $1.50.
[00:19:41.593 --> 00:19:45.556]  We're talking about a whole week of the website for what a cup of coffee costs you a day.
[00:19:46.525 --> 00:19:49.408]  Toll-free number to call and get the film, 888-253-3139.
[00:19:49.408 --> 00:19:49.468]  888-253-3139.
[00:19:49.468 --> 00:19:56.995]  To get a hard copy, or as I said, 15 cents a day to watch it online and all my other films at PrisonPlanet.tv.
[00:19:56.995 --> 00:19:58.116]  But please call and get the film, 888-253-3139.
[00:19:58.116 --> 00:19:58.496]  John Gascogne,
[00:20:14.110 --> 00:20:17.953]  Now, you're saying you got calls from Alabama and other places saying this has happened to them.
[00:20:17.953 --> 00:20:20.775]  What about from the newspaper article in the Memphis Flyer?
[00:20:20.775 --> 00:20:27.319]  They're saying that people that came into your business were saying, oh yeah, other businesses got that call.
[00:20:27.319 --> 00:20:29.640]  Did you hear from other businesses locally?
[00:20:29.640 --> 00:20:30.301]  I did.
[00:20:30.301 --> 00:20:30.641]  I did.
[00:20:30.641 --> 00:20:34.424]  And a few have, a few did admit that they got similar phone calls.
[00:20:34.424 --> 00:20:38.986]  Some people were approached about different things, but anytime that
[00:20:40.461 --> 00:20:42.962]  Things about the putting out signs was mentioned.
[00:20:42.962 --> 00:20:46.903]  It was always in reference to a phone call.
[00:20:46.903 --> 00:20:51.585]  So, but yes, there are at least three other businesses in the area that I can confirm were.
[00:20:51.585 --> 00:20:58.847]  When you were in the military or when you were growing up and you heard this stuff about the Soviet Union, did you ever think it would happen here?
[00:20:58.847 --> 00:20:59.847]  No.
[00:20:59.847 --> 00:21:03.529]  No, absolutely not.
[00:21:03.529 --> 00:21:07.730]  It's maddening that things are happening like this.
[00:21:08.092 --> 00:21:13.155]  Well, you know, they keep just doing it and doing it and doing it until we finally just get used to it.
[00:21:13.155 --> 00:21:15.536]  We need to continue being outraged.
[00:21:15.536 --> 00:21:17.397]  Well, what's the old saying?
[00:21:17.397 --> 00:21:21.799]  Evil prevails when good men do nothing?
[00:21:21.799 --> 00:21:22.780]  It's absolutely true.
[00:21:22.780 --> 00:21:23.681]  Let's take a call.
[00:21:23.681 --> 00:21:26.262]  Dave in Texas, you're on the air, go ahead.
[00:21:27.057 --> 00:21:27.677]  Hi, Alex.
[00:21:27.677 --> 00:21:34.740]  I just wanted to say that, you know, the reason we have this problem with the media is because about 12 years ago we used to have 50 major media corporations.
[00:21:34.740 --> 00:21:36.081]  Now we only have 6.
[00:21:36.081 --> 00:21:37.682]  And they're all owned by the elitist.
[00:21:37.682 --> 00:21:38.722]  Yeah, it's 4 now.
[00:21:38.722 --> 00:21:39.283]  Is it 4 now?
[00:21:39.283 --> 00:21:39.843]  It used to be 6.
[00:21:39.843 --> 00:21:42.084]  I'm behind a little bit on the time.
[00:21:42.084 --> 00:21:43.144]  Sorry about that.
[00:21:43.144 --> 00:21:46.286]  Yeah, 90% of the media is owned by 4 corporations.
[00:21:46.286 --> 00:21:47.846]  That's terrible.
[00:21:47.846 --> 00:21:51.408]  The other day you talked about Maureen Gosch and the Jeff Gannon connection.
[00:21:51.408 --> 00:21:53.509]  And that's another thing the media hasn't really touched on.
[00:21:54.486 --> 00:22:01.872]  No, it's just, oh, we've got fake reporters, yeah, that work for the White House and are a service then in more ways than one.
[00:22:01.872 --> 00:22:10.619]  The thing I wanted to talk to you about was, believe it or not, I was able to get a hold of Maureen Gosch via the internet, and actually got her number and talked to her.
[00:22:10.619 --> 00:22:19.846]  And I asked her if she had considered a DNA test, and she said that she had, but that she had to get with Mr. Gannon's publicist to get that confirmed.
[00:22:19.846 --> 00:22:22.849]  And I said, well, you know, there's other ways to get a DNA sample if you need one.
[00:22:24.026 --> 00:22:25.787]  I thought that was quite interesting.
[00:22:25.787 --> 00:22:26.428]  That's interesting.
[00:22:26.428 --> 00:22:28.749]  Stay there.
[00:22:28.749 --> 00:22:31.751]  John, stay with us about five more minutes into the next little segment.
[00:22:31.751 --> 00:22:33.792]  I want to finish up with you and take a call or two.
[00:22:33.792 --> 00:22:35.473]  And then we'll be right back.
[00:22:35.473 --> 00:22:46.140]  Then we've got Ron Paul's press secretary coming on, Jeff Deist.
[00:22:46.140 --> 00:22:46.740]  Big Brother.
[00:22:47.444 --> 00:22:49.205]  Mainstream media.
[00:22:49.205 --> 00:22:50.965]  Government cover-ups.
[00:22:50.965 --> 00:22:52.546]  You want answers?
[00:22:52.546 --> 00:22:53.466]  Well, so does he.
[00:22:53.466 --> 00:22:58.288]  He's Alex Jones on the GCN Radio Network.
[00:22:58.288 --> 00:23:02.549]  And now, live from Austin, Texas, Alex Jones.
[00:23:02.549 --> 00:23:13.333]  We've been talking to John Gascade, and later we're gonna go back to Dave in Texas, let him finish up his points about the Jeff Gannon case.
[00:23:13.333 --> 00:23:14.553]  Is he Johnny Gosch?
[00:23:16.170 --> 00:23:21.653]  And we know he's a male prostitute, and we know that that's what they're into up there at the White House.
[00:23:21.653 --> 00:23:24.354]  All part of the Christian conservatism.
[00:23:24.354 --> 00:23:30.898]  But going back to our guest, headline, did a federal agent ban anti-Bush signs in downtown storefronts?
[00:23:30.898 --> 00:23:34.099]  This is out of the Memphis Flyer, and of course the answer is yes.
[00:23:34.099 --> 00:23:36.941]  These people are all over the place doing this in plain view.
[00:23:36.941 --> 00:23:44.124]  I mean, people are arrested and then fired for wearing an anti-Bush t-shirt at a public meeting Bush comes to.
[00:23:44.124 --> 00:23:45.085]  I mean, it's that bad.
[00:23:46.788 --> 00:23:48.009]  Let's take another call.
[00:23:48.009 --> 00:23:51.071]  Let's talk to John in Alaska.
[00:23:51.071 --> 00:23:52.632]  You're on the air with our guest, John.
[00:23:52.632 --> 00:23:54.093]  Hi, Alex.
[00:23:54.093 --> 00:23:58.036]  Hello, sir.
[00:23:58.036 --> 00:24:06.201]  I really enjoyed the different excerpts and pieces in your DVDs about the Illuminati and the Freemasonry.
[00:24:06.201 --> 00:24:14.287]  There was a case, a place I lived in Kentucky at one time, where a Baptist minister who owned several acres of farmland
[00:24:17.180 --> 00:24:22.581]  His property literally bordered a guy who was a Freemason.
[00:24:22.581 --> 00:24:33.004]  And this guy went, and this was a verifiable case, this guy went to court and had the property lines where he lost another few acres of his land.
[00:24:33.004 --> 00:24:34.664]  The Baptist minister did.
[00:24:34.664 --> 00:24:39.265]  And come to find out, the judge was a Freemason judge.
[00:24:39.265 --> 00:24:44.186]  So the Freemason farmer had the Freemason judge on his side.
[00:24:44.710 --> 00:24:52.218]  And so when the Baptist minister went to court to try to protest and pull up the original document, they didn't even recognize him.
[00:24:52.218 --> 00:24:53.480]  They threw the judge out of court.
[00:24:54.727 --> 00:24:58.049]  I mean, not to judge me, through the farmer.
[00:24:58.049 --> 00:25:00.650]  That's this good ol' boy system gone to seed.
[00:25:00.650 --> 00:25:07.594]  I mean, look at Halliburton and Cheney running the contracts out of the Vice President's office.
[00:25:07.594 --> 00:25:11.296]  I mean, it's just pell-mell wild corruption.
[00:25:11.296 --> 00:25:12.817]  Thanks for the call.
[00:25:12.817 --> 00:25:16.279]  Any comments on that, John?
[00:25:16.279 --> 00:25:18.260]  That one's news to me, actually.
[00:25:18.260 --> 00:25:23.023]  It doesn't surprise me, but I haven't heard anything on that before.
