[00:00:14.383 --> 00:00:18.367]  Today, I'm pleased to announce members of my science and technology team.
[00:04:54.638 --> 00:04:59.619]  Hundreds and hundreds of millions of people, and Holdren says, cast them into the outer darkness.
[00:05:00.436 --> 00:05:08.004]  Then, Bangladesh, with a couple of hundred million people, Haldeman says, for sure, Bangladesh has got to be triaged.
[00:05:08.125 --> 00:05:09.005]  Give them nothing.
[00:05:09.686 --> 00:05:11.428]  Now again, the note of genocide.
[00:05:11.989 --> 00:05:15.553]  The idea that whole countries should be consigned to doom
[00:05:16.633 --> 00:05:16.873]  I think?
[00:05:31.761 --> 00:05:32.881]  science and technology.
[00:05:32.941 --> 00:05:42.264]  He regards them as a threat to what he thinks of as the social order and also to the crackpot views of charlatans and uh... and uh... and fakers like himself.
[00:05:42.304 --> 00:05:51.366]  He says he wants to create a science court that would decide which inventions could be put into practice and which would have to be banned.
[00:05:51.706 --> 00:05:52.647]  This is unbelievable.
[00:05:52.887 --> 00:06:00.769]  This would essentially strangle the source of human progress and consign us all into a stagnation and uh... and ruin which would
[00:06:01.269 --> 00:06:01.909]  We're good to go.
[00:06:22.023 --> 00:06:34.452]  Ortez said that the limit of the world population was three billion people, and that if you went beyond that, you'd have famine and starvation and death, and it would always tend back to three billion people.
[00:06:35.232 --> 00:06:38.094]  Now, Holdren is even worse.
[00:06:38.174 --> 00:06:41.717]  He's more genocidal than Gianmaria Ortez.
[00:06:41.817 --> 00:06:47.021]  He's more genocidal than Malthus, who followed in the footsteps of Ortez.
[00:06:47.541 --> 00:06:48.262]  Holdren says,
[00:06:48.942 --> 00:06:53.894]  That the optimum world population is one billion.
[00:06:54.773 --> 00:06:55.533]  Now let's pause.
[00:06:56.074 --> 00:07:01.096]  At the time Holdren wrote that, the world population was already 4 billion.
[00:07:01.496 --> 00:07:08.760]  Today, if you say the optimum population is 1 billion, it would mean that more than 5 billion would have to go.
[00:07:09.000 --> 00:07:14.763]  And again, these are orders of magnitude that Hitler, Stalin, and Mao never dreamed of.
[00:07:14.943 --> 00:07:21.006]  Only in the mind of fanatics like Holdren do we get genocide of these proportions.
[00:07:21.886 --> 00:07:35.130]  Holdren says that the big task of policy, and here the third world and developing countries should take note, he says the main political problem facing the world is not world economic development, but stopping world economic development.
[00:07:35.170 --> 00:07:42.893]  He's very worried that countries like China and India and others, Latin America, South Asia, Sub-Saharan Africa,
[00:07:43.593 --> 00:07:48.155]  That they're going to try to imitate the development of the U.S., Europe, and Japan.
[00:07:48.475 --> 00:07:50.355]  And Holdren says that would be catastrophic.
[00:07:50.816 --> 00:07:53.396]  What we need is to stop third world development.
[00:07:53.416 --> 00:07:55.777]  We've got to convince the third world not to do that.
[00:07:56.558 --> 00:07:59.739]  And we've got to institute de-development worldwide.
[00:07:59.779 --> 00:08:06.701]  In other words, turn back the clock of history, roll back progress, and go back to what amounts to pre-industrial civilization.
[00:08:06.761 --> 00:08:09.022]  Well, pre-industrial civilization
[00:08:09.682 --> 00:08:12.124]  is a lifespan of 30 to 35 years.
[00:08:12.664 --> 00:08:16.107]  Nasty, brutish, and short, as Hobbes put it.
[00:08:16.127 --> 00:08:20.029]  So that's what Holdren wants for you and your family.
[00:08:20.870 --> 00:08:29.376]  In order to enforce this, he talks about a supranational monstrosity that he calls a planetary regime.
[00:08:30.277 --> 00:08:35.541]  This means a world empire, a supranational, one-world government,
[00:08:36.345 --> 00:08:40.168]  That would attempt to control all details of human life.
[00:08:40.828 --> 00:08:43.410]  Would start with what he calls the global commons.
[00:08:43.910 --> 00:08:54.577]  That is to say, anything that impacts the air, the soil, and the oceans, would become the subject of international, supernational intervention.
[00:08:54.597 --> 00:08:56.919]  It would be like the IMF on steroids.
[00:08:56.979 --> 00:08:59.420]  Instead of just economic life, it would extend to everything.
[00:08:59.761 --> 00:09:05.605]  Again, the temperature in your living room, the kind of car you have, the amount you get to eat, whether you have a pet.
[00:09:06.745 --> 00:09:10.327]  Minimal details about your everyday life.
[00:09:11.368 --> 00:09:23.334]  For individual countries such as the U.S., Holdren recommends a population law which would fix the outer limits of the acceptable population.
[00:09:23.374 --> 00:09:25.275]  And again, what happens if you are surplus?
[00:09:25.635 --> 00:09:27.836]  What happens if you are declared a useful leader?
[00:09:28.216 --> 00:09:32.519]  He doesn't say that so explicitly, but it's clear that you wouldn't fare very well.
[00:09:33.479 --> 00:09:40.745]  So, one of the features of a population law, in Holdren's point of view, is to regulate the size of the family.
[00:09:40.906 --> 00:09:47.852]  And this is what, of course, China did in the post-Mao period, the two-child-per-family policy.
[00:09:47.912 --> 00:10:00.062]  So, the hand of the totalitarian state intervenes in the most intimate decisions of the family, and the realm of individual responsibility pretty much ceases to exist.
[00:10:01.343 --> 00:10:08.448]  Holdren is willing to do just about anything to, first of all, slow the rate of population increase.
[00:10:09.485 --> 00:10:10.326]  That's his first goal.
[00:10:10.706 --> 00:10:22.933]  Secondly, to bring population into stasis or equilibrium, zero growth, but then to turn it back and have a decreasing, diminishing world population.
[00:10:22.953 --> 00:10:27.076]  In Chinese experiences, if you do that, you're flirting with economic collapse.
[00:10:27.396 --> 00:10:28.817]  But Holdren doesn't care about that.
[00:10:28.857 --> 00:10:30.578]  He's, of course, a fanatic.
[00:10:30.938 --> 00:10:32.099]  So what is he willing to do?
[00:10:33.069 --> 00:10:36.493]  He talks about all kinds of forced sterilization.
[00:10:37.234 --> 00:10:41.078]  That you can have surgical interventions on males.
[00:10:41.879 --> 00:10:50.970]  In India, he says, there was a policy of obligatory vasectomy once you had two children in the family if you were a government employee.
[00:10:51.010 --> 00:10:53.272]  He says that's something we could think about imitating.
[00:10:54.133 --> 00:10:56.054]  Compulsory abortion.
[00:10:56.314 --> 00:10:56.974]  Think about that.
[00:10:57.915 --> 00:11:02.057]  That would be something that was flirted with in post-Maoist China.
[00:11:02.777 --> 00:11:06.018]  He wants to have licenses for birth.
[00:11:06.319 --> 00:11:13.362]  In other words, a woman is not allowed to give birth unless she's purchased a marketable birth license.
[00:11:14.082 --> 00:11:24.589]  And of course, what happens if Goldman Sachs comes in and because women are going to want those, drives up the price a hundred times so that nobody can afford a birth permit?
[00:11:25.009 --> 00:11:30.633]  And what happens to people that are born illegitimately, meaning without a birth permit?
[00:11:31.093 --> 00:11:42.241]  He wants to have things that have been done in the meantime, Norplant I think is an example, subcutaneous chemical devices that are put into the flesh of women to prevent them from
[00:11:42.941 --> 00:11:43.581]  Conceiving.
[00:11:43.701 --> 00:11:56.966]  So, forced sterilization, compulsory abortion, forced vasectomy, birth licenses, subcutaneous implants, all kinds of compulsory, obligatory methods.
[00:11:58.067 --> 00:12:07.730]  In terms of forced sterilizations, he says you could do this by putting chemicals in food and water, but he thinks that these other methods would be more effective.
[00:12:08.030 --> 00:12:11.792]  He also has other methods of persuasion which are really coercion.
[00:12:12.372 --> 00:12:17.954]  That if you have more than two kids in the family, there's no more free public education for you.
[00:12:18.254 --> 00:12:21.195]  The third kid has to pay to go to the public school.
[00:12:21.615 --> 00:12:30.118]  If you're living in public housing, which is the case in some countries, the third kid gets you kicked out of the public housing and you become homeless.
[00:12:31.564 --> 00:12:36.827]  He's also in favor of violating the family by seizing babies.
[00:12:37.507 --> 00:12:55.057]  He says that if it's a teenager or a minor who has had an illegitimate child and there's no husband in the picture, then the government should come in and seize that child and have a policy of forced adoption to take care of that illegitimate child.
[00:12:55.757 --> 00:12:58.419]  You can see that Holdren is a collectivist.
[00:12:58.679 --> 00:13:02.362]  He is not a collectivist of the Marxist type, however.
[00:13:02.382 --> 00:13:06.925]  I would call him a collectivist in the tradition of Rousseau for two reasons.
[00:13:07.946 --> 00:13:09.447]  Remember, there are two Rousseaus.
[00:13:09.787 --> 00:13:11.389]  One is the Rousseau who says,
[00:13:12.366 --> 00:13:15.648]  That the noble savage is the goal of human life.
[00:13:15.708 --> 00:13:21.212]  In other words, the more primitive you are, the less civilization you have, the better you are.
[00:13:22.353 --> 00:13:41.946]  Just, if you think about that, Rousseau on that basis is one of the most influential philosophers of the current time, because it basically says primitive societies are better than corrupt modern societies, so we should go back to nature and go back to the ways of these underdeveloped peoples.
[00:13:42.546 --> 00:13:45.489]  But then there's the other side of Rousseau, which is the collective will.
[00:13:45.589 --> 00:13:51.313]  The late Rousseau writes about the collective will, in that the individual counts nothing compared to the collective will.
[00:13:51.353 --> 00:13:55.797]  This is essentially the philosophy of the reign of terror in the French Revolution.
[00:13:55.817 --> 00:13:58.439]  And that's pretty much where Holdren is.
[00:13:58.459 --> 00:14:04.864]  So I would call him a Rousseauvian fanatic, in addition to being a Malthusian and a Darwinist and a Benthamite.
[00:14:05.404 --> 00:14:10.589]  And he wants to have the noble savage, roll back civilization, go back to pre-industrial
[00:14:12.130 --> 00:14:18.875]  civilization, or call it civilization if you want to, and at the same time he wants to impose the collective will.
[00:14:19.216 --> 00:14:21.237]  He even writes about infanticide.
[00:14:21.277 --> 00:14:37.350]  He says that infanticide is found in many primitive peoples, and he says, well, what that means is that these societies thought that the survival of the group and the collectivity was more important than the individual, so they didn't hesitate to kill babies, which
[00:14:38.191 --> 00:14:40.912]  That implies Holdren's idea of civilization.
[00:14:40.952 --> 00:14:42.912]  It's a form of barbarity.
[00:14:43.653 --> 00:14:45.893]  Again, in Holdren's world, there are two main evils.
[00:14:46.253 --> 00:14:49.354]  One is overpopulation, the other is industrial pollution.
[00:14:50.114 --> 00:14:58.137]  In the world we live in, the main problem is poverty, ignorance, disease, backwardness, illiteracy.
[00:14:58.917 --> 00:14:59.417]  And the rest.
[00:14:59.517 --> 00:15:06.122]  The main problem of today's world is a massive underproduction of most of the worldly goods that humans need.
[00:15:06.262 --> 00:15:11.165]  Food, clothing, shelter, transportation, jobs, housing, health care, all the rest.
[00:15:11.645 --> 00:15:12.686]  All of that is lacking.
[00:15:13.366 --> 00:15:25.233]  One billion people in the world we live in are on the verge of starvation because of the world food market situation and the fact that we have almost no food stocks left anywhere in the world.
[00:15:25.273 --> 00:15:27.395]  You've also got about two to three
[00:15:28.251 --> 00:15:28.651]  I think so.
[00:15:49.665 --> 00:15:55.731]  If you have a bunch of people and you want to give them all a hat, and there are not enough hats to go around, what do you do?
[00:15:56.131 --> 00:15:58.173]  I say, manufacture more hats.
[00:15:58.433 --> 00:16:00.415]  Holdren says, start cutting off heads.
[00:16:00.816 --> 00:16:01.396]  That's Holdren.
[00:16:02.597 --> 00:16:09.924]  In being a follower of Bentham and Malthus and Darwin, in this administration of fanatics, Holdren is joined by others.
[00:16:10.425 --> 00:16:12.287]  Let's look at Cass Sunstein.
[00:16:13.134 --> 00:16:13.655]  We're good to go.
[00:16:31.556 --> 00:16:36.597]  And then it's become a bayonet, and then it's become a machine gun, and God knows what else.
[00:16:37.097 --> 00:16:38.798]  That's Cass Sunstein.
[00:16:38.838 --> 00:16:42.958]  He's a former law professor from the University of Chicago.
[00:16:43.258 --> 00:16:45.439]  Now, he quotes Bentham all the time.
[00:16:46.239 --> 00:16:55.381]  Sunstein is a guy who says that animals should have legal rights, including the right to be represented by lawyers in a court.
[00:16:56.281 --> 00:17:00.202]  Now, Sunstein, by most people's standards, would be quite extreme.
[00:17:01.274 --> 00:17:03.936]  But in the Obama administration, Sunstein is a moderate.
[00:17:03.976 --> 00:17:06.237]  Sunstein wants to give legal rights to animals.
[00:17:06.738 --> 00:17:15.903]  Holdren wants to give legal rights to trees so that they could be represented by lawyers and they could block development projects because you need more trees.
[00:17:15.923 --> 00:17:17.504]  Well, again, I'm all for trees.
[00:17:18.045 --> 00:17:18.965]  You want more trees?
[00:17:19.286 --> 00:17:19.866]  Plant them.
[00:17:20.266 --> 00:17:22.848]  During the New Deal, we had something called the Shelter Belt.
[00:17:23.328 --> 00:17:30.911]  ...that planted a couple of hundred million trees across the mid-section of the United States as an attempt to make the climate better.
[00:17:31.272 --> 00:17:35.414]  It was an attempt to deal with the Oklahoma Dust Bowl of the 1930s.
[00:17:35.494 --> 00:17:38.155]  The way you do that is to plant trees.
[00:17:38.235 --> 00:17:47.459]  Trees are fine, but again, with Holdren, we're going to have trees represented by lawyers stopping human needs from being realized.
[00:17:49.031 --> 00:18:10.855]  Generally speaking, the Malthusian, zero-growth, radical environmentalist, ecological extremist movement of the late 60s and early 70s is the precursor that prepares the ground for the radical de-industrialization of the United States in the late 70s and then into the 80s, the so-called Great U-Turn, where the U.S.
[00:18:11.055 --> 00:18:15.196]  goes from being an industrial power to being a post-industrial rubble heap.
[00:18:16.176 --> 00:18:23.759]  A key moment is 1968 with the foundation of the Club of Rome, Aurelio Pace and Alexander King.
[00:18:24.179 --> 00:18:39.786]  Alexander King once admitted that the whole purpose of the ecological movement was to stop the economic development of the third world and make sure that there would be fewer brown and black people in the world because this was a problem for the Anglo-Saxon master race, the way he looked at it.
[00:18:40.606 --> 00:18:54.354]  1972, you've got this tremendous work of charlatans and crackpots, Meadows and Forrester, the limits to growth, which was that the world really should have ended already, because the raw materials are being exhausted at such a rapid rate.
[00:18:54.394 --> 00:19:06.942]  So out of that you get the Green Movement, the greening of America, and the coming of something that you didn't have before, was a mass constituency for radical environmentalists, in particular Malthus,
[00:19:07.802 --> 00:19:13.164]  used to be a dirty word among leftists, because he was considered a British imperialist.
[00:19:14.044 --> 00:19:21.107]  Marx and Engels had to attack Malthus, because otherwise they couldn't function in progressive circles.
[00:19:21.167 --> 00:19:30.931]  But by the 1970s, thanks to this, Malthus and Darwin become good guys, when of course they're really very bad, and both charlatans
[00:19:32.132 --> 00:19:34.253]  So, that's sort of the preparation.
[00:19:34.293 --> 00:19:40.098]  You've also got people saying that a service economy is better, the so-called triple revolution committee.
[00:19:40.399 --> 00:19:49.706]  You've got the government of Edward Heath in Britain and Harold Wilson of the Labour Party saying quality of life is more important than production.
[00:19:49.766 --> 00:19:54.090]  All of these are ways to begin arguing the idea of de-industrialization.
[00:19:54.610 --> 00:20:00.075]  The way you get it though, big time in the US, is Paul Adolph Volcker of the Trilateral Commission
[00:20:00.575 --> 00:20:03.378]  Appointed by Jimmy Carter of the Trilateral Commission.
[00:20:04.259 --> 00:20:12.246]  And what Volcker then does is he gets the Federal Reserve and he raises interest rates to unprecedented levels.
[00:20:12.306 --> 00:20:19.653]  A 22% prime rate, meaning that for most people the interest rates were 30% or even more.
[00:20:19.673 --> 00:20:24.498]  And that's for mortgages, for various kinds of business financing and so forth.
[00:20:24.958 --> 00:20:31.720]  What Volcker was able to do was to essentially destroy the industrial base of the United States.
[00:20:32.400 --> 00:20:36.741]  It became impossible to produce with credit costing that much.
[00:20:39.041 --> 00:20:42.202]  Some people compared this to Keynes, right?
[00:20:42.282 --> 00:20:46.903]  Keynes said, well, let's have inflation as a cure for depression.
[00:20:47.623 --> 00:20:51.164]  And Volcker came back with, no, let's have depression as a cure for inflation.
[00:20:51.485 --> 00:20:52.645]  And that's pretty much what he did.
[00:20:52.945 --> 00:21:02.429]  He pitched the United States into an industrial depression, which has never ended, wiped out large parts of basic industry, steel mills, chemical, rubber,
[00:21:03.309 --> 00:21:03.830]  And all the rest.
[00:21:04.271 --> 00:21:06.193]  This is where the jobs went.
[00:21:06.313 --> 00:21:17.568]  If you remember Obama's bitter clinger quote, he says, 30 years ago the jobs went away and now we have these bitter people clinging to God and guns and anti-trade.
[00:21:17.908 --> 00:21:19.790]  Well, how did those jobs go away?
[00:21:19.830 --> 00:21:20.571]  That was Volcker.
[00:21:21.092 --> 00:21:23.272]  The industrial base of the U.S.
[00:21:23.332 --> 00:21:30.034]  was gutted and destroyed by Volcker, and with the environmentalists there, this could be greeted as something good.
[00:21:30.094 --> 00:21:36.615]  The resistance to this in the Democratic Party was paralyzed because, well, it's a good thing, after all.
[00:21:36.655 --> 00:21:38.075]  We won't have any more smokestacks.
[00:21:38.135 --> 00:21:44.136]  Well, instead of smokestacks, you're going to have a declining standard of living, and this is what goes together with it.
[00:21:44.656 --> 00:21:47.676]  Since about 1967, the U.S.
[00:21:47.717 --> 00:21:50.297]  standard of living has declined by two-thirds.
[00:21:50.797 --> 00:21:54.079]  And that includes average hourly earnings.
[00:21:55.080 --> 00:22:00.823]  It includes the fact that the usual measures of inflation don't tell you how much inflation has been.
[00:22:00.843 --> 00:22:10.469]  It's much more because you have to include medical care, insurance, and other things that are not really reflected in the market basket.
[00:22:11.363 --> 00:22:19.467]  You're working about six weeks more per year, so you've got a longer work day, a longer work week, and a longer work year.
[00:22:19.847 --> 00:22:27.431]  Vacations shrink, and the work year is extended by about six weeks altogether.
[00:22:27.491 --> 00:22:30.833]  The other thing that you've got is your commute is much further.
[00:22:31.893 --> 00:22:39.135]  And you're sitting in traffic for a total of about two to three weeks just sitting there in addition to whatever the length of your commute would be.
[00:22:39.455 --> 00:22:47.897]  If you add all of that together in terms of the burden of economic life on the average standard of living and quality of life, you will find that the U.S.
[00:22:47.917 --> 00:22:50.778]  standard of living has indeed declined by two-thirds.
[00:22:50.798 --> 00:22:52.959]  You can look on shadow government statistics.
[00:22:53.499 --> 00:22:55.520]  Their index confirms my finding.
[00:22:55.960 --> 00:23:04.304]  It goes from about 300 in the late 60s, early 70s, to about 100 today, meaning you've lost two-thirds of your standard of living.
[00:23:04.364 --> 00:23:08.166]  So, deindustrialization leads to immiseration.
[00:23:08.226 --> 00:23:11.607]  It means that the middle-class standard of living is destroyed.
[00:23:11.988 --> 00:23:13.788]  You've also got more people working.
[00:23:14.108 --> 00:23:15.569]  It's not enough for the husband to work.
[00:23:15.629 --> 00:23:16.530]  The wife has to work.
[00:23:16.790 --> 00:23:17.630]  The kids have to work.
[00:23:17.670 --> 00:23:19.091]  The husband has to work two jobs.
[00:23:19.411 --> 00:23:20.271]  The wife two jobs.
[00:23:20.331 --> 00:23:21.332]  And all this that everybody
[00:23:21.832 --> 00:23:22.312]  Knows about.
[00:23:22.332 --> 00:23:40.719]  So that is what de-industrialization has done, and that would have been difficult to do without the ideological preparation of green fanatics like Holdren, Ehrlich, Paddock, Meadows and Forrester, the Club of Rome, and collected charlatans and extremists of the 1960s into the 1970s.
[00:23:43.516 --> 00:23:46.877]  The disease that we're talking about is not limited to the U.S.
[00:23:46.977 --> 00:23:47.317]  actually.
[00:23:47.757 --> 00:23:53.039]  It really originates in Great Britain with these people like Bentham and Malthus and Darwin.
[00:23:54.320 --> 00:24:02.242]  One of Gordon Brown's aides was recently so indiscreet as to say that they were talking about cutting the population of the British Isles by 30 million people.
[00:24:02.282 --> 00:24:05.543]  Now that's way more than Hitler could have accomplished.
[00:24:06.283 --> 00:24:11.065]  And what it shows again is the anti-human fanaticism, the
[00:24:11.425 --> 00:24:12.046]  I think so.
[00:24:29.813 --> 00:24:36.361]  The origins of eugenics, racist thinking, race science in the U.S.
[00:24:36.421 --> 00:24:39.726]  go back in particular to the Harriman family.
[00:24:40.026 --> 00:24:41.428]  Averill Harriman was the son of
[00:24:42.665 --> 00:24:49.250]  of Harriman, the railroad builder, who had been attacked publicly by Theodore Roosevelt as a robber baron, as a public menace.
[00:24:49.870 --> 00:25:02.078]  So, Harriman, as a parvenu, new money, who had to go to Oxford and talk to old money, he had a tremendous identity crisis and sense of personal insecurity.
[00:25:02.118 --> 00:25:08.223]  So what he wanted to do was to create himself a wonderful race pedigree, that he too was part of the Anglo-Saxon
[00:25:08.723 --> 00:25:09.403]  Master Race.
[00:25:09.423 --> 00:25:25.730]  So his wife contributed to this famous gathering at the American Museum of Natural History, which was attended by Nazis, as well as British and other race scientists, meaning charlatans and proto-genocidalists, who came together with the idea of improving the race.
[00:25:26.890 --> 00:25:27.211]  U.S.
[00:25:27.531 --> 00:25:32.395]  states got into the business of sterilizing people, denying marriage licenses.
[00:25:32.896 --> 00:25:37.319]  You have these stories, the Kalakaks and the Jukes in New York State and similar things.
[00:25:37.640 --> 00:25:40.022]  The Nazis actually said, the U.S.
[00:25:40.062 --> 00:25:44.386]  has beaten us to the punch in terms of eugenics measures.
[00:25:45.126 --> 00:25:50.891]  So in some ways they were actually following in the footsteps of what Harriman and this faction had done in the United States.
[00:25:50.971 --> 00:25:53.514]  Now, Bush the elder,
[00:25:54.594 --> 00:26:17.404]  In his first congressional term, when he was representing River Oaks, Houston, Texas, elected in 1966, it was a district that had to be tailor-made, designed for him, as part of a redistricting so he could finally get elected after he failed to get into the Senate from Texas against Yarborough in 1964.
[00:26:18.204 --> 00:26:20.846]  Bush became the champion of eugenics.
[00:26:20.906 --> 00:26:23.687]  He brought in Shockley, Herrenstein,
[00:26:24.187 --> 00:26:31.189]  And these other fanatics, right, the sort of bell curve school, the precursors of that.
[00:26:31.229 --> 00:26:37.331]  In other words, people who talk about racial inferiority of the non-white races and things of this sort.
[00:26:38.611 --> 00:26:46.434]  These people were outside the boundaries of respectability because of the backlash against the Nazis, but Bush, the elder,
[00:26:47.074 --> 00:26:47.395]  I think so.
[00:27:02.375 --> 00:27:08.938]  That George Bush the Elder was so interested in contraception for the lower orders that he was rubber as bush.
[00:27:08.978 --> 00:27:14.621]  Now, the idea of that, I think, with Bush the Elder was he believes in the Anglo-Saxon master race.
[00:27:15.121 --> 00:27:21.224]  The problem is if you believe in that, you've got a problem of numbers because there are so many other people who are not part of this.
[00:27:21.244 --> 00:27:22.404]  So, what are you going to do?
[00:27:22.684 --> 00:27:26.066]  You've got to do something to limit the population growth
[00:27:27.006 --> 00:27:31.449]  And probably turn it around among the non-white populations in particular.
[00:27:31.469 --> 00:27:36.713]  So I think that is the one thing that Bush the Elder actually believes in as a fixed point of ideology.
[00:27:37.414 --> 00:27:52.004]  John P. Holdren, the current Obama populations are, John P. Holdren, the White House science are, is very much in the tradition of this Harriman eugenics movement, which was rubbing elbows with the Nazis in the 20s and 30s.
[00:27:52.064 --> 00:27:55.867]  Things like compulsory abortion, compulsory sterilization,
[00:27:56.987 --> 00:28:06.451]  Taking children away from parents, preventing marriages, marriage licenses that you have to pay for, implants and other things to prevent birth.
[00:28:06.512 --> 00:28:12.974]  This is all in the Nazi or quasi-Nazi tradition of the 20s and 30s.
[00:28:13.995 --> 00:28:17.116]  The mentality of oligarchy does not change.
[00:28:19.144 --> 00:28:26.506]  We have to remember that as long as there are human individuals, you're going to have the one, the few, and the many.
[00:28:27.366 --> 00:28:30.987]  There's going to be one person, small groups of people, and large masses.
[00:28:31.547 --> 00:28:32.808]  So this is always going to be with you.
[00:28:32.848 --> 00:28:35.368]  These are ontological categories of human existence.
[00:28:35.849 --> 00:28:36.789]  The problem you have
[00:28:37.429 --> 00:28:41.413]  Is if you have the dictatorship of the one, that's a fairly clear-cut problem.
[00:28:41.873 --> 00:28:47.698]  If you have the spontaneous mob of the many, that's a problem that people can also recognize.
[00:28:48.118 --> 00:28:59.749]  But what you tend to have in human civilization is the rule of the few, the oligarchy, the iron law of oligarchy, studied by German sociologists in the late 1900s.
[00:29:00.309 --> 00:29:04.012]  Now the purpose of an oligarchy is really only one thing.
[00:29:04.773 --> 00:29:06.314]  A tyrant can have a project.
[00:29:06.814 --> 00:29:08.215]  A mob can have a goal.
[00:29:08.576 --> 00:29:13.039]  But an oligarchy is there to do one thing, to perpetuate oligarchy.
[00:29:13.379 --> 00:29:17.222]  To give it more and more power and allow it to exist.
[00:29:18.703 --> 00:29:23.426]  The mentality of oligarchy always depends on the idea that there's an elite and a mass.
[00:29:24.066 --> 00:29:25.847]  And there can't be anything in between.
[00:29:25.887 --> 00:29:29.070]  There's really no room for a middle class in oligarchy.
[00:29:29.887 --> 00:29:34.571]  So, the elite has to justify itself based on what?
[00:29:34.891 --> 00:29:35.772]  Why should they rule?
[00:29:35.992 --> 00:29:36.673]  Are they smarter?
[00:29:37.053 --> 00:29:37.914]  Are they more efficient?
[00:29:38.214 --> 00:29:38.754]  Are they better?
[00:29:39.155 --> 00:29:40.576]  They're probably none of those things.
[00:29:40.596 --> 00:29:42.637]  They're probably inferior in many ways.
