[00:00:19.511 --> 00:00:20.192]  I'm Ed Griffin.
[00:05:10.956 --> 00:05:12.297]  Now here's a choice, isn't there?
[00:05:12.717 --> 00:05:21.019]  Well why is it if this is such a choice that we go from Republicans to Democrats and then four years or eight years later we go back to Republicans again and we keep doing this.
[00:05:21.059 --> 00:05:27.261]  We've been doing this since World War I. How come the country keeps moving in the same direction all the time?
[00:05:27.641 --> 00:05:28.881]  Deeper and deeper
[00:05:29.441 --> 00:05:37.891]  And deeper into collectivism, regardless of which party is in in favor, because they both believe in collectivism.
[00:05:37.931 --> 00:05:40.114]  They both believe in big government.
[00:05:40.594 --> 00:05:41.715]  Their slogans are different.
[00:05:41.755 --> 00:05:42.837]  Their leaders are different.
[00:05:43.197 --> 00:05:47.442]  But the poor voter out there trying to make sense of all this is he's tricked.
[00:05:48.083 --> 00:05:48.603]  He's stuck.
[00:05:49.304 --> 00:05:49.965]  He's trapped.
[00:05:50.505 --> 00:05:58.271]  And so this is the important thing to, I think, understand that this left-right paradigm is a political ploy.
[00:05:58.872 --> 00:06:01.093]  It works very well for those who know what they're doing.
[00:06:01.754 --> 00:06:08.860]  We find that the Republican Party and the Democrat Party both are pretty much in the hands of a relatively small group of people.
[00:06:09.700 --> 00:06:13.964]  With a membership of about 4,000, it's called the Council on Foreign Relations.
[00:06:14.364 --> 00:06:19.328]  These are the people that are really pulling the strings in both the Republican and the Democrat Party.
[00:06:19.889 --> 00:06:21.130]  And they've even written about it.
[00:06:21.150 --> 00:06:27.815]  There's a fellow by the name of Carol Quigley, who's a former history professor at Georgetown University.
[00:06:28.796 --> 00:06:31.659]  By the way, he was the mentor of William Clinton.
[00:06:32.359 --> 00:06:49.614]  When Clinton was a student there, and he wrote several books about this group of people and their origins and their roots coming from Europe and England in particular, and he comes to a very interesting point in one of his books where he says, okay, this is the way the real world is.
[00:06:49.634 --> 00:06:54.618]  He said, how is it that we, collectivists, we elitists, how can we rule the world
[00:06:55.419 --> 00:07:01.687]  When at the same time we want to let the average person think that they're living in a, quote, democracy.
[00:07:01.707 --> 00:07:04.531]  They're living in a system where their vote counts.
[00:07:04.871 --> 00:07:10.158]  They're living in this world in which they feel that they must participate in their own political destiny.
[00:07:10.639 --> 00:07:13.202]  This is a carefully nurtured myth.
[00:07:13.803 --> 00:07:20.871]  That they want to create so people will be content with no matter what happens to them, they'll say, well, I voted for it or I did it.
[00:07:21.071 --> 00:07:22.452]  This government is my government.
[00:07:22.512 --> 00:07:25.596]  No matter how bad it is, it's responsible to me.
[00:07:26.116 --> 00:07:32.303]  And as long as people have that image, then they don't complain so much about how bad it gets because they did it, they think.
[00:07:32.963 --> 00:07:45.411]  So Quigley deals with this question, how do you let people think that they're directing their own political destiny, when at the same time we, the elite, we are the ones who must direct their political destiny without them knowing it.
[00:07:45.431 --> 00:07:46.031]  How do you do that?
[00:07:46.452 --> 00:07:48.153]  And he answers the question brilliantly.
[00:07:48.173 --> 00:07:49.213]  He said, it's very simple.
[00:07:49.714 --> 00:07:57.719]  You've got to have two major political parties, and they'll both have the same major goals, the same basic fundamental principles.
[00:07:58.459 --> 00:08:04.782]  And they'll argue with each other on the surface with slogans and leadership and style and all of that sort of thing.
[00:08:04.822 --> 00:08:08.064]  He said, but we will control them both.
[00:08:09.425 --> 00:08:10.385]  There's the strategy.
[00:08:10.805 --> 00:08:13.687]  There's the whole scam behind this left-right paradigm.
[00:08:14.107 --> 00:08:24.512]  When you understand this history and this reality, you look at it and you say, well, yes, we've got a left wing and a right wing, but they're just opposite wings of the same ugly bird.
[00:08:25.073 --> 00:08:27.294]  And that bird is called collectivism.
[00:08:28.786 --> 00:08:32.810]  So how does that apply to the Tea Party movement that we see today?
[00:08:33.811 --> 00:08:34.272]  There it is.
[00:08:34.312 --> 00:08:35.373]  I mean, that's the blueprint.
[00:08:35.893 --> 00:08:46.324]  The Tea Party movement seems to have been a very genuine, spontaneous movement arising from people who were unhappy
[00:08:47.125 --> 00:08:51.369]  With both the Bush administration and the candidacy of Obama.
[00:08:52.130 --> 00:08:53.250]  They didn't like either one of them.
[00:08:53.311 --> 00:09:05.141]  They were people who understood, more or less, maybe not intellectually and historically, that there was collectivism in both parties, but they understood that something wasn't right, and they didn't want more of the same.
[00:09:05.681 --> 00:09:06.983]  And so the Tea Party movement
[00:09:07.543 --> 00:09:08.743]  You know, just think about it.
[00:09:08.763 --> 00:09:09.504]  What does that mean?
[00:09:09.764 --> 00:09:28.190]  It goes back to the historical episode where the colonists in Boston dumped the Tea Party into the Boston Bay because it was a protest against the taxes and the restriction of liberties and the Stamp Act and so forth on the part of Great Britain against the colonies.
[00:09:28.510 --> 00:09:33.072]  And so the Tea Party movement really was a rebellion against big government.
[00:09:33.832 --> 00:09:38.094]  No matter what camp it came from, whether it came from the Republicans or the Democrats.
[00:09:38.654 --> 00:09:54.281]  Well, it didn't take long, especially when the Tea Party movement began to gain momentum, and I was privileged to see that because I was invited to participate in some of these early events, and I remember the first event I went to, and maybe they had a couple hundred people,
[00:09:55.001 --> 00:09:58.663]  But they were all, you know, dedicated to the principles that made this country great.
[00:09:58.743 --> 00:10:00.604]  Had nothing to do with Republicans or Democrats.
[00:10:00.924 --> 00:10:02.564]  Had to do with political philosophy.
[00:10:03.265 --> 00:10:07.646]  The concept of limited government and the people being in charge, not the government in charge.
[00:10:08.087 --> 00:10:10.528]  So I saw it start in a small fashion like that.
[00:10:11.008 --> 00:10:15.510]  And then over the next couple of years it grew and grew and grew until finally it was a very large movement.
[00:10:16.030 --> 00:10:22.412]  And at this point, the political parties, the leadership of the political parties began to take very careful note of it.
[00:10:22.432 --> 00:10:32.374]  They said, wait a minute, this is something we should be doing, because they're experts at orchestrating movements and letting the people think that it's their movement, you see.
[00:10:32.414 --> 00:10:35.235]  This was a genuine, grassroots, spontaneous movement.
[00:10:35.255 --> 00:10:37.756]  It had nothing to do in the beginning with political parties.
[00:10:38.496 --> 00:10:41.100]  Well, the leadership of the party is going to let that be.
[00:10:41.520 --> 00:10:50.512]  So they both looked at it very carefully and the Democrats decided that because of the nature and the slogans and so forth, it didn't fit well.
[00:10:50.873 --> 00:10:52.114]  So they began to attack it.
[00:10:52.595 --> 00:10:55.038]  They began to try and make it look like it was a bunch of
[00:10:56.039 --> 00:10:59.000]  Idiots and wackos and tin hat people and all this sort of thing.
[00:10:59.420 --> 00:11:02.541]  And the Republicans thought, hmm, this is something we can use.
[00:11:02.981 --> 00:11:06.542]  And so they started to go into it as best they could and take it over.
[00:11:06.582 --> 00:11:07.362]  That was their goal.
[00:11:08.203 --> 00:11:10.863]  Copped it for their program.
[00:11:11.864 --> 00:11:14.804]  So here we are today looking at this process underway.
[00:11:15.164 --> 00:11:19.726]  They're still trying very hard to convert the Tea Party movement into a Republican front.
[00:11:20.626 --> 00:11:32.055]  And I'm sorry to say that they have achieved some success in that direction, primarily because of some very well-known people who are closely aligned with the Republican Party.
[00:11:32.876 --> 00:11:41.663]  We're talking about the candidate, of course, Sarah Palin, who is a Republican from top to bottom, and she represents this right-wing image.
[00:11:42.004 --> 00:11:43.605]  She fills the bill perfectly.
[00:11:43.685 --> 00:11:48.009]  She's this Republican right-wing collectivist.
[00:11:48.829 --> 00:12:00.180]  And she can speak with great fervor and great emotion and great meaning against the extremes of the Democrats, those bad left-wingers.
[00:12:00.240 --> 00:12:01.381]  And she does a good job of it.
[00:12:01.841 --> 00:12:03.102]  And everything she says is true.
[00:12:03.843 --> 00:12:07.965]  But she doesn't speak out against those bad right-wingers, you see, because she's part of that group.
[00:12:08.065 --> 00:12:15.649]  Her mission is not to bring about a restoration of the principles of America, but to get the Republicans back into power.
[00:12:15.669 --> 00:12:16.350]  That's her mission.
[00:12:16.870 --> 00:12:22.493]  And, of course, we have people like Glenn Beck, who have the power of the Fox broadcasting system behind him.
[00:12:22.513 --> 00:12:24.134]  That's tremendous power.
[00:12:24.394 --> 00:12:30.377]  And he's always speaking against those bad left-wing Democrats with great conviction and great fervor and great truth.
[00:12:30.977 --> 00:12:32.498]  Nothing wrong with what he says.
[00:12:33.018 --> 00:12:36.319]  What's wrong is what he doesn't say.
[00:12:36.959 --> 00:12:40.740]  He'll never attack somebody from the Republican Party.
[00:12:40.760 --> 00:12:43.781]  We've got people like Rush Limbaugh, plays the same role.
[00:12:44.201 --> 00:12:46.422]  He's very good at exposing the Democrats.
[00:12:46.462 --> 00:12:49.723]  He's very good at pointing out the absurdity of the
[00:12:50.343 --> 00:12:56.246]  Left-wing philosophy, but he'll never say anything bad about a right-winger or a Republican.
[00:12:56.266 --> 00:12:57.067]  So there you have it.
[00:12:57.347 --> 00:13:00.709]  Of course, on the Democrat side, you've got the same team.
[00:13:00.749 --> 00:13:03.310]  You know, these are the cheerleaders and the players.
[00:13:03.350 --> 00:13:04.151]  They work together.
[00:13:04.671 --> 00:13:06.752]  And the average voter gets caught in the middle of this.
[00:13:06.812 --> 00:13:08.873]  He hasn't any idea what's going on.
[00:13:09.173 --> 00:13:12.455]  He just thinks that the debate is such that he has to choose.
[00:13:12.755 --> 00:13:13.676]  Who are you going to vote for?
[00:13:13.696 --> 00:13:15.897]  Are you going to vote Republican or are you going to vote Democrat?
[00:13:16.317 --> 00:13:21.618]  And so as long as they're in that role, they're like a tennis ball in a tennis match.
[00:13:21.658 --> 00:13:24.159]  They get hit back and forth across the net.
[00:13:24.399 --> 00:13:25.179]  First they're on the right.
[00:13:25.399 --> 00:13:25.719]  Bing!
[00:13:25.779 --> 00:13:26.699]  Then they're back on the left.
[00:13:26.799 --> 00:13:27.099]  Bing!
[00:13:27.199 --> 00:13:27.959]  Back they're on the right.
[00:13:28.019 --> 00:13:28.740]  They're Republican.
[00:13:28.780 --> 00:13:29.460]  They're Democrat.
[00:13:29.840 --> 00:13:31.520]  And the game goes on and on and on.
[00:13:32.060 --> 00:13:39.562]  And although it's possible for the players of that game to win, the tennis ball never wins that game.
[00:13:40.002 --> 00:13:44.923]  So I think it's time for people to stop being tennis balls in this game and just get out of the game completely.
[00:13:46.618 --> 00:13:53.162]  There are certain issues that people on the left and the right in American politics will never discuss.
[00:13:54.763 --> 00:13:58.586]  And the reason they won't discuss them is because they agree mutually.
[00:13:59.646 --> 00:14:07.631]  The Democrats and the Republicans agree on something so they don't want to talk about it in public debate because it reveals the fact that they're basically the same.
[00:14:08.532 --> 00:14:10.413]  They only talk about things on which they disagree.
[00:14:11.774 --> 00:14:13.435]  Turns out that the things on which they agree
[00:14:15.302 --> 00:14:16.442]  are the most important things.
[00:14:17.163 --> 00:14:19.423]  The things in which they disagree are relatively minor.
[00:14:20.664 --> 00:14:25.845]  So the things in which they agree are, for example, our foreign policy.
[00:14:26.566 --> 00:14:34.688]  They both agree that the desired goal eventually is to move the United States into world government.
[00:14:35.809 --> 00:14:37.169]  Not just any world government
[00:14:38.575 --> 00:14:41.596]  But a world government based on the model of collectivism.
[00:14:41.856 --> 00:14:45.178]  In other words, big, powerful, centralized world government.
[00:14:45.918 --> 00:15:02.946]  If it were a world government based on the principles of freedom and freedom of choice, freedom of culture, low intervention, if no intervention in the lives of normal human beings, it might be a wonderful thing, but that's not the kind of world government the left and the right have in mind.
[00:15:03.566 --> 00:15:08.048]  They're talking about total world government, with all major decisions being made at the top,
[00:15:09.153 --> 00:15:18.701]  And people at the bottom being essentially living in a feudalist society, just serfs and peasants basically in a high-tech feudalism.
[00:15:19.942 --> 00:15:24.245]  And the left and the right both agree with that goal and so they never discuss it in public debate.
[00:15:25.666 --> 00:15:33.493]  Another thing in which they agree is the dominance of the banking system in our economy and to a large extent in our politics.
[00:15:34.619 --> 00:15:43.023]  They both agree that the banks are supreme, that the banks must be protected, that the banks must be funded, they must be bailed out, they must not be allowed to fail.
[00:15:43.703 --> 00:15:56.089]  When the banks make bad loans to third world countries or if they make bad loans to large corporations, both the Republicans and the Democrats agree that we must come in with taxpayers' money
[00:15:56.849 --> 00:15:58.730]  Either tax money or inflation money.
[00:15:59.311 --> 00:16:00.652]  And we must bail out the banks.
[00:16:00.952 --> 00:16:10.738]  And we do that, they both agree, by giving the money to these corporations and giving the money to the third world countries so that they can continue to make interest payments to the banks.
[00:16:11.399 --> 00:16:12.860]  So those are two major issues.
[00:16:12.900 --> 00:16:16.102]  I would say perhaps the largest issues we could possibly face.
[00:16:16.942 --> 00:16:21.806]  And so we find that Republicans and Democrats are in agreement on that.
[00:16:22.426 --> 00:16:26.589]  You might add one third, another third topic if you wish, and that is our
[00:16:27.189 --> 00:16:30.592]  Our role in the Middle East.
[00:16:30.972 --> 00:16:39.499]  Both parties talk alternately about how we've got to end this war in the Middle East, pull our troops home, you know, and all that sort of thing.
[00:16:39.739 --> 00:16:40.579]  But that's just rhetoric.
[00:16:40.599 --> 00:16:42.361]  You notice we go from one party to the other.
[00:16:42.741 --> 00:16:43.702]  The war continues.
[00:16:44.002 --> 00:16:44.843]  The war grows.
[00:16:45.083 --> 00:16:46.184]  The funding continues.
[00:16:46.524 --> 00:16:50.567]  So there we have three major issues, perhaps the three largest issues of all.
[00:16:51.087 --> 00:16:55.030]  And there's no debate between Republicans and Democrats as to what to do.
[00:16:56.111 --> 00:17:02.899]  Oh, there may be some debate in rhetoric, they may give speeches, but when it's time to vote in Congress, there is no division between them at all.
[00:17:03.199 --> 00:17:09.026]  And this, this itself, should be the biggest giveaway as to what the reality of politics is today.
[00:17:09.086 --> 00:17:13.912]  If anybody has got their eyes open, they ought to be able to see it just by examining those three issues.
[00:17:15.310 --> 00:17:35.849]  I do believe that when Ron Paul ran for president, and to everyone's amazement, achieved such great support, in spite of the roadblocks that were put in front of him, and in spite of the total disinterest on the part of the major media, so that he was practically unknown to large segments of the people.
[00:17:37.267 --> 00:17:51.371]  Parenthetically, I would say that if the media had given Ron Paul anywhere near the same exposure they gave to the Republican and Democrat, I mean the old-style Republican and Democrat party candidates, I think he probably would have been elected.
[00:17:51.971 --> 00:18:00.274]  But anyway, that was sort of a phenomenal event that somebody who did not have the endorsement of the establishment
[00:18:01.054 --> 00:18:03.156]  And who spoke so clearly on issues.
[00:18:04.057 --> 00:18:20.411]  The very issues that we were talking about, the issues of the war, the issues of the economy, and bailing out the banks, and the Federal Reserve System, and the issue of national sovereignty, these are issues that mainstream Republicans and Democrats don't want to touch, because they agree on that.
[00:18:20.851 --> 00:18:26.756]  Ron Paul disagreed with what the Republican and Democrat Party were doing on that, and so he spoke about it.
[00:18:27.016 --> 00:18:27.557]  And the fact that
[00:18:28.579 --> 00:18:33.881]  In spite of the fact that he was the only one talking about these issues, he got so much support.
[00:18:34.382 --> 00:18:43.005]  Tells me that there is a latent power, there's a latent awareness on the part of the American people just waiting to be tapped.
[00:18:43.706 --> 00:18:48.388]  I think those who are controlling the two-party system are very much afraid of that.
[00:18:49.028 --> 00:19:04.886]  They don't want that to be tapped, and that's why they're working so hard now to put controls on the Internet, because the message that Ron Paul was delivering was primarily delivered over the Internet, not through the major channels of communication.
[00:19:05.486 --> 00:19:08.930]  So now we see almost daily efforts
[00:19:09.631 --> 00:19:19.420]  on the part of the mainstream political figures to concoct different ways and different reasons and different excuses for putting controls on the internet.
[00:19:19.760 --> 00:19:25.286]  They're going to license people so that you can't even have a blog, they say, unless you have a license from the government.
[00:19:25.626 --> 00:19:31.751]  They want to put filters on the search engine so that you can't even look up certain words and things like that.
[00:19:32.292 --> 00:19:35.055]  Actually, I think what they're trying to do here in this country is pretty much
[00:19:35.675 --> 00:19:36.095]  I think so.
[00:19:57.405 --> 00:19:58.846]  Be kept open and free.
[00:19:58.866 --> 00:20:06.810]  It bodes very well for us, because I think we do have at last a chance to get around the mainstream media.
[00:20:07.390 --> 00:20:21.437]  But I think that if the governments of the world, and particularly in our own government, if they're successful in putting legal restrictions on and clamping down on the Internet, I'm afraid that the chances of a
[00:20:22.117 --> 00:20:28.002]  of a maverick moving against the establishment become very very small indeed.
[00:20:29.564 --> 00:20:34.648]  I believe that getting a man in the White House is not as important as it would seem at first.
[00:20:35.689 --> 00:20:44.857]  In fact I think it's almost counterproductive because as long as we focus on getting a man in the White House there's the underlying assumption that that's all we need to do.
[00:20:46.929 --> 00:20:48.249]  Americans are of that nature.
[00:20:48.449 --> 00:20:51.710]  They want quick, simple solutions to problems.
[00:20:53.351 --> 00:20:54.731]  They want to know who you're going to vote for.
[00:20:54.771 --> 00:20:55.412]  That's it.
[00:20:55.912 --> 00:21:07.575]  Because they think that they can discharge their responsibility of citizenship by going to the polls every two years and maybe spending 20 minutes and putting a little mark on a piece of paper and walk out and say, OK, I've done my job.
[00:21:08.175 --> 00:21:10.076]  I've defended my country.
[00:21:11.909 --> 00:21:12.829]  Doesn't work that way.
[00:21:13.789 --> 00:21:22.351]  Because by the time you go to the polls, and you put your pencil mark on the paper, punch the lever, whatever you do, the decisions are already made.
[00:21:22.651 --> 00:21:24.311]  The candidates have already been selected.
[00:21:25.432 --> 00:21:26.692]  And the work goes on there.
[00:21:26.712 --> 00:21:29.953]  It's who selects the candidates that the people vote for.
[00:21:30.733 --> 00:21:32.973]  Who frames the issues that people vote for.
[00:21:33.133 --> 00:21:34.153]  Voting is nothing.
[00:21:34.913 --> 00:21:36.934]  It's all done before that stage.
[00:21:37.836 --> 00:21:46.420]  So, as long as people think in terms of who we're going to vote for, what man are we going to get into the White House, they're looking in the wrong direction.
[00:21:46.880 --> 00:21:49.521]  They don't realize the scope of the problem.
[00:21:50.881 --> 00:21:54.443]  So, I'm not saying we shouldn't have the right man in the White House.
[00:21:54.463 --> 00:21:55.523]  That could be very important.
[00:21:56.084 --> 00:21:58.805]  What I am saying is that the task is much bigger than that.
[00:21:59.574 --> 00:22:01.455]  People need to become active in politics.
[00:22:01.975 --> 00:22:12.639]  They need to become active in their communities and in disseminating information and helping to create public opinion and awareness on the issues so they would be possible for the right man to be elected.
[00:22:13.979 --> 00:22:23.743]  Right now, you know, Ron Paul probably would have more support if people understood more about the Federal Reserve System.
[00:22:24.622 --> 00:22:28.988]  When he started to speak about it early in his campaign, most people were saying, huh?
[00:22:29.149 --> 00:22:30.330]  What's all that about?
[00:22:31.533 --> 00:22:55.589]  But, because of the internet, and because of the distribution of so much material on the Federal Reserve System, including my book, which probably played a small part in that, there was a substantial number of people who did understand that, wait a minute, the Federal Reserve System isn't a government agency, it's a cartel, it's a banking cartel, and it's working against the public interest.
[00:22:56.169 --> 00:23:01.350]  Yes, people still said, I don't know what he's talking about, but more and more people were saying, I do know what he's talking about, and he's right on target.
[00:23:01.390 --> 00:23:02.831]  And you reach a critical mass.
[00:23:16.363 --> 00:23:23.105]  With that, when enough people start saying, yes, yes, he's right, then the others who don't know anything are listening, saying, what are they talking about?
[00:23:23.445 --> 00:23:24.665]  And now they take an interest.
[00:23:25.265 --> 00:23:34.888]  So I think that we're almost at the point now of this tipping point or the critical mass where people do understand the scam behind the Federal Reserve System.
[00:23:35.428 --> 00:23:44.853]  I think if Ron Paul and other candidates would just continue, continue emphasizing this issue alone, I think it could make the difference.
[00:23:44.893 --> 00:23:48.715]  It could be the difference between recapturing the country and not doing so.
[00:23:49.721 --> 00:23:54.562]  Back to the old line political figures in the Republican Party, it is true.
[00:23:54.983 --> 00:24:12.548]  When you compare that with Obama, Obama came to power riding this crest of beautiful rhetoric about change, and making a difference, and taking America back, and all of that sort of thing, and people responded to it emotionally.
[00:24:13.348 --> 00:24:14.409]  That was it.
[00:24:14.429 --> 00:24:16.672]  There was no substance, but it sounded good.
[00:24:16.992 --> 00:24:17.713]  And they were mad.
[00:24:18.094 --> 00:24:20.436]  They were mad at the present regime.
[00:24:20.536 --> 00:24:22.298]  They didn't like the Bush administration.
[00:24:22.519 --> 00:24:23.320]  They were angry.
[00:24:23.380 --> 00:24:27.705]  So anybody that spoke about change, well, that was their man, right?
[00:24:28.365 --> 00:24:29.086]  Okay, here we are.
[00:24:29.947 --> 00:24:33.069]  Another cycle is passing, and people are now mad.
[00:24:33.630 --> 00:24:36.331]  But this time, they're mad at the Obama administration.
[00:24:36.872 --> 00:24:42.616]  So, the same political trick is being played again, but this time on the part of the Republican Party.
[00:24:43.136 --> 00:24:56.945]  The Republican candidates now are issuing great emotional, heartwarming statements about loving their country and restoring the Constitution, taking our country back, bringing about change, reducing government, and so forth.
[00:24:57.425 --> 00:24:59.567]  And you look at who is saying these things.
[00:25:00.067 --> 00:25:02.448]  I mean, people like Newt Gingrich, for example.
[00:25:02.808 --> 00:25:09.010]  If you look at his voting career, he voted against the Constitution more often than not throughout his whole political career.
[00:25:09.450 --> 00:25:23.533]  He's great at giving speeches, he uses all the right trigger words and phrases, but here's a guy talking about taking back the Constitution when he himself has been one of the great attackers of the Constitution by his votes in Congress?
[00:25:24.114 --> 00:25:28.535]  So, it's come to the point where people have to stop listening to the rhetoric
[00:25:29.415 --> 00:25:33.719]  And start looking at the actual voting record of these people.
[00:25:34.280 --> 00:25:37.323]  I don't care whether it's Republican or Democrat, that's not the issue.
[00:25:38.844 --> 00:25:40.446]  It was Lenin who said it so well.
[00:25:41.006 --> 00:25:46.552]  Lenin said, words are one thing, actions another.
[00:25:47.858 --> 00:25:52.061]  Of course, when Lennon wrote that, what he was telling his followers is that, tell them what they want to hear.
[00:25:52.841 --> 00:25:55.042]  Don't worry about telling a lie.
[00:25:55.122 --> 00:25:56.543]  They want to hear lies, he said.
[00:25:56.943 --> 00:25:57.724]  Words are one thing.
[00:25:57.764 --> 00:25:58.644]  Tell them what they want to hear.
[00:25:58.685 --> 00:25:59.165]  Get elected.
[00:25:59.225 --> 00:25:59.805]  Come to power.
[00:26:00.005 --> 00:26:02.567]  When you're in power, he said, then do what you want to do.
[00:26:02.907 --> 00:26:03.627]  Words are one thing.
[00:26:03.928 --> 00:26:04.628]  Action's another.
[00:26:05.028 --> 00:26:07.050]  So he was advocating lying.
[00:26:07.930 --> 00:26:12.052]  Well, believe me, professional politicians understand this same technique.
[00:26:12.372 --> 00:26:14.413]  They would never come out and advocate it in public.
[00:26:14.433 --> 00:26:15.974]  They'd deny it.
[00:26:16.294 --> 00:26:17.655]  But look at their records.
[00:26:18.155 --> 00:26:19.276]  Don't listen to their words.
[00:26:19.836 --> 00:26:20.776]  Look at their actions.
[00:26:21.116 --> 00:26:23.838]  And then you'll know what kind of a game they're playing with us.
[00:26:24.773 --> 00:26:35.519]  Well, both Republicans and Democrats, both left-wingers and right-wingers, use this tactic of trying to discredit their opposition.
[00:26:36.080 --> 00:26:37.921]  And they're very good at it.
[00:26:37.961 --> 00:26:44.865]  And they know that if you come to the point where there is a serious debate underway about a serious issue,
[00:26:46.072 --> 00:26:50.036]  The best thing is back away from the debate, stay away from the issues, because they will lose.
